Method,Mode,BaseSeed,MetaSeed,Policy,Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
Stack,Full3C,42,42,accepted,P,100,335,334,333,292,42,43,0.874251497005988,0.8716417910447761,0.8729446935724963,0.9970149253731343,68.9520958083831,19.999999999999574,295.29899594476785,0.0029940119760479044
Stack,Full3C,42,42,accepted,S,100,335,330,319,194,136,141,0.5878787878787879,0.5791044776119403,0.5834586466165413,0.9850746268656716,610.030303030303,70.00000000000028,2063.3282175488544,0.07878787878787878
Stack,Full3C,42,43,accepted,P,100,335,334,334,295,39,40,0.8832335329341318,0.8805970149253731,0.8819133034379671,0.9970149253731343,68.35329341317355,19.999999999999574,294.31998147765296,0.0029940119760479044
Stack,Full3C,42,43,accepted,S,100,335,331,324,193,138,142,0.5830815709969789,0.5761194029850746,0.5795795795795796,0.9880597014925373,691.3293051359517,70.00000000000028,2221.0513691245483,0.09365558912386707
Stack,Full3C,42,44,accepted,P,100,335,334,334,284,50,51,0.8502994011976048,0.8477611940298507,0.8490284005979073,0.9970149253731343,72.69461077844302,19.999999999999574,297.8073564519289,0.0029940119760479044
Stack,Full3C,42,44,accepted,S,100,335,328,309,185,143,150,0.5640243902439024,0.5522388059701493,0.5580693815987934,0.9791044776119403,670.5182926829268,80.00000000000007,2266.6790336224085,0.08536585365853659
Stack,Full3C,43,42,accepted,P,100,335,333,331,293,40,42,0.8798798798798799,0.8746268656716418,0.8772455089820359,0.9940298507462687,68.31831831831823,19.999999999999574,296.3932336423167,0.003003003003003003
Stack,Full3C,43,42,accepted,S,100,335,330,326,192,138,143,0.5818181818181818,0.573134328358209,0.5774436090225564,0.9850746268656716,743.2727272727273,70.00000000000028,2486.5099065058066,0.1
Stack,Full3C,43,43,accepted,P,100,335,334,333,294,40,41,0.8802395209580839,0.8776119402985074,0.8789237668161435,0.9970149253731343,68.23353293413165,19.999999999999574,295.5797105172496,0.0029940119760479044
Stack,Full3C,43,43,accepted,S,100,335,331,323,193,138,142,0.5830815709969789,0.5761194029850746,0.5795795795795796,0.9880597014925373,723.2326283987916,69.99999999999851,2324.8447305461145,0.09969788519637462
Stack,Full3C,43,44,accepted,P,100,335,333,331,293,40,42,0.8798798798798799,0.8746268656716418,0.8772455089820359,0.9940298507462687,69.45945945945937,19.999999999999574,297.10868983180814,0.003003003003003003
Stack,Full3C,43,44,accepted,S,100,335,331,318,189,142,146,0.5709969788519638,0.564179104477612,0.5675675675675675,0.9880597014925373,717.8247734138973,70.00000000000028,2189.4123147520468,0.10574018126888217
Stack,Full3C,44,42,accepted,P,100,335,335,333,289,46,46,0.8626865671641791,0.8626865671641791,0.8626865671641791,1.0,170.23880597014912,19.999999999999574,1833.143373243258,0.005970149253731343
Stack,Full3C,44,42,accepted,S,100,335,331,313,194,137,141,0.5861027190332326,0.5791044776119403,0.5825825825825826,0.9880597014925373,654.5317220543807,70.00000000000028,2166.1474705218798,0.08761329305135952
