p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
9,12.86,detected,detected,256.261449782792,52.6627934954233,stead_event_00001,uw60442066,9,12.78,0,79.9999999999983
4,7.74,detected,detected,284.129948992685,63.7848749591948,stead_event_00007,13487328,4,7.63,0,110
7,11.26,detected,detected,257.213250607806,73.4371815108413,stead_event_00011,ak0114gk7buk,7,11.13,0,129.999999999999
5,11.96,detected,detected,274.920485854463,57.8478327009707,stead_event_00033,ak18304808,5,11.73,0,230
7,12.87,detected,detected,254.283060016219,49.5386212567686,stead_event_00034,ak18438481,7,13.31,0,-440.000000000001
6,9.86,detected,detected,268.801217909017,76.0527773087935,stead_event_00043,13279134,6,9.84,0,19.9999999999996
9.98,11.1,detected,detected,268.054095477424,98.0022168087274,stead_event_00050,16538652,9.99,10.41,-9.99999999999979,690
12.48,13.34,detected,detected,171.937730880371,68.2373436080425,stead_event_00052,hv60901086,12.51,13.39,-29.9999999999994,-50.0000000000007
10.86,11.65,detected,detected,187.191910897498,51.2276046103554,stead_event_00053,hv60901406,10.76,12.32,99.9999999999996,-670
10.24,11.03,detected,detected,193.976545296,64.330124388176,stead_event_00055,hv60901726,10.27,11.03,-29.9999999999994,0
10.78,12.08,detected,detected,195.846433037198,62.7656827081519,stead_event_00069,hv60906871,10.78,11.35,0,730
10.45,11.92,detected,detected,151.742128180166,73.9035133643129,stead_event_00080,hv60908481,10.64,11.99,-190.000000000001,-70.0000000000003
9.96,12.32,detected,detected,245.233849287109,69.2630476342987,stead_event_00088,hv60910366,9.81,12.35,150,-29.9999999999994
11.18,11.94,detected,detected,293.503148082586,60.3529530095677,stead_event_00104,hv60914806,11.21,12.51,-30.0000000000011,-570
10.2,11.23,detected,detected,194.722328476742,79.1880641583778,stead_event_00112,hv60916191,10.25,11.21,-50.0000000000007,19.9999999999996
10.92,12.18,detected,detected,167.109953549288,70.9512576054703,stead_event_00115,hv60918376,10.94,12.19,-19.9999999999996,-9.99999999999979
10.88,13.09,detected,detected,188.113312917462,41.7034715274605,stead_event_00118,hv60918936,10.82,13.06,60.0000000000005,29.9999999999994
10.03,13.02,detected,detected,227.542691035572,76.0369066080583,stead_event_00121,hv60920211,10.12,12.99,-90.0000000000016,29.9999999999994
NaN,NaN,not_detected,not_detected,235.304277998316,0,stead_event_00127,hv60921636,10.87,11.79,NaN,NaN
NaN,NaN,not_detected,not_detected,168.338225836352,0,stead_event_00134,hv60926821,11.35,13,NaN,NaN
9.01,12.02,detected,detected,290.602174988131,54.149265168859,stead_event_00139,hv60928436,9.04,12.01,-30.0000000000011,9.99999999999979
6,10.98,detected,detected,281.495981497019,34.9548508266442,stead_event_00140,hv60928616,6,11.48,0,-500
5,11.87,detected,detected,271.195388908243,62.5846774351375,stead_event_00150,hv60931326,5,11.86,0,9.99999999999979
4,8.34,detected,detected,289.629461509852,62.11811959769,stead_event_00154,hv60931446,4,8.28,0,60.0000000000005
5,6.92,detected,detected,271.710896918314,42.6604142027209,stead_event_00178,hv60966561,5,6.7,0,220
9,15.3,detected,detected,281.137212004231,53.5951920123058,stead_event_00182,hv60968301,9,15.34,0,-39.9999999999991
6,9.74,detected,detected,293.14872021821,73.2068993904503,stead_event_00183,hv60968786,6,9.75,0,-9.99999999999979
3.99,10.42,detected,detected,269.138976382704,73.1324666085439,stead_event_00191,hv60976706,4,10.41,-9.99999999999979,9.99999999999979
5.03,10.86,detected,detected,281.065757302854,45.6723976865669,stead_event_00192,hv60978051,5,10.89,30.0000000000002,-30.0000000000011
7,11.46,detected,detected,267.419337387112,47.4483474997307,stead_event_00197,hv60986616,7,11.9,0,-439.999999999999
5,8.46,detected,detected,263.767688847707,74.3370802913201,stead_event_00198,hv60988776,5,8.4,0,60.0000000000005
4,9.98,detected,detected,304.639911248841,28.1590187494802,stead_event_00203,hv60997796,4,9.8,0,180
5.02,8.78,detected,detected,330.850542025656,45.5724421389618,stead_event_00226,hv61058691,5,8.36,19.9999999999996,420
5.02,7.75,detected,detected,295.254246342266,61.1904986029913,stead_event_00228,hv61059176,5,7.71,19.9999999999996,40
6,7.05,detected,detected,265.122143023197,43.162003354152,stead_event_00240,hv61086956,6,6.92,0,130
5,6.65,detected,detected,296.299772071797,73.3139174298828,stead_event_00241,hv61088071,5,5.83,0,820
5.02,7.59,detected,detected,265.14381909149,35.5132860865043,stead_event_00242,hv61089106,5,8.22,19.9999999999996,-630.000000000001
6,8.67,detected,detected,290.504725583218,32.1155675222739,stead_event_00245,hv61099496,6,8.4,0,270
6,10.49,detected,detected,305.517466165891,24.6091274576377,stead_event_00247,hv61105861,6,9.2,0,1290
9,10.98,detected,detected,283.400280854612,59.5826267022925,stead_event_00248,hv61106101,9,11.05,0,-70.0000000000003
8.03,9.84,detected,detected,291.18779863643,64.7038384531074,stead_event_00256,hv61120311,8,9.89,29.9999999999994,-50.0000000000007
9,11.82,detected,detected,292.616570314657,48.1549085518426,stead_event_00261,hv61125041,9,11.78,0,40.0000000000009
6,10.99,detected,detected,283.536694857788,46.0430593138221,stead_event_00264,hv61133066,6,11.08,0,-89.9999999999999
9,11.66,detected,detected,264.242037851835,54.5632242795338,stead_event_00272,hv61141866,9,11.37,0,289.999999999999
5,8.89,detected,detected,274.347967124972,42.6546502658337,stead_event_00273,hv61145391,5,8.73,0,160
7,8.9,detected,detected,286.33868533904,55.1469666053037,stead_event_00280,hv61157446,7.01,8.99,-9.99999999999979,-89.9999999999999
6,7.78,detected,detected,277.989782339406,32.3057832089948,stead_event_00305,hv61190896,6.03,7.41,-30.0000000000002,370
8.99,11.86,detected,detected,257.510315729159,33.43303000049,stead_event_00313,hv61198966,9,11.53,-9.99999999999979,330
9,10.52,detected,detected,264.968261302482,45.8325657322868,stead_event_00324,hv61227431,9.03,10.64,-29.9999999999994,-120.000000000001
7,11.28,detected,detected,266.631665701306,47.4452981652156,stead_event_00351,hv61289741,7,11.68,0,-400
8,11.54,detected,detected,296.645656371806,53.3736826900488,stead_event_00358,hv61301126,8,11.34,0,199.999999999999
5.99,12.58,detected,detected,295.411831841266,60.9806237084269,stead_event_00364,hv61313351,6,12.66,-9.99999999999979,-80.0000000000001
6.99,11.62,detected,detected,277.94774499198,57.7901094807248,stead_event_00366,hv61313951,7,11.87,-9.99999999999979,-250.000000000002
5,9.53,detected,detected,296.519229865391,58.2077118688371,stead_event_00367,hv61314166,5,9.51,0,19.9999999999996
7,11.7,detected,detected,270.732815237373,53.1979599465258,stead_event_00383,hv61351376,7,12.27,0,-570
5,10.66,detected,detected,310.83534170341,82.9481677564717,stead_event_00390,hv61373431,5,10.51,0,150
9,13.86,detected,detected,298.79607633838,41.7977853841832,stead_event_00395,hv61387541,9,13.23,0,629.999999999999
6,10.9,detected,detected,287.342492093155,73.7040633468221,stead_event_00396,hv61387641,6,10.23,0,670
4.99,7.75,detected,detected,303.651753612698,77.7289976179325,stead_event_00401,hv61404776,5,7.77,-9.99999999999979,-20.0000000000005
6,11.63,detected,detected,254.566957062221,53.2170846405009,stead_event_00405,hv61415741,6,11.46,0,170
6.99,11.52,detected,detected,251.574958946781,65.724255083272,stead_event_00408,hv61424936,7,11.51,-9.99999999999979,9.99999999999979
9,15.5,detected,detected,286.976930514375,72.3655675295481,stead_event_00411,hv61431046,9,15.48,0,19.9999999999996
8,14.46,detected,detected,268.690350607782,80.1172127760057,stead_event_00412,hv61443381,8,14.48,0,-19.9999999999996
9,15.34,detected,detected,274.89069806689,38.9018495950238,stead_event_00427,hv61470176,9,14.7,0,639.999999999999
9,13.06,detected,detected,322.802310529979,73.0647316938899,stead_event_00441,hv61491046,9,13.12,0,-60.0000000000005
6,11.94,detected,detected,295.121245501627,47.8897979421907,stead_event_00445,hv61494321,6,12,0,-60.0000000000005
7.99,13.74,detected,detected,305.582624564797,60.6211816697655,stead_event_00446,hv61494421,8,13.2,-9.99999999999979,539.999999999999
9.01,13.02,detected,detected,321.247608665591,74.4036808783685,stead_event_00453,hv61515041,9,13.03,9.99999999999979,-10.0000000000016
9,12.9,detected,detected,311.744262382746,72.7565177440806,stead_event_00464,hv61573621,9,12.95,0,-50.0000000000007
5,9.34,detected,detected,297.09729366596,72.1923412785515,stead_event_00467,hv61586936,5,9.22,0,119.999999999999
4,6.34,detected,detected,282.611497637055,62.1070531332878,stead_event_00469,hv61591531,4,6.43,0,-89.9999999999999
5,7.34,detected,detected,247.773011077017,75.6716183644949,stead_event_00471,hv61596221,5,7.37,0,-30.0000000000002
6.99,12.66,detected,detected,275.663152759325,64.9513381426655,stead_event_00473,hv61626271,7,12.72,-9.99999999999979,-60.0000000000005
4,9.14,detected,detected,313.631596088093,64.5141752380264,stead_event_00475,hv61629831,4,9.1,0,40.0000000000009
5.02,16.38,detected,detected,299.826239311074,26.3763176079658,stead_event_00478,hv61630461,5,17.01,19.9999999999996,-630.000000000003
8,18.82,detected,detected,280.480155134218,64.4972468213777,stead_event_00485,hv61653731,8,18.8,0,19.9999999999996
5,14.1,detected,detected,274.636293023603,75.6818520650713,stead_event_00488,hv61657746,5,14.02,0,80.0000000000001
4,13.1,detected,detected,284.235068660691,86.6769157581358,stead_event_00489,hv61659231,4,13.02,0,80.0000000000001
4.01,16.1,detected,detected,281.433819823011,60.454286390998,stead_event_00498,hv61694021,4,16.09,9.99999999999979,10.0000000000016
8.02,21.11,detected,detected,309.067188078507,39.3607587605752,stead_event_00499,hv61695836,8,20.89,19.9999999999996,219.999999999999
9,17.9,detected,detected,277.649130254178,66.7316881703651,stead_event_00506,hv61717336,9,18.04,0,-140.000000000001
5,13.5,detected,detected,299.958867660254,49.9312710196743,stead_event_00508,hv61724031,5.01,13.41,-9.99999999999979,89.9999999999999
9,19.22,detected,detected,283.675759178086,71.5055034010057,stead_event_00512,hv61755026,9,19.22,0,0
4,12.9,detected,detected,286.833114349281,81.1501014685639,stead_event_00513,hv61763851,4,12.9,0,0
8.02,19.62,detected,detected,269.43361464408,62.6650126176785,stead_event_00518,hv61785231,8,19.64,19.9999999999996,-19.9999999999996
9,17.9,detected,detected,297.475151769408,81.6517904801178,stead_event_00522,hv61796236,9,17.91,0,-10.0000000000016
5,13.5,detected,detected,292.410149710232,54.0170268771945,stead_event_00529,hv61836176,5,13.52,0,-19.9999999999996
6,15.54,detected,detected,265.658115097918,55.9071903645813,stead_event_00531,hv61839021,6,15.48,0,59.9999999999987
