p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
9,12.64,detected,detected,275.995941941634,36.9880732288883,stead_event_00001,uw60442066,9,12.78,0,-140.000000000001
4,7.78,detected,detected,257.670921994843,27.5570357835006,stead_event_00007,13487328,4,7.63,0,150
7.02,11.2,detected,detected,242.05816176815,40.4789491809868,stead_event_00011,ak0114gk7buk,7,11.13,19.9999999999996,69.9999999999985
5.03,11.11,detected,detected,233.569462966027,25.4698452589471,stead_event_00033,ak18304808,5,11.73,30.0000000000002,-620.000000000001
7,12.91,detected,detected,263.548567250844,42.5805338739627,stead_event_00034,ak18438481,7,13.31,0,-400
6.01,9.87,detected,detected,268.549240992425,41.7421823197892,stead_event_00043,13279134,6,9.84,9.99999999999979,29.9999999999994
9.99,11.36,detected,detected,213.350898334409,56.4295410294147,stead_event_00050,16538652,9.99,10.41,0,949.999999999999
12.54,13.55,detected,detected,251.607091451377,33.9928696034724,stead_event_00052,hv60901086,12.51,13.39,29.9999999999994,160
10.87,11.93,detected,detected,293.510603987592,38.1795437341767,stead_event_00053,hv60901406,10.76,12.32,109.999999999999,-390.000000000001
10.34,11.19,detected,detected,217.634113222508,46.550251186565,stead_event_00055,hv60901726,10.27,11.03,70.0000000000003,160
10.84,11.82,detected,detected,231.957979670447,52.7712965085671,stead_event_00069,hv60906871,10.78,11.35,60.0000000000005,470.000000000001
10.74,11.95,detected,detected,160.705239319668,42.714430524954,stead_event_00080,hv60908481,10.64,11.99,99.9999999999996,-40.0000000000009
9.98,12.51,detected,detected,234.508738349039,46.4793926259433,stead_event_00088,hv60910366,9.81,12.35,170,160
11.22,11.96,detected,detected,224.171313601891,46.381485025924,stead_event_00104,hv60914806,11.21,12.51,9.99999999999979,-549.999999999999
10.34,11.17,detected,detected,222.779386119884,32.7315583180106,stead_event_00112,hv60916191,10.25,11.21,89.9999999999999,-40.0000000000009
11.07,12.16,detected,detected,212.849149295503,43.8225056163762,stead_event_00115,hv60918376,10.94,12.19,130.000000000001,-29.9999999999994
10.95,12.99,detected,detected,225.499816878259,40.3890333139376,stead_event_00118,hv60918936,10.82,13.06,129.999999999999,-70.0000000000003
10.07,13.04,detected,detected,207.210180752862,41.5594092694116,stead_event_00121,hv60920211,10.12,12.99,-50.0000000000007,49.9999999999989
10.98,11.8,detected,detected,245.719789446944,41.020378595535,stead_event_00127,hv60921636,10.87,11.79,109.999999999999,9.99999999999979
