p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
8.99,12.81,detected,detected,162.73810394363,58.780920349577,stead_event_00001,uw60442066,9,12.78,-9.99999999999979,29.9999999999994
4,7.73,detected,detected,196.779140949307,53.1249032168136,stead_event_00007,13487328,4,7.63,0,100.000000000001
7.25,11.27,detected,detected,231.070833104951,54.6484594450562,stead_event_00011,ak0114gk7buk,7,11.13,250,139.999999999999
5.04,11.93,detected,detected,185.482275570138,40.2690199367463,stead_event_00033,ak18304808,5,11.73,40,199.999999999999
7.03,13.56,detected,detected,220.134359673904,43.8416963122607,stead_event_00034,ak18438481,7,13.31,30.0000000000002,250
6.07,9.84,detected,detected,230.564449373008,50.0769177584559,stead_event_00043,13279134,6,9.84,70.0000000000003,0
9.98,NaN,detected,not_detected,256.399414513919,65.6168903860944,stead_event_00050,16538652,9.99,10.41,-9.99999999999979,NaN
12.51,13.35,detected,detected,224.992129190067,61.635902329551,stead_event_00052,hv60901086,12.51,13.39,0,-40.0000000000009
10.79,11.97,detected,detected,177.920174467334,56.0756270079335,stead_event_00053,hv60901406,10.76,12.32,29.9999999999994,-350
10.27,11.03,detected,detected,247.117895934613,74.5289392872308,stead_event_00055,hv60901726,10.27,11.03,0,0
10.78,NaN,detected,not_detected,244.787548387881,68.6714453374552,stead_event_00069,hv60906871,10.78,11.35,0,NaN
10.61,NaN,detected,not_detected,250.41757115852,34.0048568346352,stead_event_00080,hv60908481,10.64,11.99,-30.0000000000011,NaN
9.82,12.35,detected,detected,218.564282707403,69.0087743245573,stead_event_00088,hv60910366,9.81,12.35,9.99999999999979,0
11.21,19.82,detected,detected,222.281530603199,30.2782987527547,stead_event_00104,hv60914806,11.21,12.51,0,7310
10.25,11.2,detected,detected,220.832238544007,78.7638944310326,stead_event_00112,hv60916191,10.25,11.21,0,-10.0000000000016
10.95,12.2,detected,detected,195.807018691167,64.8078250646982,stead_event_00115,hv60918376,10.94,12.19,9.99999999999979,9.99999999999979
10.87,14.77,detected,detected,102.400920718881,46.7786540967029,stead_event_00118,hv60918936,10.82,13.06,49.9999999999989,1710
10.14,13.01,detected,detected,94.4272037923092,47.5739954403773,stead_event_00121,hv60920211,10.12,12.99,19.9999999999996,19.9999999999996
10.83,11.79,detected,detected,217.542218373873,53.9762088486282,stead_event_00127,hv60921636,10.87,11.79,-40.0000000000009,-1.77635683940025e-12
11.33,12.87,detected,uncertain,220.719675618139,88.8271308246503,stead_event_00134,hv60926821,11.35,13,-19.9999999999996,-130.000000000001
