p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
9,12.93,detected,detected,215.801552653448,30.8264041387083,stead_event_00001,uw60442066,9,12.78,0,149.999999999999
4.01,NaN,detected,not_detected,222.65869529429,8.85510873828518,stead_event_00007,13487328,4,7.63,9.99999999999979,NaN
7.25,10.2,detected,detected,243.489389718141,29.9164289597167,stead_event_00011,ak0114gk7buk,7,11.13,250,-930.000000000001
5.05,12.09,detected,detected,218.549278310035,30.7912765854522,stead_event_00033,ak18304808,5,11.73,49.9999999999998,359.999999999999
7.03,12.85,detected,detected,233.160897397422,51.77168782158,stead_event_00034,ak18438481,7,13.31,30.0000000000002,-460.000000000001
6.07,9.89,detected,detected,232.747253382151,34.8602654265225,stead_event_00043,13279134,6,9.84,70.0000000000003,50.0000000000007
9.99,10.54,detected,uncertain,263.101134270006,46.1087182048926,stead_event_00050,16538652,9.99,10.41,0,129.999999999999
12.51,13.42,detected,detected,233.608965060947,33.4125545076062,stead_event_00052,hv60901086,12.51,13.39,0,29.9999999999994
10.82,12.07,detected,detected,185.07335658684,30.6109051089249,stead_event_00053,hv60901406,10.76,12.32,60.0000000000005,-250
10.27,10.97,detected,detected,244.20588923655,49.7449965550994,stead_event_00055,hv60901726,10.27,11.03,0,-59.9999999999987
10.78,NaN,detected,not_detected,249.911969961388,42.7515771206933,stead_event_00069,hv60906871,10.78,11.35,0,NaN
10.62,11.18,detected,detected,251.867456283353,51.7810215306595,stead_event_00080,hv60908481,10.64,11.99,-20.0000000000014,-810
9.83,12.45,detected,detected,223.886180275119,32.776159250123,stead_event_00088,hv60910366,9.81,12.35,19.9999999999996,99.9999999999996
11.22,11.9,detected,detected,255.54939440282,46.7513700408837,stead_event_00104,hv60914806,11.21,12.51,9.99999999999979,-609.999999999999
10.26,11.24,detected,detected,226.852527213967,31.6087591140477,stead_event_00112,hv60916191,10.25,11.21,9.99999999999979,29.9999999999994
10.96,12.16,detected,detected,183.336536159204,27.2669953156196,stead_event_00115,hv60918376,10.94,12.19,20.0000000000014,-29.9999999999994
10.92,14.93,detected,detected,149.935134829974,17.520749260491,stead_event_00118,hv60918936,10.82,13.06,99.9999999999996,1870
10.17,12.89,detected,detected,165.18065939595,18.6484187111092,stead_event_00121,hv60920211,10.12,12.99,49.9999999999989,-99.9999999999996
10.85,11.77,detected,detected,234.342796952765,29.9124849535234,stead_event_00127,hv60921636,10.87,11.79,-20.0000000000014,-20.0000000000014
11.34,13.02,detected,detected,241.074104792228,44.8279462204008,stead_event_00134,hv60926821,11.35,13,-9.99999999999979,19.9999999999996
9.04,12.22,detected,uncertain,233.704901457752,33.2896738181268,stead_event_00139,hv60928436,9.04,12.01,-1.77635683940025e-12,210.000000000001
6.13,10.69,detected,detected,156.390432348539,25.3247162700351,stead_event_00140,hv60928616,6,11.48,130,-790.000000000001
5.13,11.89,detected,detected,187.484399596157,27.9921450207658,stead_event_00150,hv60931326,5,11.86,130,30.0000000000011
4.07,8.45,detected,detected,168.887555094884,30.0931437688214,stead_event_00154,hv60931446,4,8.28,70.0000000000003,170
5.22,7.24,detected,detected,218.016747697291,19.8040559188098,stead_event_00178,hv60966561,5,6.7,220,540
9.02,14.67,detected,detected,213.314937760847,14.0634946243774,stead_event_00182,hv60968301,9,15.34,19.9999999999996,-670
5.98,8.62,detected,detected,203.446326359182,15.0232942238639,stead_event_00183,hv60968786,6,9.75,-19.9999999999996,-1130
3.97,9.66,detected,detected,217.26704985406,13.5697411023728,stead_event_00191,hv60976706,4,10.41,-29.9999999999998,-750
5.09,10.76,detected,uncertain,218.733194710285,15.6081101164175,stead_event_00192,hv60978051,5,10.89,89.9999999999999,-130.000000000001
7,11.68,detected,detected,207.290591610573,19.3681776139121,stead_event_00197,hv60986616,7,11.9,0,-220.000000000001
5,8.53,detected,detected,249.52352805185,26.5169198366228,stead_event_00198,hv60988776,5,8.4,0,129.999999999999
4.09,9.62,detected,detected,211.325216766772,15.1369153790344,stead_event_00203,hv60997796,4,9.8,89.9999999999999,-180.000000000001
5.23,8.83,detected,uncertain,160.393519973973,21.7098373704134,stead_event_00226,hv61058691,5,8.36,230,470.000000000001
