Checkpoint,JobID,FitSources,ValidationSources,NetworkLoaded
checkpoints/original/models/Full3C/Full3C_CNN_fold0_seed42.mat,Full3C_CNN_fold0_seed42,1480,317,1
checkpoints/original/models/Full3C/Full3C_CNN_fold1_seed42.mat,Full3C_CNN_fold1_seed42,1006,178,1
checkpoints/original/models/Full3C/Full3C_CNN_fold2_seed42.mat,Full3C_CNN_fold2_seed42,1006,178,1
checkpoints/original/models/Full3C/Full3C_CNN_fold3_seed42.mat,Full3C_CNN_fold3_seed42,1006,178,1
checkpoints/original/models/Full3C/Full3C_CNN_fold4_seed42.mat,Full3C_CNN_fold4_seed42,1006,178,1
checkpoints/original/models/Full3C/Full3C_CNN_fold5_seed42.mat,Full3C_CNN_fold5_seed42,1006,178,1
checkpoints/original/models/Full3C/Full3C_full15ch_fold-1_seed42.mat,Full3C_full15ch_fold-1_seed42,1480,317,1
checkpoints/original/models/Full3C/Full3C_full15ch_fold-1_seed43.mat,Full3C_full15ch_fold-1_seed43,1480,317,1
checkpoints/original/models/Full3C/Full3C_full15ch_fold-1_seed44.mat,Full3C_full15ch_fold-1_seed44,1480,317,1
checkpoints/original/models/Full3C/Full3C_logistic_fold-1_seed42.mat,Full3C_logistic_fold-1_seed42,1480,317,0
checkpoints/original/models/Full3C/Full3C_nodilation_fold-1_seed42.mat,Full3C_nodilation_fold-1_seed42,1480,317,1
checkpoints/original/models/Full3C/Full3C_nodilation_fold-1_seed43.mat,Full3C_nodilation_fold-1_seed43,1480,317,1
checkpoints/original/models/Full3C/Full3C_nodilation_fold-1_seed44.mat,Full3C_nodilation_fold-1_seed44,1480,317,1
checkpoints/original/models/Full3C/Full3C_probonly12_fold-1_seed42.mat,Full3C_probonly12_fold-1_seed42,1480,317,1
checkpoints/original/models/Full3C/Full3C_probonly12_fold-1_seed43.mat,Full3C_probonly12_fold-1_seed43,1480,317,1
checkpoints/original/models/Full3C/Full3C_probonly12_fold-1_seed44.mat,Full3C_probonly12_fold-1_seed44,1480,317,1
checkpoints/original/models/Full3C/Full3C_TCN_fold0_seed42.mat,Full3C_TCN_fold0_seed42,1480,317,1
