Output,Records,StatusMismatches,PickMismatches,MaxPickDifferenceSec,MaxQualityDifference,Environment,MATLABVersion
Stack_Full3C_base42_meta42,1,0,0,0,0.00171310676890357,cpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base42_meta43,1,0,0,0,0.00199601963993246,cpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base42_meta44,1,0,0,0,0.00214910457199124,cpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base43_meta42,1,0,0,0,0.00972307288427032,cpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base43_meta43,1,0,0,0,0.00325817690665531,cpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base43_meta44,1,0,0,0,0.0126117868497033,cpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base44_meta42,1,0,0,0,0.00363585081643691,cpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base44_meta43,1,0,0,0,0.00310975908931255,cpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base44_meta44,1,0,0,0,0.003497617007028,cpu,24.1.0.2537033 (R2024a)
PhaseNetMatched_Full3C_seed42,1,0,0,0,0.00159383044791639,cpu,24.1.0.2537033 (R2024a)
PhaseNetMatched_Full3C_seed43,1,0,0,0,0.0140052374891297,cpu,24.1.0.2537033 (R2024a)
PhaseNetMatched_Full3C_seed44,1,0,0,0,0.00262500303290381,cpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base42_meta42,1,0,0,0,0.00553978300939661,cpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base42_meta43,1,0,0,0,0.00545372123480092,cpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base42_meta44,1,0,0,0,0.00640342850334008,cpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base43_meta42,1,0,0,0,0.00287106281396632,cpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base43_meta43,1,0,0,0,0.00660598129073264,cpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base43_meta44,1,0,0,0,0.00346996651944664,cpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base44_meta42,1,0,0,0,0.00117835625797014,cpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base44_meta43,1,0,0,0,0.00265409380244819,cpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base44_meta44,1,0,0,0,0.00482967718565419,cpu,24.1.0.2537033 (R2024a)
PhaseNetMatched_Zonly_seed42,1,0,0,0,0.00198751406153974,cpu,24.1.0.2537033 (R2024a)
PhaseNetMatched_Zonly_seed43,1,0,0,0,0.00687303031804731,cpu,24.1.0.2537033 (R2024a)
PhaseNetMatched_Zonly_seed44,1,0,0,0,0.00766372376062918,cpu,24.1.0.2537033 (R2024a)
