Output,Records,StatusMismatches,PickMismatches,MaxPickDifferenceSec,MaxQualityDifference,Environment,MATLABVersion
Stack_Full3C_base42_meta42,3,0,0,0,4.54747350886464e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base42_meta43,3,0,0,0,3.41060513164848e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base42_meta44,3,0,0,0,4.83169060316868e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base43_meta42,3,0,0,0,5.11590769747272e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base43_meta43,3,0,0,0,4.54747350886464e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base43_meta44,3,0,0,0,2.55795384873636e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base44_meta42,3,0,0,0,4.54747350886464e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base44_meta43,3,0,0,0,4.2632564145606e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Full3C_base44_meta44,3,0,0,0,2.55795384873636e-13,gpu,24.1.0.2537033 (R2024a)
PhaseNetMatched_Full3C_seed42,3,0,0,0,2.27373675443232e-13,gpu,24.1.0.2537033 (R2024a)
PhaseNetMatched_Full3C_seed43,3,0,0,0,4.54747350886464e-13,gpu,24.1.0.2537033 (R2024a)
PhaseNetMatched_Full3C_seed44,3,0,0,0,3.41060513164848e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base42_meta42,3,0,0,0,3.69482222595252e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base42_meta43,3,0,0,0,4.83169060316868e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base42_meta44,3,0,0,0,3.12638803734444e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base43_meta42,3,0,0,0,4.2632564145606e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base43_meta43,3,0,0,0,3.12638803734444e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base43_meta44,3,0,0,0,4.54747350886464e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base44_meta42,3,0,0,0,4.54747350886464e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base44_meta43,3,0,0,0,3.97903932025656e-13,gpu,24.1.0.2537033 (R2024a)
Stack_Zonly_base44_meta44,3,0,0,0,3.41060513164848e-13,gpu,24.1.0.2537033 (R2024a)
PhaseNetMatched_Zonly_seed42,3,0,0,0,3.97903932025656e-13,gpu,24.1.0.2537033 (R2024a)
PhaseNetMatched_Zonly_seed43,3,0,0,0,2.8421709430404e-13,gpu,24.1.0.2537033 (R2024a)
PhaseNetMatched_Zonly_seed44,3,0,0,0,3.97903932025656e-13,gpu,24.1.0.2537033 (R2024a)
