event_id,source_id,file_name,experiment,case_type,component,rank,p_error_ms,s_error_ms,p_status,s_status,SNR,source_magnitude,source_distance_km,figure_file
stead_event_01178,ci10321469,,Full3C,P_outlier,P,1,33220,NaN,not_detected,not_detected,32.40000153,1.61,8.65,failure_Full3C_P_outlier_rank01_.png
stead_event_01489,nc71786591,,Full3C,P_outlier,P,2,-5030,-89.9999999999999,detected,detected,39.20000076,1.77,6.64,failure_Full3C_P_outlier_rank02_.png
stead_event_01130,12821492,,Full3C,P_outlier,P,3,-940,9430,detected,uncertain,46.20000076,3.2,14.63,failure_Full3C_P_outlier_rank03_.png
stead_event_00929,hv61416591,,Full3C,P_outlier,P,4,570,730,detected,detected,35.09999847,1.57,13.26,failure_Full3C_P_outlier_rank04_.png
stead_event_00831,hv61055001,,Full3C,P_outlier,P,5,560,-400,detected,detected,47.79999924,1.64,8.32,failure_Full3C_P_outlier_rank05_.png
stead_event_00809,hv60977116,,Full3C,P_outlier,P,6,530,39.9999999999991,detected,detected,46.20000076,2.14,9.61,failure_Full3C_P_outlier_rank06_.png
stead_event_01396,nc72754570,,Full3C,P_outlier,P,7,520,379.999999999999,detected,detected,26.89999962,1.83,14.99,failure_Full3C_P_outlier_rank07_.png
stead_event_00877,hv61193411,,Full3C,P_outlier,P,8,450,-670,detected,detected,34.5,2.11,13.59,failure_Full3C_P_outlier_rank08_.png
stead_event_01129,12821491,,Full3C,P_outlier,P,9,-380,49.9999999999989,detected,detected,61.90000153,3.3,14.76,failure_Full3C_P_outlier_rank09_.png
stead_event_00499,hv61695836,,Full3C,P_outlier,P,10,369.999999999999,30.0000000000011,detected,detected,24.20000076,2.04,2.47,failure_Full3C_P_outlier_rank10_.png
stead_event_00772,ak0128ezfwlw,,Full3C,P_outlier,P,11,350,-60.0000000000005,detected,detected,28.10000038,2.3,10.62,failure_Full3C_P_outlier_rank11_.png
stead_event_00614,hv70119016,,Full3C,P_outlier,P,12,-310,240,detected,detected,14.5,2.38,7.55,failure_Full3C_P_outlier_rank12_.png
stead_event_01187,se60055323,,Full3C,P_outlier,P,13,-290,-190.000000000001,detected,detected,23.10000038,2.16,14.22,failure_Full3C_P_outlier_rank13_.png
stead_event_00226,hv61058691,,Full3C,P_outlier,P,14,270,7270,detected,detected,29.60000038,2.49,2.58,failure_Full3C_P_outlier_rank14_.png
stead_event_01028,16334312,,Full3C,P_outlier,P,15,-270,29.9999999999994,detected,detected,52.59999847,3.2,13.52,failure_Full3C_P_outlier_rank15_.png
stead_event_01235,uw60559447,,Full3C,P_outlier,P,16,270,-140.000000000001,detected,uncertain,42.79999924,2.14,7.41,failure_Full3C_P_outlier_rank16_.png
stead_event_00011,ak0114gk7buk,,Full3C,P_outlier,P,17,260,139.999999999999,detected,detected,33.20000076,1.6,7.85,failure_Full3C_P_outlier_rank17_.png
stead_event_01223,uw60403756,,Full3C,P_outlier,P,18,-250,-280.000000000001,detected,detected,29.10000038,1.57,12.5,failure_Full3C_P_outlier_rank18_.png
stead_event_01080,12576732,,Full3C,P_outlier,P,19,230,189.999999999999,detected,detected,58.5,3.6,8.63,failure_Full3C_P_outlier_rank19_.png
stead_event_01149,13324955,,Full3C,P_outlier,P,20,-230,170,detected,detected,77.5,3.9,6.74,failure_Full3C_P_outlier_rank20_.png
stead_event_01496,nc71825176,,Full3C,S_outlier,S,1,49.9999999999998,16560,detected,detected,42.79999924,2.39,14.08,failure_Full3C_S_outlier_rank01_.png
stead_event_00577,hv70039687,,Full3C,S_outlier,S,2,80.0000000000001,15590,detected,detected,35.09999847,2.43,5.83,failure_Full3C_S_outlier_rank02_.png
stead_event_00478,hv61630461,,Full3C,S_outlier,S,3,-19.9999999999996,14220,detected,detected,37.59999847,2.6,2.24,failure_Full3C_S_outlier_rank03_.png
stead_event_01465,nc71631875,,Full3C,S_outlier,S,4,-109.999999999999,-11880,detected,detected,32.90000153,1.73,6.98,failure_Full3C_S_outlier_rank04_.png
stead_event_01466,nc71646396,,Full3C,S_outlier,S,5,-110,-11880,detected,detected,32.29999924,2,5.35,failure_Full3C_S_outlier_rank05_.png
stead_event_01468,nc71679826,,Full3C,S_outlier,S,6,-110,-11880,detected,detected,38,1.9,13.04,failure_Full3C_S_outlier_rank06_.png
stead_event_01130,12821492,,Full3C,S_outlier,S,7,-940,9430,detected,uncertain,46.20000076,3.2,14.63,failure_Full3C_S_outlier_rank07_.png
stead_event_00823,hv61026081,,Full3C,S_outlier,S,8,-30.0000000000002,8350,detected,uncertain,42.59999847,2.31,13.17,failure_Full3C_S_outlier_rank08_.png
stead_event_00581,hv70052617,,Full3C,S_outlier,S,9,20.0000000000005,7740,detected,detected,16.39999962,1.56,14.54,failure_Full3C_S_outlier_rank09_.png
stead_event_00819,hv60991386,,Full3C,S_outlier,S,10,-9.99999999999979,7280,detected,detected,39.90000153,2.36,7.44,failure_Full3C_S_outlier_rank10_.png
stead_event_00226,hv61058691,,Full3C,S_outlier,S,11,270,7270,detected,detected,29.60000038,2.49,2.58,failure_Full3C_S_outlier_rank11_.png
stead_event_00242,hv61089106,,Full3C,S_outlier,S,12,99.9999999999996,7100,detected,detected,23.10000038,1.85,4.06,failure_Full3C_S_outlier_rank12_.png
stead_event_01102,12582975,,Full3C,S_outlier,S,13,119.999999999999,6900,detected,detected,49.40000153,2.8,12.75,failure_Full3C_S_outlier_rank13_.png
stead_event_01107,14843868,,Full3C,S_outlier,S,14,-9.99999999999979,-6740,detected,detected,53.20000076,3.5,7.93,failure_Full3C_S_outlier_rank14_.png
stead_event_01311,nc71529270,,Full3C,S_outlier,S,15,190,6540,detected,detected,40.20000076,1.9,13.78,failure_Full3C_S_outlier_rank15_.png
stead_event_00192,hv60978051,,Full3C,S_outlier,S,16,89.9999999999999,-5270,detected,detected,27.20000076,1.95,4.2,failure_Full3C_S_outlier_rank16_.png
stead_event_00688,hv61383356,,Full3C,S_outlier,S,17,29.9999999999994,-5220,detected,uncertain,47.29999924,2.44,8.86,failure_Full3C_S_outlier_rank17_.png
stead_event_00280,hv61157446,,Full3C,S_outlier,S,18,0,4690,detected,detected,31.70000076,2.23,2.48,failure_Full3C_S_outlier_rank18_.png
stead_event_00942,hv61480866,,Full3C,S_outlier,S,19,-9.99999999999979,4640,detected,detected,57,2.31,8.1,failure_Full3C_S_outlier_rank19_.png
