event_id,source_id,file_name,experiment,case_type,component,rank,p_error_ms,s_error_ms,p_status,s_status,SNR,source_magnitude,source_distance_km,figure_file
stead_event_01178,ci10321469,stead_event_01178.csv,Zonly,P_outlier,P,1,33300,NaN,not_detected,not_detected,32.40000153,NaN,NaN,failure_Zonly_P_outlier_rank01_stead_event_01178_csv.png
stead_event_01509,nc71860730,stead_event_01509.csv,Zonly,P_outlier,P,2,12760,3420,not_detected,detected,43.29999924,NaN,NaN,failure_Zonly_P_outlier_rank02_stead_event_01509_csv.png
stead_event_01489,nc71786591,stead_event_01489.csv,Zonly,P_outlier,P,3,-5020,149.999999999999,detected,detected,39.20000076,NaN,NaN,failure_Zonly_P_outlier_rank03_stead_event_01489_csv.png
stead_event_01130,12821492,stead_event_01130.csv,Zonly,P_outlier,P,4,-910,-539.999999999999,detected,detected,46.20000076,NaN,NaN,failure_Zonly_P_outlier_rank04_stead_event_01130_csv.png
stead_event_00831,hv61055001,stead_event_00831.csv,Zonly,P_outlier,P,5,560,NaN,detected,not_detected,47.79999924,NaN,NaN,failure_Zonly_P_outlier_rank05_stead_event_00831_csv.png
stead_event_00929,hv61416591,stead_event_00929.csv,Zonly,P_outlier,P,6,550,4620,detected,uncertain,35.09999847,NaN,NaN,failure_Zonly_P_outlier_rank06_stead_event_00929_csv.png
stead_event_00809,hv60977116,stead_event_00809.csv,Zonly,P_outlier,P,7,540,-3970,detected,detected,46.20000076,NaN,NaN,failure_Zonly_P_outlier_rank07_stead_event_00809_csv.png
stead_event_00877,hv61193411,stead_event_00877.csv,Zonly,P_outlier,P,8,440,-439.999999999999,detected,detected,34.5,NaN,NaN,failure_Zonly_P_outlier_rank08_stead_event_00877_csv.png
stead_event_00499,hv61695836,stead_event_00499.csv,Zonly,P_outlier,P,9,369.999999999999,10230,detected,uncertain,24.20000076,NaN,NaN,failure_Zonly_P_outlier_rank09_stead_event_00499_csv.png
stead_event_00772,ak0128ezfwlw,stead_event_00772.csv,Zonly,P_outlier,P,10,350,-30.0000000000011,detected,detected,28.10000038,NaN,NaN,failure_Zonly_P_outlier_rank10_stead_event_00772_csv.png
stead_event_01187,se60055323,stead_event_01187.csv,Zonly,P_outlier,P,11,-310,-310.000000000001,detected,detected,23.10000038,NaN,NaN,failure_Zonly_P_outlier_rank11_stead_event_01187_csv.png
stead_event_01223,uw60403756,stead_event_01223.csv,Zonly,P_outlier,P,12,-290,-50.0000000000007,detected,uncertain,29.10000038,NaN,NaN,failure_Zonly_P_outlier_rank12_stead_event_01223_csv.png
stead_event_01028,16334312,stead_event_01028.csv,Zonly,P_outlier,P,13,-280,80.0000000000001,detected,detected,52.59999847,NaN,NaN,failure_Zonly_P_outlier_rank13_stead_event_01028_csv.png
stead_event_01235,uw60559447,stead_event_01235.csv,Zonly,P_outlier,P,14,270,310.000000000001,detected,uncertain,42.79999924,NaN,NaN,failure_Zonly_P_outlier_rank14_stead_event_01235_csv.png
stead_event_00011,ak0114gk7buk,stead_event_00011.csv,Zonly,P_outlier,P,15,260,-940.000000000001,detected,detected,33.20000076,NaN,NaN,failure_Zonly_P_outlier_rank15_stead_event_00011_csv.png
stead_event_01345,nc71967435,stead_event_01345.csv,Zonly,P_outlier,P,16,250,250,detected,detected,39.09999847,NaN,NaN,failure_Zonly_P_outlier_rank16_stead_event_01345_csv.png
stead_event_00226,hv61058691,stead_event_00226.csv,Zonly,P_outlier,P,17,240,520.000000000001,detected,uncertain,29.60000038,NaN,NaN,failure_Zonly_P_outlier_rank17_stead_event_00226_csv.png
stead_event_01149,13324955,stead_event_01149.csv,Zonly,P_outlier,P,18,-240,550.000000000001,detected,detected,77.5,NaN,NaN,failure_Zonly_P_outlier_rank18_stead_event_01149_csv.png
stead_event_01958,nc72445361,stead_event_01958.csv,Zonly,P_outlier,P,19,220.000000000001,309.999999999999,detected,detected,36.20000076,NaN,NaN,failure_Zonly_P_outlier_rank19_stead_event_01958_csv.png
