file_name,event_id,source_id,p_true_sec,p_pred_sec,p_error_ms,s_true_sec,s_pred_sec,s_error_ms,p_status,s_status,p_quality,s_quality,SNR,source_magnitude,source_distance_km,sp_time_sec,experiment_mode,outlier_component
stead_event_01178.csv,stead_event_01178,ci10321469,4,37.3,33300,8.77,NaN,NaN,not_detected,not_detected,NaN,NaN,32.40000153,NaN,NaN,NaN,Zonly,P
stead_event_01509.csv,stead_event_01509,nc71860730,9,21.76,12760,21.33,24.75,3420,not_detected,detected,NaN,NaN,43.29999924,NaN,NaN,NaN,Zonly,P
stead_event_01489.csv,stead_event_01489,nc71786591,6,0.98,-5020,19.84,19.99,149.999999999999,detected,detected,NaN,NaN,39.20000076,NaN,NaN,NaN,Zonly,P
stead_event_01130.csv,stead_event_01130,12821492,7,6.09,-910,14.59,14.05,-539.999999999999,detected,detected,NaN,NaN,46.20000076,NaN,NaN,NaN,Zonly,P
stead_event_00831.csv,stead_event_00831,hv61055001,7,7.56,560,9.22,NaN,NaN,detected,not_detected,NaN,NaN,47.79999924,NaN,NaN,NaN,Zonly,P
stead_event_00929.csv,stead_event_00929,hv61416591,5,5.55,550,6.83,11.45,4620,detected,uncertain,NaN,NaN,35.09999847,NaN,NaN,NaN,Zonly,P
stead_event_00809.csv,stead_event_00809,hv60977116,4,4.54,540,10.4,6.43,-3970,detected,detected,NaN,NaN,46.20000076,NaN,NaN,NaN,Zonly,P
stead_event_00877.csv,stead_event_00877,hv61193411,5,5.44,440,8.18,7.74,-439.999999999999,detected,detected,NaN,NaN,34.5,NaN,NaN,NaN,Zonly,P
stead_event_00499.csv,stead_event_00499,hv61695836,8,8.37,369.999999999999,20.89,31.12,10230,detected,uncertain,NaN,NaN,24.20000076,NaN,NaN,NaN,Zonly,P
stead_event_00772.csv,stead_event_00772,ak0128ezfwlw,8,8.35,350,14.7,14.67,-30.0000000000011,detected,detected,NaN,NaN,28.10000038,NaN,NaN,NaN,Zonly,P
stead_event_01187.csv,stead_event_01187,se60055323,4,3.69,-310,8.7,8.39,-310.000000000001,detected,detected,NaN,NaN,23.10000038,NaN,NaN,NaN,Zonly,P
stead_event_01223.csv,stead_event_01223,uw60403756,8,7.71,-290,11.7,11.65,-50.0000000000007,detected,uncertain,NaN,NaN,29.10000038,NaN,NaN,NaN,Zonly,P
stead_event_01028.csv,stead_event_01028,16334312,7,6.72,-280,13.5,13.58,80.0000000000001,detected,detected,NaN,NaN,52.59999847,NaN,NaN,NaN,Zonly,P
stead_event_01235.csv,stead_event_01235,uw60559447,9,9.27,270,12.5,12.81,310.000000000001,detected,uncertain,NaN,NaN,42.79999924,NaN,NaN,NaN,Zonly,P
stead_event_00011.csv,stead_event_00011,ak0114gk7buk,7,7.26,260,11.13,10.19,-940.000000000001,detected,detected,NaN,NaN,33.20000076,NaN,NaN,NaN,Zonly,P
stead_event_01345.csv,stead_event_01345,nc71967435,7,7.25,250,11.1,11.35,250,detected,detected,NaN,NaN,39.09999847,NaN,NaN,NaN,Zonly,P
stead_event_00226.csv,stead_event_00226,hv61058691,5,5.24,240,8.36,8.88,520.000000000001,detected,uncertain,NaN,NaN,29.60000038,NaN,NaN,NaN,Zonly,P
stead_event_01149.csv,stead_event_01149,13324955,9,8.76,-240,13.1,13.65,550.000000000001,detected,detected,NaN,NaN,77.5,NaN,NaN,NaN,Zonly,P
stead_event_01958.csv,stead_event_01958,nc72445361,10,10.22,220.000000000001,16.71,17.02,309.999999999999,detected,detected,NaN,NaN,36.20000076,NaN,NaN,NaN,Zonly,P
stead_event_00178.csv,stead_event_00178,hv60966561,5,5.22,220,6.7,7.25,550,detected,detected,NaN,NaN,10.5,NaN,NaN,NaN,Zonly,P
