file_name,event_id,source_id,p_true_sec,p_pred_sec,p_error_ms,s_true_sec,s_pred_sec,s_error_ms,p_status,s_status,p_quality,s_quality,SNR,source_magnitude,source_distance_km,sp_time_sec,experiment_mode,outlier_component
NaN,stead_event_01496,nc71825176,6,6.05,49.9999999999998,13.88,30.44,16560,detected,detected,NaN,NaN,42.79999924,2.39,14.08,4.17,Full3C,S
NaN,stead_event_00577,hv70039687,5.92,6,80.0000000000001,12.75,28.34,15590,detected,detected,NaN,NaN,35.09999847,2.43,5.83,1.32,Full3C,S
NaN,stead_event_00478,hv61630461,5,4.98,-19.9999999999996,17.01,31.23,14220,detected,detected,NaN,NaN,37.59999847,2.6,2.24,0.81,Full3C,S
NaN,stead_event_01465,nc71631875,9,8.89,-109.999999999999,22.1,10.22,-11880,detected,detected,NaN,NaN,32.90000153,1.73,6.98,3.75,Full3C,S
NaN,stead_event_01466,nc71646396,8,7.89,-110,21.1,9.22,-11880,detected,detected,NaN,NaN,32.29999924,2,5.35,3.26,Full3C,S
NaN,stead_event_01468,nc71679826,5,4.89,-110,18.1,6.22,-11880,detected,detected,NaN,NaN,38,1.9,13.04,2.76,Full3C,S
NaN,stead_event_01130,12821492,7,6.06,-940,14.59,24.02,9430,detected,uncertain,NaN,NaN,46.20000076,3.2,14.63,2.1,Full3C,S
NaN,stead_event_00823,hv61026081,5,4.97,-30.0000000000002,11.13,19.48,8350,detected,uncertain,NaN,NaN,42.59999847,2.31,13.17,2.39,Full3C,S
NaN,stead_event_00581,hv70052617,6.92,6.94,20.0000000000005,13.6,21.34,7740,detected,detected,NaN,NaN,16.39999962,1.56,14.54,2.7,Full3C,S
NaN,stead_event_00819,hv60991386,9,8.99,-9.99999999999979,12.32,19.6,7280,detected,detected,NaN,NaN,39.90000153,2.36,7.44,1.74,Full3C,S
NaN,stead_event_00226,hv61058691,5,5.27,270,8.36,15.63,7270,detected,detected,NaN,NaN,29.60000038,2.49,2.58,0.99,Full3C,S
NaN,stead_event_00242,hv61089106,5,5.1,99.9999999999996,8.22,15.32,7100,detected,detected,NaN,NaN,23.10000038,1.85,4.06,1.1,Full3C,S
NaN,stead_event_01102,12582975,9,9.12,119.999999999999,14.4,21.3,6900,detected,detected,NaN,NaN,49.40000153,2.8,12.75,1.9,Full3C,S
NaN,stead_event_01107,14843868,6,5.99,-9.99999999999979,13.96,7.22,-6740,detected,detected,NaN,NaN,53.20000076,3.5,7.93,1.6,Full3C,S
NaN,stead_event_01311,nc71529270,4,4.19,190,8,14.54,6540,detected,detected,NaN,NaN,40.20000076,1.9,13.78,3.41,Full3C,S
NaN,stead_event_00192,hv60978051,5,5.09,89.9999999999999,10.89,5.62,-5270,detected,detected,NaN,NaN,27.20000076,1.95,4.2,1.06,Full3C,S
NaN,stead_event_00688,hv61383356,9,9.03,29.9999999999994,14.9,9.68,-5220,detected,uncertain,NaN,NaN,47.29999924,2.44,8.86,2.33,Full3C,S
NaN,stead_event_00280,hv61157446,7.01,7.01,0,8.99,13.68,4690,detected,detected,NaN,NaN,31.70000076,2.23,2.48,0.97,Full3C,S
NaN,stead_event_00942,hv61480866,7,6.99,-9.99999999999979,8.8,13.44,4640,detected,detected,NaN,NaN,57,2.31,8.1,2.25,Full3C,S
NaN,stead_event_00247,hv61105861,6,6.07,70.0000000000003,9.2,13.5,4300,uncertain,detected,NaN,NaN,31.39999962,2.22,2.51,1.01,Full3C,S
