file_name,event_id,source_id,p_true_sec,p_pred_sec,p_error_ms,s_true_sec,s_pred_sec,s_error_ms,p_status,s_status,p_quality,s_quality,SNR,source_magnitude,source_distance_km,sp_time_sec,experiment_mode,outlier_component
stead_event_01450.csv,stead_event_01450,nc71570140,4,3.78,-220,17.42,3.89,-13530,uncertain,detected,NaN,NaN,33.70000076,NaN,NaN,NaN,Zonly,S
stead_event_01465.csv,stead_event_01465,nc71631875,9,8.94,-60.0000000000005,22.1,10.41,-11690,detected,uncertain,NaN,NaN,32.90000153,NaN,NaN,NaN,Zonly,S
stead_event_01466.csv,stead_event_01466,nc71646396,8,7.94,-59.9999999999996,21.1,9.41,-11690,detected,uncertain,NaN,NaN,32.29999924,NaN,NaN,NaN,Zonly,S
stead_event_01468.csv,stead_event_01468,nc71679826,5,4.94,-59.9999999999996,18.1,6.41,-11690,detected,uncertain,NaN,NaN,38,NaN,NaN,NaN,Zonly,S
stead_event_00478.csv,stead_event_00478,hv61630461,5,5.01,9.99999999999979,17.01,5.61,-11400,detected,detected,NaN,NaN,37.59999847,NaN,NaN,NaN,Zonly,S
stead_event_00499.csv,stead_event_00499,hv61695836,8,8.37,369.999999999999,20.89,31.12,10230,detected,uncertain,NaN,NaN,24.20000076,NaN,NaN,NaN,Zonly,S
stead_event_01493.csv,stead_event_01493,nc71815591,9,9.03,29.9999999999994,21.44,11.35,-10090,detected,detected,NaN,NaN,57.5,NaN,NaN,NaN,Zonly,S
stead_event_00554.csv,stead_event_00554,hv61945641,6,6.02,19.9999999999996,11.74,19.21,7470,detected,detected,NaN,NaN,14.5,NaN,NaN,NaN,Zonly,S
stead_event_00819.csv,stead_event_00819,hv60991386,9,8.99,-9.99999999999979,12.32,19.54,7220,detected,uncertain,NaN,NaN,39.90000153,NaN,NaN,NaN,Zonly,S
stead_event_01562.csv,stead_event_01562,nc72026795,8,8.04,39.9999999999991,17.12,10.06,-7060,detected,detected,NaN,NaN,41.70000076,NaN,NaN,NaN,Zonly,S
stead_event_01107.csv,stead_event_01107,14843868,6,5.99,-9.99999999999979,13.96,7.25,-6710,detected,detected,NaN,NaN,53.20000076,NaN,NaN,NaN,Zonly,S
stead_event_00688.csv,stead_event_00688,hv61383356,9,9,0,14.9,21.46,6560,detected,uncertain,NaN,NaN,47.29999924,NaN,NaN,NaN,Zonly,S
stead_event_01460.csv,stead_event_01460,nc71606825,6.01,6.01,0,15.55,9.13,-6420,detected,uncertain,NaN,NaN,47.79999924,NaN,NaN,NaN,Zonly,S
stead_event_02036.csv,stead_event_02036,nc72447356,7,6.99,-9.99999999999979,10.56,16.54,5980,detected,uncertain,NaN,NaN,32.40000153,NaN,NaN,NaN,Zonly,S
stead_event_01470.csv,stead_event_01470,nc71680150,8,8.01,9.99999999999979,21.57,27.46,5890,detected,uncertain,NaN,NaN,46.5,NaN,NaN,NaN,Zonly,S
stead_event_01045.csv,stead_event_01045,14835964,6,6,0,10.9,15.71,4810,detected,uncertain,NaN,NaN,45.70000076,NaN,NaN,NaN,Zonly,S
stead_event_01968.csv,stead_event_01968,nc72603475,7,6.99,-9.99999999999979,13.99,9.22,-4770,detected,detected,NaN,NaN,43,NaN,NaN,NaN,Zonly,S
stead_event_01102.csv,stead_event_01102,12582975,9,9.11,109.999999999999,14.4,19.06,4660,detected,uncertain,NaN,NaN,49.40000153,NaN,NaN,NaN,Zonly,S
stead_event_00929.csv,stead_event_00929,hv61416591,5,5.55,550,6.83,11.45,4620,detected,uncertain,NaN,NaN,35.09999847,NaN,NaN,NaN,Zonly,S
stead_event_00395.csv,stead_event_00395,hv61387541,9,9.02,19.9999999999996,13.23,17.74,4510,detected,detected,NaN,NaN,20.5,NaN,NaN,NaN,Zonly,S
