record_key,source_id,phase,tolerance_ms,true_sec,pred_sec,error_ms,detected,uncertain,within_tolerance,TP_conventional,FP_conventional,FN_conventional,current_TP,current_FP,current_FN,classification_conventional,classification_current
stead_event_00001,uw60442066,P,50,9,9,0,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00007,13487328,P,50,4,4,0,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00011,ak0114gk7buk,P,50,7,7.26,260,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00033,ak18304808,P,50,5,5.05,49.9999999999998,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00034,ak18438481,P,50,7,7.04,40,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00043,13279134,P,50,6,6.08,80.0000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00050,16538652,P,50,9.99,9.99,0,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00052,hv60901086,P,50,12.51,12.52,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00053,hv60901406,P,50,10.76,10.81,50.0000000000007,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00055,hv60901726,P,50,10.27,10.28,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00069,hv60906871,P,50,10.78,10.78,0,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00080,hv60908481,P,50,10.64,10.62,-20.0000000000014,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00088,hv60910366,P,50,9.81,9.83,19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00104,hv60914806,P,50,11.21,11.23,19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00112,hv60916191,P,50,10.25,10.26,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00115,hv60918376,P,50,10.94,10.97,30.0000000000011,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00118,hv60918936,P,50,10.82,10.95,129.999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00121,hv60920211,P,50,10.12,10.18,59.9999999999987,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00127,hv60921636,P,50,10.87,10.86,-10.0000000000016,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00134,hv60926821,P,50,11.35,11.34,-9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00139,hv60928436,P,50,9.04,9.04,-1.77635683940025e-12,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00140,hv60928616,P,50,6,6.15,150,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00150,hv60931326,P,50,5,5.13,130,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00154,hv60931446,P,50,4,4.09,89.9999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00178,hv60966561,P,50,5,5.22,220,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00182,hv60968301,P,50,9,9.02,19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00183,hv60968786,P,50,6,5.98,-19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00191,hv60976706,P,50,4,3.97,-29.9999999999998,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00192,hv60978051,P,50,5,5.09,89.9999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00197,hv60986616,P,50,7,7.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00198,hv60988776,P,50,5,5.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00203,hv60997796,P,50,4,4.09,89.9999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00226,hv61058691,P,50,5,5.27,270,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00228,hv61059176,P,50,5,5.11,110,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00240,hv61086956,P,50,6,6.03,30.0000000000002,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00241,hv61088071,P,50,5,5.03,30.0000000000002,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00242,hv61089106,P,50,5,5.1,99.9999999999996,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00245,hv61099496,P,50,6,6.19,190,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00247,hv61105861,P,50,6,6.07,70.0000000000003,1,1,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00248,hv61106101,P,50,9,9.04,39.9999999999991,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00256,hv61120311,P,50,8,8.02,19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00261,hv61125041,P,50,9,9.02,19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00264,hv61133066,P,50,6,6.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00272,hv61141866,P,50,9,9.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00273,hv61145391,P,50,5,5.03,30.0000000000002,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00280,hv61157446,P,50,7.01,7.01,0,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00305,hv61190896,P,50,6.03,6.03,0,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00313,hv61198966,P,50,9,9.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00324,hv61227431,P,50,9.03,9.03,0,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00351,hv61289741,P,50,7,6.99,-9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00358,hv61301126,P,50,8,8.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00364,hv61313351,P,50,6,6.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00366,hv61313951,P,50,7,7.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00367,hv61314166,P,50,5,5,0,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00383,hv61351376,P,50,7,7.04,40,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00390,hv61373431,P,50,5,5.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00395,hv61387541,P,50,9,9.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00396,hv61387641,P,50,6,6.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00401,hv61404776,P,50,5,4.99,-9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00405,hv61415741,P,50,6,6.08,80.0000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00408,hv61424936,P,50,7,6.99,-9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00411,hv61431046,P,50,9,9.04,39.9999999999991,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00412,hv61443381,P,50,8,8.04,39.9999999999991,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00427,hv61470176,P,50,9,8.96,-39.9999999999991,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00441,hv61491046,P,50,9,8.97,-29.9999999999994,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00445,hv61494321,P,50,6,6.02,19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00446,hv61494421,P,50,8,7.92,-80.0000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00453,hv61515041,P,50,9,9.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00464,hv61573621,P,50,9,9.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00467,hv61586936,P,50,5,4.99,-9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00469,hv61591531,P,50,4,4.03,30.0000000000002,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00471,hv61596221,P,50,5,5.02,19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00473,hv61626271,P,50,7,7.04,40,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00475,hv61629831,P,50,4,4.03,30.0000000000002,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00478,hv61630461,P,50,5,4.98,-19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00485,hv61653731,P,50,8,8.01,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00488,hv61657746,P,50,5,5.09,89.9999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00489,hv61659231,P,50,4,4.09,89.9999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00498,hv61694021,P,50,4,4.09,89.9999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00499,hv61695836,P,50,8,8.37,369.999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00506,hv61717336,P,50,9,9.02,19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00508,hv61724031,P,50,5.01,5,-9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00512,hv61755026,P,50,9,9.04,39.9999999999991,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00513,hv61763851,P,50,4,4.08,80.0000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00518,hv61785231,P,50,8,8.07,70.0000000000003,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00522,hv61796236,P,50,9,8.99,-9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00529,hv61836176,P,50,5,5,0,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00531,hv61839021,P,50,6,6.04,40,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00532,hv61839706,P,50,6,6.08,80.0000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00535,hv61566007,P,50,5,5.02,19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00540,hv61872781,P,50,8,8.05,50.0000000000007,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00554,hv61945641,P,50,6,6.02,19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
