record_key,source_id,phase,tolerance_ms,true_sec,pred_sec,error_ms,detected,uncertain,within_tolerance,TP_conventional,FP_conventional,FN_conventional,current_TP,current_FP,current_FN,classification_conventional,classification_current
stead_event_00001,uw60442066,S,50,12.78,12.8,19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00007,13487328,S,50,7.63,7.71,80.0000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00011,ak0114gk7buk,S,50,11.13,11.27,139.999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00033,ak18304808,S,50,11.73,11.94,209.999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00034,ak18438481,S,50,13.31,13.57,260,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00043,13279134,S,50,9.84,9.85,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00050,16538652,S,50,10.41,NaN,NaN,0,0,0,0,0,1,0,0,1,FN_missing,FN_missing
stead_event_00052,hv60901086,S,50,13.39,13.33,-60.0000000000005,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00053,hv60901406,S,50,12.32,11.85,-470.000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00055,hv60901726,S,50,11.03,11.01,-19.9999999999996,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00069,hv60906871,S,50,11.35,11.28,-70.0000000000003,1,1,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00080,hv60908481,S,50,11.99,NaN,NaN,0,0,0,0,0,1,0,0,1,FN_missing,FN_missing
stead_event_00088,hv60910366,S,50,12.35,12.35,0,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00104,hv60914806,S,50,12.51,11.94,-570,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00112,hv60916191,S,50,11.21,11.17,-40.0000000000009,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00115,hv60918376,S,50,12.19,12.16,-29.9999999999994,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00118,hv60918936,S,50,13.06,13.05,-9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00121,hv60920211,S,50,12.99,12.98,-9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00127,hv60921636,S,50,11.79,11.78,-10.0000000000016,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00134,hv60926821,S,50,13,12.97,-29.9999999999994,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00139,hv60928436,S,50,12.01,12.01,0,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00140,hv60928616,S,50,11.48,11.47,-9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00150,hv60931326,S,50,11.86,11.9,40.0000000000009,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00154,hv60931446,S,50,8.28,8.36,80.0000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00178,hv60966561,S,50,6.7,6.77,69.9999999999994,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00182,hv60968301,S,50,15.34,15.24,-99.9999999999996,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00183,hv60968786,S,50,9.75,9.7,-50.0000000000007,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00191,hv60976706,S,50,10.41,10.41,0,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00192,hv60978051,S,50,10.89,5.62,-5270,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00197,hv60986616,S,50,11.9,11.9,0,1,0,1,1,0,0,1,0,0,TP,TP
