event_id,shape,sha256,expected_sha256,match
stead_event_00000,"(6000, 3)",4a06486cb8d36f5d9003550c8e7252c54183a4c5c32cc4ec218f4511429b5db1,4a06486cb8d36f5d9003550c8e7252c54183a4c5c32cc4ec218f4511429b5db1,True
stead_event_00001,"(6000, 3)",6e2daaa9b00d7fb081a2d5bd45f846ad2ad3873a2cc7a797d38e073a0534f281,6e2daaa9b00d7fb081a2d5bd45f846ad2ad3873a2cc7a797d38e073a0534f281,True
stead_event_00002,"(6000, 3)",1eed1c2714010f86aa20d71d642ffe7254a61408854180148acdfb289ce92e42,1eed1c2714010f86aa20d71d642ffe7254a61408854180148acdfb289ce92e42,True
stead_event_00003,"(6000, 3)",236ae3331777cf8fe9236ccefbfda00d81b909820d74ece84087cf7bd2e06a31,236ae3331777cf8fe9236ccefbfda00d81b909820d74ece84087cf7bd2e06a31,True
stead_event_00004,"(6000, 3)",09584f5601edbabaca24ab7bf54fc9fa03981d3fc2e279f01dbe680912710487,09584f5601edbabaca24ab7bf54fc9fa03981d3fc2e279f01dbe680912710487,True
stead_event_00005,"(6000, 3)",55e58a1a93f266f465854cc36b0151d977f3fe25e0e4fd43dacc1e58fc7d56ee,55e58a1a93f266f465854cc36b0151d977f3fe25e0e4fd43dacc1e58fc7d56ee,True
stead_event_00006,"(6000, 3)",401910f93fb892242986c1ef433663e965488d1498861cddf12dd4db205993fd,401910f93fb892242986c1ef433663e965488d1498861cddf12dd4db205993fd,True
stead_event_00007,"(6000, 3)",b4e250dfa0f54ade3233f7b37fd8020aaddc0de359b18c23dde84b311b9c9bdb,b4e250dfa0f54ade3233f7b37fd8020aaddc0de359b18c23dde84b311b9c9bdb,True
stead_event_00008,"(6000, 3)",0b4e5d502b5beb483672466a5512311bf68155cdf1ad41f50852bd9179979aa8,0b4e5d502b5beb483672466a5512311bf68155cdf1ad41f50852bd9179979aa8,True
stead_event_00009,"(6000, 3)",896514ea0d74eaedd42ca5de8b8697d3b646353480a39e019024f0c8e266a532,896514ea0d74eaedd42ca5de8b8697d3b646353480a39e019024f0c8e266a532,True
