event_id,sha256,matches,distinct_source_ids,expected_mapping_found,expected_trace,expected_source,matched_sources
stead_event_00000,4a06486cb8d36f5d9003550c8e7252c54183a4c5c32cc4ec218f4511429b5db1,1,1,True,109C.TA_20070706203254_EV,12763676,12763676
stead_event_00001,6e2daaa9b00d7fb081a2d5bd45f846ad2ad3873a2cc7a797d38e073a0534f281,1,1,True,109C.TA_20070830095302_EV,12816661,12816661
stead_event_00002,1eed1c2714010f86aa20d71d642ffe7254a61408854180148acdfb289ce92e42,1,1,True,109C.TA_20070904144754_EV,12956869,12956869
stead_event_00003,236ae3331777cf8fe9236ccefbfda00d81b909820d74ece84087cf7bd2e06a31,1,1,True,109C.TA_20070905042031_EV,ci10276465,ci10276465
stead_event_00004,09584f5601edbabaca24ab7bf54fc9fa03981d3fc2e279f01dbe680912710487,1,1,True,109C.TA_20070907191015_EV,12958631,12958631
stead_event_00005,55e58a1a93f266f465854cc36b0151d977f3fe25e0e4fd43dacc1e58fc7d56ee,1,1,True,109C.TA_20070907214730_EV,12958575,12958575
stead_event_00006,401910f93fb892242986c1ef433663e965488d1498861cddf12dd4db205993fd,1,1,True,109C.TA_20070909131147_EV,12959880,12959880
stead_event_00007,b4e250dfa0f54ade3233f7b37fd8020aaddc0de359b18c23dde84b311b9c9bdb,1,1,True,109C.TA_20070912073736_EV,12962350,12962350
stead_event_00008,0b4e5d502b5beb483672466a5512311bf68155cdf1ad41f50852bd9179979aa8,1,1,True,109C.TA_20070912081129_EV,ci10279289,ci10279289
stead_event_00009,896514ea0d74eaedd42ca5de8b8697d3b646353480a39e019024f0c8e266a532,1,1,True,109C.TA_20070912081130_EV,12962332,12962332
stead_event_00010,86615dcd1d08aa4c852a7426ab2489b7d81a0f74aebfb618d8bced3c43ece878,1,1,True,109C.TA_20070914042447_EV,12964285,12964285
stead_event_00011,b77f1b271df4b63f4c2323d0f7b1bc1ffa4735f58df8ed99fbcdfa7c9aa58361,1,1,True,109C.TA_20080322071728_EV,13494111,13494111
stead_event_00012,a959998d14a8371db89a84ad4934fb8c07cf8e11e27d02903d656afba37ede4a,1,1,True,109C.TA_20080504181628_EV,10925153,10925153
stead_event_00013,36e6aa809759ac06381788dcf2a181cd369a2cc73c09599100e2d842c8f1faf5,1,1,True,109C.TA_20081030144347_EV,12071632,12071632
stead_event_00014,2a8fa60f108c80871ab23825ba41c5cb4328e47a0ab49545c0b1f0ffbcbf5473,1,1,True,109C.TA_20090711143450_EV,13374603,13374603
stead_event_00015,5b200c0a1f06b8287e8626a410e2148464e3781ec4b86ac6dfe51f165a528480,1,1,True,119A.TA_20070716025806_EV,12769966,12769966
stead_event_00016,27f39ecb362d4fb933a3a486f223b5b4ff199f146ed33c7d8c9d4edf7d3214c2,1,1,True,119A.TA_20071104213659_EV,13259505,13259505
stead_event_00017,d2e32832f78e9de02c3deaba7b32606cad2742107055de5115a74acb5efc9a3c,1,1,True,158A.TA_20140319223758_EV,604179950,604179950
stead_event_00018,9d5344143aba805bf769e46d360b1b0311cd15d82a6dcc6648f2da5cf824101b,1,1,True,158A.TA_20140319223801_EV,604179950,604179950
stead_event_00019,5228a0f01b7073c1ffeab403a4db83112b84d86b2ca9f5f34a6fc1dec279c689,1,1,True,735A.TA_20111020122441_EV,17386617,17386617
stead_event_00020,544288454a09da3ecfa1beded39e9b36d67f0809d139ca0972382376d9368dab,1,1,True,735A.TA_20111112103456_EV,17531242,17531242
stead_event_00021,fa19b835e0ad7a01eb585d61bbc5ac112d01c95eae1a8d4c89a6f16a22b81ce9,1,1,True,A04A.TA_20070913042136_EV,12963489,12963489
stead_event_00022,cdbd78e5eb4a916db32736de3c597c7779201598d00866aeeebeadf95c5424a2,1,1,True,A04A.TA_20071001034524_EV,13232556,13232556
stead_event_00023,b44707c3a86732d97e726a4e255061456965aabc57456c13d38feba01d349aad,1,1,True,A04A.TA_20071001034529_EV,13232556,13232556
stead_event_00024,5c1011593488bf2dd5924f7586b8b5ea0c948f24349deda70c7c59dd5f1993f8,1,1,True,A04D.TA_20110208163637_EV,16012717,16012717
stead_event_00025,b39ef19dd87cb25f14ee8bfb72b37b628f261565ffda558fc61b0510403d6bd9,1,1,True,A04D.TA_20110208163638_EV,16012717,16012717
stead_event_00026,a8387e925e2730c70139870c8f6194fc31b3bb5424e7e8d2f9739b065a02fd05,1,1,True,A04D.TA_20110619105514_EV,uw10819223,uw10819223
stead_event_00027,17d123c1ec29f4071636e9bd42fa90182eaba6ad4c69b9183a7847501795270c,1,1,True,A04D.TA_20120419174745_EV,uw60394672,uw60394672
stead_event_00028,2944e0074285540f13b950ac4449ed17d82e356abfcc77e55b2195d0c418d201,1,1,True,A04D.TA_20130522134800_EV,uw60532637,uw60532637
stead_event_00029,089d569a8d0b0273d69262fd71bdf0f60eaf0a617bff32fa5271eeda1058b746,1,1,True,A05A.TA_20071001034523_EV,13232556,13232556
stead_event_00030,2b52b90503b3930bb74a88737d29448ed95c2bf3ba11f9e14d2c0ecdb7ea8080,1,1,True,A05A.TA_20071001034526_EV,13232556,13232556
stead_event_00031,a84edbf8c70a7fb39530197e6adbe6ec3787e4380fc51f4fa9e48d30324330c8,1,1,True,A05A.TA_20081109091527_EV,11406516,11406516
stead_event_00032,7a48ddff564a2663d088b28a7e0d4a67e622e2d28e3c962e17fa8f83c584fb42,1,1,True,A14A.TA_20080112222312_EV,13333448,13333448
stead_event_00033,1bea1957bc028a5c759c55d27a6c89f50c67e2d644fa7e1c0731d43f5b17fc8b,1,1,True,A14A.TA_20080312183501_EV,13487328,13487328
stead_event_00034,e6da25ce3e47d97721bfcf27ca8b36c46413a3fdaf2dac47df21be523b770e29,1,1,True,A15A.TA_20080103132817_EV,13326812,13326812
stead_event_00035,b9397fef4675b31f55d87f380e9a5fb6bbecb0abfe00a2631cbb23360ffbed33,1,1,True,A15A.TA_20080312183504_EV,13487328,13487328
stead_event_00036,bb281e48505271f0fe7c14e41130c1c9bee48442b155602abf9fd89ecd937476,1,1,True,A16.CN_20120804182752_EV,601518318,601518318
stead_event_00037,66e6e05eace7acfa66153fe1bf8f94b7f7be3154ff96c86c5dd50e1fbc761eff,1,1,True,A16.CN_20120804182753_EV,601518318,601518318
stead_event_00038,23924985be020c8f48352ee535301de96e5f4f3b1c14ca3f6ed1bd08d867b367,1,1,True,A16.CN_20130711201604_EV,603236867,603236867
stead_event_00039,beb3936065686b1cbd38e64c2b9b97b35dd4de3009df9f4aa56e2d7f0159cd84,1,1,True,A16.CN_20150121053158_EV,606589340,606589340
stead_event_00040,ebad4cf854d1cc3863999caa2e82ec588c1ad588c696336be7e5bd2877138cf4,1,1,True,A21.CN_20130711201607_EV,603236867,603236867
stead_event_00041,a7400a1804ba522ab869551b7026659f987b9e045589238af8d0315ce9a951af,1,1,True,A61.CN_20150121053157_EV,606589340,606589340
stead_event_00042,1e28781cd76e66df5e3d8b8e7c25cdf5c6d599c411c38ac7f8c96f4eeb8c6b4f,1,1,True,A64.CN_20130711201601_EV,603236867,603236867
stead_event_00043,dadf9b192b2c758ab2a5d2b2e3480c2097829be4e0f48d8a6f721b27a7f9202c,1,1,True,AAK.II_20030517174133_EV,6843012,6843012
stead_event_00044,c296bf9af78ec0009bd1a7da3e423ab5ea002d3b0a581c8cc74e2fbcdb1351b4,1,1,True,AAM1.ZQ_20061220181041_EV,426634,426634
stead_event_00045,2818ea12159ab8b6cb8f7137078fbee2abecfdf5587f1e64eedee2d4c4138430,1,1,True,AAM1.ZQ_20070125135921_EV,377378,377378
stead_event_00046,6b05e3d71f1d0c3019cccb04180c3e7e550b9c125f863c6ad2fc1c95054c8e57,1,1,True,AAM1.ZQ_20070202040026_EV,42145,42145
stead_event_00047,3e1963a82896ca5e85c2ba113c14c3e273d4322f24b2fe045de22a598b5fe9e1,1,1,True,AAM1.ZQ_20070404020759_EV,3887,3887
stead_event_00048,ed2f5795bfd03519733db724938c287ab7fb208f5f3631db88f9290f62d84669,1,1,True,AAM1.ZQ_20070405034829_EV,407528,407528
stead_event_00049,16531b53e38734a73e59e60c8ce40763fcf1b3d0db06aa6efe9624989cf9b98e,1,1,True,AAM1.ZQ_20070406132359_EV,401534,401534
stead_event_00050,10d05cae868f72c5da5a9513f1f930ae972a20ade7d437391a0e97655e738bfc,1,1,True,AAM1.ZQ_20070601164725_EV,371473,371473
stead_event_00051,1f730a849c4624590b831127f1b259bbd784993b5332a2e904d2670b5012e303,1,1,True,AAM1.ZQ_20070608021227_EV,449393,449393
stead_event_00052,153f8c58fa0cd91ea3cf9c2db3815c5b15659bb3ca26e27db8d8292dc57178f3,1,1,True,AAM1.ZQ_20070612064429_EV,427423,427423
stead_event_00053,be25dadc161c14918a78c941765c39b4c3d51d5f0d1bd30f9dc7778eead70f97,1,1,True,AAM1.ZQ_20070614152112_EV,405375,405375
