event_id,verified_source_id,historical_role,corrected_role,p_status,s_status,both_manual,station_key,historical_source_roles,source_historical_train_or_val
stead_event_00000,12763676,train,train,manual,manual,True,TA.109C,train,True
stead_event_00001,12816661,test,train,manual,manual,True,TA.109C,test,False
stead_event_00002,12956869,val,train,manual,manual,True,TA.109C,val,True
stead_event_00003,ci10276465,train,train,manual,manual,True,TA.109C,train,True
stead_event_00004,12958631,train,train,manual,manual,True,TA.109C,train,True
stead_event_00005,12958575,train,train,manual,manual,True,TA.109C,train,True
stead_event_00006,12959880,train,train,manual,manual,True,TA.109C,train,True
stead_event_00007,12962350,test,test,manual,manual,True,TA.109C,test,False
stead_event_00008,ci10279289,train,test,manual,manual,True,TA.109C,train,True
stead_event_00009,12962332,val,test,manual,manual,True,TA.109C,val,True
stead_event_00010,12964285,train,train,manual,manual,True,TA.109C,train,True
stead_event_00011,13494111,test,train,manual,manual,True,TA.109C,test,False
stead_event_00012,10925153,val,test,manual,manual,True,TA.109C,val,True
stead_event_00013,12071632,train,train,manual,manual,True,TA.109C,train,True
stead_event_00014,13374603,train,train,autopicker,autopicker,False,TA.109C,train,True
stead_event_00015,12769966,train,train,manual,manual,True,TA.119A,train,True
stead_event_00016,13259505,train,test,manual,manual,True,TA.119A,train,True
stead_event_00017,604179950,train,test,manual,manual,True,TA.158A,train,True
stead_event_00018,604179950,train,test,manual,manual,True,TA.158A,train,True
stead_event_00019,17386617,train,val,manual,manual,True,TA.735A,train,True
stead_event_00020,17531242,train,train,manual,autopicker,False,TA.735A,train,True
stead_event_00021,12963489,train,train,manual,manual,True,TA.A04A,train,True
stead_event_00022,13232556,train,train,manual,manual,True,TA.A04A,train,True
stead_event_00023,13232556,train,train,manual,manual,True,TA.A04A,train,True
stead_event_00024,16012717,train,train,manual,manual,True,TA.A04D,train|val|test,True
stead_event_00025,16012717,val,train,manual,manual,True,TA.A04D,train|val|test,True
stead_event_00026,uw10819223,train,train,manual,manual,True,TA.A04D,train,True
stead_event_00027,uw60394672,train,train,manual,manual,True,TA.A04D,train,True
stead_event_00028,uw60532637,train,train,manual,manual,True,TA.A04D,train,True
stead_event_00029,13232556,train,train,manual,manual,True,TA.A05A,train,True
stead_event_00030,13232556,train,train,manual,manual,True,TA.A05A,train,True
stead_event_00031,11406516,train,train,manual,autopicker,False,TA.A05A,train,True
stead_event_00032,13333448,train,train,manual,manual,True,TA.A14A,train,True
stead_event_00033,13487328,test,train,manual,manual,True,TA.A14A,val|test,True
stead_event_00034,13326812,test,train,manual,manual,True,TA.A15A,test,False
stead_event_00035,13487328,val,train,manual,manual,True,TA.A15A,val|test,True
stead_event_00036,601518318,train,val,manual,autopicker,False,CN.A16,train,True
stead_event_00037,601518318,train,val,manual,autopicker,False,CN.A16,train,True
stead_event_00038,603236867,train,train,manual,manual,True,CN.A16,train,True
stead_event_00039,606589340,train,train,manual,manual,True,CN.A16,train,True
stead_event_00040,603236867,train,train,manual,manual,True,CN.A21,train,True
stead_event_00041,606589340,train,train,manual,manual,True,CN.A61,train,True
stead_event_00042,603236867,train,train,manual,manual,True,CN.A64,train,True
stead_event_00043,6843012,test,train,manual,autopicker,False,II.AAK,test,False
stead_event_00044,426634,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00045,377378,train,val,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00046,42145,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00047,3887,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00048,407528,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00049,401534,train,train,autopicker,autopicker,False,ZQ.AAM1,train,True
stead_event_00050,371473,test,train,autopicker,autopicker,False,ZQ.AAM1,train|val|test,True
stead_event_00051,449393,val,test,autopicker,autopicker,False,ZQ.AAM1,train|val,True
stead_event_00052,427423,test,train,autopicker,autopicker,False,ZQ.AAM1,train|val|test,True
