subset,Policy,Phase,Comparison,N,N_sources,F1_A,F1_B,Delta,CI_low,CI_high,bootstrap_draws
all_test,accepted,P,Stack Full3C minus Zonly,330,221,0.826802481356011,0.8133945291974217,0.013407952158589254,-0.0015612990403654598,0.029533284534047192,10000
all_test,accepted,P,PhaseNet Full3C minus Zonly,330,221,0.9833249030517619,0.9833249030517619,0.0,-0.010175032942989937,0.011200849219318576,10000
all_test,accepted,P,Stack minus PhaseNet Full3C,330,221,0.826802481356011,0.9833249030517619,-0.15652242169575092,-0.20329334472457997,-0.1123303669332695,10000
all_test,accepted,P,Stack minus PhaseNet Zonly,330,221,0.8133945291974217,0.9833249030517619,-0.16993037385434018,-0.21784957938327817,-0.12438323689134796,10000
all_test,accepted,S,Stack Full3C minus Zonly,330,221,0.5536385548344082,0.2686153660117046,0.28502318882270355,0.22931277261805824,0.3417713707588456,10000
all_test,accepted,S,PhaseNet Full3C minus Zonly,330,221,0.5856856861073289,0.2994741939947419,0.28621149211258695,0.23446796346321178,0.3382120249293179,10000
all_test,accepted,S,Stack minus PhaseNet Full3C,330,221,0.5536385548344082,0.5856856861073289,-0.03204713127292069,-0.07197087193824789,0.006560212868305951,10000
all_test,accepted,S,Stack minus PhaseNet Zonly,330,221,0.2686153660117046,0.2994741939947419,-0.030858827983037296,-0.06615461831475242,0.004967595602418571,10000
all_test,strict,P,Stack Full3C minus Zonly,330,221,0.8306437210611382,0.8141035093300091,0.016540211731129073,0.0018715537499318204,0.03229538486607449,10000
all_test,strict,P,PhaseNet Full3C minus Zonly,330,221,0.9833249030517619,0.983784617651764,-0.000459714600002048,-0.010069026041011304,0.010243369683368128,10000
all_test,strict,P,Stack minus PhaseNet Full3C,330,221,0.8306437210611382,0.9833249030517619,-0.15268118199062375,-0.1993318487257842,-0.10913440443021195,10000
all_test,strict,P,Stack minus PhaseNet Zonly,330,221,0.8141035093300091,0.983784617651764,-0.16968110832175487,-0.21740276483888868,-0.12427499173772978,10000
all_test,strict,S,Stack Full3C minus Zonly,330,221,0.5565362947771029,0.25713497953392894,0.2994013152431739,0.24295278374694004,0.35784166842347925,10000
all_test,strict,S,PhaseNet Full3C minus Zonly,330,221,0.5860135255379979,0.30018935224341764,0.28582417329458026,0.23370891364912952,0.3380388653909741,10000
all_test,strict,S,Stack minus PhaseNet Full3C,330,221,0.5565362947771029,0.5860135255379979,-0.029477230760895035,-0.07041515149979669,0.009264453479534453,10000
all_test,strict,S,Stack minus PhaseNet Zonly,330,221,0.25713497953392894,0.30018935224341764,-0.0430543727094887,-0.08070060099743899,-0.005173214093112879,10000
manual_both,accepted,P,Stack Full3C minus Zonly,287,188,0.8092670055313114,0.798207444085821,0.011059561445490362,-0.00440226822574657,0.02846770159408727,10000
manual_both,accepted,P,PhaseNet Full3C minus Zonly,287,188,0.9912861581869371,0.9843114362332853,0.006974721953651786,-0.002429079635510614,0.018331235651447095,10000
manual_both,accepted,P,Stack minus PhaseNet Full3C,287,188,0.8092670055313114,0.9912861581869371,-0.18201915265562574,-0.23463919561378327,-0.1351379395001928,10000
manual_both,accepted,P,Stack minus PhaseNet Zonly,287,188,0.798207444085821,0.9843114362332853,-0.18610399214746431,-0.24161056363484154,-0.1365774889061819,10000
manual_both,accepted,S,Stack Full3C minus Zonly,287,188,0.5475537281747817,0.27704172937625515,0.2705119987985265,0.21128735165587795,0.3299002351657695,10000
manual_both,accepted,S,PhaseNet Full3C minus Zonly,287,188,0.5654705827097604,0.31049438366511534,0.254976199044645,0.20133561694596286,0.30853204046648974,10000
manual_both,accepted,S,Stack minus PhaseNet Full3C,287,188,0.5475537281747817,0.5654705827097604,-0.01791685453497871,-0.05789851231139858,0.020956481156274933,10000
manual_both,accepted,S,Stack minus PhaseNet Zonly,287,188,0.27704172937625515,0.31049438366511534,-0.033452654288860184,-0.072134843133723,0.004794329931452941,10000
manual_both,strict,P,Stack Full3C minus Zonly,287,188,0.8138627807361979,0.8000837631939651,0.013779017542232763,-0.0012710156592138477,0.03092224799464006,10000
manual_both,strict,P,PhaseNet Full3C minus Zonly,287,188,0.9912861581869371,0.9848423435636097,0.006443814623327437,-0.0023925284077843914,0.017092732127302435,10000
manual_both,strict,P,Stack minus PhaseNet Full3C,287,188,0.8138627807361979,0.9912861581869371,-0.17742337745073922,-0.22948609730361452,-0.13076607240632218,10000
manual_both,strict,P,Stack minus PhaseNet Zonly,287,188,0.8000837631939651,0.9848423435636097,-0.18475858036964454,-0.24003721159122876,-0.13533049915135048,10000
