path,sha256
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\AIC_predictions.csv,b3e37c7bb92f34ea61f40e8d21b2ff48abdf4e9233171d28bc9e66d798db1e32
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\AIC_accepted_metrics.csv,e2783e5320473e553b1a763946f22ddc09b576d5560ac626da63d5d65ca00e19
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\AIC_strict_metrics.csv,dcc20da02b0d92652882dd6c08fb602837312048e2c9ce6870d51a81992f4fbe
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\AIC_unconstrained_predictions.csv,d45944e8769cb5a050564fd76df34c8e03d70e063f1eef8d104def5adff7b1dd
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\AIC_unconstrained_metrics.csv,8aaff81c42932b866f1d6e57d470b36007496fc9ab659a33d2a2b3493dc6a985
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\CNN_predictions.csv,1295a2e48c0620b7c12b6663110163421dfbc03161f3dfbc6e949f5976f7d2eb
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\CNN_accepted_metrics.csv,bb282b05cdeb5dd44781cb51ed57dfbe549e35a5e8a5a18c6f05b8231b7db693
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\CNN_strict_metrics.csv,58c8a4b02360ed0f9b2a41fc5aba5a313c7dea5351b1102ba7a7f8af77cdec60
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\CNN_unconstrained_predictions.csv,adc0504fcb807158a51436bfd1c4ce176eb3cf23e1b03a076a941ce071e45a83
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\CNN_unconstrained_metrics.csv,a0783cfd60f8dffb50706f14d6e6a8c4698752dd3b17dfa446722502f71d3b10
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\mean_ensemble_predictions.csv,4b0c6153527c30ee15f52f13ad4c78a575a0b7ecc5bf2f0c4a239bc9ff5d704d
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\mean_ensemble_accepted_metrics.csv,206c1de86fb6a8f8f9be60c0ea7413b4cb856a6b7947ad4f49546aa8256572e9
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\mean_ensemble_strict_metrics.csv,a5f85d3a53ccacbc61c396ad2f96675ee0b4aec715d9f1afe2f88be32ad439b2
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\mean_ensemble_unconstrained_predictions.csv,5f4b45d6eb5a279978d4791954c70b6bf8890cb4d390d299afcd07a48da81767
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\mean_ensemble_unconstrained_metrics.csv,2e731263d17402290a982ef12a01070ee78bb6d9e3497adc8c1fa17e4b290811
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\STA_predictions.csv,b666187d6e05bf9d022bb1f174023d08b5eb1601935d2bd4265c37fe2f0e1dec
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\STA_accepted_metrics.csv,3935beaaa5ff156caa8872f8d33322ad9f0643e369e801e26053662caa2935f3
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\STA_strict_metrics.csv,17daddcf617d24a0a248524982d755d10ba4cb667e6190b9b7f262acc2c0819d
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\STA_unconstrained_predictions.csv,ea2314963f2601fac03b1d29f9f865cd22d147cb4ad754a360e30704509640ef
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\STA_unconstrained_metrics.csv,66fb1e9115b975be8bd28aa63bd9bc52c4248b79ce587253d163be6411de4ddf
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\TCN_predictions.csv,e315bfe54beb1d548d4353b517bde9b87d882799afef4412d6af9f2f52e8ebe4
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\TCN_accepted_metrics.csv,df7946a67f7d8669c05dac424644a0d625a235a18a737cbae73d429ea6a4ce37
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\TCN_strict_metrics.csv,0acfa677c7eb601f4635d3877373e85731b20a514b98bbd8211b2bd8017285e9
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\TCN_unconstrained_predictions.csv,97b25fcc25a3dcb5b9ac89194ccc89ab8a771cfeb527b768a97020c41fe067f9
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\TCN_unconstrained_metrics.csv,8c948f3477dd2c50592eae92d8cc2e45df926e27018d60a3993101d1d0080d30
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\weighted_ensemble_predictions.csv,629fca653f396b8a89be0404241175017c6421d2f0688c6e769927f26dbf51b2
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\weighted_ensemble_accepted_metrics.csv,94db1079e736214f51f14c5dfe13b8f423dc1faea0b77ff98447ebefea63b3aa
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\weighted_ensemble_strict_metrics.csv,cb2e2df9149fdd6f8eab424ad45afcb67e0387ec6bec027799a95a74b70a9ec9
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\weighted_ensemble_unconstrained_predictions.csv,992cb652235ac2c30455ae4a496508b0aa30e3c765d76210a8bb723d76e0bc1f
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\baselines\weighted_ensemble_unconstrained_metrics.csv,e870979a4f349aebbcf3fb71e2f6d48d8684964a9360ddaa73ad62ec4cd7513d
D:\ICNN_source_verified_results\v2\strengthening\base_43\Full3C\Full3C\evaluation\full15ch_seed42_predictions.csv,84b754f0a287e6865a0e6f84890480f0cbf19eb98f6b16266fbfb889cad3ed18
