Mode,Seed,Subset,N,F1,MAE
Full3C,42,P accepted,327,0.5577812018489985,492.2049689440994
Full3C,42,P within 100 ms,276,0.6058394160583942,445.91911764705884
Full3C,43,P accepted,326,0.5386996904024768,617.625
Full3C,43,P within 100 ms,271,0.5884543761638734,573.6466165413534
Full3C,44,P accepted,329,0.5468509984639017,553.5093167701863
Full3C,44,P within 100 ms,271,0.587360594795539,512.6591760299625
Zonly,42,P accepted,328,0.27993779160186627,1170.0
Zonly,42,P within 100 ms,264,0.32170542635658916,1090.8730158730157
Zonly,43,P accepted,324,0.2824675324675325,1220.6506849315067
Zonly,43,P within 100 ms,265,0.30952380952380953,1182.092050209205
Zonly,44,P accepted,326,0.28852459016393445,1150.5633802816901
Zonly,44,P within 100 ms,264,0.31983805668016196,1081.9565217391303
