evaluation,policy,Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
strengthening/base_43/Full3C/Full3C/baselines/AIC,accepted,P,50,330,330,330,94,236,236,0.28484848484848485,0.28484848484848485,0.28484848484848485,1.0,953.3939393939394,344.9999999999998,1899.0375552799467,0.21818181818181817
strengthening/base_43/Full3C/Full3C/baselines/AIC,accepted,P,100,330,330,330,122,208,208,0.3696969696969697,0.3696969696969697,0.3696969696969697,1.0,953.3939393939394,344.9999999999998,1899.0375552799467,0.21818181818181817
strengthening/base_43/Full3C/Full3C/baselines/AIC,accepted,P,200,330,330,330,144,186,186,0.43636363636363634,0.43636363636363634,0.43636363636363634,1.0,953.3939393939394,344.9999999999998,1899.0375552799467,0.21818181818181817
strengthening/base_43/Full3C/Full3C/baselines/AIC,accepted,S,50,330,303,300,0,303,330,0.0,0.0,0.0,0.9181818181818182,5247.293729372937,4830.000000000001,5981.111771217955,0.9834983498349835
strengthening/base_43/Full3C/Full3C/baselines/AIC,accepted,S,100,330,303,300,0,303,330,0.0,0.0,0.0,0.9181818181818182,5247.293729372937,4830.000000000001,5981.111771217955,0.9834983498349835
strengthening/base_43/Full3C/Full3C/baselines/AIC,accepted,S,200,330,303,300,0,303,330,0.0,0.0,0.0,0.9181818181818182,5247.293729372937,4830.000000000001,5981.111771217955,0.9834983498349835
strengthening/base_43/Full3C/Full3C/baselines/AIC,strict,P,50,330,330,330,94,236,236,0.28484848484848485,0.28484848484848485,0.28484848484848485,1.0,953.3939393939394,344.9999999999998,1899.0375552799467,0.21818181818181817
strengthening/base_43/Full3C/Full3C/baselines/AIC,strict,P,100,330,330,330,122,208,208,0.3696969696969697,0.3696969696969697,0.3696969696969697,1.0,953.3939393939394,344.9999999999998,1899.0375552799467,0.21818181818181817
strengthening/base_43/Full3C/Full3C/baselines/AIC,strict,P,200,330,330,330,144,186,186,0.43636363636363634,0.43636363636363634,0.43636363636363634,1.0,953.3939393939394,344.9999999999998,1899.0375552799467,0.21818181818181817
strengthening/base_43/Full3C/Full3C/baselines/AIC,strict,S,50,330,300,300,0,300,330,0.0,0.0,0.0,0.9090909090909091,5250.133333333333,4850.000000000001,5989.533537764022,0.9833333333333333
strengthening/base_43/Full3C/Full3C/baselines/AIC,strict,S,100,330,300,300,0,300,330,0.0,0.0,0.0,0.9090909090909091,5250.133333333333,4850.000000000001,5989.533537764022,0.9833333333333333
strengthening/base_43/Full3C/Full3C/baselines/AIC,strict,S,200,330,300,300,0,300,330,0.0,0.0,0.0,0.9090909090909091,5250.133333333333,4850.000000000001,5989.533537764022,0.9833333333333333
strengthening/base_43/Full3C/Full3C/baselines/AIC,unconstrained,P,50,330,330,330,94,236,236,0.28484848484848485,0.28484848484848485,0.28484848484848485,1.0,953.3939393939394,344.9999999999998,1899.0375552799467,0.21818181818181817
strengthening/base_43/Full3C/Full3C/baselines/AIC,unconstrained,P,100,330,330,330,122,208,208,0.3696969696969697,0.3696969696969697,0.3696969696969697,1.0,953.3939393939394,344.9999999999998,1899.0375552799467,0.21818181818181817
strengthening/base_43/Full3C/Full3C/baselines/AIC,unconstrained,P,200,330,330,330,144,186,186,0.43636363636363634,0.43636363636363634,0.43636363636363634,1.0,953.3939393939394,344.9999999999998,1899.0375552799467,0.21818181818181817
strengthening/base_43/Full3C/Full3C/baselines/AIC,unconstrained,S,50,330,330,330,0,330,330,0.0,0.0,0.0,1.0,5293.121212121212,4930.0,6068.805259087432,0.9848484848484849
strengthening/base_43/Full3C/Full3C/baselines/AIC,unconstrained,S,100,330,330,330,0,330,330,0.0,0.0,0.0,1.0,5293.121212121212,4930.0,6068.805259087432,0.9848484848484849
strengthening/base_43/Full3C/Full3C/baselines/AIC,unconstrained,S,200,330,330,330,0,330,330,0.0,0.0,0.0,1.0,5293.121212121212,4930.0,6068.805259087432,0.9848484848484849
strengthening/base_43/Full3C/Full3C/baselines/CNN,accepted,P,50,330,325,311,221,104,109,0.68,0.6696969696969697,0.6748091603053435,0.9848484848484849,136.55384615384602,30.00000000000025,650.6200592807307,0.012307692307692308
strengthening/base_43/Full3C/Full3C/baselines/CNN,accepted,P,100,330,325,311,266,59,64,0.8184615384615385,0.806060606060606,0.8122137404580153,0.9848484848484849,136.55384615384602,30.00000000000025,650.6200592807307,0.012307692307692308
strengthening/base_43/Full3C/Full3C/baselines/CNN,accepted,P,200,330,325,311,290,35,40,0.8923076923076924,0.8787878787878788,0.8854961832061069,0.9848484848484849,136.55384615384602,30.00000000000025,650.6200592807307,0.012307692307692308
strengthening/base_43/Full3C/Full3C/baselines/CNN,accepted,S,50,330,246,124,78,168,252,0.3170731707317073,0.23636363636363636,0.2708333333333333,0.7454545454545455,882.8861788617886,165.00000000000006,2167.3849028433256,0.15853658536585366
strengthening/base_43/Full3C/Full3C/baselines/CNN,accepted,S,100,330,246,124,106,140,224,0.43089430894308944,0.3212121212121212,0.3680555555555556,0.7454545454545455,882.8861788617886,165.00000000000006,2167.3849028433256,0.15853658536585366
strengthening/base_43/Full3C/Full3C/baselines/CNN,accepted,S,200,330,246,124,136,110,194,0.5528455284552846,0.4121212121212121,0.4722222222222222,0.7454545454545455,882.8861788617886,165.00000000000006,2167.3849028433256,0.15853658536585366
strengthening/base_43/Full3C/Full3C/baselines/CNN,strict,P,50,330,311,311,219,92,111,0.7041800643086816,0.6636363636363637,0.6833073322932918,0.9424242424242424,133.2797427652732,30.00000000000025,663.3096884301278,0.012861736334405145
strengthening/base_43/Full3C/Full3C/baselines/CNN,strict,P,100,330,311,311,264,47,66,0.8488745980707395,0.8,0.8237129485179407,0.9424242424242424,133.2797427652732,30.00000000000025,663.3096884301278,0.012861736334405145
strengthening/base_43/Full3C/Full3C/baselines/CNN,strict,P,200,330,311,311,283,28,47,0.909967845659164,0.8575757575757575,0.8829953198127926,0.9424242424242424,133.2797427652732,30.00000000000025,663.3096884301278,0.012861736334405145
strengthening/base_43/Full3C/Full3C/baselines/CNN,strict,S,50,330,124,124,57,67,273,0.4596774193548387,0.17272727272727273,0.2511013215859031,0.37575757575757573,386.69354838709677,70.00000000000028,1292.0080020724931,0.056451612903225805
strengthening/base_43/Full3C/Full3C/baselines/CNN,strict,S,100,330,124,124,75,49,255,0.6048387096774194,0.22727272727272727,0.3303964757709251,0.37575757575757573,386.69354838709677,70.00000000000028,1292.0080020724931,0.056451612903225805
strengthening/base_43/Full3C/Full3C/baselines/CNN,strict,S,200,330,124,124,93,31,237,0.75,0.2818181818181818,0.40969162995594716,0.37575757575757573,386.69354838709677,70.00000000000028,1292.0080020724931,0.056451612903225805
strengthening/base_43/Full3C/Full3C/baselines/CNN,unconstrained,P,50,330,325,311,221,104,109,0.68,0.6696969696969697,0.6748091603053435,0.9848484848484849,136.55384615384602,30.00000000000025,650.6200592807307,0.012307692307692308
strengthening/base_43/Full3C/Full3C/baselines/CNN,unconstrained,P,100,330,325,311,266,59,64,0.8184615384615385,0.806060606060606,0.8122137404580153,0.9848484848484849,136.55384615384602,30.00000000000025,650.6200592807307,0.012307692307692308
strengthening/base_43/Full3C/Full3C/baselines/CNN,unconstrained,P,200,330,325,311,290,35,40,0.8923076923076924,0.8787878787878788,0.8854961832061069,0.9848484848484849,136.55384615384602,30.00000000000025,650.6200592807307,0.012307692307692308
strengthening/base_43/Full3C/Full3C/baselines/CNN,unconstrained,S,50,330,250,129,79,171,251,0.316,0.23939393939393938,0.27241379310344827,0.7575757575757576,854.12,165.00000000000006,2036.1666925868324,0.16
strengthening/base_43/Full3C/Full3C/baselines/CNN,unconstrained,S,100,330,250,129,107,143,223,0.428,0.3242424242424242,0.3689655172413793,0.7575757575757576,854.12,165.00000000000006,2036.1666925868324,0.16
strengthening/base_43/Full3C/Full3C/baselines/CNN,unconstrained,S,200,330,250,129,138,112,192,0.552,0.41818181818181815,0.47586206896551725,0.7575757575757576,854.12,165.00000000000006,2036.1666925868324,0.16
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,accepted,P,50,330,330,314,215,115,115,0.6515151515151515,0.6515151515151515,0.6515151515151515,1.0,372.36363636363626,30.00000000000025,2619.7987431376205,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,accepted,P,100,330,330,314,262,68,68,0.793939393939394,0.793939393939394,0.793939393939394,1.0,372.36363636363626,30.00000000000025,2619.7987431376205,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,accepted,P,200,330,330,314,287,43,43,0.8696969696969697,0.8696969696969697,0.8696969696969697,1.0,372.36363636363626,30.00000000000025,2619.7987431376205,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,accepted,S,50,330,323,147,33,290,297,0.1021671826625387,0.1,0.10107197549770292,0.9787878787878788,4054.984520123839,4040.000000000001,5102.484916389409,0.7987616099071208
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,accepted,S,100,330,323,147,44,279,286,0.13622291021671826,0.13333333333333333,0.13476263399693722,0.9787878787878788,4054.984520123839,4040.000000000001,5102.484916389409,0.7987616099071208
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,accepted,S,200,330,323,147,46,277,284,0.14241486068111456,0.1393939393939394,0.14088820826952528,0.9787878787878788,4054.984520123839,4040.000000000001,5102.484916389409,0.7987616099071208
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,strict,P,50,330,314,314,215,99,115,0.6847133757961783,0.6515151515151515,0.6677018633540373,0.9515151515151515,132.0063694267515,29.99999999999936,658.4852817201295,0.012738853503184714
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,strict,P,100,330,314,314,260,54,70,0.8280254777070064,0.7878787878787878,0.8074534161490683,0.9515151515151515,132.0063694267515,29.99999999999936,658.4852817201295,0.012738853503184714
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,strict,P,200,330,314,314,282,32,48,0.8980891719745223,0.8545454545454545,0.8757763975155279,0.9515151515151515,132.0063694267515,29.99999999999936,658.4852817201295,0.012738853503184714
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,strict,S,50,330,147,147,26,121,304,0.17687074829931973,0.07878787878787878,0.1090146750524109,0.44545454545454544,4088.503401360544,4080.0,5188.560480898876,0.7619047619047619
