Method,Mode,Policy,Phase,Tolerance_ms,BaseSeed,F1,MAE_ms,AcceptedCoverage,MedAE_ms,RMSE_ms,OutlierRate1s,meta_F1_SD
Stack,Full3C,accepted,P,50,42,0.7048732585703779,182.77850105060833,0.991919191919192,29.99999999999951,1178.0311255742124,0.014246478873105574,0.003344068854127927
Stack,Full3C,accepted,P,50,43,0.6978206900825326,129.4131890535559,0.9888888888888889,29.99999999999951,648.8037230730366,0.012257508037324552,0.005985969787118802
Stack,Full3C,accepted,P,50,44,0.6778565259651096,187.68156591398173,0.990909090909091,29.99999999999973,1218.5408894033974,0.012205129789227649,0.011594974691686867
Stack,Full3C,accepted,P,100,42,0.8296201435677233,182.77850105060833,0.991919191919192,29.99999999999951,1178.0311255742124,0.014246478873105574,0.009338716014028279
Stack,Full3C,accepted,P,100,43,0.831892982598828,129.4131890535559,0.9888888888888889,29.99999999999951,648.8037230730366,0.012257508037324552,0.004715366767445119
Stack,Full3C,accepted,P,100,44,0.8188943179014814,187.68156591398173,0.990909090909091,29.99999999999973,1218.5408894033974,0.012205129789227649,0.006783454209332149
Stack,Full3C,accepted,P,200,42,0.9066985065416788,182.77850105060833,0.991919191919192,29.99999999999951,1178.0311255742124,0.014246478873105574,0.006030007893923217
Stack,Full3C,accepted,P,200,43,0.9060414173454014,129.4131890535559,0.9888888888888889,29.99999999999951,648.8037230730366,0.012257508037324552,0.0036025686188098614
Stack,Full3C,accepted,P,200,44,0.9061608502603853,187.68156591398173,0.990909090909091,29.99999999999973,1218.5408894033974,0.012205129789227649,0.00797934589611381
Stack,Full3C,accepted,S,50,42,0.3633506370929684,554.4464285714286,0.9737373737373737,85.00000000000055,1776.923450133712,0.06951992753623189,0.012093430394378829
Stack,Full3C,accepted,S,50,43,0.3940945028716342,650.763399732384,0.9838383838383838,76.66666666666681,2225.2539884902744,0.08214042263122018,0.003135950628294264
Stack,Full3C,accepted,S,50,44,0.37087095525333136,625.669877491734,0.9828282828282828,86.6666666666666,2176.774754149035,0.08427460199147602,0.004573863891026191
Stack,Full3C,accepted,S,100,42,0.5455372030832153,554.4464285714286,0.9737373737373737,85.00000000000055,1776.923450133712,0.06951992753623189,0.00992358642741601
Stack,Full3C,accepted,S,100,43,0.5682261753810198,650.763399732384,0.9838383838383838,76.66666666666681,2225.2539884902744,0.08214042263122018,0.002243540617785728
Stack,Full3C,accepted,S,100,44,0.5471522860389895,625.669877491734,0.9828282828282828,86.6666666666666,2176.774754149035,0.08427460199147602,0.012879023174568053
Stack,Full3C,accepted,S,200,42,0.6724712914896964,554.4464285714286,0.9737373737373737,85.00000000000055,1776.923450133712,0.06951992753623189,0.008583293868223893
Stack,Full3C,accepted,S,200,43,0.6955228611919146,650.763399732384,0.9838383838383838,76.66666666666681,2225.2539884902744,0.08214042263122018,0.012591952668525197
Stack,Full3C,accepted,S,200,44,0.6867155595519089,625.669877491734,0.9828282828282828,86.6666666666666,2176.774754149035,0.08427460199147602,0.006024582806111702
Stack,Full3C,strict,P,50,42,0.7081668261383464,127.12036398026724,0.9797979797979798,29.99999999999936,652.4893869180183,0.01237123942437952,0.0030220957412413663
Stack,Full3C,strict,P,50,43,0.7004163677555889,127.06677608203317,0.9757575757575757,29.99999999999936,651.7546941659999,0.012422440122423642,0.007420536074366417
Stack,Full3C,strict,P,50,44,0.6819869183096833,102.8008281573498,0.9787878787878788,29.99999999999951,475.04660611461884,0.00928810320114668,0.009871306340652567
Stack,Full3C,strict,P,100,42,0.833671038066828,127.12036398026724,0.9797979797979798,29.99999999999936,652.4893869180183,0.01237123942437952,0.006454914758656945
Stack,Full3C,strict,P,100,43,0.8343618438446341,127.06677608203317,0.9757575757575757,29.99999999999936,651.7546941659999,0.012422440122423642,0.006457382378288216
Stack,Full3C,strict,P,100,44,0.8238982812719524,102.8008281573498,0.9787878787878788,29.99999999999951,475.04660611461884,0.00928810320114668,0.005068054104316257
Stack,Full3C,strict,P,200,42,0.9091855687510553,127.12036398026724,0.9797979797979798,29.99999999999936,652.4893869180183,0.01237123942437952,0.0034553414049203935
Stack,Full3C,strict,P,200,43,0.9079784547055063,127.06677608203317,0.9757575757575757,29.99999999999936,651.7546941659999,0.012422440122423642,0.003955777725702473
Stack,Full3C,strict,P,200,44,0.9096567227087529,102.8008281573498,0.9787878787878788,29.99999999999951,475.04660611461884,0.00928810320114668,0.005284973222963848
Stack,Full3C,strict,S,50,42,0.36720109427304987,480.48678393798457,0.9474747474747475,80.00000000000007,1614.63377416126,0.05758209292167862,0.009644380724988329
Stack,Full3C,strict,S,50,43,0.3951965227092627,527.0167761497889,0.9373737373737374,73.33333333333354,1811.3002930416073,0.070093930329217,0.005663465536343467
Stack,Full3C,strict,S,50,44,0.37664092656875336,486.9792718855219,0.9525252525252526,81.6666666666673,1639.2201187676535,0.07209896584896584,0.005289170457799523
Stack,Full3C,strict,S,100,42,0.5487360277245309,480.48678393798457,0.9474747474747475,80.00000000000007,1614.63377416126,0.05758209292167862,0.007375063882035143
