p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,7.77,detected,detected,350.058624983783,81.677184875205,stead_event_00007,12962350,4,7.63,0,140
9,NaN,detected,not_detected,338.653775856764,28.891081970262,stead_event_00008,ci10279289,9,12.25,0,NaN
7.99,NaN,detected,not_detected,331.124034370485,29.1475260242626,stead_event_00009,12962332,8,11.44,-9.99999999999979,NaN
9.33,15.46,detected,detected,401.359024232928,121.088876537223,stead_event_00012,10925153,9,15.37,330,89.9999999999999
6.35,NaN,detected,not_detected,339.193984598357,7.86034843114232,stead_event_00016,13259505,6,11.24,350,NaN
9.08,NaN,detected,not_detected,220.705128666489,23.7133143582082,stead_event_00017,604179950,9,13.24,80.0000000000001,NaN
6.08,NaN,detected,not_detected,215.953246159717,24.7249982496912,stead_event_00018,604179950,6,10.24,80.0000000000001,NaN
11.13,11.57,detected,detected,442.949133639863,231.658379634443,stead_event_00051,449393,11.16,11.59,-29.9999999999994,-19.9999999999996
10.93,12.02,detected,detected,435.291614703393,263.440226131197,stead_event_00085,449393,10.96,12.04,-30.0000000000011,-20.0000000000014
14.29,15.3,detected,detected,418.329462108915,81.1103753638405,stead_event_00103,495,14.3,15.31,-10.0000000000016,-9.99999999999979
11.02,11.98,detected,detected,322.595474345814,110.246248582661,stead_event_00108,449393,11.02,11.92,0,60.0000000000005
11.43,12.53,detected,uncertain,222.449181935601,64.0835272368438,stead_event_00125,431338,11.43,12.52,0,9.99999999999979
11.6,12.63,detected,detected,231.655074178323,55.2404297036636,stead_event_00132,419463,11.61,12.6,-9.99999999999979,30.0000000000011
6.15,NaN,detected,not_detected,189.509220349861,18.2904516807542,stead_event_00140,602347413,6,11.48,150,NaN
4.15,NaN,detected,not_detected,191.275793006477,18.1653231753211,stead_event_00141,602347413,4,9.48,150,NaN
7.96,9.87,detected,detected,419.489903709021,155.645911142056,stead_event_00161,ld60047501,8,9.89,-40,-20.0000000000014
4.48,7.31,detected,detected,304.419812458761,104.637739473513,stead_event_00162,603441563,4.48,7.25,0,59.9999999999996
1,19.71,detected,uncertain,212.306624343011,7.10140095718693,stead_event_00177,16334499,9,17.5,-8000,2210
5.22,5.64,detected,uncertain,254.501300957199,35.4476867514555,stead_event_00178,16336727,5,6.7,220,-1060
9.98,14.5,detected,detected,279.766651871601,91.6224971114024,stead_event_00184,ci11209170,10,14.5,-19.9999999999996,0
8.86,13.23,detected,uncertain,258.707906459085,28.2839226611798,stead_event_00193,15898998,9,13.45,-140.000000000001,-220.000000000001
NaN,NaN,not_detected,not_detected,286.21862941487,0,stead_event_00194,15899135,9,15.02,NaN,NaN
7,16.01,detected,uncertain,202.274433153599,18.8975289426609,stead_event_00208,605626911,7,15.44,0,570.000000000002
5,9.84,detected,detected,357.229310292237,111.646967132749,stead_event_00218,12680913,5,9.8,0,39.9999999999991
9.27,NaN,detected,not_detected,123.645028034333,26.8442392986827,stead_event_00225,602562570,9,12.36,270,NaN
5.27,NaN,detected,not_detected,123.87174383684,27.0550528419326,stead_event_00226,602562570,5,8.36,270,NaN
8.11,NaN,detected,not_detected,183.849473384661,58.7854259220647,stead_event_00227,603798149,8,10.71,109.999999999999,NaN
5.11,NaN,detected,not_detected,183.959563267408,58.6578322639184,stead_event_00228,603798149,5,7.71,110,NaN
4.03,NaN,detected,not_detected,346.45461798634,21.8091299597596,stead_event_00239,hv61128081,4,6.65,30.0000000000002,NaN
8.03,15.73,detected,uncertain,334.508611512446,51.2847843696552,stead_event_00243,hv61222466,8,11.06,29.9999999999994,4670
7,12.2,detected,uncertain,553.117672477514,24.7856134325646,stead_event_00249,hv61414371,7.01,12.2,-9.99999999999979,-1.77635683940025e-12
5.04,6.22,detected,uncertain,341.479215121267,73.4607572764836,stead_event_00253,hv61468921,5,6.25,40,-30.0000000000002
5.03,6.23,detected,uncertain,435.306487186402,90.9898251912302,stead_event_00263,hv61630461,5,5.81,30.0000000000002,420
9.03,NaN,detected,not_detected,563.269603071654,17.1701173750523,stead_event_00265,hv61631916,9,13.54,29.9999999999994,NaN
8.02,NaN,detected,not_detected,411.991387812136,61.1174966622188,stead_event_00270,hv61720621,8,9.03,19.9999999999996,NaN
4.02,NaN,detected,not_detected,377.918187003951,21.9419958055202,stead_event_00289,hv70278546,4.01,5.33,9.99999999999979,NaN
7.01,NaN,detected,not_detected,333.552961422991,11.3800467431249,stead_event_00294,hv70296771,7.01,8.93,0,NaN
NaN,NaN,not_detected,not_detected,77.3857334244931,0,stead_event_00297,hv70313911,6.96,7.97,NaN,NaN
6.03,NaN,detected,not_detected,425.845982855615,24.3531350349934,stead_event_00301,hv70332396,6.03,7.04,0,NaN
4,10.94,detected,uncertain,422.333884494954,54.3550911467582,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,5770
8.01,NaN,detected,not_detected,380.884073726347,31.9923915285095,stead_event_00315,hv70413467,8.01,9.21,0,NaN
7.99,9.61,detected,uncertain,335.489107561599,42.7181267262409,stead_event_00320,hv70444457,7.99,9.61,0,0
6,NaN,detected,not_detected,306.677859031744,30.6559888055431,stead_event_00327,hv70476007,6.01,7.33,-9.99999999999979,NaN
3.99,8.6,detected,detected,407.453072225109,64.7754630277293,stead_event_00344,hv61414371,4.03,8.58,-40,19.9999999999996
7.02,10.11,detected,detected,409.298040103933,58.0912380651268,stead_event_00347,hv61468921,7,10.08,19.9999999999996,29.9999999999994
6,10.42,detected,uncertain,384.598625193821,41.4319954789736,stead_event_00355,hv61631916,6,10.52,0,-99.9999999999996
4.01,NaN,detected,not_detected,454.700148472823,32.03733607088,stead_event_00360,hv61720621,4,7.48,9.99999999999979,NaN
7,13.57,detected,uncertain,131.250288764247,22.1243138048016,stead_event_00361,hv61765531,7,13.09,0,480
