p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,7.73,detected,detected,221.460423125397,110.996348766063,stead_event_00007,12962350,4,7.63,0,100.000000000001
8.99,12.67,detected,detected,236.751692160348,90.5895154184075,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,420
7.99,11.67,detected,detected,235.148713799989,90.2209619966565,stead_event_00009,12962332,8,11.44,-9.99999999999979,230
9.34,15.46,detected,detected,243.447386780474,131.275693968265,stead_event_00012,10925153,9,15.37,340,89.9999999999999
6.33,NaN,detected,not_detected,232.251072158045,129.398111118952,stead_event_00016,13259505,6,11.24,330,NaN
9.04,13.2,detected,detected,173.541829816974,62.348244554431,stead_event_00017,604179950,9,13.24,39.9999999999991,-40.0000000000009
6.04,10.2,detected,detected,172.566835095874,62.7252720256787,stead_event_00018,604179950,6,10.24,40,-40.0000000000009
11.16,11.57,detected,detected,263.673766684083,174.27623612841,stead_event_00051,449393,11.16,11.59,0,-19.9999999999996
10.96,12.02,detected,detected,255.762762039824,165.401480383132,stead_event_00085,449393,10.96,12.04,0,-20.0000000000014
14.3,15.31,detected,detected,237.166262615901,183.03514662937,stead_event_00103,495,14.3,15.31,0,0
11.02,11.91,detected,detected,247.69149730965,126.923519791767,stead_event_00108,449393,11.02,11.92,0,-9.99999999999979
11.45,12.5,detected,detected,204.64193841023,155.769702701183,stead_event_00125,431338,11.43,12.52,19.9999999999996,-19.9999999999996
11.6,12.58,detected,detected,209.788562473814,118.576641857653,stead_event_00132,419463,11.61,12.6,-9.99999999999979,-19.9999999999996
6.16,10.92,detected,detected,148.671606881961,65.4159578130501,stead_event_00140,602347413,6,11.48,160,-560
4.16,8.92,detected,detected,157.516378045118,65.9236341146942,stead_event_00141,602347413,4,9.48,160,-560
7.96,9.84,detected,detected,216.830935005922,170.599301335888,stead_event_00161,ld60047501,8,9.89,-40,-50.0000000000007
4.49,7.27,detected,detected,224.559816049549,98.7332144548815,stead_event_00162,603441563,4.48,7.25,9.99999999999979,19.9999999999996
0.98,13.05,detected,detected,81.2305054400317,10.4430428181468,stead_event_00177,16334499,9,17.5,-8020,-4450
5.21,7.39,detected,detected,210.885369569766,53.983667308672,stead_event_00178,16336727,5,6.7,210,690
9.98,14.47,detected,detected,201.880332091032,66.0898543809322,stead_event_00184,ci11209170,10,14.5,-19.9999999999996,-29.9999999999994
8.85,13.26,detected,detected,184.271528819259,57.3401030365283,stead_event_00193,15898998,9,13.45,-150,-190.000000000001
NaN,9,not_detected,detected,150.797777165074,71.9627867485184,stead_event_00194,15899135,9,15.02,NaN,-6020
6.96,16.02,detected,detected,185.455332751615,36.6718150902274,stead_event_00208,605626911,7,15.44,-40,580
5,9.78,detected,detected,234.512428982559,102.4614339882,stead_event_00218,12680913,5,9.8,0,-20.0000000000014
9.25,12.76,detected,detected,146.42890668678,93.0177578691918,stead_event_00225,602562570,9,12.36,250,400
5.25,8.76,detected,detected,145.833441696183,92.5140338847421,stead_event_00226,602562570,5,8.36,250,400
8.09,10.56,detected,detected,197.651854294834,103.840379211992,stead_event_00227,603798149,8,10.71,89.9999999999999,-150
5.09,7.56,detected,detected,201.466597303303,104.454884417516,stead_event_00228,603798149,5,7.71,89.9999999999999,-150
4.03,6.66,detected,detected,174.102196902117,73.1977689196252,stead_event_00239,hv61128081,4,6.65,30.0000000000002,9.99999999999979
8.02,15.75,detected,detected,203.65929289901,74.4955632034135,stead_event_00243,hv61222466,8,11.06,19.9999999999996,4690
7,12.23,detected,detected,230.329691199741,43.3952496472468,stead_event_00249,hv61414371,7.01,12.2,-9.99999999999979,29.9999999999994
5.04,6.19,detected,detected,234.83004425655,83.5003950863288,stead_event_00253,hv61468921,5,6.25,40,-59.9999999999996
5.03,5.75,detected,detected,262.429470794924,142.11188211526,stead_event_00263,hv61630461,5,5.81,30.0000000000002,-60.0000000000005
9.01,13.47,detected,detected,209.239164052806,55.798057287132,stead_event_00265,hv61631916,9,13.54,9.99999999999979,-70.0000000000003
8.02,8.95,detected,detected,245.099478641835,129.807885460624,stead_event_00270,hv61720621,8,9.03,19.9999999999996,-80.0000000000001
4.01,5.42,detected,detected,230.825031076449,79.0004003358465,stead_event_00289,hv70278546,4.01,5.33,0,89.9999999999999
6.99,8.68,detected,uncertain,221.355912600398,77.6266357223111,stead_event_00294,hv70296771,7.01,8.93,-19.9999999999996,-250
6.99,16.18,uncertain,detected,170.002368250978,46.3545970631643,stead_event_00297,hv70313911,6.96,7.97,30.0000000000002,8210
6.02,7.96,detected,detected,230.12324220268,67.2622918921299,stead_event_00301,hv70332396,6.03,7.04,-10.0000000000007,920
4,5.15,detected,detected,235.945889673076,86.7795217336886,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,-19.9999999999996
8,9.8,detected,detected,232.243035368886,98.9688657980057,stead_event_00315,hv70413467,8.01,9.21,-9.99999999999979,590
