p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
3.99,4.04,detected,detected,209.767561303453,122.504628626463,stead_event_00007,12962350,4,7.63,-9.99999999999979,-3590
9,9.03,detected,detected,231.227851556816,124.74221299551,stead_event_00008,ci10279289,9,12.25,0,-3220
7.99,8.03,detected,detected,229.304419338674,127.08128253574,stead_event_00009,12962332,8,11.44,-9.99999999999979,-3410
9.33,9.21,detected,detected,181.2553882566,85.6928726272534,stead_event_00012,10925153,9,15.37,330,-6160
6.36,6.04,detected,uncertain,138.030778313981,82.1465250464628,stead_event_00016,13259505,6,11.24,360,-5200
9.08,13.35,detected,uncertain,137.646438276253,66.377776477002,stead_event_00017,604179950,9,13.24,80.0000000000001,109.999999999999
6.08,10.35,detected,uncertain,134.419260729665,66.6230849306894,stead_event_00018,604179950,6,10.24,80.0000000000001,109.999999999999
11.15,11.57,detected,detected,186.781258837231,165.322989160236,stead_event_00051,449393,11.16,11.59,-9.99999999999979,-19.9999999999996
10.96,12.02,detected,detected,190.813943823981,111.612025997665,stead_event_00085,449393,10.96,12.04,0,-20.0000000000014
14.3,14.52,detected,uncertain,185.098008413132,69.9452558198442,stead_event_00103,495,14.3,15.31,0,-790.000000000001
11.02,9.99,detected,uncertain,168.985508247883,66.2138184959928,stead_event_00108,449393,11.02,11.92,0,-1930
11.45,9.99,detected,uncertain,124.135744506843,75.1257910091962,stead_event_00125,431338,11.43,12.52,19.9999999999996,-2530
11.59,12.63,detected,detected,108.256381948042,96.1986461453616,stead_event_00132,419463,11.61,12.6,-19.9999999999996,30.0000000000011
6.18,6.31,detected,uncertain,116.641870632717,69.6148295645524,stead_event_00140,602347413,6,11.48,180,-5170
4.18,4.31,detected,uncertain,116.656156417757,69.7672983436467,stead_event_00141,602347413,4,9.48,180,-5170
7.96,9.86,detected,detected,217.565028842099,115.372850269686,stead_event_00161,ld60047501,8,9.89,-40,-30.0000000000011
4.48,9.99,detected,uncertain,145.074090691324,69.885807997329,stead_event_00162,603441563,4.48,7.25,0,2740
1,9.31,detected,detected,112.039455538058,26.4608219141702,stead_event_00177,16334499,9,17.5,-8000,-8190
5.22,9.98,detected,uncertain,141.434783408362,67.4719934424587,stead_event_00178,16336727,5,6.7,220,3280
9.98,9.97,detected,detected,157.568700329715,91.0967062218535,stead_event_00184,ci11209170,10,14.5,-19.9999999999996,-4530
8.86,13.31,detected,detected,171.189175474549,76.5352921217808,stead_event_00193,15898998,9,13.45,-140.000000000001,-140.000000000001
9.25,9.01,uncertain,detected,89.7897344989351,131.225906153008,stead_event_00194,15899135,9,15.02,250,-6010
7,7.03,detected,detected,123.809018549844,93.5981148395987,stead_event_00208,605626911,7,15.44,0,-8410
