p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
3.99,7.73,detected,detected,199.559734729328,52.5419483193942,stead_event_00007,12962350,4,7.63,-9.99999999999979,100.000000000001
8.99,12.68,detected,detected,218.495354616768,43.4780615978441,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,430
7.98,11.67,detected,detected,216.919417331919,43.4921572181399,stead_event_00009,12962332,8,11.44,-19.9999999999996,230
9.33,15.49,detected,detected,218.610845847049,63.3852581120074,stead_event_00012,10925153,9,15.37,330,119.999999999999
6.34,NaN,detected,not_detected,210.817200957099,10.4531409485753,stead_event_00016,13259505,6,11.24,340,NaN
9.05,13.19,detected,detected,160.045690402183,28.9586000737873,stead_event_00017,604179950,9,13.24,50.0000000000007,-50.0000000000007
6.05,10.19,detected,detected,153.169941745852,29.0900120017547,stead_event_00018,604179950,6,10.24,49.9999999999998,-50.0000000000007
11.15,11.56,detected,detected,223.293751512407,88.0735438569936,stead_event_00051,449393,11.16,11.59,-9.99999999999979,-29.9999999999994
10.94,12.04,detected,detected,222.087285043581,87.6272005954739,stead_event_00085,449393,10.96,12.04,-20.0000000000014,-1.77635683940025e-12
14.29,15.3,detected,detected,246.893110278093,88.5872218688432,stead_event_00103,495,14.3,15.31,-10.0000000000016,-9.99999999999979
11.01,11.9,detected,detected,209.99544861583,67.5385899903119,stead_event_00108,449393,11.02,11.92,-9.99999999999979,-19.9999999999996
11.43,12.52,detected,detected,189.46429275838,96.6682112968291,stead_event_00125,431338,11.43,12.52,0,0
11.6,12.58,detected,detected,245.379236726547,61.7801937666929,stead_event_00132,419463,11.61,12.6,-9.99999999999979,-19.9999999999996
6.17,14.13,detected,detected,135.10742414429,32.1243837289053,stead_event_00140,602347413,6,11.48,170,2650
4.17,12.13,detected,detected,151.014848584946,32.1708300707123,stead_event_00141,602347413,4,9.48,170,2650
7.96,9.83,detected,detected,199.211481329429,86.5815591846335,stead_event_00161,ld60047501,8,9.89,-40,-60.0000000000005
4.47,7.29,detected,detected,213.208372659338,46.799379979164,stead_event_00162,603441563,4.48,7.25,-10.0000000000007,40
0.98,13.05,detected,detected,102.752937752585,4.11385505134227,stead_event_00177,16334499,9,17.5,-8020,-4450
5.21,6.01,detected,detected,198.67532720751,42.9291128187464,stead_event_00178,16336727,5,6.7,210,-690
9.98,14.46,detected,detected,179.58323693339,33.8135292464494,stead_event_00184,ci11209170,10,14.5,-19.9999999999996,-39.9999999999991
8.86,13.26,detected,detected,161.96440367171,31.1890641321038,stead_event_00193,15898998,9,13.45,-140.000000000001,-190.000000000001
8.81,8.99,uncertain,detected,238.966861643582,26.0625319590254,stead_event_00194,15899135,9,15.02,-189.999999999999,-6030
6.98,15.98,detected,detected,161.31387379337,17.4974710641162,stead_event_00208,605626911,7,15.44,-19.9999999999996,540.000000000001
4.99,9.78,detected,detected,197.578710517434,57.7861736071218,stead_event_00218,12680913,5,9.8,-9.99999999999979,-20.0000000000014
9.27,12.75,detected,detected,139.929815334803,37.5358220441417,stead_event_00225,602562570,9,12.36,270,390.000000000001
5.27,8.75,detected,detected,142.783333099924,37.2670143418079,stead_event_00226,602562570,5,8.36,270,390.000000000001
8.09,12.6,detected,detected,168.280148541258,32.9751702305075,stead_event_00227,603798149,8,10.71,89.9999999999999,1890
5.09,9.6,detected,detected,177.714924633956,33.1276729510708,stead_event_00228,603798149,5,7.71,89.9999999999999,1890
4.03,6.79,detected,detected,160.357393107243,31.5964871310869,stead_event_00239,hv61128081,4,6.65,30.0000000000002,140
8.02,15.73,detected,detected,174.240725060461,40.9401524893059,stead_event_00243,hv61222466,8,11.06,19.9999999999996,4670
6.99,12.26,detected,detected,220.340954068494,20.7208742945286,stead_event_00249,hv61414371,7.01,12.2,-19.9999999999996,59.9999999999987
5.04,6.17,detected,detected,213.057044270847,39.5968323560395,stead_event_00253,hv61468921,5,6.25,40,-80.0000000000001
5.02,5.75,detected,detected,238.708735801846,71.5173479672513,stead_event_00263,hv61630461,5,5.81,19.9999999999996,-60.0000000000005
9.01,13.47,detected,detected,220.216314534436,27.5728334322548,stead_event_00265,hv61631916,9,13.54,9.99999999999979,-70.0000000000003
8.01,8.95,detected,detected,221.411987203731,58.6022759331574,stead_event_00270,hv61720621,8,9.03,9.99999999999979,-80.0000000000001
4.01,10.28,detected,detected,220.881326449197,29.5980467478177,stead_event_00289,hv70278546,4.01,5.33,0,4950
6.99,NaN,detected,not_detected,200.125754342726,14.3886118110413,stead_event_00294,hv70296771,7.01,8.93,-19.9999999999996,NaN
7,16.2,detected,detected,249.815305390427,23.5234154957945,stead_event_00297,hv70313911,6.96,7.97,40,8230
6.02,6.97,detected,detected,214.826213578247,36.585137132756,stead_event_00301,hv70332396,6.03,7.04,-10.0000000000007,-70.0000000000003
3.99,5.17,detected,detected,218.900230585162,37.0945814174421,stead_event_00309,hv70368966,4.01,5.17,-19.9999999999996,0
8,9.79,detected,detected,210.78719595373,41.6237950561026,stead_event_00315,hv70413467,8.01,9.21,-9.99999999999979,579.999999999998
7.98,9.14,detected,detected,205.135624572765,26.5232088382515,stead_event_00320,hv70444457,7.99,9.61,-9.99999999999979,-469.999999999999
5.99,15.26,detected,detected,174.79414946393,45.3674132932034,stead_event_00327,hv70476007,6.01,7.33,-19.9999999999996,7930
3.99,8.55,detected,detected,233.897031185017,49.5814491272848,stead_event_00344,hv61414371,4.03,8.58,-40,-29.9999999999994
7,10.07,detected,detected,211.743157879566,41.945637763669,stead_event_00347,hv61468921,7,10.08,0,-9.99999999999979
5.99,10.38,detected,detected,225.714622705064,49.1771967193333,stead_event_00355,hv61631916,6,10.52,-9.99999999999979,-139.999999999999
4,7.46,detected,detected,213.481399598809,47.1843135365744,stead_event_00360,hv61720621,4,7.48,0,-20.0000000000005
7,13.5,detected,detected,141.262588835702,19.1868533114493,stead_event_00361,hv61765531,7,13.09,0,410
8.99,9.85,detected,detected,116.36320266536,16.1880519426567,stead_event_00372,12975248,9,21.21,-9.99999999999979,-11360
9.04,14.58,detected,detected,178.997958038199,40.4341514234922,stead_event_00397,601253816,9,14.42,39.9999999999991,160
7.04,12.58,detected,detected,180.061888156098,40.5700142785989,stead_event_00398,601253816,7,12.42,40,160
9.38,14.19,detected,detected,208.823411424868,19.4037605724903,stead_event_00402,601455028,9,13.7,380.000000000001,489.999999999998
5.38,10.19,detected,detected,226.357930240126,19.5564392652184,stead_event_00403,601455028,5,9.7,380,489.999999999998
8.08,13.76,detected,detected,222.226534823977,27.0547253009791,stead_event_00404,601456130,8,13.46,80.0000000000001,299.999999999999
6.08,11.76,detected,detected,220.896227533492,26.9547123206735,stead_event_00405,601456130,6,11.46,80.0000000000001,299.999999999999
7.98,10.27,detected,detected,213.391813993021,58.5470877688628,stead_event_00415,602952322,8,10.32,-19.9999999999996,-50.0000000000007
6.04,11.12,detected,detected,217.929589398637,46.1838297115371,stead_event_00417,602952346,6,11.18,40,-60.0000000000005
8.02,NaN,detected,not_detected,206.929538177495,16.9822286620802,stead_event_00422,602952561,8,10.69,19.9999999999996,NaN
8.95,14.29,detected,detected,214.857325822703,22.1776141773005,stead_event_00430,603374582,9,14.29,-50.0000000000007,-1.77635683940025e-12
8.96,13.02,detected,detected,218.984997277965,34.0390573726467,stead_event_00441,603374662,9,13.12,-39.9999999999991,-100.000000000001
6.96,11.02,detected,detected,219.170028610262,33.9089061559128,stead_event_00442,603374662,7,11.12,-40,-100.000000000001
3.99,9.18,detected,detected,191.62570777728,39.8017385841338,stead_event_00448,603463446,4,9.1,-9.99999999999979,80.0000000000001
8.99,15.16,detected,detected,133.787591778373,30.0293484746686,stead_event_00465,603760886,9,14.53,-9.99999999999979,629.999999999999
3.99,10.16,detected,detected,136.127618304092,30.449808788419,stead_event_00466,603760886,4,9.53,-9.99999999999979,630.000000000001
5.68,17.64,uncertain,detected,79.6878272059197,32.6941046645721,stead_event_00494,15111098,6,17.01,-320,629.999999999999
9.04,19.24,detected,detected,154.560606734725,42.2020147643615,stead_event_00512,8291998,9,19.22,39.9999999999991,19.9999999999996
5.98,15.26,detected,detected,121.611068918119,42.0003004040578,stead_event_00514,9569686,6,15.17,-19.9999999999996,89.9999999999999
5.64,15.03,detected,detected,164.514799593704,46.58658810158,stead_event_00515,11121384,5,15.02,640,9.99999999999979
8.05,19.64,detected,detected,158.596630665909,53.2475780101121,stead_event_00518,12975248,8,19.64,50.0000000000007,0
8.08,19.38,detected,detected,168.975949453957,70.7915595201647,stead_event_00521,15111098,8,19.19,80.0000000000001,189.999999999998
8.01,13.63,detected,uncertain,202.107769125557,14.4358502235845,stead_event_00551,hv61468921,8,13.53,9.99999999999979,99.9999999999996
9.02,27.8,detected,detected,192.366454857112,15.2167809194845,stead_event_00563,hv61720621,9,14.54,19.9999999999996,13260
7.04,11.27,detected,detected,199.70157345119,47.7829247747532,stead_event_00564,hv61765531,7,11.21,40,59.9999999999987
