p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
3.99,7.74,detected,detected,171.149470904354,111.183245135783,stead_event_00007,12962350,4,7.63,-9.99999999999979,110
8.99,12.68,detected,detected,204.812931915382,84.6058569609773,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,430
7.98,11.67,detected,detected,203.293328967336,84.6652266428535,stead_event_00009,12962332,8,11.44,-19.9999999999996,230
9.33,15.46,detected,detected,173.189521333638,123.249940269161,stead_event_00012,10925153,9,15.37,330,89.9999999999999
6.33,NaN,detected,not_detected,152.85747576294,13.2901614281582,stead_event_00016,13259505,6,11.24,330,NaN
9.02,13.21,detected,detected,116.57510455116,56.1505671356865,stead_event_00017,604179950,9,13.24,19.9999999999996,-29.9999999999994
6.02,10.21,detected,detected,116.150950678232,56.4446463518516,stead_event_00018,604179950,6,10.24,19.9999999999996,-29.9999999999994
11.15,11.58,detected,detected,218.176459360642,171.542817513088,stead_event_00051,449393,11.16,11.59,-9.99999999999979,-9.99999999999979
10.96,12.02,detected,detected,206.96116284166,151.808282586602,stead_event_00085,449393,10.96,12.04,0,-20.0000000000014
14.29,15.26,detected,detected,165.666286565755,129.087287397888,stead_event_00103,495,14.3,15.31,-10.0000000000016,-50.0000000000007
11.01,11.9,detected,detected,202.482370815517,127.697250390606,stead_event_00108,449393,11.02,11.92,-9.99999999999979,-19.9999999999996
11.44,12.47,detected,detected,176.271613419528,167.142995427174,stead_event_00125,431338,11.43,12.52,9.99999999999979,-49.9999999999989
11.6,12.59,detected,detected,124.04477892353,89.6780915767824,stead_event_00132,419463,11.61,12.6,-9.99999999999979,-9.99999999999979
6.16,10.9,detected,detected,98.0302048318417,59.282924005779,stead_event_00140,602347413,6,11.48,160,-580
4.16,8.9,detected,detected,116.268855541931,59.8513284489655,stead_event_00141,602347413,4,9.48,160,-580
7.96,9.85,detected,detected,178.640078910536,132.042374754387,stead_event_00161,ld60047501,8,9.89,-40,-40.0000000000009
4.47,7.27,detected,detected,185.404396101013,92.7145790997383,stead_event_00162,603441563,4.48,7.25,-10.0000000000007,19.9999999999996
0.98,46.27,detected,detected,99.2642406441063,4.74685966599367,stead_event_00177,16334499,9,17.5,-8020,28770
5.21,7.3,detected,detected,163.569034290897,62.3791283270523,stead_event_00178,16336727,5,6.7,210,600
9.97,14.46,detected,detected,136.63870438093,64.6593192495839,stead_event_00184,ci11209170,10,14.5,-29.9999999999994,-39.9999999999991
8.84,13.28,detected,detected,151.547522468767,70.0294197523823,stead_event_00193,15898998,9,13.45,-160,-170.000000000002
8.15,9,uncertain,detected,62.9414574171513,46.0874739942591,stead_event_00194,15899135,9,15.02,-850,-6020
6.95,16.02,detected,detected,118.103196182287,46.5667121745621,stead_event_00208,605626911,7,15.44,-49.9999999999998,580
5,9.78,detected,detected,157.180057535559,108.730262458091,stead_event_00218,12680913,5,9.8,0,-20.0000000000014
9.23,12.72,detected,detected,106.358881009568,87.3850112937225,stead_event_00225,602562570,9,12.36,230,360.000000000001
5.23,8.72,detected,detected,104.87352658522,86.6115016428881,stead_event_00226,602562570,5,8.36,230,360.000000000001
8.09,12.51,detected,detected,124.085607604222,69.3291322287663,stead_event_00227,603798149,8,10.71,89.9999999999999,1800
5.09,9.51,detected,detected,138.657955269794,69.4321270793277,stead_event_00228,603798149,5,7.71,89.9999999999999,1800
4.02,6.67,detected,detected,131.995160842566,78.4079640317428,stead_event_00239,hv61128081,4,6.65,19.9999999999996,19.9999999999996
8.02,15.69,detected,detected,168.095743426399,70.7668030958428,stead_event_00243,hv61222466,8,11.06,19.9999999999996,4630
7,12.24,detected,detected,161.792991113394,45.8494888893199,stead_event_00249,hv61414371,7.01,12.2,-9.99999999999979,39.9999999999991
5.03,6.16,detected,detected,152.933626808981,94.9437090298908,stead_event_00253,hv61468921,5,6.25,30.0000000000002,-89.9999999999999
5.03,5.75,detected,detected,209.66762969679,130.740466229283,stead_event_00263,hv61630461,5,5.81,30.0000000000002,-60.0000000000005
9.01,13.47,detected,detected,160.232602859729,65.3220250445961,stead_event_00265,hv61631916,9,13.54,9.99999999999979,-70.0000000000003
8.01,8.93,detected,detected,205.130221019663,119.712052793506,stead_event_00270,hv61720621,8,9.03,9.99999999999979,-99.9999999999996
4,5.38,detected,uncertain,149.310155120623,58.9863824264667,stead_event_00289,hv70278546,4.01,5.33,-9.99999999999979,49.9999999999998
6.98,NaN,detected,not_detected,166.496925828496,26.0509873259256,stead_event_00294,hv70296771,7.01,8.93,-29.9999999999994,NaN
NaN,16.15,not_detected,detected,63.3825871170196,46.1601573709471,stead_event_00297,hv70313911,6.96,7.97,NaN,8180
6.02,6.99,detected,detected,177.522948054985,67.4650376838559,stead_event_00301,hv70332396,6.03,7.04,-10.0000000000007,-49.9999999999998
3.99,14.4,detected,detected,161.791294601369,59.6799149092951,stead_event_00309,hv70368966,4.01,5.17,-19.9999999999996,9230
8,9.88,detected,uncertain,187.841635689283,61.9488210379386,stead_event_00315,hv70413467,8.01,9.21,-9.99999999999979,670
7.98,9.11,detected,detected,170.782774866933,61.2457200696912,stead_event_00320,hv70444457,7.99,9.61,-9.99999999999979,-500
5.98,15.19,detected,detected,174.709491266133,80.9396955555735,stead_event_00327,hv70476007,6.01,7.33,-29.9999999999994,7860
4.01,8.57,detected,detected,212.318547075499,98.3737942751052,stead_event_00344,hv61414371,4.03,8.58,-20.0000000000005,-9.99999999999979
7,10.05,detected,detected,189.348095271139,91.4968288173496,stead_event_00347,hv61468921,7,10.08,0,-29.9999999999994
5.99,10.39,detected,detected,226.114656804312,80.9098008619623,stead_event_00355,hv61631916,6,10.52,-9.99999999999979,-129.999999999999
4,7.45,detected,detected,179.642575354936,95.382011683208,stead_event_00360,hv61720621,4,7.48,0,-30.0000000000002
6.99,13.5,detected,detected,137.192261922596,37.2321624458285,stead_event_00361,hv61765531,7,13.09,-9.99999999999979,410
8.98,22.59,detected,detected,97.1752473370424,38.9996718729887,stead_event_00372,12975248,9,21.21,-19.9999999999996,1380
