p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,7.73,detected,detected,234.775780025507,31.7324173017286,stead_event_00007,12962350,4,7.63,0,100.000000000001
8.99,12.65,detected,detected,213.001087567696,26.6998472048534,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,400
7.99,11.65,detected,detected,213.24914001385,26.4528138912001,stead_event_00009,12962332,8,11.44,-9.99999999999979,210.000000000001
9.34,15.52,detected,detected,232.796905555082,68.9075194077284,stead_event_00012,10925153,9,15.37,340,149.999999999999
6.34,18.29,detected,detected,209.921430192938,40.5872164347513,stead_event_00016,13259505,6,11.24,340,7050
9.05,13.2,detected,detected,239.580426889249,39.0755005903703,stead_event_00017,604179950,9,13.24,50.0000000000007,-40.0000000000009
6.05,10.2,detected,detected,243.031532458329,39.0867075429262,stead_event_00018,604179950,6,10.24,49.9999999999998,-40.0000000000009
11.15,11.55,detected,detected,215.196854413626,82.538447742592,stead_event_00051,449393,11.16,11.59,-9.99999999999979,-39.9999999999991
10.98,12.02,detected,detected,210.51932019422,102.500083271558,stead_event_00085,449393,10.96,12.04,19.9999999999996,-20.0000000000014
14.29,15.35,detected,detected,251.18130427689,101.325208237689,stead_event_00103,495,14.3,15.31,-10.0000000000016,39.9999999999991
11.01,11.9,detected,detected,208.205190998614,81.2464242077919,stead_event_00108,449393,11.02,11.92,-9.99999999999979,-19.9999999999996
11.44,12.48,detected,detected,174.320820847324,95.4491572415095,stead_event_00125,431338,11.43,12.52,9.99999999999979,-39.9999999999991
11.65,12.54,detected,detected,386.37923013246,61.8578800092173,stead_event_00132,419463,11.61,12.6,40.0000000000009,-60.0000000000005
6.17,11.55,detected,detected,126.827112916264,28.9005860260693,stead_event_00140,602347413,6,11.48,170,70.0000000000003
4.17,9.55,detected,detected,127.665419209882,28.9151697083707,stead_event_00141,602347413,4,9.48,170,70.0000000000003
7.98,9.83,detected,detected,169.067516238078,111.22594896948,stead_event_00161,ld60047501,8,9.89,-19.9999999999996,-60.0000000000005
4.49,7.25,detected,detected,194.164750903571,46.7301003321439,stead_event_00162,603441563,4.48,7.25,9.99999999999979,0
NaN,NaN,not_detected,not_detected,148.182869373142,0,stead_event_00177,16334499,9,17.5,NaN,NaN
5.2,5.58,detected,detected,207.494012606608,21.1417872039102,stead_event_00178,16336727,5,6.7,200,-1120
9.99,14.46,detected,detected,198.466144250033,38.8359353033826,stead_event_00184,ci11209170,10,14.5,-9.99999999999979,-39.9999999999991
8.86,13.26,detected,detected,270.024510756667,29.323032318583,stead_event_00193,15898998,9,13.45,-140.000000000001,-190.000000000001
8.91,9.12,detected,detected,471.220737692327,42.6853483989868,stead_event_00194,15899135,9,15.02,-89.9999999999999,-5900
6.99,18.56,detected,detected,223.198840157641,15.0665480769307,stead_event_00208,605626911,7,15.44,-9.99999999999979,3120
5,9.84,detected,detected,217.045139178093,54.4322336580773,stead_event_00218,12680913,5,9.8,0,39.9999999999991
9.27,19.65,detected,detected,282.325664861703,30.6130966191535,stead_event_00225,602562570,9,12.36,270,7290
5.27,15.65,detected,detected,287.264423582362,30.6236933958867,stead_event_00226,602562570,5,8.36,270,7290
8.29,10.67,detected,detected,174.237839367882,51.3752279514054,stead_event_00227,603798149,8,10.71,289.999999999999,-40.0000000000009
5.29,7.67,detected,detected,173.492154517143,51.3743519377968,stead_event_00228,603798149,5,7.71,290,-40
4.01,6.8,detected,detected,281.447443605681,25.8284482662978,stead_event_00239,hv61128081,4,6.65,9.99999999999979,149.999999999999
8.03,15.74,detected,detected,239.987067417089,27.1317908377479,stead_event_00243,hv61222466,8,11.06,29.9999999999994,4680
6.99,12.86,detected,detected,315.23596796896,22.9542814324201,stead_event_00249,hv61414371,7.01,12.2,-19.9999999999996,659.999999999998
5.03,6.58,detected,detected,244.561168402563,36.1721223850971,stead_event_00253,hv61468921,5,6.25,30.0000000000002,330
5.03,5.76,detected,detected,232.964310974905,59.994706521209,stead_event_00263,hv61630461,5,5.81,30.0000000000002,-50.0000000000007
NaN,NaN,not_detected,not_detected,162.303571591733,0,stead_event_00265,hv61631916,9,13.54,NaN,NaN
8.02,8.96,detected,detected,219.21508349691,42.711923557699,stead_event_00270,hv61720621,8,9.03,19.9999999999996,-69.9999999999985
4.02,6.28,detected,detected,226.658213400058,26.5052016227018,stead_event_00289,hv70278546,4.01,5.33,9.99999999999979,950
7,16.78,detected,uncertain,227.772711850005,25.1611955149159,stead_event_00294,hv70296771,7.01,8.93,-9.99999999999979,7850
0.48,9.1,detected,detected,278.532155131357,21.5873292937767,stead_event_00297,hv70313911,6.96,7.97,-6480,1130
6.01,7,detected,detected,236.995527016136,24.5084967875457,stead_event_00301,hv70332396,6.03,7.04,-20.0000000000005,-40
3.99,5.16,detected,detected,157.049491860326,38.5601451746082,stead_event_00309,hv70368966,4.01,5.17,-19.9999999999996,-9.99999999999979
8,9.81,detected,detected,224.037181891331,34.7425594421026,stead_event_00315,hv70413467,8.01,9.21,-9.99999999999979,600
7.97,9.14,detected,detected,259.984540596785,35.2619125945596,stead_event_00320,hv70444457,7.99,9.61,-20.0000000000005,-469.999999999999
5.99,15.25,detected,detected,315.28711440261,28.5419339021653,stead_event_00327,hv70476007,6.01,7.33,-19.9999999999996,7920
4.01,8.51,detected,detected,243.1849223406,40.170983057796,stead_event_00344,hv61414371,4.03,8.58,-20.0000000000005,-70.0000000000003
7,10.04,detected,detected,222.128739348778,29.720568726663,stead_event_00347,hv61468921,7,10.08,0,-40.0000000000009
6,10.35,detected,detected,224.753529710824,44.0210666726691,stead_event_00355,hv61631916,6,10.52,0,-170
4,7.44,detected,detected,233.033905336061,30.486556242021,stead_event_00360,hv61720621,4,7.48,0,-40
7,15.34,detected,detected,217.231686844427,24.3285874743441,stead_event_00361,hv61765531,7,13.09,0,2250
9,22.71,detected,detected,231.071825295859,15.037405959053,stead_event_00372,12975248,9,21.21,0,1500
9.04,14.6,detected,detected,230.688477626625,32.320264485512,stead_event_00397,601253816,9,14.42,39.9999999999991,180
7.04,12.6,detected,detected,232.829185378098,32.3222748016058,stead_event_00398,601253816,7,12.42,40,180
9.4,14.24,detected,detected,279.416420312335,23.0663230607337,stead_event_00402,601455028,9,13.7,400,539.999999999999
5.4,10.24,detected,detected,281.241491862941,23.0722315806857,stead_event_00403,601455028,5,9.7,400,539.999999999999
8.09,13.72,detected,detected,273.994538513902,33.7698713772566,stead_event_00404,601456130,8,13.46,89.9999999999999,260
6.09,11.72,detected,detected,274.188870290608,33.7698074402004,stead_event_00405,601456130,6,11.46,89.9999999999999,260
7.99,10.25,detected,detected,233.033489959706,52.8207820435713,stead_event_00415,602952322,8,10.32,-9.99999999999979,-70.0000000000003
6.05,11.15,detected,detected,235.192052889741,46.6189977462346,stead_event_00417,602952346,6,11.18,49.9999999999998,-29.9999999999994
8.02,16.46,detected,detected,198.036700466598,52.3259285814809,stead_event_00422,602952561,8,10.69,19.9999999999996,5770
8.95,14.28,detected,detected,256.701712559479,20.5448025917368,stead_event_00430,603374582,9,14.29,-50.0000000000007,-10.0000000000016
8.97,13.05,detected,detected,252.613602752018,35.0292345727916,stead_event_00441,603374662,9,13.12,-29.9999999999994,-70.0000000000003
6.97,11.05,detected,detected,253.097473832347,35.0253410639051,stead_event_00442,603374662,7,11.12,-30.0000000000002,-70.0000000000003
4,9.16,detected,detected,265.698851985893,38.0854301244442,stead_event_00448,603463446,4,9.1,0,60.0000000000005
8.99,15.16,detected,detected,192.019843683681,25.0051927017896,stead_event_00465,603760886,9,14.53,-9.99999999999979,629.999999999999
3.99,10.16,detected,detected,192.25420414151,25.0083581953892,stead_event_00466,603760886,4,9.53,-9.99999999999979,630.000000000001
6.03,17.53,detected,uncertain,147.590944095676,23.3149721275919,stead_event_00494,15111098,6,17.01,30.0000000000002,520
9.04,19.22,detected,detected,161.513333967451,45.9394330721735,stead_event_00512,8291998,9,19.22,39.9999999999991,0
5.99,15.26,detected,detected,144.517142174,30.344241887848,stead_event_00514,9569686,6,15.17,-9.99999999999979,89.9999999999999
5.68,14.89,detected,detected,138.066504105729,43.1437001319435,stead_event_00515,11121384,5,15.02,680,-129.999999999999
8.07,19.64,detected,detected,177.923505572957,45.693116744197,stead_event_00518,12975248,8,19.64,70.0000000000003,0
7.97,19.41,detected,detected,121.945502583156,68.0714044432892,stead_event_00521,15111098,8,19.19,-30.0000000000002,219.999999999999
8.01,16.33,detected,detected,253.026700797912,22.8288468855195,stead_event_00551,hv61468921,8,13.53,9.99999999999979,2800
9.02,18.68,detected,detected,270.189106654456,29.7420854347138,stead_event_00563,hv61720621,9,14.54,19.9999999999996,4140
7.12,14.02,detected,detected,194.650601273235,31.804932167186,stead_event_00564,hv61765531,7,11.21,120,2810
4.12,6.43,detected,detected,259.939047043846,31.1078338089251,stead_event_00567,hv61894361,4,6.37,120,59.9999999999996
0.91,25.81,detected,detected,291.318094769422,14.7214255183058,stead_event_00580,hv70368831,4.98,10.16,-4070,15650
0.99,15.67,detected,detected,257.745448444532,22.2987654923693,stead_event_00585,hv70476007,5.94,12.12,-4950,3550
8.97,14.34,detected,detected,200.716750097572,36.7831676710969,stead_event_00609,600928972,9,14.3,-29.9999999999994,39.9999999999991
2.18,6.22,detected,detected,192.379156691398,87.1881241441832,stead_event_00610,601824235,2.17,6.24,10.0000000000002,-20.0000000000005
7.17,9.57,detected,detected,200.020166033138,91.5205696548503,stead_event_00611,601253049,7,9.5,170,70.0000000000003
6.96,12.6,detected,detected,176.489672624495,44.8929425437703,stead_event_00618,604500852,7,12.5,-40,99.9999999999996
4.96,10.6,detected,detected,177.058255213555,44.8977071431701,stead_event_00619,604500852,5,10.5,-40,99.9999999999996
7.96,13.59,detected,detected,221.332207575868,34.1928103661574,stead_event_00620,604501047,8,13.9,-40,-310.000000000001
6.96,12.59,detected,detected,221.793025312085,34.1948660478421,stead_event_00621,604501047,7,12.9,-40,-310.000000000001
