p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,7.73,detected,detected,234.775780025507,63.4326949255252,stead_event_00007,12962350,4,7.63,0,100.000000000001
8.99,12.65,detected,detected,213.001087567696,53.2228816807827,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,400
7.99,11.65,detected,detected,213.24914001385,52.7272061043915,stead_event_00009,12962332,8,11.44,-9.99999999999979,210.000000000001
9.34,15.52,detected,detected,232.796905555082,137.174550509443,stead_event_00012,10925153,9,15.37,340,149.999999999999
6.34,18.29,detected,detected,209.921430192938,80.2180786892558,stead_event_00016,13259505,6,11.24,340,7050
9.05,13.2,detected,detected,239.580426889249,77.9560807057807,stead_event_00017,604179950,9,13.24,50.0000000000007,-40.0000000000009
6.05,10.2,detected,detected,243.031532458329,77.9956990992451,stead_event_00018,604179950,6,10.24,49.9999999999998,-40.0000000000009
11.15,11.55,detected,detected,215.196854413626,163.59362167608,stead_event_00051,449393,11.16,11.59,-9.99999999999979,-39.9999999999991
10.98,12.02,detected,detected,210.51932019422,202.612742848013,stead_event_00085,449393,10.96,12.04,19.9999999999996,-20.0000000000014
14.29,15.35,detected,detected,251.18130427689,185.6374346635,stead_event_00103,495,14.3,15.31,-10.0000000000016,39.9999999999991
11.01,11.9,detected,detected,208.205190998614,160.883870445451,stead_event_00108,449393,11.02,11.92,-9.99999999999979,-19.9999999999996
11.44,12.48,detected,detected,174.320820847324,188.166279900694,stead_event_00125,431338,11.43,12.52,9.99999999999979,-39.9999999999991
11.65,12.54,detected,detected,386.37923013246,121.899615543302,stead_event_00132,419463,11.61,12.6,40.0000000000009,-60.0000000000005
6.17,11.55,detected,detected,126.827112916264,57.5252301315618,stead_event_00140,602347413,6,11.48,170,70.0000000000003
4.17,9.55,detected,detected,127.665419209882,57.5623118014562,stead_event_00141,602347413,4,9.48,170,70.0000000000003
7.98,9.83,detected,detected,169.067516238078,219.622576881879,stead_event_00161,ld60047501,8,9.89,-19.9999999999996,-60.0000000000005
4.49,7.25,detected,detected,194.164750903571,93.0641930013835,stead_event_00162,603441563,4.48,7.25,9.99999999999979,0
NaN,19.62,not_detected,uncertain,148.182869373142,170.895069741778,stead_event_00177,16334499,9,17.5,NaN,2120
5.2,5.58,detected,detected,207.494012606608,42.1476432154386,stead_event_00178,16336727,5,6.7,200,-1120
9.99,14.46,detected,detected,198.466144250033,77.4920661215373,stead_event_00184,ci11209170,10,14.5,-9.99999999999979,-39.9999999999991
8.86,13.26,detected,detected,270.024510756667,58.27195261211,stead_event_00193,15898998,9,13.45,-140.000000000001,-190.000000000001
8.91,9.12,detected,detected,471.220737692327,71.8946280132799,stead_event_00194,15899135,9,15.02,-89.9999999999999,-5900
6.99,18.56,detected,detected,223.198840157641,29.8561571218818,stead_event_00208,605626911,7,15.44,-9.99999999999979,3120
5,9.84,detected,detected,217.045139178093,108.275813533311,stead_event_00218,12680913,5,9.8,0,39.9999999999991
9.27,19.65,detected,detected,282.325664861703,61.0970925939415,stead_event_00225,602562570,9,12.36,270,7290
5.27,15.65,detected,detected,287.264423582362,61.1190616311542,stead_event_00226,602562570,5,8.36,270,7290
8.29,10.67,detected,detected,174.237839367882,101.7053679394,stead_event_00227,603798149,8,10.71,289.999999999999,-40.0000000000009
