p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,7.77,detected,detected,233.58001227191,90.2350516213828,stead_event_00007,12962350,4,7.63,0,140
8.99,12.67,detected,uncertain,250.068834338653,58.1434090414636,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,420
7.99,11.66,detected,uncertain,247.85210537703,58.4254294570377,stead_event_00009,12962332,8,11.44,-9.99999999999979,220.000000000001
9.33,15.46,detected,detected,220.082400534079,105.408269738725,stead_event_00012,10925153,9,15.37,330,89.9999999999999
6.34,NaN,detected,not_detected,172.263477239911,14.8441330774199,stead_event_00016,13259505,6,11.24,340,NaN
9.08,13.19,detected,uncertain,158.994740802235,49.9610418095245,stead_event_00017,604179950,9,13.24,80.0000000000001,-50.0000000000007
6.07,10.19,detected,uncertain,154.533790980298,49.9744513724279,stead_event_00018,604179950,6,10.24,70.0000000000003,-50.0000000000007
11.14,11.57,detected,detected,229.648041875424,176.134521021722,stead_event_00051,449393,11.16,11.59,-19.9999999999996,-19.9999999999996
10.96,12.02,detected,detected,233.400690890685,197.596821786302,stead_event_00085,449393,10.96,12.04,0,-20.0000000000014
14.3,15.28,detected,detected,226.125641651521,100.38778334443,stead_event_00103,495,14.3,15.31,0,-30.0000000000011
11.02,11.92,detected,detected,203.88919967418,101.171311646398,stead_event_00108,449393,11.02,11.92,0,0
11.45,12.53,detected,detected,154.008855291817,116.253066456013,stead_event_00125,431338,11.43,12.52,19.9999999999996,9.99999999999979
11.59,12.63,detected,detected,136.835524658147,70.7312221229661,stead_event_00132,419463,11.61,12.6,-19.9999999999996,30.0000000000011
6.17,14.11,detected,uncertain,133.913532610404,43.7626249368139,stead_event_00140,602347413,6,11.48,170,2630
4.17,12.11,detected,uncertain,134.345613141299,43.6161520562363,stead_event_00141,602347413,4,9.48,170,2630
7.96,9.86,detected,detected,242.173042479796,147.373366489637,stead_event_00161,ld60047501,8,9.89,-40,-30.0000000000011
4.48,7.31,detected,detected,180.828872651928,87.7442354698989,stead_event_00162,603441563,4.48,7.25,0,59.9999999999996
1,13.07,detected,uncertain,119.203632450636,6.72256931722556,stead_event_00177,16334499,9,17.5,-8000,-4430
5.22,6.06,detected,uncertain,169.373313650847,31.4164444108183,stead_event_00178,16336727,5,6.7,220,-640.000000000001
9.98,14.5,detected,detected,187.879817018552,81.8690203785113,stead_event_00184,ci11209170,10,14.5,-19.9999999999996,0
8.86,13.27,detected,detected,182.967000805765,57.9715903348418,stead_event_00193,15898998,9,13.45,-140.000000000001,-180.000000000001
9.25,14.26,uncertain,uncertain,90.2282937911327,25.6075029057693,stead_event_00194,15899135,9,15.02,250,-760
7,16.02,detected,uncertain,145.130785248205,19.464275660274,stead_event_00208,605626911,7,15.44,0,580
5,9.8,detected,detected,216.357999270736,105.396665299016,stead_event_00218,12680913,5,9.8,0,0
9.27,NaN,detected,not_detected,120.774039944845,32.4299331662664,stead_event_00225,602562570,9,12.36,270,NaN
5.27,NaN,detected,not_detected,120.562881326101,32.260741921651,stead_event_00226,602562570,5,8.36,270,NaN
8.1,NaN,detected,not_detected,142.810481729323,32.0016743784209,stead_event_00227,603798149,8,10.71,99.9999999999996,NaN
5.1,NaN,detected,not_detected,142.715070145299,31.9675492399099,stead_event_00228,603798149,5,7.71,99.9999999999996,NaN
4.04,NaN,detected,not_detected,170.235947308344,32.6866200229956,stead_event_00239,hv61128081,4,6.65,40,NaN
8.03,15.73,detected,detected,227.708267719334,75.0215408111554,stead_event_00243,hv61222466,8,11.06,29.9999999999994,4670
7,12.23,detected,detected,249.96480104746,38.1586865528197,stead_event_00249,hv61414371,7.01,12.2,-9.99999999999979,29.9999999999994
5.04,6.64,detected,uncertain,183.732816890851,53.9951778299494,stead_event_00253,hv61468921,5,6.25,40,390
5.03,5.76,detected,detected,224.680179589428,99.8783976062148,stead_event_00263,hv61630461,5,5.81,30.0000000000002,-50.0000000000007
9.03,13.46,detected,uncertain,216.182820154137,40.0066639294832,stead_event_00265,hv61631916,9,13.54,29.9999999999994,-80.0000000000001
8.02,8.95,detected,detected,266.683632257893,94.7685879291977,stead_event_00270,hv61720621,8,9.03,19.9999999999996,-80.0000000000001
4.02,NaN,detected,not_detected,187.731990278672,29.4842901683181,stead_event_00289,hv70278546,4.01,5.33,9.99999999999979,NaN
7.01,NaN,detected,not_detected,229.175924794122,15.0063064544228,stead_event_00294,hv70296771,7.01,8.93,0,NaN
7.06,10.25,uncertain,uncertain,98.1454718547785,30.6663458815546,stead_event_00297,hv70313911,6.96,7.97,99.9999999999996,2280
6.03,NaN,detected,not_detected,251.777988006072,34.7346848257138,stead_event_00301,hv70332396,6.03,7.04,0,NaN
4,5.17,detected,uncertain,204.225370079665,49.2071235279282,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,0
8.01,NaN,detected,not_detected,247.345495234078,46.4187427744858,stead_event_00315,hv70413467,8.01,9.21,0,NaN
8,NaN,detected,not_detected,226.001111650487,29.0718919496147,stead_event_00320,hv70444457,7.99,9.61,9.99999999999979,NaN
6,15.26,detected,uncertain,214.008042882009,62.6408243766304,stead_event_00327,hv70476007,6.01,7.33,-9.99999999999979,7930
3.99,8.6,detected,detected,223.857369312099,74.1254006282418,stead_event_00344,hv61414371,4.03,8.58,-40,19.9999999999996
7.01,10.04,detected,detected,254.572680367477,64.2898174826502,stead_event_00347,hv61468921,7,10.08,9.99999999999979,-40.0000000000009
6,10.42,detected,detected,270.712324423865,64.5220996183608,stead_event_00355,hv61631916,6,10.52,0,-99.9999999999996
