p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4.01,7.69,detected,detected,323.516957019769,209.112855312677,stead_event_00007,12962350,4,7.63,9.99999999999979,60.0000000000005
9,12.65,detected,uncertain,332.44466467221,168.597060818819,stead_event_00008,ci10279289,9,12.25,0,400
7.99,11.65,detected,uncertain,329.766506124176,169.959276906879,stead_event_00009,12962332,8,11.44,-9.99999999999979,210.000000000001
9.33,15.55,detected,detected,361.292223153022,209.634056625089,stead_event_00012,10925153,9,15.37,330,180
6.32,NaN,detected,not_detected,321.185048159556,48.7860010911862,stead_event_00016,13259505,6,11.24,320,NaN
9.07,13.18,detected,detected,264.360343115545,133.346648951101,stead_event_00017,604179950,9,13.24,70.0000000000003,-60.0000000000005
6.07,10.18,detected,detected,250.963081124112,133.310477161057,stead_event_00018,604179950,6,10.24,70.0000000000003,-60.0000000000005
11.16,11.57,detected,detected,380.021044981198,294.156241883614,stead_event_00051,449393,11.16,11.59,0,-19.9999999999996
10.96,12.06,detected,detected,361.465774342917,315.584465857074,stead_event_00085,449393,10.96,12.04,0,19.9999999999996
14.3,15.35,detected,detected,381.024651285864,333.048706790587,stead_event_00103,495,14.3,15.31,0,39.9999999999991
11.01,11.89,detected,detected,344.881496023086,237.137891657305,stead_event_00108,449393,11.02,11.92,-9.99999999999979,-29.9999999999994
11.44,12.49,detected,detected,283.520012860271,363.376506612101,stead_event_00125,431338,11.43,12.52,9.99999999999979,-29.9999999999994
11.61,12.55,detected,detected,327.447817047614,199.160308991655,stead_event_00132,419463,11.61,12.6,0,-49.9999999999989
6.13,NaN,detected,not_detected,179.857517673224,90.2610424127852,stead_event_00140,602347413,6,11.48,130,NaN
4.13,NaN,detected,not_detected,181.197718629557,90.6307605093947,stead_event_00141,602347413,4,9.48,130,NaN
7.98,9.85,detected,detected,334.077377436302,263.158349456399,stead_event_00161,ld60047501,8,9.89,-19.9999999999996,-40.0000000000009
4.47,7.27,detected,detected,318.976476806738,200.300319968036,stead_event_00162,603441563,4.48,7.25,-10.0000000000007,19.9999999999996
1.01,13.07,detected,uncertain,179.739838406529,14.5507675402495,stead_event_00177,16334499,9,17.5,-7990,-4430
5.22,6.81,detected,uncertain,278.217134211093,71.5949320819139,stead_event_00178,16336727,5,6.7,220,109.999999999999
9.99,14.48,detected,detected,284.535328821961,161.153995246839,stead_event_00184,ci11209170,10,14.5,-9.99999999999979,-19.9999999999996
8.85,13.29,detected,detected,322.101001222464,164.415394895137,stead_event_00193,15898998,9,13.45,-150,-160.000000000002
NaN,9,not_detected,detected,286.789267716147,112.566278857075,stead_event_00194,15899135,9,15.02,NaN,-6020
6.98,NaN,detected,not_detected,241.177110214107,38.2567940917601,stead_event_00208,605626911,7,15.44,-19.9999999999996,NaN
5.01,9.81,detected,detected,359.237290767137,229.554001822251,stead_event_00218,12680913,5,9.8,9.99999999999979,9.99999999999979
9.27,12.81,detected,uncertain,178.223794488737,117.824756409356,stead_event_00225,602562570,9,12.36,270,450.000000000001
5.27,8.81,detected,uncertain,174.726341209107,116.960158259903,stead_event_00226,602562570,5,8.36,270,450.000000000001
8.1,NaN,detected,not_detected,262.664323511075,109.484232936086,stead_event_00227,603798149,8,10.71,99.9999999999996,NaN
5.1,NaN,detected,not_detected,262.855251026149,109.136934825334,stead_event_00228,603798149,5,7.71,99.9999999999996,NaN
4.01,6.78,detected,uncertain,231.468880692987,133.250519521765,stead_event_00239,hv61128081,4,6.65,9.99999999999979,130
8.03,15.72,detected,detected,287.487061270296,181.441047976243,stead_event_00243,hv61222466,8,11.06,29.9999999999994,4660
6.99,12.24,detected,detected,366.04775183875,95.8645194953547,stead_event_00249,hv61414371,7.01,12.2,-19.9999999999996,39.9999999999991
5.04,6.14,detected,uncertain,313.090117403549,157.932644661708,stead_event_00253,hv61468921,5,6.25,40,-110
5.03,5.77,detected,detected,366.452767620597,249.602374830973,stead_event_00263,hv61630461,5,5.81,30.0000000000002,-40.0000000000009
8.99,13.79,uncertain,detected,267.909800618296,117.817449809094,stead_event_00265,hv61631916,9,13.54,-9.99999999999979,249.999999999998
8.02,8.94,detected,detected,357.229582651321,232.901473576723,stead_event_00270,hv61720621,8,9.03,19.9999999999996,-89.9999999999999
4.01,NaN,detected,not_detected,322.997194694169,85.5529654207224,stead_event_00289,hv70278546,4.01,5.33,0,NaN
6.99,NaN,detected,not_detected,336.111798146232,42.9506899119916,stead_event_00294,hv70296771,7.01,8.93,-19.9999999999996,NaN
NaN,10.33,not_detected,uncertain,192.694733527945,78.4141785360593,stead_event_00297,hv70313911,6.96,7.97,NaN,2360
6.02,NaN,detected,not_detected,352.518558938946,87.382973191742,stead_event_00301,hv70332396,6.03,7.04,-10.0000000000007,NaN
