event_id,source_id,p_true_sec,s_true_sec,p_peak,p_quality,p_time,s_peak_20,s_quality_20,s_time_20,s_peak_30,s_quality_30,s_time_30,s_peak_40,s_quality_40,s_time_40
stead_event_00007,12962350,4,7.63,0.839531421661377,197.233783169128,4,0.804811716079712,37.3060549011974,7.72,0.804811716079712,55.5783641421545,7.72,0.804811716079712,73.8596992916609,7.72
stead_event_00008,ci10279289,9,12.25,0.862475037574768,230.726068174554,8.99,0.590609788894653,28.6670666369162,12.69,0.590609788894653,42.8349245241748,12.69,0.590609788894653,56.9342110588081,12.69
stead_event_00009,12962332,8,11.44,0.860682189464569,228.730579763731,7.98,0.590420722961426,28.6313246184624,11.68,0.590420722961426,42.7816996996515,11.68,0.590420722961426,56.86382241785,11.68
stead_event_00012,10925153,9,15.37,0.842951238155365,193.80313580727,9.34,0.919183552265167,43.4043996062205,15.47,0.919183552265167,64.9381568970859,15.47,0.919183552265167,86.4354688852987,15.47
stead_event_00016,13259505,6,11.24,0.774698317050934,204.218290551799,6.34,0.192076548933983,30.3293848689606,18.37,0.192076548933983,38.1863760339404,18.37,0.192076548933983,49.8830387662423,18.37
stead_event_00017,604179950,9,13.24,0.722496688365936,133.186885728002,9.06,0.743652999401093,17.6662711286788,13.22,0.743652999401093,26.4349893195999,13.22,0.743652999401093,35.1978375453402,13.22
stead_event_00018,604179950,6,10.24,0.727715373039246,131.800665273368,6.06,0.738081395626068,17.7559395492402,10.22,0.738081395626068,26.5670619413113,10.22,0.738081395626068,35.3728573831919,10.22
stead_event_00051,449393,11.16,11.59,0.898818373680115,242.526934225421,11.15,0.947081327438354,53.8896522239675,11.56,0.947081327438354,80.7628063888736,11.56,0.947081327438354,107.515658070444,11.56
stead_event_00085,449393,10.96,12.04,0.902910172939301,239.322191182711,10.95,0.860552668571472,55.5966501679542,12.04,0.860552668571472,82.9770880788602,12.04,0.860552668571472,110.257550565871,12.04
stead_event_00103,495,14.3,15.31,0.884955644607544,261.766131681735,14.3,0.662993729114532,64.5411127670065,15.32,0.662993729114532,96.1793746381654,15.32,0.662993729114532,127.356824187674,15.32
stead_event_00108,449393,11.02,11.92,0.8648721575737,233.917049138765,11.02,0.86903303861618,46.5377315266958,11.89,0.86903303861618,69.6810801122564,11.89,0.86903303861618,92.7364244184295,11.89
stead_event_00125,431338,11.43,12.52,0.817559540271759,201.308122407607,11.44,0.666215658187866,59.6000232712301,12.52,0.666215658187866,88.8618179097787,12.52,0.666215658187866,117.946081115825,12.52
stead_event_00132,419463,11.61,12.6,0.672760188579559,212.256103987704,11.61,0.861182451248169,46.0326720123365,12.58,0.861182451248169,68.7935629649736,12.58,0.861182451248169,91.2721760925065,12.58
stead_event_00140,602347413,6,11.48,0.708935141563416,117.42482669182,6.13,0.343208163976669,19.9674611204206,11.42,0.343208163976669,29.662909353734,11.42,0.343208163976669,39.3249646862654,11.42
stead_event_00141,602347413,4,9.48,0.707220673561096,134.338297301163,4.13,0.339419424533844,20.0944734712009,9.42,0.339419424533844,29.8450168521187,9.42,0.339419424533844,39.561888259879,9.42
stead_event_00161,ld60047501,8,9.89,0.819401860237122,193.774481326206,7.97,0.965342164039612,53.2139391143744,9.85,0.965342164039612,79.5654353165892,9.85,0.965342164039612,105.591680392682,9.85
stead_event_00162,603441563,4.48,7.25,0.842846810817719,218.874221816915,4.48,0.688259840011597,35.7965966594965,7.26,0.688259840011597,53.6310755656221,7.26,0.688259840011597,71.4036607596547,7.26
