p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
3.99,4.09,detected,detected,210.135409712418,98.382123721701,stead_event_00007,12962350,4,7.63,-9.99999999999979,-3540
8.99,9.09,detected,detected,230.814703518785,106.615966556889,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,-3160
7.99,8.09,detected,detected,228.588466040549,109.856007227493,stead_event_00009,12962332,8,11.44,-9.99999999999979,-3350
9.33,15.5,detected,uncertain,177.737683679459,69.0537211535716,stead_event_00012,10925153,9,15.37,330,129.999999999999
6.35,6.53,detected,uncertain,136.484036866944,83.4937494473288,stead_event_00016,13259505,6,11.24,350,-4710
9.07,13.3,detected,uncertain,142.657691146898,34.6665746818744,stead_event_00017,604179950,9,13.24,70.0000000000003,60.0000000000005
6.07,10.3,detected,uncertain,140.453821577981,34.6768510787421,stead_event_00018,604179950,6,10.24,70.0000000000003,60.0000000000005
11.16,11.61,detected,detected,189.141875414807,112.505652303633,stead_event_00051,449393,11.16,11.59,0,19.9999999999996
10.96,12.02,detected,detected,191.803029618726,109.895988868127,stead_event_00085,449393,10.96,12.04,0,-20.0000000000014
14.3,14.51,detected,uncertain,184.789533844618,66.5899592408143,stead_event_00103,495,14.3,15.31,0,-800.000000000001
11.02,11.16,detected,uncertain,169.101579252603,60.8489791815553,stead_event_00108,449393,11.02,11.92,0,-760
11.46,11.6,detected,uncertain,122.077327731652,76.417111584645,stead_event_00125,431338,11.43,12.52,30.0000000000011,-920
11.65,12.63,detected,detected,101.875152184221,73.9021679690414,stead_event_00132,419463,11.61,12.6,40.0000000000009,30.0000000000011
6.15,6.31,detected,uncertain,118.662169875888,71.7623754688169,stead_event_00140,602347413,6,11.48,150,-5170
4.15,4.31,detected,uncertain,119.041691724671,72.0607987578056,stead_event_00141,602347413,4,9.48,150,-5170
7.95,9.85,detected,detected,218.607265961802,100.635399196253,stead_event_00161,ld60047501,8,9.89,-49.9999999999998,-40.0000000000009
4.49,9.99,detected,uncertain,142.536710252279,43.0357073328061,stead_event_00162,603441563,4.48,7.25,9.99999999999979,2740
1.01,9.31,detected,detected,117.056923022366,25.7901139851221,stead_event_00177,16334499,9,17.5,-7990,-8190
5.21,9.98,detected,uncertain,138.54482251258,41.1149544596866,stead_event_00178,16336727,5,6.7,210,3280
9.99,10.09,detected,detected,156.310421764063,60.8115172383844,stead_event_00184,ci11209170,10,14.5,-9.99999999999979,-4410
8.85,13.36,detected,detected,175.661352627453,50.6167132918992,stead_event_00193,15898998,9,13.45,-150,-90.0000000000016
9.25,NaN,uncertain,not_detected,88.4235126041171,32.8855684149269,stead_event_00194,15899135,9,15.02,250,NaN
6.99,7.09,detected,detected,129.687272812239,64.7392567165955,stead_event_00208,605626911,7,15.44,-9.99999999999979,-8350
4.98,5.08,detected,detected,182.553232179184,83.2555901821955,stead_event_00218,12680913,5,9.8,-19.9999999999996,-4720
9.28,9.43,detected,uncertain,109.50603008108,67.3765516694961,stead_event_00225,602562570,9,12.36,279.999999999999,-2930
5.28,5.43,detected,uncertain,109.101476374287,67.0315307366236,stead_event_00226,602562570,5,8.36,280,-2930
8.11,8.34,detected,uncertain,122.624746545926,68.8850576074045,stead_event_00227,603798149,8,10.71,109.999999999999,-2370
5.11,5.34,detected,uncertain,122.57315384802,69.0693138181516,stead_event_00228,603798149,5,7.71,110,-2370
4.04,4.27,detected,uncertain,139.213647172744,62.3494853619641,stead_event_00239,hv61128081,4,6.65,40,-2380
8.03,8.21,detected,detected,209.662143038978,47.3885371031858,stead_event_00243,hv61222466,8,11.06,29.9999999999994,-2850
7,12.47,detected,uncertain,225.607190590036,30.1001638354157,stead_event_00249,hv61414371,7.01,12.2,-9.99999999999979,270
5.05,6.23,detected,uncertain,145.723539493501,53.6440462066064,stead_event_00253,hv61468921,5,6.25,49.9999999999998,-19.9999999999996
5.03,9.87,detected,uncertain,182.601024579832,44.7226528720452,stead_event_00263,hv61630461,5,5.81,30.0000000000002,4060
9.03,13.55,detected,uncertain,209.584202688348,34.0671123109209,stead_event_00265,hv61631916,9,13.54,29.9999999999994,9.99999999999979
8.01,8.11,detected,detected,242.039423743925,98.2929873825371,stead_event_00270,hv61720621,8,9.03,9.99999999999979,-920
4.02,4.21,detected,uncertain,146.026152126094,65.2358414830404,stead_event_00289,hv70278546,4.01,5.33,9.99999999999979,-1120
7,7.11,detected,uncertain,208.761458688835,115.173346787388,stead_event_00294,hv70296771,7.01,8.93,-9.99999999999979,-1820
7.1,9.99,uncertain,uncertain,88.3102526161572,31.3423520034749,stead_event_00297,hv70313911,6.96,7.97,140,2020
6.02,6.12,detected,detected,222.714354589708,76.5041723358072,stead_event_00301,hv70332396,6.03,7.04,-10.0000000000007,-920
4.01,4.11,detected,detected,158.168078076028,78.7247399672895,stead_event_00309,hv70368966,4.01,5.17,0,-1060
8.01,8.13,detected,detected,223.606146712187,95.3985565179199,stead_event_00315,hv70413467,8.01,9.21,0,-1080
8,9.29,detected,uncertain,210.198152924196,42.081594631831,stead_event_00320,hv70444457,7.99,9.61,9.99999999999979,-320
6,6.1,detected,uncertain,204.355505009155,91.5532082947876,stead_event_00327,hv70476007,6.01,7.33,-9.99999999999979,-1230
4.02,9.99,detected,uncertain,186.783594799247,36.8069939002821,stead_event_00344,hv61414371,4.03,8.58,-10.0000000000007,1410
7.01,7.11,detected,detected,226.034268224774,76.6599794479938,stead_event_00347,hv61468921,7,10.08,9.99999999999979,-2970
6,6.1,detected,detected,252.999311855852,89.8886836927211,stead_event_00355,hv61631916,6,10.52,0,-4420
4.01,4.11,detected,detected,225.731308865531,94.7001747812599,stead_event_00360,hv61720621,4,7.48,9.99999999999979,-3370
7,7.1,detected,uncertain,137.806352110092,35.6229104760898,stead_event_00361,hv61765531,7,13.09,0,-5990
9.04,9.31,detected,uncertain,96.940225614527,34.5558839474561,stead_event_00372,12975248,9,21.21,39.9999999999991,-11900
9.04,9.14,detected,detected,207.894897846783,79.2613578699818,stead_event_00397,601253816,9,14.42,39.9999999999991,-5280
7.04,7.14,detected,detected,208.107417009505,79.4482479884805,stead_event_00398,601253816,7,12.42,40,-5280
9.39,9.49,detected,detected,165.73337272961,35.5785397784795,stead_event_00402,601455028,9,13.7,390.000000000001,-4210
5.4,5.5,detected,detected,164.391530304512,35.4509939766841,stead_event_00403,601455028,5,9.7,400,-4200
8.08,8.18,detected,detected,165.494972540403,56.8757579305375,stead_event_00404,601456130,8,13.46,80.0000000000001,-5280
6.08,6.18,detected,detected,165.575830262313,56.6693941928433,stead_event_00405,601456130,6,11.46,80.0000000000001,-5280
7.99,8.09,detected,detected,237.250332761199,82.2354754082457,stead_event_00415,602952322,8,10.32,-9.99999999999979,-2230
6.06,6.16,detected,detected,227.06570661853,50.0147890548344,stead_event_00417,602952346,6,11.18,59.9999999999996,-5020
8.03,8.13,detected,detected,215.188361137593,118.229155102856,stead_event_00422,602952561,8,10.69,29.9999999999994,-2560
8.96,9.29,detected,uncertain,217.16168166552,31.4333575115386,stead_event_00430,603374582,9,14.29,-39.9999999999991,-5000
8.98,13.1,detected,detected,213.15360512271,53.3762693773677,stead_event_00441,603374662,9,13.12,-19.9999999999996,-20.0000000000014
6.98,11.1,detected,detected,213.111639984765,53.2259480122272,stead_event_00442,603374662,7,11.12,-19.9999999999996,-20.0000000000014
4.01,9.23,detected,uncertain,146.187356507094,29.4953168705504,stead_event_00448,603463446,4,9.1,9.99999999999979,130.000000000001
9.01,9.13,detected,uncertain,129.633464038104,48.9697668493606,stead_event_00465,603760886,9,14.53,9.99999999999979,-5400
4.01,4.13,detected,uncertain,130.223752502826,49.5840780807629,stead_event_00466,603760886,4,9.53,9.99999999999979,-5400
