p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4.01,7.71,detected,detected,328.102436459782,107.205192508517,stead_event_00007,12962350,4,7.63,9.99999999999979,80.0000000000001
9,12.66,detected,detected,342.02575377061,102.150886048078,stead_event_00008,ci10279289,9,12.25,0,410
7.99,11.65,detected,detected,337.04506966932,100.886938334514,stead_event_00009,12962332,8,11.44,-9.99999999999979,210.000000000001
9.34,15.5,detected,detected,371.828847485809,116.09785906597,stead_event_00012,10925153,9,15.37,340,129.999999999999
6.31,NaN,detected,not_detected,307.81755275872,25.7359910183456,stead_event_00016,13259505,6,11.24,310,NaN
9.03,13.2,detected,detected,213.688767905747,62.5911568631539,stead_event_00017,604179950,9,13.24,29.9999999999994,-40.0000000000009
6.03,10.2,detected,detected,203.595322069604,62.8962736703271,stead_event_00018,604179950,6,10.24,30.0000000000002,-40.0000000000009
11.16,11.56,detected,detected,411.246681295108,151.00857764547,stead_event_00051,449393,11.16,11.59,0,-29.9999999999994
10.96,12.01,detected,detected,389.816280261571,158.739594383136,stead_event_00085,449393,10.96,12.04,0,-30.0000000000011
14.3,15.35,detected,uncertain,414.587524765721,119.321794492815,stead_event_00103,495,14.3,15.31,0,39.9999999999991
11.01,11.9,detected,detected,357.835648462425,126.972535183315,stead_event_00108,449393,11.02,11.92,-9.99999999999979,-19.9999999999996
11.44,12.49,detected,detected,304.680713960753,161.289553408206,stead_event_00125,431338,11.43,12.52,9.99999999999979,-29.9999999999994
11.59,12.55,uncertain,detected,341.463571502746,111.631934566736,stead_event_00132,419463,11.61,12.6,-19.9999999999996,-49.9999999999989
6.17,14.11,detected,uncertain,181.952119785353,52.3670815870898,stead_event_00140,602347413,6,11.48,170,2630
4.17,12.11,detected,uncertain,183.009014092263,52.4106385254387,stead_event_00141,602347413,4,9.48,170,2630
7.98,9.84,detected,detected,363.19711606142,146.88900980181,stead_event_00161,ld60047501,8,9.89,-19.9999999999996,-50.0000000000007
4.48,7.27,detected,uncertain,315.481264489145,91.444932901309,stead_event_00162,603441563,4.48,7.25,0,19.9999999999996
9.15,9.91,detected,uncertain,143.719571368595,10.1758139949511,stead_event_00177,16334499,9,17.5,150,-7590
5.22,6.89,detected,uncertain,285.8004044172,54.199574091767,stead_event_00178,16336727,5,6.7,220,189.999999999999
9.99,14.46,detected,detected,290.646572216965,93.3413792234794,stead_event_00184,ci11209170,10,14.5,-9.99999999999979,-39.9999999999991
8.86,13.28,detected,detected,331.571133005772,94.7870773306476,stead_event_00193,15898998,9,13.45,-140.000000000001,-170.000000000002
NaN,NaN,not_detected,not_detected,155.393098813047,0,stead_event_00194,15899135,9,15.02,NaN,NaN
6.96,NaN,detected,not_detected,211.303388196502,21.3095511932412,stead_event_00208,605626911,7,15.44,-40,NaN
5.01,9.81,detected,detected,363.70393843186,133.251592853483,stead_event_00218,12680913,5,9.8,9.99999999999979,9.99999999999979
9.26,12.81,detected,uncertain,154.214369093256,53.4172845011001,stead_event_00225,602562570,9,12.36,260,450.000000000001
5.26,8.81,detected,uncertain,153.469705165528,53.3924761708243,stead_event_00226,602562570,5,8.36,260,450.000000000001
8.07,NaN,detected,not_detected,202.30279516425,60.653939611985,stead_event_00227,603798149,8,10.71,70.0000000000003,NaN
5.07,NaN,detected,not_detected,202.438921191595,60.5957862113801,stead_event_00228,603798149,5,7.71,70.0000000000003,NaN
4.04,6.62,detected,uncertain,220.544382503198,52.6732546146041,stead_event_00239,hv61128081,4,6.65,40,-30.0000000000002
8.04,15.73,detected,detected,297.665651336917,95.6382966604101,stead_event_00243,hv61222466,8,11.06,39.9999999999991,4670
6.99,12.23,detected,detected,343.770557347391,46.851179390476,stead_event_00249,hv61414371,7.01,12.2,-19.9999999999996,29.9999999999994
5.04,6.14,detected,uncertain,321.525194156023,79.3755266409926,stead_event_00253,hv61468921,5,6.25,40,-110
5.03,5.77,detected,detected,377.6900761944,129.920299081639,stead_event_00263,hv61630461,5,5.81,30.0000000000002,-40.0000000000009
9.01,13.45,uncertain,detected,310.743226157809,62.1534059500259,stead_event_00265,hv61631916,9,13.54,9.99999999999979,-90.0000000000016
8.02,8.94,detected,detected,361.930590571074,124.68267407466,stead_event_00270,hv61720621,8,9.03,19.9999999999996,-89.9999999999999
4.02,NaN,detected,not_detected,326.876594134738,43.0737709191502,stead_event_00289,hv70278546,4.01,5.33,9.99999999999979,NaN
7.01,NaN,detected,not_detected,314.707255083488,22.9217348545231,stead_event_00294,hv70296771,7.01,8.93,0,NaN
NaN,NaN,not_detected,not_detected,142.304848315388,0,stead_event_00297,hv70313911,6.96,7.97,NaN,NaN
6.02,NaN,detected,not_detected,356.983743463143,32.3684135573073,stead_event_00301,hv70332396,6.03,7.04,-10.0000000000007,NaN
4,5.16,detected,uncertain,368.430813089798,69.4328740745638,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,-9.99999999999979
8.01,9.76,detected,uncertain,350.253762182186,107.55273892298,stead_event_00315,hv70413467,8.01,9.21,0,549.999999999999
7.98,9.17,detected,uncertain,320.966049579809,48.4186617335192,stead_event_00320,hv70444457,7.99,9.61,-9.99999999999979,-439.999999999999
5.98,15.24,detected,uncertain,258.381587561182,80.1687723051351,stead_event_00327,hv70476007,6.01,7.33,-29.9999999999994,7910
4.01,8.52,detected,detected,370.379190388026,107.811811225363,stead_event_00344,hv61414371,4.03,8.58,-20.0000000000005,-60.0000000000005
7.01,10.04,detected,detected,332.686926300702,94.8072431495104,stead_event_00347,hv61468921,7,10.08,9.99999999999979,-40.0000000000009
6,10.38,detected,detected,381.776945161261,95.5965596189515,stead_event_00355,hv61631916,6,10.52,0,-139.999999999999
4,7.52,detected,detected,337.825321821665,87.6456350968655,stead_event_00360,hv61720621,4,7.48,0,39.9999999999991
6.99,13.46,detected,uncertain,201.48397690482,30.326142707482,stead_event_00361,hv61765531,7,13.09,-9.99999999999979,370.000000000001
8.98,NaN,detected,not_detected,183.727739072994,20.5519856350895,stead_event_00372,12975248,9,21.21,-19.9999999999996,NaN
9.05,14.6,detected,detected,282.72435436519,93.5740696705012,stead_event_00397,601253816,9,14.42,50.0000000000007,180
7.05,12.6,detected,detected,283.130115625309,93.8165802737005,stead_event_00398,601253816,7,12.42,49.9999999999998,180
9.39,14.18,detected,detected,351.079673685078,47.8405580960682,stead_event_00402,601455028,9,13.7,390.000000000001,479.999999999999
5.39,10.18,detected,detected,350.644112363474,47.8374025626234,stead_event_00403,601455028,5,9.7,390,479.999999999999
8.08,13.72,detected,detected,339.640814348721,51.6807751514617,stead_event_00404,601456130,8,13.46,80.0000000000001,260
6.08,11.72,detected,detected,340.408706658957,51.6070051036587,stead_event_00405,601456130,6,11.46,80.0000000000001,260
8,10.26,detected,detected,336.418587477854,128.753494935973,stead_event_00415,602952322,8,10.32,0,-60.0000000000005
6.05,11.14,detected,detected,343.629033837736,109.476760632803,stead_event_00417,602952346,6,11.18,49.9999999999998,-39.9999999999991
8.04,NaN,detected,not_detected,319.556740367239,39.5351844405468,stead_event_00422,602952561,8,10.69,39.9999999999991,NaN
8.95,14.27,detected,detected,334.37241311495,59.9417859503061,stead_event_00430,603374582,9,14.29,-50.0000000000007,-20.0000000000014
8.97,13.02,detected,detected,322.831450586786,85.6318881437718,stead_event_00441,603374662,9,13.12,-29.9999999999994,-100.000000000001
6.97,11.02,detected,detected,322.601509311233,85.3842683259431,stead_event_00442,603374662,7,11.12,-30.0000000000002,-100.000000000001
4,9.19,detected,detected,295.914735977904,92.3642487219165,stead_event_00448,603463446,4,9.1,0,89.9999999999999
9,15.16,detected,detected,206.366736272011,69.8392818631047,stead_event_00465,603760886,9,14.53,0,629.999999999999
4,10.16,detected,detected,211.697861710616,70.5158262029693,stead_event_00466,603760886,4,9.53,0,630.000000000001
5.74,NaN,uncertain,not_detected,123.998557061288,39.1533928896759,stead_event_00494,15111098,6,17.01,-260,NaN
9.06,19.28,detected,detected,200.751287117979,93.6659713659622,stead_event_00512,8291998,9,19.22,60.0000000000005,60.0000000000023
5.97,15.25,detected,detected,132.655807584994,108.849735899145,stead_event_00514,9569686,6,15.17,-30.0000000000002,80.0000000000001
NaN,NaN,not_detected,not_detected,124.035455619852,0,stead_event_00515,11121384,5,15.02,NaN,NaN
8.08,19.64,detected,detected,240.356462787668,112.63920492151,stead_event_00518,12975248,8,19.64,80.0000000000001,0
8.05,19.39,detected,detected,219.859821991543,128.301673329667,stead_event_00521,15111098,8,19.19,50.0000000000007,199.999999999999
8.02,NaN,detected,not_detected,327.37611162704,19.2696833573066,stead_event_00551,hv61468921,8,13.53,19.9999999999996,NaN
8.99,NaN,detected,not_detected,336.943559940698,21.9083388490185,stead_event_00563,hv61720621,9,14.54,-9.99999999999979,NaN
7.04,11.29,detected,detected,336.198076583038,89.6546984972174,stead_event_00564,hv61765531,7,11.21,40,79.9999999999983
4.07,6.42,detected,detected,307.512807029764,83.9797901562378,stead_event_00567,hv61894361,4,6.37,70.0000000000003,49.9999999999998
1.01,20.14,detected,uncertain,335.066062459134,22.152966223342,stead_event_00580,hv70368831,4.98,10.16,-3970,9980
5.91,12.97,detected,uncertain,330.270204622332,25.2720811163945,stead_event_00585,hv70476007,5.94,12.12,-30.0000000000002,850
8.97,14.46,detected,uncertain,325.750185010531,39.214950120229,stead_event_00609,600928972,9,14.3,-29.9999999999994,160
2.17,6.23,detected,detected,371.437292423699,120.625407021186,stead_event_00610,601824235,2.17,6.24,0,-9.99999999999979
7.17,9.53,detected,detected,358.357251501701,137.975588386229,stead_event_00611,601253049,7,9.5,170,29.9999999999994
6.96,12.59,detected,detected,291.198435549904,61.9682770171845,stead_event_00618,604500852,7,12.5,-40,89.9999999999999
4.96,10.59,detected,detected,289.961874649252,61.5162618671031,stead_event_00619,604500852,5,10.5,-40,89.9999999999999
7.97,13.76,detected,uncertain,251.668581580526,44.2137788784741,stead_event_00620,604501047,8,13.9,-30.0000000000002,-140.000000000001
6.97,12.76,detected,uncertain,251.375867092936,44.0110505249663,stead_event_00621,604501047,7,12.9,-30.0000000000002,-140.000000000001
4.97,10.78,detected,detected,324.995763619793,56.0629022345048,stead_event_00622,604501047,5,10.9,-30.0000000000002,-120.000000000001
7.19,12.76,detected,uncertain,178.976553917937,68.6415150043035,stead_event_00623,ci15237281,7,12.68,190,80.0000000000001
4.95,9.5,detected,detected,255.77646866027,85.9217866044278,stead_event_00634,nn00253964,5,9.45,-49.9999999999998,49.9999999999989
4.06,11.54,detected,detected,173.377088893763,53.0960235111939,stead_event_00644,15809590,4,11.52,59.9999999999996,19.9999999999996
6,12.12,detected,uncertain,246.483678055502,65.2424397812102,stead_event_00650,ak012a7hvq61,6,12.14,0,-20.0000000000014
9.05,14.92,detected,detected,287.379818912195,101.930569880448,stead_event_00661,606932485,9,15.1,50.0000000000007,-180
5.05,10.92,detected,detected,287.584674078395,101.267055911332,stead_event_00662,606932485,5,11.1,49.9999999999998,-180
4.05,9.92,detected,detected,287.505324659873,101.238786891949,stead_event_00663,606932485,4,10.1,49.9999999999998,-180
7.01,NaN,detected,not_detected,213.291448798901,39.6046777589383,stead_event_00678,13763978,7,13.1,9.99999999999979,NaN
7.71,11.56,detected,detected,146.065999123357,75.6950468124103,stead_event_00679,13548900,7,11.6,710,-39.9999999999991
9.01,NaN,detected,not_detected,168.169743687827,20.6308516385174,stead_event_00688,14757396,9,14.9,9.99999999999979,NaN
9,11.08,detected,detected,222.472817505698,120.356804619643,stead_event_00699,16021240,9,10.8,0,279.999999999999
5.16,NaN,detected,not_detected,208.942996125688,30.4304485635914,stead_event_00718,602860175,5,11.3,160,NaN
4.16,NaN,detected,not_detected,212.28457616601,30.3481913186265,stead_event_00719,602860175,4,10.3,160,NaN
8.93,11.03,detected,detected,262.748873375715,98.6928720669631,stead_event_00740,603779201,9,10.9,-70.0000000000003,129.999999999999
4.93,7.03,detected,detected,263.898062241853,98.9156722127325,stead_event_00741,603779201,5,6.9,-70.0000000000003,130
9.05,NaN,detected,not_detected,320.078541694441,16.826480307161,stead_event_00777,13398232,9,15.1,50.0000000000007,NaN
5.06,10.86,detected,uncertain,359.268259726924,60.5317428839767,stead_event_00786,14302803,5,10.76,59.9999999999996,99.9999999999996
8.95,15.32,detected,uncertain,218.750039066823,69.9378558364013,stead_event_00792,14752286,9,14.9,-50.0000000000007,420
6.13,9.77,detected,uncertain,183.490535411338,68.6274302253598,stead_event_00798,14994606,6,9.6,130,170
5.3,11.7,detected,detected,138.913848507714,100.136696284673,stead_event_00810,604650276,5,11.6,300,99.9999999999996
9.09,11.42,detected,detected,254.952682835398,142.53032785604,stead_event_00811,605123511,9,10.9,89.9999999999999,520
8.94,12.9,detected,uncertain,240.125925490344,29.5573357335517,stead_event_00812,7493998,9,12.84,-60.0000000000005,60.0000000000005
6.02,9.48,detected,detected,387.213655922349,130.631077575131,stead_event_00813,10393297,6,9.3,19.9999999999996,180
8.99,19.58,detected,uncertain,321.376244808603,48.8510403768683,stead_event_00819,7417373,9,12.32,-9.99999999999979,7260
4.94,NaN,detected,not_detected,272.489327727181,20.2345830585336,stead_event_00823,8106673,5,11.13,-59.9999999999996,NaN
5.01,6.53,detected,detected,311.55388428731,114.701495301945,stead_event_00827,13900906,5,6.5,9.99999999999979,30.0000000000002
6.97,8.45,detected,detected,318.481619796904,89.8813912702532,stead_event_00830,12085160,7,8.5,-30.0000000000002,-50.0000000000007
4.05,5.95,detected,detected,258.533448301553,110.739174773605,stead_event_00833,16194199,4,6.11,49.9999999999998,-160
8.93,10.36,detected,uncertain,185.288540731811,75.8603445885694,stead_event_00845,14836273,9,10.1,-70.0000000000003,260
3.94,4.99,detected,detected,159.926359270657,83.3057504552616,stead_event_00868,12103389,4,5,-60.0000000000001,-9.99999999999979
8.03,10.01,detected,detected,241.58723003452,109.96862417788,stead_event_00881,16194329,8,10,29.9999999999994,9.99999999999979
4.96,5.91,detected,detected,176.023092448937,125.86353721452,stead_event_00900,16194358,5,5.9,-40,9.99999999999979
7.99,9.09,detected,uncertain,190.909263471822,102.302089874874,stead_event_00901,12582094,8,9.2,-9.99999999999979,-110.000000000001
4.06,NaN,detected,not_detected,253.659345323619,52.1092033617155,stead_event_00902,12582168,4,6.4,59.9999999999996,NaN
6.99,NaN,detected,not_detected,283.782498789703,49.6019629624254,stead_event_00903,12582171,7,9.2,-9.99999999999979,NaN
NaN,NaN,not_detected,not_detected,279.313757305981,0,stead_event_00911,12583062,6,8.8,NaN,NaN
6.27,9.72,detected,uncertain,144.000560912939,50.0740044107421,stead_event_00919,12601066,6,9.73,270,-9.99999999999979
5.55,NaN,detected,not_detected,189.434182036653,35.1908080094951,stead_event_00929,12692485,5,6.83,550,NaN
6.97,8.53,detected,detected,350.871660311831,125.407945505092,stead_event_00933,12692694,7,8.6,-30.0000000000002,-70.0000000000003
2.67,9.54,detected,detected,214.849562628591,111.14691999567,stead_event_00938,12747038,8,9.5,-5330,39.9999999999991
4.99,6.28,detected,detected,224.433330944944,145.734784432964,stead_event_00945,12788581,5,6.3,-9.99999999999979,-19.9999999999996
8.02,10.67,detected,uncertain,303.495901939875,82.9529028178148,stead_event_00948,12821491,8,10.6,19.9999999999996,70.0000000000003
4.24,5.67,detected,detected,322.100869769139,144.342727554929,stead_event_00953,12869565,4,5.7,240,-30.0000000000002
4,5.28,detected,detected,372.924913662617,144.341226674217,stead_event_00959,13201583,4,5.3,0,-19.9999999999996
5.16,NaN,uncertain,not_detected,129.477245037481,28.7156140158248,stead_event_00985,13650641,5,9.7,160,NaN
8.03,NaN,detected,not_detected,286.135415537558,35.5468798594902,stead_event_00986,13930243,8,10.5,29.9999999999994,NaN
8.98,16.69,detected,detected,147.197942800372,64.904441749564,stead_event_01000,7312993,9,16.7,-19.9999999999996,-9.99999999999801
9.04,NaN,detected,not_detected,164.737416309574,38.328065859059,stead_event_01002,7377065,9,17.89,39.9999999999991,NaN
5.07,12.43,detected,detected,221.715356934109,68.3568381446579,stead_event_01010,7488829,5,12.6,70.0000000000003,-170
7.95,15.24,detected,uncertain,233.945456439646,56.8456317601008,stead_event_01011,7382130,8,14.7,-49.9999999999998,539.999999999999
5.99,12.73,detected,detected,195.930701001239,113.126763688537,stead_event_01016,8184875,6,12.8,-9.99999999999979,-70.0000000000003
4.07,NaN,detected,not_detected,249.623481043568,25.1071741177991,stead_event_01022,10612251,4,11.2,70.0000000000003,NaN
4.74,11.32,detected,detected,331.099815225845,65.6886849819687,stead_event_01040,11937537,5,11.3,-260,19.9999999999996
7.16,14.27,detected,detected,366.119752220859,93.1932442213813,stead_event_01042,12663205,7,14.1,160,170
4.01,NaN,detected,not_detected,179.969859279439,31.5804520893552,stead_event_01052,13236885,4,11.2,9.99999999999979,NaN
6.98,7.29,uncertain,detected,163.741466676369,60.4385403275687,stead_event_01055,13239536,7,17.7,-19.9999999999996,-10410
5.85,18.13,detected,uncertain,208.452212935494,56.6111498737011,stead_event_01059,13257502,6,15.2,-150,2930
5.79,NaN,detected,not_detected,188.441867274834,28.2668754860022,stead_event_01061,13271290,6,11.1,-210,NaN
3.96,10.57,detected,uncertain,232.149522501427,70.1779948329986,stead_event_01081,13568046,4,10.7,-40,-130.000000000001
4.96,11.62,detected,uncertain,337.605784805273,70.8609197096783,stead_event_01091,13882077,5,11.3,-40,319.999999999999
8.91,13.23,detected,uncertain,140.928108032973,47.5054777344689,stead_event_01096,15003373,9,12.5,-89.9999999999999,730
4.92,11.35,detected,detected,311.925448806554,87.5275348366464,stead_event_01097,14619881,5,11.4,-80.0000000000001,-50.0000000000007
6.08,13.43,detected,detected,225.262880331267,74.2633844107625,stead_event_01098,15003688,6,13.7,80.0000000000001,-270.000000000001
9.04,16.33,detected,uncertain,317.859208971485,36.3594881525494,stead_event_01111,15975350,9,16.3,39.9999999999991,29.9999999999976
8.06,15.99,detected,uncertain,219.127072128366,47.6672275876685,stead_event_01116,16017320,8,15.93,60.0000000000005,60.0000000000005
8.89,NaN,detected,not_detected,321.408603216081,55.1359238865968,stead_event_01137,601792378,9,13.3,-109.999999999999,NaN
5.87,10.39,detected,detected,327.68520146004,112.960736629781,stead_event_01150,603982656,6,10.7,-130,-310.000000000001
5.54,10.28,detected,uncertain,293.967243954542,43.8744797558028,stead_event_01157,603986831,6,11.4,-460,-1120
3.93,9.88,detected,detected,337.566150525862,56.3094277334522,stead_event_01162,606442386,4,9.5,-69.9999999999998,380.000000000001
8.73,NaN,detected,not_detected,267.91778237218,46.622784114283,stead_event_01163,606444533,9,11.8,-270,NaN
3.94,8.69,detected,detected,293.165728876408,88.9458743637728,stead_event_01173,15899135,4,8.61,-60.0000000000001,80.0000000000001
4,NaN,detected,not_detected,303.268316101883,42.1134411855162,stead_event_01174,15903282,4,9.64,0,NaN
NaN,NaN,not_detected,not_detected,98.6430510893117,0,stead_event_01178,600013212,4,8.77,NaN,NaN
1.01,21.16,detected,uncertain,368.461880067956,21.3080422561074,stead_event_01189,600205341,6,11.2,-4990,9960
2.36,8.28,detected,detected,344.177742684998,121.533229393639,stead_event_01190,600661370,2.37,8.27,-10.0000000000002,9.99999999999979
8.91,11.74,detected,uncertain,168.428051200033,79.3528698711452,stead_event_01191,600676076,9,11.3,-89.9999999999999,439.999999999999
5.91,8.74,detected,uncertain,169.54224750094,79.0870165561061,stead_event_01192,600676076,6,8.3,-89.9999999999999,439.999999999999
8.92,11.92,detected,detected,295.387738318688,109.351415273998,stead_event_01193,601231538,9,11.7,-80.0000000000001,219.999999999999
5.68,10.87,detected,detected,173.794050787819,81.2578675677723,stead_event_01209,601769282,6,11,-320,-130.000000000001
3.68,8.87,detected,detected,173.919053120904,80.8191370566846,stead_event_01210,601769282,4,9,-320,-130.000000000001
4.88,8.45,detected,uncertain,301.709195910139,85.4476366347239,stead_event_01243,604725260,5,8.2,-120,250
6.23,11.53,detected,detected,261.95983704534,74.0694751981806,stead_event_01244,605672667,6,11.1,230,430
9.04,12.78,detected,detected,276.514674163482,99.9718569911236,stead_event_01245,607719471,9,12.9,39.9999999999991,-120.000000000001
5.04,8.78,detected,detected,276.945985821446,99.8704266042441,stead_event_01246,607719471,5,8.9,40,-120.000000000001
6.02,10.96,detected,detected,269.983996184331,49.2877460824557,stead_event_01247,ci14938052,6,10.97,19.9999999999996,-9.99999999999979
6.98,12.92,detected,uncertain,184.519462071064,39.4805578964728,stead_event_01248,ci14981444,7,12.38,-19.9999999999996,539.999999999999
6.07,11.79,detected,uncertain,261.922474588245,45.9337355209184,stead_event_01273,12636051,6,11.5,70.0000000000003,289.999999999999
7.06,10.67,detected,detected,253.609893319214,96.9981831232745,stead_event_01278,16867667,7,10.5,59.9999999999996,170
5.19,NaN,detected,not_detected,196.147071494795,33.675287461669,stead_event_01310,608588544,5,9,190,NaN
4.19,NaN,detected,not_detected,198.147554774281,33.6957991627328,stead_event_01311,608588544,4,8,190,NaN
6.93,11.87,detected,uncertain,124.676945933418,55.8818101593452,stead_event_01318,603499336,7,11.8,-70.0000000000003,69.9999999999985
3.93,8.87,detected,uncertain,126.664701058887,55.9486712745408,stead_event_01319,603499336,4,8.8,-69.9999999999998,69.9999999999985
7.1,11.85,detected,uncertain,201.473910164325,59.4997862424791,stead_event_01325,603335569,7,11.5,99.9999999999996,350
4.1,8.85,detected,uncertain,205.84870885021,59.6678086683602,stead_event_01326,603335569,4,8.5,99.9999999999996,350
