p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,7.72,detected,detected,173.025083040027,47.5663928492102,stead_event_00007,12962350,4,7.63,0,89.9999999999999
8.99,12.72,detected,detected,201.982959780709,41.406236988678,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,470.000000000001
7.98,11.72,detected,detected,200.668907262082,41.2498557597595,stead_event_00009,12962332,8,11.44,-19.9999999999996,280.000000000001
9.34,15.47,detected,detected,198.945113682257,71.0265081095356,stead_event_00012,10925153,9,15.37,340,99.9999999999996
6.34,18.37,detected,uncertain,187.5585805046,59.0383774225358,stead_event_00016,13259505,6,11.24,340,7130
9.05,13.22,detected,detected,120.792559425576,22.6774511848034,stead_event_00017,604179950,9,13.24,50.0000000000007,-19.9999999999996
6.05,10.22,detected,detected,116.878759812436,22.9455462219592,stead_event_00018,604179950,6,10.24,49.9999999999998,-19.9999999999996
11.16,11.58,detected,detected,227.896890865115,78.4589393565768,stead_event_00051,449393,11.16,11.59,0,-9.99999999999979
10.96,12.07,detected,detected,221.974228422,78.9945814051066,stead_event_00085,449393,10.96,12.04,0,29.9999999999994
14.3,15.31,detected,detected,227.668435424804,95.1840882163434,stead_event_00103,495,14.3,15.31,0,0
11.02,11.89,detected,detected,213.430021845119,64.6160960404093,stead_event_00108,449393,11.02,11.92,0,-29.9999999999994
11.44,12.52,detected,detected,197.600630835678,77.1006483322404,stead_event_00125,431338,11.43,12.52,9.99999999999979,0
11.62,12.58,detected,detected,211.729453263782,64.794117018059,stead_event_00132,419463,11.61,12.6,9.99999999999979,-19.9999999999996
6.13,11.44,detected,detected,111.599995282271,29.0122732532458,stead_event_00140,602347413,6,11.48,130,-40.0000000000009
4.13,9.44,detected,detected,128.773774419429,29.2547772817274,stead_event_00141,602347413,4,9.48,130,-40.0000000000009
7.96,9.86,detected,detected,189.243972092173,84.9443474869546,stead_event_00161,ld60047501,8,9.89,-40,-30.0000000000011
4.48,7.23,detected,detected,183.390471870379,49.4308050214056,stead_event_00162,603441563,4.48,7.25,0,-19.9999999999996
9.14,17.91,detected,detected,98.753778247487,15.8245076331283,stead_event_00177,16334499,9,17.5,140.000000000001,410
5.21,7.45,detected,detected,188.718806860273,31.3945537217022,stead_event_00178,16336727,5,6.7,210,750
9.98,14.45,detected,detected,152.169919578402,32.6833167481922,stead_event_00184,ci11209170,10,14.5,-19.9999999999996,-50.0000000000007
8.85,13.26,detected,detected,171.170006602347,33.3077555048542,stead_event_00193,15898998,9,13.45,-150,-190.000000000001
9.24,30.97,uncertain,uncertain,226.437911528913,14.3296050782583,stead_event_00194,15899135,9,15.02,240,15950
6.95,16.02,detected,detected,129.728237535923,19.9378279387093,stead_event_00208,605626911,7,15.44,-49.9999999999998,580
5,9.77,detected,detected,175.296483250498,63.0950472702023,stead_event_00218,12680913,5,9.8,0,-30.0000000000011
9.22,12.76,detected,detected,111.270014515249,37.1461055545854,stead_event_00225,602562570,9,12.36,220.000000000001,400
5.22,8.75,detected,detected,110.19609201984,36.8638070729205,stead_event_00226,602562570,5,8.36,220,390.000000000001
8.08,12.54,detected,detected,130.039896296889,45.3650754532744,stead_event_00227,603798149,8,10.71,80.0000000000001,1830
5.08,9.54,detected,detected,136.310003180111,45.4832253982987,stead_event_00228,603798149,5,7.71,80.0000000000001,1830
4.03,6.71,detected,detected,123.173316089676,36.9506416985631,stead_event_00239,hv61128081,4,6.65,30.0000000000002,59.9999999999996
8.02,15.74,detected,detected,168.254508826201,32.2564161934849,stead_event_00243,hv61222466,8,11.06,19.9999999999996,4680
6.99,12.23,detected,detected,177.327379003487,20.3538743988511,stead_event_00249,hv61414371,7.01,12.2,-19.9999999999996,29.9999999999994
5.03,6.19,detected,detected,196.337646879285,33.0946055318603,stead_event_00253,hv61468921,5,6.25,30.0000000000002,-59.9999999999996
5.03,5.75,detected,detected,222.898091857681,67.1807936590475,stead_event_00263,hv61630461,5,5.81,30.0000000000002,-60.0000000000005
9,13.46,detected,detected,163.529391756063,25.990368404173,stead_event_00265,hv61631916,9,13.54,0,-80.0000000000001
