p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,7.67,detected,detected,263.447707133142,59.563047020567,stead_event_00007,12962350,4,7.63,0,40
8.98,12.6,detected,detected,270.666942172171,43.1777657954639,stead_event_00008,ci10279289,9,12.25,-19.9999999999996,350
8,11.6,detected,detected,259.082072286204,48.6545542040809,stead_event_00009,12962332,8,11.44,0,160
8.99,15.43,detected,detected,238.0967191599,59.5845734043126,stead_event_00012,10925153,9,15.37,-9.99999999999979,59.9999999999987
5.99,16.15,detected,detected,227.315167483192,22.5439697734478,stead_event_00016,13259505,6,11.24,-9.99999999999979,4910
8.99,13.21,detected,detected,240.409505074137,33.4320388589937,stead_event_00017,604179950,9,13.24,-9.99999999999979,-29.9999999999994
5.99,10.2,detected,detected,242.779636121419,35.9160596669966,stead_event_00018,604179950,6,10.24,-9.99999999999979,-40.0000000000009
11.13,11.59,detected,detected,204.628602835307,72.9401550808309,stead_event_00051,449393,11.16,11.59,-29.9999999999994,0
10.81,12.03,detected,detected,144.816568497052,76.7148277910307,stead_event_00085,449393,10.96,12.04,-150,-10.0000000000016
14.32,14.5,detected,uncertain,111.773261501176,91.0552242250697,stead_event_00103,495,14.3,15.31,19.9999999999996,-810
11.03,11.91,detected,detected,147.929042281204,68.3145722431172,stead_event_00108,449393,11.02,11.92,9.99999999999979,-9.99999999999979
11.45,12.44,detected,detected,153.137535796063,67.8185554992375,stead_event_00125,431338,11.43,12.52,19.9999999999996,-80.0000000000001
11.56,12.55,detected,detected,238.654941775921,61.0548345540124,stead_event_00132,419463,11.61,12.6,-49.9999999999989,-49.9999999999989
6,11.56,detected,detected,247.576200053944,41.6172123086466,stead_event_00140,602347413,6,11.48,0,80.0000000000001
3.99,9.57,detected,detected,273.176450547201,48.0399919222973,stead_event_00141,602347413,4,9.48,-9.99999999999979,89.9999999999999
7.99,9.77,detected,detected,290.182464338096,98.9014813059681,stead_event_00161,ld60047501,8,9.89,-9.99999999999979,-120.000000000001
3.99,7.21,detected,detected,200.347739826984,52.5826566882539,stead_event_00162,603441563,4.48,7.25,-490,-40
8.99,17.67,detected,detected,266.562505412327,39.801549307746,stead_event_00177,16334499,9,17.5,-9.99999999999979,170.000000000002
4.99,7.27,detected,detected,264.378275284023,56.1971982054376,stead_event_00178,16336727,5,6.7,-9.99999999999979,569.999999999999
9.99,14.39,detected,detected,215.993972080703,61.3435380841665,stead_event_00184,ci11209170,10,14.5,-9.99999999999979,-109.999999999999
8.98,13.27,detected,detected,272.470333349463,67.1069277740369,stead_event_00193,15898998,9,13.45,-19.9999999999996,-180.000000000001
8.98,14.37,detected,detected,203.127574001214,30.2993490541288,stead_event_00194,15899135,9,15.02,-19.9999999999996,-650
6.98,15.64,detected,detected,272.328727834452,33.0842586974577,stead_event_00208,605626911,7,15.44,-19.9999999999996,200.000000000001
5,9.83,detected,detected,221.182090466787,63.2895360679878,stead_event_00218,12680913,5,9.8,0,29.9999999999994
8.99,12.72,detected,detected,247.512975114346,47.8085627660828,stead_event_00225,602562570,9,12.36,-9.99999999999979,360.000000000001
4.99,8.72,detected,detected,194.303624335732,49.2886337787036,stead_event_00226,602562570,5,8.36,-9.99999999999979,360.000000000001
7.99,12.45,detected,detected,254.461254638984,33.776280041247,stead_event_00227,603798149,8,10.71,-9.99999999999979,1740
4.99,7.67,detected,detected,255.262912850451,42.6199714455526,stead_event_00228,603798149,5,7.71,-9.99999999999979,-40
3.99,6.71,detected,detected,278.863600933399,55.9017576002605,stead_event_00239,hv61128081,4,6.65,-9.99999999999979,59.9999999999996
8,10.92,detected,detected,245.752769586522,47.1521932966535,stead_event_00243,hv61222466,8,11.06,0,-140.000000000001
7,12.2,detected,detected,276.903382512592,47.3774737267555,stead_event_00249,hv61414371,7.01,12.2,-9.99999999999979,-1.77635683940025e-12
4.99,6.26,detected,detected,257.704018400405,41.797245314526,stead_event_00253,hv61468921,5,6.25,-9.99999999999979,9.99999999999979
4.98,5.85,detected,detected,268.241931033946,69.2622758993362,stead_event_00263,hv61630461,5,5.81,-19.9999999999996,39.9999999999991
9,13.62,detected,detected,194.92802149099,41.2688385615058,stead_event_00265,hv61631916,9,13.54,0,79.9999999999983
8,8.95,detected,detected,247.40700777456,68.7751630093833,stead_event_00270,hv61720621,8,9.03,0,-80.0000000000001
4.01,5.31,detected,detected,254.100103721376,36.8574295427192,stead_event_00289,hv70278546,4.01,5.33,0,-20.0000000000005
