p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,NaN,detected,not_detected,304.114510427231,10.3318263701446,stead_event_00007,12962350,4,7.63,0,NaN
8.99,NaN,detected,not_detected,318.909701290439,22.5454200497229,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,NaN
7.99,NaN,detected,not_detected,316.814547903487,22.424593331205,stead_event_00009,12962332,8,11.44,-9.99999999999979,NaN
9.33,15.63,detected,detected,330.116281234257,141.562944560816,stead_event_00012,10925153,9,15.37,330,260
6.34,NaN,detected,not_detected,287.5054901471,9.08625777425129,stead_event_00016,13259505,6,11.24,340,NaN
9.06,12.23,detected,uncertain,236.900437131718,56.3061861307684,stead_event_00017,604179950,9,13.24,60.0000000000005,-1010
6.06,9.23,detected,uncertain,230.148869867276,56.8744793569154,stead_event_00018,604179950,6,10.24,59.9999999999996,-1010
11.16,11.5,detected,detected,356.185091502709,112.911699417998,stead_event_00051,449393,11.16,11.59,0,-89.9999999999999
10.96,11.96,detected,detected,346.724949849283,112.48705900276,stead_event_00085,449393,10.96,12.04,0,-80.0000000000001
14.27,15.19,detected,detected,340.118690031213,144.302275382739,stead_event_00103,495,14.3,15.31,-30.0000000000011,-120.000000000001
11.01,11.79,detected,detected,326.653153140793,98.8926647091771,stead_event_00108,449393,11.02,11.92,-9.99999999999979,-130.000000000001
11.45,NaN,detected,not_detected,256.394583671933,36.543623099384,stead_event_00125,431338,11.43,12.52,19.9999999999996,NaN
11.59,12.66,detected,detected,266.146129598782,61.4935648083128,stead_event_00132,419463,11.61,12.6,-19.9999999999996,60.0000000000005
6.16,10.86,detected,uncertain,183.42615446717,38.3769862876897,stead_event_00140,602347413,6,11.48,160,-620.000000000001
4.16,8.86,detected,uncertain,187.296357851332,38.6452147763245,stead_event_00141,602347413,4,9.48,160,-620.000000000001
7.95,9.83,detected,detected,275.930590372656,124.441527845246,stead_event_00161,ld60047501,8,9.89,-49.9999999999998,-60.0000000000005
4.47,7.46,detected,detected,302.097335217099,68.3807531471238,stead_event_00162,603441563,4.48,7.25,-10.0000000000007,210
1.01,9.78,detected,uncertain,83.3571250512933,7.41059945873767,stead_event_00177,16334499,9,17.5,-7990,-7720
5.22,NaN,detected,not_detected,274.569064655307,19.1586053240653,stead_event_00178,16336727,5,6.7,220,NaN
9.98,NaN,detected,not_detected,296.46388012728,14.1526271886157,stead_event_00184,ci11209170,10,14.5,-19.9999999999996,NaN
8.85,NaN,detected,not_detected,251.069399892073,12.8821843645759,stead_event_00193,15898998,9,13.45,-150,NaN
1.02,8.99,uncertain,detected,185.743415749087,54.0907476977573,stead_event_00194,15899135,9,15.02,-7980,-6030
6.98,NaN,detected,not_detected,214.255045783828,10.8244179075353,stead_event_00208,605626911,7,15.44,-19.9999999999996,NaN
4.98,9.87,detected,detected,338.062836170443,90.945447937208,stead_event_00218,12680913,5,9.8,-19.9999999999996,69.9999999999985
9.25,NaN,detected,not_detected,180.062007864504,16.6347573356752,stead_event_00225,602562570,9,12.36,250,NaN
5.25,NaN,detected,not_detected,178.706093614478,16.784508310915,stead_event_00226,602562570,5,8.36,250,NaN
8.1,NaN,detected,not_detected,246.435408893249,18.8884013036391,stead_event_00227,603798149,8,10.71,99.9999999999996,NaN
5.1,NaN,detected,not_detected,247.016235712914,18.9334181307321,stead_event_00228,603798149,5,7.71,99.9999999999996,NaN
4.02,NaN,detected,not_detected,165.91287136989,29.8681473876664,stead_event_00239,hv61128081,4,6.65,19.9999999999996,NaN
8.03,NaN,detected,not_detected,287.311977510203,13.1665171387649,stead_event_00243,hv61222466,8,11.06,29.9999999999994,NaN
6.99,NaN,detected,not_detected,292.576628678969,23.9201010315493,stead_event_00249,hv61414371,7.01,12.2,-19.9999999999996,NaN
5.04,NaN,detected,not_detected,301.446859896017,25.515430418864,stead_event_00253,hv61468921,5,6.25,40,NaN
5.01,NaN,detected,not_detected,336.175567972133,72.5979302783768,stead_event_00263,hv61630461,5,5.81,9.99999999999979,NaN
8.95,13.05,uncertain,uncertain,197.119661925386,34.0266717752454,stead_event_00265,hv61631916,9,13.54,-50.0000000000007,-490
8.01,NaN,detected,not_detected,331.262595249624,64.4496718958658,stead_event_00270,hv61720621,8,9.03,9.99999999999979,NaN
4,NaN,detected,not_detected,296.447672481756,17.8576715375255,stead_event_00289,hv70278546,4.01,5.33,-9.99999999999979,NaN
6.99,NaN,detected,not_detected,302.368582477351,36.7169411061101,stead_event_00294,hv70296771,7.01,8.93,-19.9999999999996,NaN
32.46,NaN,uncertain,not_detected,215.651722742575,16.5786938650149,stead_event_00297,hv70313911,6.96,7.97,25500,NaN
