p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,11.22,detected,uncertain,209.306114569249,11.8944429944491,stead_event_00007,12962350,4,7.63,0,3590
8.99,12.07,detected,uncertain,229.902878495932,17.497690195212,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,-180
7.99,11.07,detected,uncertain,227.838572041436,17.5725242398221,stead_event_00009,12962332,8,11.44,-9.99999999999979,-369.999999999999
9.34,15.59,detected,detected,218.733386652417,60.3511343903615,stead_event_00012,10925153,9,15.37,340,219.999999999999
6.34,NaN,detected,not_detected,214.132074731644,9.39771630202915,stead_event_00016,13259505,6,11.24,340,NaN
9.06,12.19,detected,detected,153.6500200105,23.668509798178,stead_event_00017,604179950,9,13.24,60.0000000000005,-1050
6.05,9.19,detected,detected,159.012520106091,24.1779897590938,stead_event_00018,604179950,6,10.24,49.9999999999998,-1050
11.16,11.59,detected,detected,236.759915193469,67.3562779349669,stead_event_00051,449393,11.16,11.59,0,0
10.96,12.05,detected,detected,227.902408226993,63.9980378112464,stead_event_00085,449393,10.96,12.04,0,9.99999999999979
14.3,15.2,detected,detected,230.891438465234,67.5271243646112,stead_event_00103,495,14.3,15.31,0,-110.000000000001
11.02,11.73,detected,detected,223.338635170799,36.9638589477163,stead_event_00108,449393,11.02,11.92,0,-189.999999999999
11.47,12.21,detected,uncertain,172.946566719527,27.3649558486459,stead_event_00125,431338,11.43,12.52,40.0000000000009,-309.999999999999
11.6,12.7,detected,detected,187.693107175206,32.618402081079,stead_event_00132,419463,11.61,12.6,-9.99999999999979,99.9999999999996
6.14,10.7,detected,detected,135.595909271532,17.7982884989831,stead_event_00140,602347413,6,11.48,140,-780.000000000001
4.13,8.7,detected,detected,137.030232870459,17.9642203185023,stead_event_00141,602347413,4,9.48,130,-780.000000000001
7.96,9.85,detected,detected,211.526664776995,67.5923234176455,stead_event_00161,ld60047501,8,9.89,-40,-40.0000000000009
4.48,7.35,detected,detected,216.455242537975,34.6803853389459,stead_event_00162,603441563,4.48,7.25,0,99.9999999999996
0.99,9.78,detected,detected,103.757090739064,15.2485061433857,stead_event_00177,16334499,9,17.5,-8010,-7720
5.22,7.24,detected,detected,215.185101427004,12.6415587186704,stead_event_00178,16336727,5,6.7,220,540
9.98,20.31,detected,uncertain,209.134032403546,15.1395050352746,stead_event_00184,ci11209170,10,14.5,-19.9999999999996,5810
8.86,12.76,detected,uncertain,193.087039929318,9.6814339331094,stead_event_00193,15898998,9,13.45,-140.000000000001,-690.000000000001
9.07,16.58,uncertain,detected,139.569846444275,11.6995671551213,stead_event_00194,15899135,9,15.02,70.0000000000003,1560
6.97,24.2,detected,uncertain,155.702496364653,8.16695130566969,stead_event_00208,605626911,7,15.44,-30.0000000000002,8760
5,9.82,detected,detected,215.216445750097,39.7307812499172,stead_event_00218,12680913,5,9.8,0,19.9999999999996
9.21,12.59,detected,uncertain,136.57428722211,16.0368322999501,stead_event_00225,602562570,9,12.36,210.000000000001,230
5.21,8.59,detected,uncertain,136.648709251193,16.0518907268951,stead_event_00226,602562570,5,8.36,210,230
8.11,9.03,detected,uncertain,188.307540179093,22.7696721823622,stead_event_00227,603798149,8,10.71,109.999999999999,-1680
5.11,6.03,detected,uncertain,183.818060630087,22.8817012538463,stead_event_00228,603798149,5,7.71,110,-1680
4.04,5.43,detected,uncertain,152.149120341502,15.8271349956361,stead_event_00239,hv61128081,4,6.65,40,-1220
8.03,NaN,detected,not_detected,204.131732547633,11.9222184508874,stead_event_00243,hv61222466,8,11.06,29.9999999999994,NaN
7,12.08,detected,detected,217.122639502203,15.5647966383512,stead_event_00249,hv61414371,7.01,12.2,-9.99999999999979,-120.000000000001
5.05,6.16,detected,uncertain,222.678917898104,21.2018754491266,stead_event_00253,hv61468921,5,6.25,49.9999999999998,-89.9999999999999
5.03,5.59,detected,detected,240.502553011469,45.9420679722575,stead_event_00263,hv61630461,5,5.81,30.0000000000002,-220.000000000001
8.98,12.97,detected,detected,164.038983930023,17.3208908616421,stead_event_00265,hv61631916,9,13.54,-19.9999999999996,-570
8.02,9.35,detected,uncertain,233.65405576367,27.0287706755147,stead_event_00270,hv61720621,8,9.03,19.9999999999996,320
4.02,NaN,detected,not_detected,231.369720341192,10.8483142992496,stead_event_00289,hv70278546,4.01,5.33,9.99999999999979,NaN
6.99,8.1,detected,detected,210.935071154718,24.0132999366048,stead_event_00294,hv70296771,7.01,8.93,-19.9999999999996,-830
6.91,7.05,detected,detected,187.303795038948,20.699355886608,stead_event_00297,hv70313911,6.96,7.97,-49.9999999999998,-920
6.02,7.64,detected,uncertain,218.035031050597,11.9948112618016,stead_event_00301,hv70332396,6.03,7.04,-10.0000000000007,600
4,5.57,detected,uncertain,231.322581666032,14.521813489835,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,400
8.01,8.79,detected,uncertain,220.958168970588,25.756578167045,stead_event_00315,hv70413467,8.01,9.21,0,-420.000000000002
7.99,9.42,detected,uncertain,213.47681875092,14.8955649720227,stead_event_00320,hv70444457,7.99,9.61,0,-189.999999999999
6,9.07,detected,detected,199.713030184235,20.8203427595247,stead_event_00327,hv70476007,6.01,7.33,-9.99999999999979,1740
4.01,8.73,detected,detected,247.305752231082,27.5712973690119,stead_event_00344,hv61414371,4.03,8.58,-20.0000000000005,150
7.01,9.83,detected,detected,218.033901663909,20.498968758199,stead_event_00347,hv61468921,7,10.08,9.99999999999979,-250
6,9.14,detected,detected,235.431686646315,20.2854665947735,stead_event_00355,hv61631916,6,10.52,0,-1380
4,5.31,detected,uncertain,220.525930852773,10.555498529941,stead_event_00360,hv61720621,4,7.48,0,-2170
7.01,13.38,detected,detected,162.557512800681,10.6296196981186,stead_event_00361,hv61765531,7,13.09,9.99999999999979,290.000000000001
8.99,22.48,detected,detected,100.393815057155,9.35917040993261,stead_event_00372,12975248,9,21.21,-9.99999999999979,1270
9.04,14.44,detected,detected,198.037010831016,15.1172349552492,stead_event_00397,601253816,9,14.42,39.9999999999991,19.9999999999996
7.04,12.44,detected,detected,198.950232384644,15.1643963585487,stead_event_00398,601253816,7,12.42,40,19.9999999999996
9.39,14.18,detected,detected,213.179848423209,16.0596041836538,stead_event_00402,601455028,9,13.7,390.000000000001,479.999999999999
5.39,10.18,detected,detected,234.69464482277,16.4186995057291,stead_event_00403,601455028,5,9.7,390,479.999999999999
8.09,17.78,detected,detected,219.591146223052,18.8990117099096,stead_event_00404,601456130,8,13.46,89.9999999999999,4320
6.09,15.78,detected,detected,217.194953636917,18.9433423833358,stead_event_00405,601456130,6,11.46,89.9999999999999,4320
7.99,10.17,detected,detected,228.066345386861,31.6741382126998,stead_event_00415,602952322,8,10.32,-9.99999999999979,-150
6.05,11.1,detected,detected,218.45718721554,28.7456010858642,stead_event_00417,602952346,6,11.18,49.9999999999998,-80.0000000000001
8.03,10.62,detected,uncertain,211.619369582706,33.0439396634663,stead_event_00422,602952561,8,10.69,29.9999999999994,-70.0000000000003
8.95,14.16,detected,detected,202.459638245898,12.4397315239925,stead_event_00430,603374582,9,14.29,-50.0000000000007,-130.000000000001
8.97,12.97,detected,detected,200.121242163497,19.0452630157084,stead_event_00441,603374662,9,13.12,-29.9999999999994,-150
6.97,10.97,detected,detected,200.189250828248,18.9648381181007,stead_event_00442,603374662,7,11.12,-30.0000000000002,-150
4,9.28,detected,detected,195.108948585064,20.2624050474368,stead_event_00448,603463446,4,9.1,0,180
9,15.11,detected,detected,162.72250766385,19.8048651417157,stead_event_00465,603760886,9,14.53,0,579.999999999998
4,10.11,detected,detected,165.082434437919,19.9797289814853,stead_event_00466,603760886,4,9.53,0,580
6.13,17.5,detected,detected,123.139492964427,23.6365747865815,stead_event_00494,15111098,6,17.01,130,489.999999999998
9.04,19.51,detected,detected,179.30778372679,31.4817974202508,stead_event_00512,8291998,9,19.22,39.9999999999991,290.000000000003
6.22,15.17,detected,detected,116.197175303729,16.0446928399636,stead_event_00514,9569686,6,15.17,220,0
5.61,14.95,uncertain,uncertain,140.643995409611,18.1747391817175,stead_event_00515,11121384,5,15.02,610,-70.0000000000003
8.07,19.66,detected,detected,167.490294067008,33.1528194352145,stead_event_00518,12975248,8,19.64,70.0000000000003,19.9999999999996
8.03,19.39,detected,detected,162.590610234758,48.9716318282522,stead_event_00521,15111098,8,19.19,29.9999999999994,199.999999999999
8.02,14.09,detected,detected,216.051026029523,12.5991518876076,stead_event_00551,hv61468921,8,13.53,19.9999999999996,559.999999999999
9,15.37,detected,detected,191.748048199899,7.98105202607761,stead_event_00563,hv61720621,9,14.54,0,829.999999999998
7.07,11.06,detected,uncertain,194.956400631468,14.2919895878521,stead_event_00564,hv61765531,7,11.21,70.0000000000003,-150
4.08,6.45,detected,uncertain,201.449229800298,13.8597607905715,stead_event_00567,hv61894361,4,6.37,80.0000000000001,80.0000000000001
0.99,10.44,detected,detected,155.043638059689,5.96397759516142,stead_event_00580,hv70368831,4.98,10.16,-3990,279.999999999999
5.93,26.47,detected,detected,194.699548971462,5.94086569007652,stead_event_00585,hv70476007,5.94,12.12,-10.0000000000007,14350
8.97,26.62,detected,uncertain,207.254141995761,8.98663981621126,stead_event_00609,600928972,9,14.3,-29.9999999999994,12320
2.17,6.13,detected,detected,236.122534226982,25.5401184455241,stead_event_00610,601824235,2.17,6.24,0,-110
7.17,7.84,detected,detected,206.546184856018,27.520202581524,stead_event_00611,601253049,7,9.5,170,-1660
6.97,12.71,detected,detected,189.79383022808,13.5542003754822,stead_event_00618,604500852,7,12.5,-30.0000000000002,210.000000000001
4.97,10.71,detected,detected,188.686290181268,13.4632229488389,stead_event_00619,604500852,5,10.5,-30.0000000000002,210.000000000001
7.97,13.64,detected,detected,155.039880259028,12.1507596849557,stead_event_00620,604501047,8,13.9,-30.0000000000002,-260
6.97,12.64,detected,detected,153.5570087381,12.0756093134266,stead_event_00621,604501047,7,12.9,-30.0000000000002,-260
4.95,10.65,detected,detected,200.587077996832,14.1790175092607,stead_event_00622,604501047,5,10.9,-49.9999999999998,-250
7.24,12.69,detected,detected,155.093490984054,27.7073507746815,stead_event_00623,ci15237281,7,12.68,240,9.99999999999979
4.98,9.42,detected,detected,168.187886934981,23.6911276274262,stead_event_00634,nn00253964,5,9.45,-19.9999999999996,-30.0000000000011
4.08,12.21,detected,detected,157.224131035412,14.5741853641446,stead_event_00644,15809590,4,11.52,80.0000000000001,690.000000000001
6,7.53,detected,uncertain,179.213878148498,11.4919186027418,stead_event_00650,ak012a7hvq61,6,12.14,0,-4610
9.05,20.76,detected,detected,195.654174280855,15.8988560677947,stead_event_00661,606932485,9,15.1,50.0000000000007,5660
5.05,16.76,detected,detected,195.271064032602,15.6866627910464,stead_event_00662,606932485,5,11.1,49.9999999999998,5660
4.05,15.76,detected,detected,195.279213820675,15.6808376974249,stead_event_00663,606932485,4,10.1,49.9999999999998,5660
7.02,13.76,detected,detected,174.889474513743,19.7764234424633,stead_event_00678,13763978,7,13.1,19.9999999999996,660
7.74,19.26,detected,detected,141.618828946083,19.2987223040193,stead_event_00679,13548900,7,11.6,740,7660
9.06,21.45,detected,detected,141.046412795622,11.7762915461061,stead_event_00688,14757396,9,14.9,60.0000000000005,6550
8.95,11.04,detected,detected,174.077289817647,53.225984901558,stead_event_00699,16021240,9,10.8,-50.0000000000007,239.999999999998
5.17,9.94,detected,uncertain,116.551234641807,12.380542659535,stead_event_00718,602860175,5,11.3,170,-1360
4.16,8.94,detected,uncertain,116.879813463574,12.403929798567,stead_event_00719,602860175,4,10.3,160,-1360
8.93,11.15,detected,detected,179.781325659482,32.1395828778655,stead_event_00740,603779201,9,10.9,-70.0000000000003,250
4.93,7.15,detected,detected,188.986614570252,32.6017736687981,stead_event_00741,603779201,5,6.9,-70.0000000000003,250
9.04,12.86,detected,uncertain,224.128733160529,9.58399160931571,stead_event_00777,13398232,9,15.1,39.9999999999991,-2240
5.05,10.78,detected,uncertain,225.517805824063,16.8126890403025,stead_event_00786,14302803,5,10.76,49.9999999999998,19.9999999999996
8.95,15.68,detected,detected,174.750466451801,14.3860539173296,stead_event_00792,14752286,9,14.9,-50.0000000000007,779.999999999999
6.13,9.49,detected,detected,149.974937893652,36.8954473455775,stead_event_00798,14994606,6,9.6,130,-109.999999999999
4.96,15.36,detected,detected,116.689121662395,23.2080718976708,stead_event_00810,604650276,5,11.6,-40,3760
9.09,11.44,detected,detected,194.310202840735,46.8735675371184,stead_event_00811,605123511,9,10.9,89.9999999999999,539.999999999999
8.96,23.31,detected,detected,178.454636039338,8.72432972412865,stead_event_00812,7493998,9,12.84,-39.9999999999991,10470
6.01,9.41,detected,detected,236.970779390392,26.4943613785149,stead_event_00813,10393297,6,9.3,9.99999999999979,109.999999999999
8.99,11.63,detected,uncertain,220.631443838241,10.8279689449998,stead_event_00819,7417373,9,12.32,-9.99999999999979,-690
4.94,8.06,detected,detected,201.488138431445,12.4792374135006,stead_event_00823,8106673,5,11.13,-59.9999999999996,-3070
5.03,6.44,detected,uncertain,212.640032348549,22.7701295110671,stead_event_00827,13900906,5,6.5,30.0000000000002,-59.9999999999996
6.98,8.55,detected,detected,218.385500955916,22.1388160261078,stead_event_00830,12085160,7,8.5,-19.9999999999996,50.0000000000007
4.04,5.75,detected,detected,173.914449662731,31.3018665541384,stead_event_00833,16194199,4,6.11,40,-360
8.94,10.45,detected,detected,144.36041375636,45.2065867446772,stead_event_00845,14836273,9,10.1,-60.0000000000005,350
3.87,4.82,detected,detected,165.88599834125,31.0186581618023,stead_event_00868,12103389,4,5,-130,-180
8,10.2,detected,detected,199.203413486809,25.2495724317641,stead_event_00881,16194329,8,10,0,199.999999999999
4.94,6.05,detected,uncertain,150.054094437423,30.3403559266587,stead_event_00900,16194358,5,5.9,-59.9999999999996,149.999999999999
7.92,8.63,detected,detected,140.344473498213,30.9526936053081,stead_event_00901,12582094,8,9.2,-80.0000000000001,-570
4.04,6.4,detected,uncertain,180.779412082856,21.2136889442903,stead_event_00902,12582168,4,6.4,40,0
7,13.93,detected,uncertain,175.211408042809,14.7406312095061,stead_event_00903,12582171,7,9.2,0,4730
NaN,NaN,not_detected,not_detected,82.1415621380803,0,stead_event_00911,12583062,6,8.8,NaN,NaN
6.33,10.24,detected,detected,135.814803683605,19.7652466654626,stead_event_00919,12601066,6,9.73,330,510
5.55,11.41,detected,detected,166.79030294322,19.9274947849789,stead_event_00929,12692485,5,6.83,550,4580
6.97,8.3,detected,uncertain,222.502272145316,25.1649217632418,stead_event_00933,12692694,7,8.6,-30.0000000000002,-299.999999999999
2.67,9.37,detected,detected,159.411269585135,34.221361574111,stead_event_00938,12747038,8,9.5,-5330,-130.000000000001
5.01,6.42,detected,uncertain,162.337685436743,23.0552465954305,stead_event_00945,12788581,5,6.3,9.99999999999979,120
8.03,10.21,detected,detected,214.403155088911,31.5995898466128,stead_event_00948,12821491,8,10.6,29.9999999999994,-389.999999999999
4.25,5.77,detected,detected,220.449795621402,44.4573247759979,stead_event_00953,12869565,4,5.7,250,69.9999999999994
3.99,NaN,detected,not_detected,236.802718175592,22.9822180351181,stead_event_00959,13201583,4,5.3,-9.99999999999979,NaN
5.23,10.55,detected,uncertain,120.95032318639,15.2366961160599,stead_event_00985,13650641,5,9.7,230,850
8.02,9.93,detected,detected,205.734447077949,14.9679751103626,stead_event_00986,13930243,8,10.5,19.9999999999996,-570
8.95,16.11,detected,uncertain,133.472565734709,15.8878325279997,stead_event_01000,7312993,9,16.7,-50.0000000000007,-590
8.97,18.18,detected,detected,118.866350537426,25.1457885985626,stead_event_01002,7377065,9,17.89,-29.9999999999994,289.999999999999
5.04,12.4,detected,detected,161.312542599383,13.5637353260771,stead_event_01010,7488829,5,12.6,40,-199.999999999999
8,15.37,detected,detected,162.299904044265,18.4107828880505,stead_event_01011,7382130,8,14.7,0,669.999999999998
5.98,12.79,detected,detected,151.775192811566,19.931202746155,stead_event_01016,8184875,6,12.8,-19.9999999999996,-10.0000000000016
4.07,10.45,detected,uncertain,206.795924151384,12.7830606950521,stead_event_01022,10612251,4,11.2,70.0000000000003,-750.000000000002
4.74,11.17,detected,detected,227.083843307504,11.9877461973779,stead_event_01040,11937537,5,11.3,-260,-130.000000000001
7.16,14.38,detected,detected,214.269544840019,21.4394962572766,stead_event_01042,12663205,7,14.1,160,280.000000000001
4,11.23,detected,detected,147.882558810903,14.1291756617974,stead_event_01052,13236885,4,11.2,0,29.9999999999994
7.23,18.19,detected,detected,132.928681124635,22.1909325731169,stead_event_01055,13239536,7,17.7,230,490.000000000002
5.83,10.73,detected,detected,160.704604102883,17.9452994480023,stead_event_01059,13257502,6,15.2,-170,-4470
5.81,12.39,detected,uncertain,129.908081343,9.73983796500574,stead_event_01061,13271290,6,11.1,-190,1290
3.96,10.13,detected,detected,164.175786616827,21.9068910417505,stead_event_01081,13568046,4,10.7,-40,-570
4.94,11.48,detected,detected,223.315335189092,25.1540314394216,stead_event_01091,13882077,5,11.3,-59.9999999999996,180
8.88,13.26,detected,detected,100.614093777793,14.1897842432075,stead_event_01096,15003373,9,12.5,-119.999999999999,760
4.92,11.39,detected,detected,214.346119428271,23.8304806083788,stead_event_01097,14619881,5,11.4,-80.0000000000001,-9.99999999999979
6.09,13.4,detected,detected,171.203907772801,18.2868085014335,stead_event_01098,15003688,6,13.7,89.9999999999999,-300.000000000001
9.03,16.32,detected,detected,198.934908865262,12.5842571830309,stead_event_01111,15975350,9,16.3,29.9999999999994,19.9999999999996
8.06,15.88,detected,detected,190.19010437839,16.9424929643337,stead_event_01116,16017320,8,15.93,60.0000000000005,-49.9999999999989
8.9,9.57,detected,uncertain,202.320903805056,18.2260026486094,stead_event_01137,601792378,9,13.3,-99.9999999999996,-3730
5.87,10.28,detected,detected,215.914940362439,23.3087510774514,stead_event_01150,603982656,6,10.7,-130,-420.000000000002
5.53,15.14,detected,uncertain,200.582030274114,12.456654629437,stead_event_01157,603986831,6,11.4,-470,3740
3.93,9.87,detected,detected,208.025285319236,8.44100753711155,stead_event_01162,606442386,4,9.5,-69.9999999999998,369.999999999999
8.7,10.09,detected,detected,196.589826449744,13.214300626948,stead_event_01163,606444533,9,11.8,-300.000000000001,-1710
3.93,8.84,detected,detected,203.904154998696,32.6719153940081,stead_event_01173,15899135,4,8.61,-69.9999999999998,230
4,7.23,detected,uncertain,207.773844529752,13.2480116506961,stead_event_01174,15903282,4,9.64,0,-2410
NaN,NaN,not_detected,not_detected,79.5678734911103,0,stead_event_01178,600013212,4,8.77,NaN,NaN
1.02,10.85,detected,detected,200.24599115442,7.62621749377238,stead_event_01189,600205341,6,11.2,-4980,-350.000000000001
2.37,8.13,detected,detected,223.461454103704,17.266456309509,stead_event_01190,600661370,2.37,8.27,0,-139.999999999999
8.88,11.55,detected,detected,137.198476172669,47.412910632051,stead_event_01191,600676076,9,11.3,-119.999999999999,250
5.88,8.55,detected,detected,133.838831534805,47.2112132187382,stead_event_01192,600676076,6,8.3,-120,250
8.91,11.56,detected,detected,216.832371227814,29.944957937603,stead_event_01193,601231538,9,11.7,-89.9999999999999,-140.000000000001
