p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,NaN,detected,not_detected,350.381673677533,11.0389954082037,stead_event_00007,12962350,4,7.63,0,NaN
8.99,NaN,detected,not_detected,341.733655246839,18.6087599931558,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,NaN
7.99,NaN,detected,not_detected,337.234839531319,19.341120439978,stead_event_00009,12962332,8,11.44,-9.99999999999979,NaN
9.33,15.67,detected,detected,363.993528416786,200.825467508254,stead_event_00012,10925153,9,15.37,330,299.999999999999
6.35,NaN,detected,not_detected,331.219084281388,15.8045953410371,stead_event_00016,13259505,6,11.24,350,NaN
9.08,12.21,detected,uncertain,231.311079424854,40.2531607785337,stead_event_00017,604179950,9,13.24,80.0000000000001,-1030
6.08,9.21,detected,uncertain,225.711683892313,40.5611033319145,stead_event_00018,604179950,6,10.24,80.0000000000001,-1030
11.13,11.58,detected,uncertain,428.760256957155,105.834444864818,stead_event_00051,449393,11.16,11.59,-29.9999999999994,-9.99999999999979
10.93,12.02,detected,detected,433.143312921558,180.871944012699,stead_event_00085,449393,10.96,12.04,-30.0000000000011,-20.0000000000014
14.29,15.28,detected,detected,383.561568303177,154.358438694249,stead_event_00103,495,14.3,15.31,-10.0000000000016,-30.0000000000011
11.02,11.89,detected,detected,331.062100166269,76.9003893380282,stead_event_00108,449393,11.02,11.92,0,-29.9999999999994
11.43,NaN,detected,not_detected,237.526307139958,42.2662264509698,stead_event_00125,431338,11.43,12.52,0,NaN
11.59,12.75,detected,uncertain,167.283049740656,49.8832421579252,stead_event_00132,419463,11.61,12.6,-19.9999999999996,150
6.14,NaN,detected,not_detected,262.70464651828,21.8876407325136,stead_event_00140,602347413,6,11.48,140,NaN
4.14,NaN,detected,not_detected,266.337448492131,21.908152398479,stead_event_00141,602347413,4,9.48,140,NaN
7.96,9.9,detected,detected,299.077437876738,177.652606588687,stead_event_00161,ld60047501,8,9.89,-40,9.99999999999979
4.48,7.48,detected,detected,324.404699139387,87.6395589508295,stead_event_00162,603441563,4.48,7.25,0,230
1,9.87,detected,uncertain,250.784712665773,7.26677498557979,stead_event_00177,16334499,9,17.5,-8000,-7630
5.21,NaN,detected,not_detected,267.179129253977,17.7434752718309,stead_event_00178,16336727,5,6.7,210,NaN
9.99,NaN,detected,not_detected,301.885572092522,18.4283747852107,stead_event_00184,ci11209170,10,14.5,-9.99999999999979,NaN
8.86,NaN,detected,not_detected,221.064622326305,13.3054219863222,stead_event_00193,15898998,9,13.45,-140.000000000001,NaN
8.98,9.08,detected,uncertain,349.260198305343,25.1479162195573,stead_event_00194,15899135,9,15.02,-19.9999999999996,-5940
7,NaN,detected,not_detected,217.168172585888,13.1830154524324,stead_event_00208,605626911,7,15.44,0,NaN
4.99,9.85,detected,detected,390.188593804989,92.1840277938287,stead_event_00218,12680913,5,9.8,-9.99999999999979,49.9999999999989
9.28,NaN,uncertain,not_detected,134.513235365682,17.6918762683625,stead_event_00225,602562570,9,12.36,279.999999999999,NaN
5.28,NaN,uncertain,not_detected,133.359429714999,17.7520694878316,stead_event_00226,602562570,5,8.36,280,NaN
8.11,NaN,detected,not_detected,234.107991211736,25.5617708262851,stead_event_00227,603798149,8,10.71,109.999999999999,NaN
5.11,NaN,detected,not_detected,234.37832065004,25.6329367234627,stead_event_00228,603798149,5,7.71,110,NaN
4.03,NaN,detected,not_detected,232.391242772729,25.2935847101067,stead_event_00239,hv61128081,4,6.65,30.0000000000002,NaN
8.03,NaN,detected,not_detected,309.005824160969,14.118233530192,stead_event_00243,hv61222466,8,11.06,29.9999999999994,NaN
7,14.37,detected,uncertain,410.307951830779,29.6093274847152,stead_event_00249,hv61414371,7.01,12.2,-9.99999999999979,2170
5.04,NaN,detected,not_detected,328.090348259488,18.24980895672,stead_event_00253,hv61468921,5,6.25,40,NaN
5.03,NaN,detected,not_detected,420.006985217168,74.7544949274083,stead_event_00263,hv61630461,5,5.81,30.0000000000002,NaN
9.03,NaN,detected,not_detected,261.785939366508,21.8933638763598,stead_event_00265,hv61631916,9,13.54,29.9999999999994,NaN
8.02,NaN,detected,not_detected,390.718126311388,31.6953833749422,stead_event_00270,hv61720621,8,9.03,19.9999999999996,NaN
4.02,NaN,detected,not_detected,347.643568014253,21.0051785769354,stead_event_00289,hv70278546,4.01,5.33,9.99999999999979,NaN
7.01,NaN,detected,not_detected,327.837976044321,21.3479434878402,stead_event_00294,hv70296771,7.01,8.93,0,NaN
32.52,NaN,uncertain,not_detected,138.666502757003,18.6417284474274,stead_event_00297,hv70313911,6.96,7.97,25560,NaN
6.02,NaN,detected,not_detected,408.764604631774,20.7080759422884,stead_event_00301,hv70332396,6.03,7.04,-10.0000000000007,NaN
4,NaN,detected,not_detected,400.629264005157,25.9675311511345,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,NaN
8.01,NaN,detected,not_detected,372.989898866603,29.1783851096926,stead_event_00315,hv70413467,8.01,9.21,0,NaN
8,NaN,detected,not_detected,311.046989308362,22.9317367868182,stead_event_00320,hv70444457,7.99,9.61,9.99999999999979,NaN
6,NaN,detected,not_detected,261.281110852605,24.4485836206013,stead_event_00327,hv70476007,6.01,7.33,-9.99999999999979,NaN
3.99,NaN,detected,not_detected,394.144609755896,27.6214170275094,stead_event_00344,hv61414371,4.03,8.58,-40,NaN
7.01,NaN,detected,not_detected,418.957050917295,17.8244391091765,stead_event_00347,hv61468921,7,10.08,9.99999999999979,NaN
5.99,10.52,detected,uncertain,393.355668344081,28.0319136805559,stead_event_00355,hv61631916,6,10.52,-9.99999999999979,0
4.01,NaN,detected,not_detected,455.482733950957,23.4715555642529,stead_event_00360,hv61720621,4,7.48,9.99999999999979,NaN
7,13.55,detected,uncertain,155.849869811262,16.4910570428797,stead_event_00361,hv61765531,7,13.09,0,460.000000000001
8.99,22.63,detected,uncertain,126.201465742742,16.8172298646609,stead_event_00372,12975248,9,21.21,-9.99999999999979,1420
9.04,21.53,detected,uncertain,267.142501594033,24.7242511755901,stead_event_00397,601253816,9,14.42,39.9999999999991,7110
7.04,19.53,detected,uncertain,268.019093350269,24.6876869735016,stead_event_00398,601253816,7,12.42,40,7110
9.37,14.22,detected,uncertain,294.743916068849,28.5411766983537,stead_event_00402,601455028,9,13.7,369.999999999999,520
5.37,10.22,detected,uncertain,294.320725096006,28.5386434630066,stead_event_00403,601455028,5,9.7,370,520
8.06,14.17,detected,uncertain,301.809085502376,27.3036076494585,stead_event_00404,601456130,8,13.46,60.0000000000005,709.999999999999
6.06,12.17,detected,uncertain,301.705108522581,27.2631817602317,stead_event_00405,601456130,6,11.46,59.9999999999996,709.999999999999
7.99,10.21,detected,detected,323.873615331094,67.6313557232284,stead_event_00415,602952322,8,10.32,-9.99999999999979,-109.999999999999
