p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4.07,4.07,detected,detected,159.551451892924,159.551451892924,stead_event_00007,12962350,4,7.63,70.0000000000003,-3560
9.06,9.06,detected,detected,159.551451892924,159.551451892924,stead_event_00008,ci10279289,9,12.25,60.0000000000005,-3190
8.06,8.06,detected,detected,159.551451892924,159.551451892924,stead_event_00009,12962332,8,11.44,60.0000000000005,-3380
9.38,9.38,detected,detected,159.551451892924,159.551451892924,stead_event_00012,10925153,9,15.37,380.000000000001,-5990
6.46,6.46,detected,detected,159.551451892924,159.551451892924,stead_event_00016,13259505,6,11.24,460,-4780
9.14,9.14,detected,detected,159.551451892924,159.551451892924,stead_event_00017,604179950,9,13.24,140.000000000001,-4100
6.14,6.14,detected,detected,159.551451892924,159.551451892924,stead_event_00018,604179950,6,10.24,140,-4100
11.19,11.19,detected,detected,159.551451892924,159.551451892924,stead_event_00051,449393,11.16,11.59,29.9999999999994,-400
10.99,10.99,detected,detected,159.551451892924,159.551451892924,stead_event_00085,449393,10.96,12.04,29.9999999999994,-1050
14.33,14.33,detected,detected,159.551451892924,159.551451892924,stead_event_00103,495,14.3,15.31,29.9999999999994,-980
11.08,11.08,detected,detected,159.551451892924,159.551451892924,stead_event_00108,449393,11.02,11.92,60.0000000000005,-840
11.62,11.62,detected,detected,159.551451892924,159.551451892924,stead_event_00125,431338,11.43,12.52,189.999999999999,-900
11.75,11.75,detected,detected,159.551451892924,159.551451892924,stead_event_00132,419463,11.61,12.6,140.000000000001,-850
6.26,6.26,detected,detected,159.551451892924,159.551451892924,stead_event_00140,602347413,6,11.48,260,-5220
4.26,4.26,detected,detected,159.551451892924,159.551451892924,stead_event_00141,602347413,4,9.48,260,-5220
8.02,8.02,detected,detected,159.551451892924,159.551451892924,stead_event_00161,ld60047501,8,9.89,19.9999999999996,-1870
4.62,4.62,detected,detected,159.551451892924,159.551451892924,stead_event_00162,603441563,4.48,7.25,140,-2630
1.01,1.01,detected,detected,159.551451893966,159.551451893966,stead_event_00177,16334499,9,17.5,-7990,-16490
5.31,5.31,detected,detected,159.551451892924,159.551451892924,stead_event_00178,16336727,5,6.7,310,-1390
10.04,10.04,detected,detected,159.551451892924,159.551451892924,stead_event_00184,ci11209170,10,14.5,39.9999999999991,-4460
9.05,9.05,detected,detected,159.551451892924,159.551451892924,stead_event_00193,15898998,9,13.45,50.0000000000007,-4400
9.26,9.26,detected,detected,159.551451892924,159.551451892924,stead_event_00194,15899135,9,15.02,260,-5760
7.09,7.09,detected,detected,159.551451892924,159.551451892924,stead_event_00208,605626911,7,15.44,89.9999999999999,-8350
5.05,5.05,detected,detected,159.551451892924,159.551451892924,stead_event_00218,12680913,5,9.8,49.9999999999998,-4750
9.34,9.34,detected,detected,159.551451892924,159.551451892924,stead_event_00225,602562570,9,12.36,340,-3020
5.34,5.34,detected,detected,159.551451892924,159.551451892924,stead_event_00226,602562570,5,8.36,340,-3020
8.22,8.22,detected,detected,159.551451892924,159.551451892924,stead_event_00227,603798149,8,10.71,220.000000000001,-2490
5.22,5.22,detected,detected,159.551451892924,159.551451892924,stead_event_00228,603798149,5,7.71,220,-2490
4.14,4.14,detected,detected,159.551451892924,159.551451892924,stead_event_00239,hv61128081,4,6.65,140,-2510
8.16,8.16,detected,detected,159.551451892924,159.551451892924,stead_event_00243,hv61222466,8,11.06,160,-2900
7.11,7.11,detected,detected,159.551451892924,159.551451892924,stead_event_00249,hv61414371,7.01,12.2,100.000000000001,-5090
5.17,5.17,detected,detected,159.551451892924,159.551451892924,stead_event_00253,hv61468921,5,6.25,170,-1080
5.07,5.07,detected,detected,159.551451892924,159.551451892924,stead_event_00263,hv61630461,5,5.81,70.0000000000003,-740
9.11,9.11,detected,detected,159.551451892924,159.551451892924,stead_event_00265,hv61631916,9,13.54,109.999999999999,-4430
8.07,8.07,detected,detected,159.551451892924,159.551451892924,stead_event_00270,hv61720621,8,9.03,70.0000000000003,-959.999999999999
4.13,4.13,detected,detected,159.551451892924,159.551451892924,stead_event_00289,hv70278546,4.01,5.33,120,-1200
7.13,7.13,detected,detected,159.551451892924,159.551451892924,stead_event_00294,hv70296771,7.01,8.93,120,-1800
7.11,7.11,detected,detected,159.551451892924,159.551451892924,stead_event_00297,hv70313911,6.96,7.97,150,-859.999999999999
6.15,6.15,detected,detected,159.551451892924,159.551451892924,stead_event_00301,hv70332396,6.03,7.04,120,-890
4.12,4.12,detected,detected,159.551451892924,159.551451892924,stead_event_00309,hv70368966,4.01,5.17,110,-1050
8.12,8.12,detected,detected,159.551451892924,159.551451892924,stead_event_00315,hv70413467,8.01,9.21,109.999999999999,-1090
8.11,8.11,detected,detected,159.551451892924,159.551451892924,stead_event_00320,hv70444457,7.99,9.61,119.999999999999,-1500
6.12,6.12,detected,detected,159.551451892924,159.551451892924,stead_event_00327,hv70476007,6.01,7.33,110,-1210
4.05,4.05,detected,detected,159.551451892924,159.551451892924,stead_event_00344,hv61414371,4.03,8.58,19.9999999999996,-4530
7.11,7.11,detected,detected,159.551451892924,159.551451892924,stead_event_00347,hv61468921,7,10.08,110,-2970
6.03,6.03,detected,detected,159.551451892924,159.551451892924,stead_event_00355,hv61631916,6,10.52,30.0000000000002,-4490
4.12,4.12,detected,detected,159.551451892924,159.551451892924,stead_event_00360,hv61720621,4,7.48,120,-3360
7.29,7.29,detected,detected,159.551451892924,159.551451892924,stead_event_00361,hv61765531,7,13.09,290,-5800
9.13,9.13,detected,detected,159.551451892924,159.551451892924,stead_event_00372,12975248,9,21.21,130.000000000001,-12080
9.13,9.13,detected,detected,159.551451892924,159.551451892924,stead_event_00397,601253816,9,14.42,130.000000000001,-5290
7.13,7.13,detected,detected,159.551451892924,159.551451892924,stead_event_00398,601253816,7,12.42,130,-5290
9.45,9.45,detected,detected,159.551451892924,159.551451892924,stead_event_00402,601455028,9,13.7,449.999999999999,-4250
5.45,5.45,detected,detected,159.551451892924,159.551451892924,stead_event_00403,601455028,5,9.7,450,-4250
8.15,8.15,detected,detected,159.551451892924,159.551451892924,stead_event_00404,601456130,8,13.46,150,-5310
6.15,6.15,detected,detected,159.551451892924,159.551451892924,stead_event_00405,601456130,6,11.46,150,-5310
8.04,8.04,detected,detected,159.551451892924,159.551451892924,stead_event_00415,602952322,8,10.32,39.9999999999991,-2280
6.15,6.15,detected,detected,159.551451892924,159.551451892924,stead_event_00417,602952346,6,11.18,150,-5030
8.14,8.14,detected,detected,159.551451892924,159.551451892924,stead_event_00422,602952561,8,10.69,140.000000000001,-2550
9.09,9.09,detected,detected,159.551451892924,159.551451892924,stead_event_00430,603374582,9,14.29,89.9999999999999,-5200
9.1,9.1,detected,detected,159.551451892924,159.551451892924,stead_event_00441,603374662,9,13.12,99.9999999999996,-4020
7.1,7.1,detected,detected,159.551451892924,159.551451892924,stead_event_00442,603374662,7,11.12,99.9999999999996,-4020
4.12,4.12,detected,detected,159.551451892924,159.551451892924,stead_event_00448,603463446,4,9.1,120,-4980
9.08,9.08,detected,detected,159.551451892924,159.551451892924,stead_event_00465,603760886,9,14.53,80.0000000000001,-5450
4.08,4.08,detected,detected,159.551451892924,159.551451892924,stead_event_00466,603760886,4,9.53,80.0000000000001,-5450
6.32,6.32,detected,detected,159.551451892924,159.551451892924,stead_event_00494,15111098,6,17.01,320,-10690
9.11,9.11,detected,detected,159.551451892924,159.551451892924,stead_event_00512,8291998,9,19.22,109.999999999999,-10110
6.41,6.41,detected,detected,159.551451892924,159.551451892924,stead_event_00514,9569686,6,15.17,410,-8760
5.78,5.78,detected,detected,159.551451892924,159.551451892924,stead_event_00515,11121384,5,15.02,780,-9240
8.12,8.12,detected,detected,159.551451892924,159.551451892924,stead_event_00518,12975248,8,19.64,119.999999999999,-11520
8.18,8.18,detected,detected,159.551451892924,159.551451892924,stead_event_00521,15111098,8,19.19,180,-11010
8.11,8.11,detected,detected,159.551451892924,159.551451892924,stead_event_00551,hv61468921,8,13.53,109.999999999999,-5420
9.13,9.13,detected,detected,159.551451892924,159.551451892924,stead_event_00563,hv61720621,9,14.54,130.000000000001,-5410
7.19,7.19,detected,detected,159.551451892924,159.551451892924,stead_event_00564,hv61765531,7,11.21,190,-4020
