p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,NaN,detected,not_detected,234.483636738083,8.63168302154177,stead_event_00007,12962350,4,7.63,0,NaN
9,NaN,detected,not_detected,252.985603066985,16.4513353825004,stead_event_00008,ci10279289,9,12.25,0,NaN
7.99,NaN,detected,not_detected,250.411595069344,16.7720609811343,stead_event_00009,12962332,8,11.44,-9.99999999999979,NaN
9.33,15.65,detected,detected,219.019210558252,145.883173939216,stead_event_00012,10925153,9,15.37,330,279.999999999999
6.36,NaN,detected,not_detected,172.508921932497,13.1286134912054,stead_event_00016,13259505,6,11.24,360,NaN
9.08,12.21,detected,uncertain,158.253874155734,44.6610414189336,stead_event_00017,604179950,9,13.24,80.0000000000001,-1030
6.08,9.21,detected,uncertain,156.341899042968,45.1406260242527,stead_event_00018,604179950,6,10.24,80.0000000000001,-1030
11.16,11.52,detected,detected,231.951189705592,98.5605385405697,stead_event_00051,449393,11.16,11.59,0,-70.0000000000003
10.96,12.02,detected,detected,233.899071759388,111.415654566662,stead_event_00085,449393,10.96,12.04,0,-20.0000000000014
14.29,15.28,detected,detected,224.628459736696,129.314140716228,stead_event_00103,495,14.3,15.31,-10.0000000000016,-30.0000000000011
11.01,11.89,detected,detected,207.449138227293,67.7502934539102,stead_event_00108,449393,11.02,11.92,-9.99999999999979,-29.9999999999994
11.44,NaN,detected,not_detected,155.554238229872,26.188844705371,stead_event_00125,431338,11.43,12.52,9.99999999999979,NaN
11.59,12.75,detected,detected,134.508301368764,51.3865319553796,stead_event_00132,419463,11.61,12.6,-19.9999999999996,150
6.16,NaN,detected,not_detected,140.649353175992,20.8836376663548,stead_event_00140,602347413,6,11.48,160,NaN
4.15,NaN,detected,not_detected,141.578311011134,20.7467118108444,stead_event_00141,602347413,4,9.48,150,NaN
7.96,9.9,detected,detected,220.533954326488,136.964129916391,stead_event_00161,ld60047501,8,9.89,-40,9.99999999999979
4.48,5.91,detected,uncertain,184.780297789103,65.6639210623875,stead_event_00162,603441563,4.48,7.25,0,-1340
1.01,9.03,detected,uncertain,121.34215122902,5.70994295802194,stead_event_00177,16334499,9,17.5,-7990,-8470
5.22,NaN,detected,not_detected,166.411079673992,22.1506704917465,stead_event_00178,16336727,5,6.7,220,NaN
9.99,NaN,detected,not_detected,195.308399163657,13.5501313563993,stead_event_00184,ci11209170,10,14.5,-9.99999999999979,NaN
8.86,NaN,detected,not_detected,187.745128884438,13.8240270149829,stead_event_00193,15898998,9,13.45,-140.000000000001,NaN
8.99,9.09,uncertain,uncertain,97.3154184479,37.2644317834638,stead_event_00194,15899135,9,15.02,-9.99999999999979,-5930
7,NaN,detected,not_detected,139.389848763459,8.54468080426968,stead_event_00208,605626911,7,15.44,0,NaN
5,9.85,detected,detected,221.551174348697,77.4883653228923,stead_event_00218,12680913,5,9.8,0,49.9999999999989
9.28,NaN,detected,not_detected,118.849177809442,14.5525308027214,stead_event_00225,602562570,9,12.36,279.999999999999,NaN
5.28,NaN,detected,not_detected,118.406856467567,14.5113635590745,stead_event_00226,602562570,5,8.36,280,NaN
8.11,NaN,detected,not_detected,151.855448248219,20.9335289771806,stead_event_00227,603798149,8,10.71,109.999999999999,NaN
5.11,NaN,detected,not_detected,151.890415504443,20.9911281524114,stead_event_00228,603798149,5,7.71,110,NaN
4.04,NaN,detected,not_detected,148.149946731719,20.0878716628509,stead_event_00239,hv61128081,4,6.65,40,NaN
8.04,NaN,detected,not_detected,226.852417486524,12.2054458240008,stead_event_00243,hv61222466,8,11.06,39.9999999999991,NaN
7,NaN,detected,not_detected,244.543269320043,18.5477696812436,stead_event_00249,hv61414371,7.01,12.2,-9.99999999999979,NaN
5.05,NaN,detected,not_detected,182.491253596642,13.8213270135928,stead_event_00253,hv61468921,5,6.25,49.9999999999998,NaN
5.03,5.59,detected,uncertain,226.844296148141,79.3990388624525,stead_event_00263,hv61630461,5,5.81,30.0000000000002,-220.000000000001
9.03,NaN,detected,not_detected,199.771346831263,18.3034865409628,stead_event_00265,hv61631916,9,13.54,29.9999999999994,NaN
8.02,NaN,detected,not_detected,267.343217388685,21.3062681040057,stead_event_00270,hv61720621,8,9.03,19.9999999999996,NaN
4.02,NaN,detected,not_detected,183.33923392267,16.414815786406,stead_event_00289,hv70278546,4.01,5.33,9.99999999999979,NaN
7.01,NaN,detected,not_detected,223.078608631282,19.2376225813499,stead_event_00294,hv70296771,7.01,8.93,0,NaN
7.07,NaN,uncertain,not_detected,76.5963305928294,21.7535942750086,stead_event_00297,hv70313911,6.96,7.97,110,NaN
6.03,NaN,detected,not_detected,251.608034358883,17.0796404480367,stead_event_00301,hv70332396,6.03,7.04,0,NaN
4,NaN,detected,not_detected,205.230907514221,20.6366372785606,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,NaN
8.01,NaN,detected,not_detected,247.06564395633,19.6393669325623,stead_event_00315,hv70413467,8.01,9.21,0,NaN
8,NaN,detected,not_detected,225.447394221098,20.6085239164883,stead_event_00320,hv70444457,7.99,9.61,9.99999999999979,NaN
6.01,NaN,detected,not_detected,204.511298462541,16.0652203160522,stead_event_00327,hv70476007,6.01,7.33,0,NaN
4.01,8.82,detected,uncertain,227.087733678547,34.3522739533615,stead_event_00344,hv61414371,4.03,8.58,-20.0000000000005,240
7.01,NaN,detected,not_detected,257.828100655717,19.2894151144629,stead_event_00347,hv61468921,7,10.08,9.99999999999979,NaN
6,8.79,detected,uncertain,273.319517615072,27.7628823288247,stead_event_00355,hv61631916,6,10.52,0,-1730
4.01,NaN,detected,not_detected,259.695577948421,17.527602244231,stead_event_00360,hv61720621,4,7.48,9.99999999999979,NaN
7,13.53,detected,uncertain,135.523459334561,18.1901042259281,stead_event_00361,hv61765531,7,13.09,0,439.999999999999
9.03,NaN,detected,not_detected,106.23146889952,13.409533172949,stead_event_00372,12975248,9,21.21,29.9999999999994,NaN
9.04,21.53,detected,uncertain,219.499649320733,26.0031487445126,stead_event_00397,601253816,9,14.42,39.9999999999991,7110
7.04,19.53,detected,uncertain,219.911102391201,25.8407669396208,stead_event_00398,601253816,7,12.42,40,7110
9.39,14.22,detected,detected,196.95067829122,30.2692984572489,stead_event_00402,601455028,9,13.7,390.000000000001,520
5.39,10.22,detected,detected,196.18633107054,30.1174132240669,stead_event_00403,601455028,5,9.7,390,520
8.08,17.89,detected,uncertain,196.360110583306,30.2516118696192,stead_event_00404,601456130,8,13.46,80.0000000000001,4430
6.08,15.89,detected,uncertain,196.438528585754,30.2549420686899,stead_event_00405,601456130,6,11.46,80.0000000000001,4430
7.99,10.22,detected,detected,254.518013856796,61.4040768217711,stead_event_00415,602952322,8,10.32,-9.99999999999979,-99.9999999999996
6.05,11.13,detected,detected,246.398157713933,44.7312593956705,stead_event_00417,602952346,6,11.18,49.9999999999998,-49.9999999999989
8.04,NaN,detected,not_detected,244.698264155572,33.7757337533262,stead_event_00422,602952561,8,10.69,39.9999999999991,NaN
8.95,14.3,detected,uncertain,236.348420597138,20.7057052245237,stead_event_00430,603374582,9,14.29,-50.0000000000007,9.99999999999979
8.97,13.02,detected,detected,228.146263903801,38.5242001110072,stead_event_00441,603374662,9,13.12,-29.9999999999994,-100.000000000001
6.97,11.02,detected,detected,227.833413335018,38.3422314552557,stead_event_00442,603374662,7,11.12,-30.0000000000002,-100.000000000001
4,9.23,detected,uncertain,170.055685559079,29.7440160623736,stead_event_00448,603463446,4,9.1,0,130.000000000001
8.99,15.19,detected,uncertain,155.091263119782,35.7207148956769,stead_event_00465,603760886,9,14.53,-9.99999999999979,659.999999999998
3.99,10.19,detected,uncertain,157.239148858769,36.3524725099501,stead_event_00466,603760886,4,9.53,-9.99999999999979,660
6.31,NaN,uncertain,not_detected,72.1128300343952,25.768380602371,stead_event_00494,15111098,6,17.01,310,NaN
9.04,19.53,detected,uncertain,167.752970377574,60.2947178261206,stead_event_00512,8291998,9,19.22,39.9999999999991,310.000000000002
6.38,NaN,detected,not_detected,89.4568289538492,18.5526212461768,stead_event_00514,9569686,6,15.17,380,NaN
5.66,NaN,uncertain,not_detected,79.6486239040068,22.1212509035107,stead_event_00515,11121384,5,15.02,660,NaN
8.06,19.7,detected,uncertain,180.83265327047,58.0705706365302,stead_event_00518,12975248,8,19.64,60.0000000000005,59.9999999999987
8.08,19.47,detected,detected,136.853414179767,86.4069967830418,stead_event_00521,15111098,8,19.19,80.0000000000001,279.999999999998
8.03,NaN,detected,not_detected,248.483789736579,16.0126142842043,stead_event_00551,hv61468921,8,13.53,29.9999999999994,NaN
9.06,NaN,detected,not_detected,230.63708533192,10.8871303389256,stead_event_00563,hv61720621,9,14.54,60.0000000000005,NaN
7.05,NaN,detected,not_detected,219.878577055282,13.866478009402,stead_event_00564,hv61765531,7,11.21,49.9999999999998,NaN
4.09,NaN,detected,not_detected,205.071189481055,16.3629036381159,stead_event_00567,hv61894361,4,6.37,89.9999999999999,NaN
1.01,NaN,detected,not_detected,173.897568343674,8.57751516403588,stead_event_00580,hv70368831,4.98,10.16,-3970,NaN
5.94,NaN,detected,not_detected,209.98989432377,7.29084597544839,stead_event_00585,hv70476007,5.94,12.12,0,NaN
8.98,NaN,detected,not_detected,225.671633506733,6.50515541879123,stead_event_00609,600928972,9,14.3,-19.9999999999996,NaN
2.17,6.29,detected,detected,211.641285107057,37.6099960794153,stead_event_00610,601824235,2.17,6.24,0,49.9999999999998
7.16,7.88,detected,uncertain,220.332977521303,30.4329728710163,stead_event_00611,601253049,7,9.5,160,-1620
6.96,12.71,detected,uncertain,229.488260677249,18.5772181532221,stead_event_00618,604500852,7,12.5,-40,210.000000000001
4.96,10.71,detected,uncertain,229.271827846857,18.5908951957757,stead_event_00619,604500852,5,10.5,-40,210.000000000001
7.97,14.45,detected,uncertain,174.189525423734,19.2622320561332,stead_event_00620,604501047,8,13.9,-30.0000000000002,549.999999999999
6.97,13.45,detected,uncertain,174.0597991279,19.2933050978345,stead_event_00621,604501047,7,12.9,-30.0000000000002,549.999999999999
4.95,NaN,detected,not_detected,221.018803611778,12.588104896777,stead_event_00622,604501047,5,10.9,-49.9999999999998,NaN
7.25,12.68,detected,uncertain,141.05012040894,40.0787402445811,stead_event_00623,ci15237281,7,12.68,250,0
4.97,9.45,detected,uncertain,109.672611415192,29.6937410317637,stead_event_00634,nn00253964,5,9.45,-30.0000000000002,-1.77635683940025e-12
4.07,NaN,detected,not_detected,130.844275558562,21.1540064771644,stead_event_00644,15809590,4,11.52,70.0000000000003,NaN
6.01,NaN,detected,not_detected,178.145515882818,9.96294855896038,stead_event_00650,ak012a7hvq61,6,12.14,9.99999999999979,NaN
9.05,NaN,detected,not_detected,194.331829540295,18.5624002409824,stead_event_00661,606932485,9,15.1,50.0000000000007,NaN
5.05,NaN,detected,not_detected,194.850850006797,18.7346140329933,stead_event_00662,606932485,5,11.1,49.9999999999998,NaN
4.05,NaN,detected,not_detected,194.969887760753,18.7393430857927,stead_event_00663,606932485,4,10.1,49.9999999999998,NaN
7.05,NaN,detected,not_detected,135.598353336243,20.9324762373601,stead_event_00678,13763978,7,13.1,49.9999999999998,NaN
7.81,NaN,detected,not_detected,101.917215133756,21.7413496703409,stead_event_00679,13548900,7,11.6,810,NaN
9.08,NaN,detected,not_detected,143.998782385033,11.3050889968985,stead_event_00688,14757396,9,14.9,80.0000000000001,NaN
9,11.08,detected,detected,151.863482442347,114.494758907768,stead_event_00699,16021240,9,10.8,0,279.999999999999
5.24,NaN,detected,not_detected,119.241427136172,11.9446765098639,stead_event_00718,602860175,5,11.3,240,NaN
4.24,NaN,detected,not_detected,119.374708540177,11.9682915731245,stead_event_00719,602860175,4,10.3,240,NaN
8.92,NaN,detected,not_detected,170.996349242145,34.0908925964515,stead_event_00740,603779201,9,10.9,-80.0000000000001,NaN
4.92,NaN,detected,not_detected,171.318497166123,33.3817563666874,stead_event_00741,603779201,5,6.9,-80.0000000000001,NaN
9.05,NaN,detected,not_detected,246.366720326842,10.2969542493848,stead_event_00777,13398232,9,15.1,50.0000000000007,NaN
5.05,NaN,detected,not_detected,263.805250137822,15.969985152412,stead_event_00786,14302803,5,10.76,49.9999999999998,NaN
9,NaN,detected,not_detected,147.816008538444,18.7454806225012,stead_event_00792,14752286,9,14.9,0,NaN
6.19,9.6,detected,uncertain,141.324356423785,52.2657275161014,stead_event_00798,14994606,6,9.6,190,0
4.99,NaN,detected,not_detected,131.984167831471,46.4456268807884,stead_event_00810,604650276,5,11.6,-9.99999999999979,NaN
9.09,11.51,detected,detected,152.441596703844,84.1162157173773,stead_event_00811,605123511,9,10.9,89.9999999999999,609.999999999999
8.96,NaN,detected,not_detected,183.131026797494,9.49465646265185,stead_event_00812,7493998,9,12.84,-39.9999999999991,NaN
6.01,9.56,detected,uncertain,276.353642459178,45.2785217912029,stead_event_00813,10393297,6,9.3,9.99999999999979,260
8.99,NaN,detected,not_detected,247.738980987883,13.3265993116178,stead_event_00819,7417373,9,12.32,-9.99999999999979,NaN
4.98,8.17,detected,uncertain,159.645043152704,26.4714332947632,stead_event_00823,8106673,5,11.13,-19.9999999999996,-2960
5.02,NaN,detected,not_detected,189.9679932996,26.8160728678024,stead_event_00827,13900906,5,6.5,19.9999999999996,NaN
6.98,NaN,detected,not_detected,206.380773492373,33.3126892588527,stead_event_00830,12085160,7,8.5,-19.9999999999996,NaN
4.05,NaN,detected,not_detected,137.562607348291,41.6941714542535,stead_event_00833,16194199,4,6.11,49.9999999999998,NaN
8.94,NaN,detected,not_detected,112.823238191095,54.1699560915858,stead_event_00845,14836273,9,10.1,-60.0000000000005,NaN
4.02,4.34,detected,uncertain,112.054226269417,51.1615076319911,stead_event_00868,12103389,4,5,19.9999999999996,-660
8.06,NaN,detected,not_detected,137.473672302451,15.4620451166292,stead_event_00881,16194329,8,10,60.0000000000005,NaN
4.94,5.06,detected,uncertain,144.806334331857,92.3652753400485,stead_event_00900,16194358,5,5.9,-59.9999999999996,-840.000000000001
8,NaN,detected,not_detected,126.302715676375,42.2169550402959,stead_event_00901,12582094,8,9.2,0,NaN
4.05,NaN,detected,not_detected,138.615886338076,17.0071435481424,stead_event_00902,12582168,4,6.4,49.9999999999998,NaN
7,NaN,detected,not_detected,216.779234872844,13.8898762794059,stead_event_00903,12582171,7,9.2,0,NaN
26.22,NaN,uncertain,not_detected,87.7503099806851,10.2031981756336,stead_event_00911,12583062,6,8.8,20220,NaN
6.46,NaN,uncertain,not_detected,92.9323459477408,24.0587741164842,stead_event_00919,12601066,6,9.73,460,NaN
5.57,NaN,detected,not_detected,159.152040424827,20.2940614360091,stead_event_00929,12692485,5,6.83,570,NaN
6.97,NaN,detected,not_detected,218.435390923864,29.7600638416671,stead_event_00933,12692694,7,8.6,-30.0000000000002,NaN
2.67,NaN,detected,not_detected,181.30237802158,51.3286448339248,stead_event_00938,12747038,8,9.5,-5330,NaN
5,NaN,detected,not_detected,146.201846439837,26.6599737207607,stead_event_00945,12788581,5,6.3,0,NaN
