p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,NaN,detected,not_detected,312.681204269562,17.3156662174965,stead_event_00007,12962350,4,7.63,0,NaN
8.99,NaN,detected,not_detected,312.371707177764,42.607966565674,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,NaN
7.98,NaN,detected,not_detected,304.21610427543,43.7713168602203,stead_event_00009,12962332,8,11.44,-19.9999999999996,NaN
9.33,15.65,detected,detected,349.502363049526,436.922941555863,stead_event_00012,10925153,9,15.37,330,279.999999999999
6.35,NaN,detected,not_detected,311.670915644513,22.6841518274035,stead_event_00016,13259505,6,11.24,350,NaN
9.07,12.21,detected,uncertain,217.762060408566,95.566779853166,stead_event_00017,604179950,9,13.24,70.0000000000003,-1030
6.07,9.21,detected,uncertain,212.506915537405,95.78886704913,stead_event_00018,604179950,6,10.24,70.0000000000003,-1030
11.13,11.62,detected,detected,412.901794889228,226.736607417221,stead_event_00051,449393,11.16,11.59,-29.9999999999994,29.9999999999994
10.93,12.02,detected,detected,430.641645478154,256.736140326767,stead_event_00085,449393,10.96,12.04,-30.0000000000011,-20.0000000000014
14.3,15.28,detected,uncertain,372.222339696866,229.584133355518,stead_event_00103,495,14.3,15.31,0,-30.0000000000011
11.02,11.78,detected,detected,267.986816740764,131.388781906269,stead_event_00108,449393,11.02,11.92,0,-140.000000000001
11.42,11.82,detected,uncertain,225.04945733683,115.465706696848,stead_event_00125,431338,11.43,12.52,-9.99999999999979,-699.999999999999
11.55,12.76,detected,detected,147.239028501272,105.736041023789,stead_event_00132,419463,11.61,12.6,-59.9999999999987,160
6.15,6.19,detected,uncertain,203.613916036987,58.2511951118677,stead_event_00140,602347413,6,11.48,150,-5290
4.15,4.19,detected,uncertain,206.943078783416,62.2484975042127,stead_event_00141,602347413,4,9.48,150,-5290
8,9.9,detected,detected,294.625888063946,342.43890742306,stead_event_00161,ld60047501,8,9.89,0,9.99999999999979
4.46,5.91,detected,detected,284.036250069338,172.477360791387,stead_event_00162,603441563,4.48,7.25,-20.0000000000005,-1340
1,9.12,detected,uncertain,145.923236460792,11.3478664634857,stead_event_00177,16334499,9,17.5,-8000,-8380
5.2,7.57,detected,uncertain,230.452561109054,40.8184244277648,stead_event_00178,16336727,5,6.7,200,870
9.99,NaN,detected,not_detected,286.947873123853,31.2434926790004,stead_event_00184,ci11209170,10,14.5,-9.99999999999979,NaN
8.86,NaN,detected,not_detected,216.001403432854,29.3824218289721,stead_event_00193,15898998,9,13.45,-140.000000000001,NaN
0.99,9.02,detected,detected,221.777557397555,96.1569623838661,stead_event_00194,15899135,9,15.02,-8010,-6000
