p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4.01,NaN,detected,not_detected,331.959916505211,19.0579491720183,stead_event_00007,12962350,4,7.63,9.99999999999979,NaN
9,NaN,detected,not_detected,336.399231423616,40.0856047168127,stead_event_00008,ci10279289,9,12.25,0,NaN
7.99,NaN,detected,not_detected,335.544047382054,40.1657170694788,stead_event_00009,12962332,8,11.44,-9.99999999999979,NaN
9.33,15.62,detected,detected,350.351756268771,272.267375765272,stead_event_00012,10925153,9,15.37,330,249.999999999998
6.33,NaN,detected,not_detected,287.406836752261,23.0218764570025,stead_event_00016,13259505,6,11.24,330,NaN
9.06,12.24,detected,uncertain,234.703263973686,96.7918344532215,stead_event_00017,604179950,9,13.24,60.0000000000005,-1000
6.06,9.24,detected,uncertain,224.627082006497,98.2176671133101,stead_event_00018,604179950,6,10.24,59.9999999999996,-1000
11.16,11.54,detected,uncertain,387.089822779072,215.76889387349,stead_event_00051,449393,11.16,11.59,0,-50.0000000000007
10.96,12.01,detected,detected,385.264778155342,229.095093875258,stead_event_00085,449393,10.96,12.04,0,-30.0000000000011
14.29,15.27,detected,detected,374.848892942785,296.291183231571,stead_event_00103,495,14.3,15.31,-10.0000000000016,-40.0000000000009
11.01,11.79,detected,detected,352.84584552736,159.032131392935,stead_event_00108,449393,11.02,11.92,-9.99999999999979,-130.000000000001
11.44,NaN,detected,not_detected,307.337695585124,71.85068814399,stead_event_00125,431338,11.43,12.52,9.99999999999979,NaN
11.58,12.69,detected,detected,248.859408534256,127.057763838614,stead_event_00132,419463,11.61,12.6,-29.9999999999994,89.9999999999999
6.13,10.85,detected,uncertain,194.628522324414,81.4376082454064,stead_event_00140,602347413,6,11.48,130,-630.000000000001
4.13,8.85,detected,uncertain,194.940589605496,81.5663850204743,stead_event_00141,602347413,4,9.48,130,-630.000000000001
7.98,9.83,detected,detected,257.76711916257,303.634332284908,stead_event_00161,ld60047501,8,9.89,-19.9999999999996,-60.0000000000005
4.47,7.4,detected,detected,316.668777308554,168.472728901393,stead_event_00162,603441563,4.48,7.25,-10.0000000000007,150
1.01,9.03,detected,uncertain,99.1785756653069,9.32486002321611,stead_event_00177,16334499,9,17.5,-7990,-8470
5.21,7.18,detected,uncertain,263.940776815024,62.6121929509282,stead_event_00178,16336727,5,6.7,210,480
9.99,NaN,detected,not_detected,279.58211265668,30.8223946981517,stead_event_00184,ci11209170,10,14.5,-9.99999999999979,NaN
8.85,NaN,detected,not_detected,323.517572046676,35.058172284359,stead_event_00193,15898998,9,13.45,-150,NaN
9.03,9,detected,detected,234.163366577166,119.367024565881,stead_event_00194,15899135,9,15.02,29.9999999999994,-6020
6.98,NaN,detected,not_detected,206.707396724587,28.4405656103731,stead_event_00208,605626911,7,15.44,-19.9999999999996,NaN
5,9.88,detected,detected,353.958135318385,172.655920337242,stead_event_00218,12680913,5,9.8,0,80.0000000000001
9.22,NaN,detected,not_detected,154.789985932031,45.4449629035512,stead_event_00225,602562570,9,12.36,220.000000000001,NaN
5.22,NaN,detected,not_detected,153.757384038526,45.1926430710712,stead_event_00226,602562570,5,8.36,220,NaN
8.09,NaN,detected,not_detected,213.098821115825,37.619927265757,stead_event_00227,603798149,8,10.71,89.9999999999999,NaN
5.09,NaN,detected,not_detected,213.758555465126,37.730990223487,stead_event_00228,603798149,5,7.71,89.9999999999999,NaN
4.02,NaN,detected,not_detected,192.318357799495,39.5760839999067,stead_event_00239,hv61128081,4,6.65,19.9999999999996,NaN
8.03,NaN,detected,not_detected,289.185911364542,23.0641446748691,stead_event_00243,hv61222466,8,11.06,29.9999999999994,NaN
6.99,12.22,detected,uncertain,322.319135761259,61.171080453925,stead_event_00249,hv61414371,7.01,12.2,-19.9999999999996,19.9999999999996
5.04,NaN,detected,not_detected,296.566484869685,41.8305201287372,stead_event_00253,hv61468921,5,6.25,40,NaN
5.02,5.59,detected,uncertain,361.602580858229,139.119274979032,stead_event_00263,hv61630461,5,5.81,19.9999999999996,-220.000000000001
9.02,NaN,detected,not_detected,238.174159948576,47.656107646274,stead_event_00265,hv61631916,9,13.54,19.9999999999996,NaN
8.02,NaN,detected,not_detected,347.727994517156,56.0083188763481,stead_event_00270,hv61720621,8,9.03,19.9999999999996,NaN
4.02,NaN,detected,not_detected,303.401700698637,29.596733421186,stead_event_00289,hv70278546,4.01,5.33,9.99999999999979,NaN
7.01,NaN,detected,not_detected,305.850026086882,38.4991830730783,stead_event_00294,hv70296771,7.01,8.93,0,NaN
NaN,6.91,not_detected,uncertain,132.251577784532,84.8896108631387,stead_event_00297,hv70313911,6.96,7.97,NaN,-1060
6.03,NaN,detected,not_detected,355.884419527235,51.1210571489873,stead_event_00301,hv70332396,6.03,7.04,0,NaN
4,NaN,detected,not_detected,356.373112625561,35.7780202298353,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,NaN
8.02,NaN,detected,not_detected,336.41985392661,61.3697143573041,stead_event_00315,hv70413467,8.01,9.21,9.99999999999979,NaN
7.99,NaN,detected,not_detected,318.644941167729,39.8867558214293,stead_event_00320,hv70444457,7.99,9.61,0,NaN
6,NaN,detected,not_detected,243.395518205554,53.0224732538495,stead_event_00327,hv70476007,6.01,7.33,-9.99999999999979,NaN
4.01,8.84,detected,uncertain,372.535934947715,100.386749994517,stead_event_00344,hv61414371,4.03,8.58,-20.0000000000005,260
7.01,NaN,detected,not_detected,334.951461772127,41.7910771384799,stead_event_00347,hv61468921,7,10.08,9.99999999999979,NaN
6,NaN,detected,not_detected,367.880405759283,57.7525337438314,stead_event_00355,hv61631916,6,10.52,0,NaN
4,NaN,detected,not_detected,336.372837553567,24.2143170280868,stead_event_00360,hv61720621,4,7.48,0,NaN
7,13.44,detected,detected,183.705230199884,71.1521463083996,stead_event_00361,hv61765531,7,13.09,0,350
8.97,NaN,detected,not_detected,187.494507925236,31.7392960418343,stead_event_00372,12975248,9,21.21,-29.9999999999994,NaN
9.05,14.54,detected,uncertain,285.217401942537,66.3806783160561,stead_event_00397,601253816,9,14.42,50.0000000000007,119.999999999999
7.05,12.54,detected,uncertain,285.20432000539,66.3938849769773,stead_event_00398,601253816,7,12.42,49.9999999999998,119.999999999999
9.39,14.24,detected,uncertain,345.707626302121,78.6258636375374,stead_event_00402,601455028,9,13.7,390.000000000001,539.999999999999
5.39,10.24,detected,uncertain,346.530125705984,78.5793022674795,stead_event_00403,601455028,5,9.7,390,539.999999999999
8.08,17.87,detected,uncertain,335.770810455021,106.22878194321,stead_event_00404,601456130,8,13.46,80.0000000000001,4410
6.08,15.87,detected,uncertain,336.207219512845,106.580469520792,stead_event_00405,601456130,6,11.46,80.0000000000001,4410
8,10.23,detected,detected,333.18936100525,168.989638873178,stead_event_00415,602952322,8,10.32,0,-89.9999999999999
6.06,11.08,detected,detected,329.428351326819,161.317788968933,stead_event_00417,602952346,6,11.18,59.9999999999996,-99.9999999999996
8.02,NaN,detected,not_detected,319.475822612504,66.6285088304837,stead_event_00422,602952561,8,10.69,19.9999999999996,NaN
8.95,14.24,detected,uncertain,335.662545292086,46.5689169619554,stead_event_00430,603374582,9,14.29,-50.0000000000007,-50.0000000000007
8.97,12.99,detected,detected,326.134123001898,94.5269896897369,stead_event_00441,603374662,9,13.12,-29.9999999999994,-130.000000000001
6.97,10.99,detected,detected,325.856490560719,93.9980557217726,stead_event_00442,603374662,7,11.12,-30.0000000000002,-130.000000000001
3.99,9.23,detected,uncertain,259.878254683254,68.2049808135469,stead_event_00448,603463446,4,9.1,-9.99999999999979,130.000000000001
9,15.1,detected,uncertain,198.998677342667,98.850305349254,stead_event_00465,603760886,9,14.53,0,569.999999999999
4,10.1,detected,uncertain,204.665393620476,97.9417814520274,stead_event_00466,603760886,4,9.53,0,570
NaN,NaN,not_detected,not_detected,114.239430174972,79.1171448144194,stead_event_00494,15111098,6,17.01,NaN,NaN
9.03,19.53,detected,detected,207.808235655469,171.535417178027,stead_event_00512,8291998,9,19.22,29.9999999999994,310.000000000002
5.99,NaN,detected,not_detected,138.106937069196,45.7391769419393,stead_event_00514,9569686,6,15.17,-9.99999999999979,NaN
NaN,NaN,not_detected,not_detected,147.977603149464,53.9746246259452,stead_event_00515,11121384,5,15.02,NaN,NaN
8.07,19.64,detected,detected,223.745144814632,127.087981895055,stead_event_00518,12975248,8,19.64,70.0000000000003,0
8,19.39,uncertain,detected,202.466533609396,137.583704225414,stead_event_00521,15111098,8,19.19,0,199.999999999999
8.03,14.16,detected,uncertain,315.83683888256,50.6630818733994,stead_event_00551,hv61468921,8,13.53,29.9999999999994,629.999999999999
9.01,NaN,detected,not_detected,317.452713448634,19.181126360368,stead_event_00563,hv61720621,9,14.54,9.99999999999979,NaN
7.05,NaN,detected,not_detected,325.414703379021,45.9697432444366,stead_event_00564,hv61765531,7,11.21,49.9999999999998,NaN
4.06,NaN,detected,not_detected,295.686810945818,28.4846345273552,stead_event_00567,hv61894361,4,6.37,59.9999999999996,NaN
0.97,NaN,detected,not_detected,349.799388665175,15.5141706336035,stead_event_00580,hv70368831,4.98,10.16,-4010,NaN
5.91,NaN,detected,not_detected,263.702859425751,16.6596320939396,stead_event_00585,hv70476007,5.94,12.12,-30.0000000000002,NaN
8.97,NaN,detected,not_detected,325.200801107735,12.4443402990834,stead_event_00609,600928972,9,14.3,-29.9999999999994,NaN
2.17,6.2,detected,detected,366.073758579166,131.125836663228,stead_event_00610,601824235,2.17,6.24,0,-40
7.16,9.45,detected,uncertain,348.111240380462,80.2715169198879,stead_event_00611,601253049,7,9.5,160,-50.0000000000007
6.96,12.71,detected,uncertain,297.167786703127,62.9676731267178,stead_event_00618,604500852,7,12.5,-40,210.000000000001
4.96,10.71,detected,uncertain,296.145771927532,63.0087566507462,stead_event_00619,604500852,5,10.5,-40,210.000000000001
7.98,14.36,detected,uncertain,232.367071317497,40.860271148633,stead_event_00620,604501047,8,13.9,-19.9999999999996,459.999999999999
