p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,NaN,detected,not_detected,209.51991135885,16.4590584156173,stead_event_00007,12962350,4,7.63,0,NaN
8.99,12.07,detected,uncertain,228.778337355521,28.2139116480907,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,-180
7.99,11.06,detected,uncertain,226.696696046359,28.2266050068221,stead_event_00009,12962332,8,11.44,-9.99999999999979,-379.999999999999
9.34,15.57,detected,detected,219.38918087236,117.422449369332,stead_event_00012,10925153,9,15.37,340,199.999999999999
6.35,NaN,detected,not_detected,226.110972117175,18.1354478853358,stead_event_00016,13259505,6,11.24,350,NaN
9.05,12.17,detected,detected,162.215656936421,45.7888220453598,stead_event_00017,604179950,9,13.24,50.0000000000007,-1070
6.05,9.17,detected,detected,167.16695161424,46.7908856402986,stead_event_00018,604179950,6,10.24,49.9999999999998,-1070
11.16,11.58,detected,detected,237.63725837292,129.021812061049,stead_event_00051,449393,11.16,11.59,0,-9.99999999999979
10.96,11.98,detected,detected,233.687123195169,117.1149050096,stead_event_00085,449393,10.96,12.04,0,-60.0000000000005
14.29,15.21,detected,detected,234.321052972896,132.611998178725,stead_event_00103,495,14.3,15.31,-10.0000000000016,-99.9999999999996
11.02,11.74,detected,detected,228.931454047514,84.860317064675,stead_event_00108,449393,11.02,11.92,0,-180
11.44,12.49,detected,detected,187.812820467575,59.3505909204985,stead_event_00125,431338,11.43,12.52,9.99999999999979,-29.9999999999994
11.58,12.68,detected,detected,166.542147309787,64.9063768426846,stead_event_00132,419463,11.61,12.6,-29.9999999999994,80.0000000000001
6.12,10.73,detected,detected,152.655754183345,39.7477788982857,stead_event_00140,602347413,6,11.48,120,-750
4.12,8.73,detected,detected,152.226496666304,40.0141439114993,stead_event_00141,602347413,4,9.48,120,-750
7.96,9.85,detected,detected,202.452123842652,125.417360300903,stead_event_00161,ld60047501,8,9.89,-40,-40.0000000000009
4.48,7.37,detected,detected,204.378467243149,71.3281101833374,stead_event_00162,603441563,4.48,7.25,0,120
9.17,8.99,uncertain,detected,96.2404086527543,13.1335745825501,stead_event_00177,16334499,9,17.5,170,-8510
5.21,7.19,detected,detected,200.217521928455,35.8424400356977,stead_event_00178,16336727,5,6.7,210,490
9.98,13.57,detected,uncertain,187.369950424742,22.9822952182878,stead_event_00184,ci11209170,10,14.5,-19.9999999999996,-930
8.86,12.75,detected,detected,185.104322068497,21.129134547452,stead_event_00193,15898998,9,13.45,-140.000000000001,-700.000000000001
1.01,8.93,uncertain,detected,132.440772709976,43.132490224947,stead_event_00194,15899135,9,15.02,-7990,-6090
6.96,15.88,detected,uncertain,161.393355149169,12.7287949544813,stead_event_00208,605626911,7,15.44,-40,440.000000000001
5,9.81,detected,detected,215.077222753612,73.9423425063288,stead_event_00218,12680913,5,9.8,0,9.99999999999979
9.17,12.84,detected,uncertain,155.400244031609,40.134139304614,stead_event_00225,602562570,9,12.36,170,480
5.17,8.84,detected,uncertain,155.043362300242,39.832794033899,stead_event_00226,602562570,5,8.36,170,480
8.09,11.6,detected,uncertain,183.412972945592,40.2155736484206,stead_event_00227,603798149,8,10.71,89.9999999999999,889.999999999999
5.09,8.6,detected,uncertain,180.03836089179,40.2880817837548,stead_event_00228,603798149,5,7.71,89.9999999999999,890
4.03,6.7,detected,detected,137.826829507604,29.28287326245,stead_event_00239,hv61128081,4,6.65,30.0000000000002,49.9999999999998
8.03,10.58,detected,uncertain,192.107043636232,24.2754877127511,stead_event_00243,hv61222466,8,11.06,29.9999999999994,-480
6.99,12.11,detected,detected,226.531269989504,31.2796564379124,stead_event_00249,hv61414371,7.01,12.2,-19.9999999999996,-90.0000000000016
5.04,6.74,detected,uncertain,219.34906468975,37.8290972809745,stead_event_00253,hv61468921,5,6.25,40,490
5.03,5.53,detected,detected,241.361415725901,111.218822339979,stead_event_00263,hv61630461,5,5.81,30.0000000000002,-280
9.01,12.95,detected,detected,228.963494401725,29.5948507488093,stead_event_00265,hv61631916,9,13.54,9.99999999999979,-590.000000000002
8.02,NaN,detected,not_detected,236.474005214138,42.2244339606135,stead_event_00270,hv61720621,8,9.03,19.9999999999996,NaN
4.01,NaN,detected,not_detected,222.650026641356,30.4462448206084,stead_event_00289,hv70278546,4.01,5.33,0,NaN
7,8.08,detected,uncertain,216.770840404833,43.1923070006448,stead_event_00294,hv70296771,7.01,8.93,-9.99999999999979,-850
NaN,6.95,not_detected,detected,162.377294414762,36.5876539761556,stead_event_00297,hv70313911,6.96,7.97,NaN,-1020
6.02,7.62,detected,detected,223.442680756197,39.469647870332,stead_event_00301,hv70332396,6.03,7.04,-10.0000000000007,580
4,5.53,detected,uncertain,227.112093574272,32.6588572744656,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,360
8,8.67,detected,uncertain,224.350729293242,61.7136955259538,stead_event_00315,hv70413467,8.01,9.21,-9.99999999999979,-540.000000000001
7.98,9.41,detected,uncertain,226.509553390436,36.3547593642319,stead_event_00320,hv70444457,7.99,9.61,-9.99999999999979,-199.999999999999
