p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,4.1,detected,uncertain,204.196182190046,93.0748775336599,stead_event_00007,12962350,4,7.63,0,-3530
9,9.1,detected,detected,227.961625115918,106.849844142015,stead_event_00008,ci10279289,9,12.25,0,-3150
7.99,8.09,detected,detected,225.307399992658,105.837198220592,stead_event_00009,12962332,8,11.44,-9.99999999999979,-3350
9.33,15.65,detected,detected,174.614835914469,105.388993017757,stead_event_00012,10925153,9,15.37,330,279.999999999999
6.35,6.46,detected,uncertain,130.447307541918,93.1440106792915,stead_event_00016,13259505,6,11.24,350,-4780
9.07,9.17,detected,uncertain,131.090804600364,61.2821234463401,stead_event_00017,604179950,9,13.24,70.0000000000003,-4070
6.07,6.17,detected,uncertain,128.758871340365,62.0766836521258,stead_event_00018,604179950,6,10.24,70.0000000000003,-4070
11.16,11.26,detected,uncertain,185.138651717289,89.1165592151501,stead_event_00051,449393,11.16,11.59,0,-330
10.96,11.06,detected,uncertain,190.18438530834,76.1810068538663,stead_event_00085,449393,10.96,12.04,0,-980
14.3,14.4,detected,uncertain,182.35195566664,90.6140298746404,stead_event_00103,495,14.3,15.31,0,-910
11.02,11.12,detected,uncertain,162.470696092212,65.3719647425198,stead_event_00108,449393,11.02,11.92,0,-800.000000000001
11.44,11.62,detected,uncertain,121.385280335558,61.0770200604783,stead_event_00125,431338,11.43,12.52,9.99999999999979,-900
11.59,11.75,detected,uncertain,105.626243569741,50.4962239492104,stead_event_00132,419463,11.61,12.6,-19.9999999999996,-850
6.15,6.25,detected,uncertain,105.943168031754,65.5418483993454,stead_event_00140,602347413,6,11.48,150,-5230
4.15,4.25,detected,uncertain,106.190628516259,66.1433231089224,stead_event_00141,602347413,4,9.48,150,-5230
7.96,9.89,detected,detected,197.136513476101,97.8563903720672,stead_event_00161,ld60047501,8,9.89,-40,0
4.48,9.99,detected,uncertain,140.655169556763,40.1478910463759,stead_event_00162,603441563,4.48,7.25,0,2740
1.01,1.11,detected,uncertain,104.588634088436,11.9530718823253,stead_event_00177,16334499,9,17.5,-7990,-16390
5.22,9.98,detected,uncertain,131.696303550258,37.0251762760684,stead_event_00178,16336727,5,6.7,220,3280
9.99,10.09,detected,uncertain,154.101159388298,70.175511664876,stead_event_00184,ci11209170,10,14.5,-9.99999999999979,-4410
8.86,8.96,detected,detected,173.232129453108,57.8606399411442,stead_event_00193,15898998,9,13.45,-140.000000000001,-4490
9.24,9.34,uncertain,uncertain,76.7979939045043,63.6885046703961,stead_event_00194,15899135,9,15.02,240,-5680
7.03,7.13,detected,uncertain,113.416015223022,42.2434657541957,stead_event_00208,605626911,7,15.44,30.0000000000002,-8310
4.99,5.09,detected,uncertain,177.499606533996,71.2244664159782,stead_event_00218,12680913,5,9.8,-9.99999999999979,-4710
9.27,9.37,detected,uncertain,100.070335752403,80.0203646660702,stead_event_00225,602562570,9,12.36,270,-2990
5.27,5.37,detected,uncertain,99.784483250864,79.5254531775379,stead_event_00226,602562570,5,8.36,270,-2990
8.11,8.22,detected,uncertain,116.041552015169,92.3134217397903,stead_event_00227,603798149,8,10.71,109.999999999999,-2490
5.11,5.22,detected,uncertain,115.995353966943,92.6148076116542,stead_event_00228,603798149,5,7.71,110,-2490
4.03,4.13,detected,uncertain,120.684347348464,42.7663531067323,stead_event_00239,hv61128081,4,6.65,30.0000000000002,-2520
8.04,8.14,detected,detected,204.198522693561,99.7574414078052,stead_event_00243,hv61222466,8,11.06,39.9999999999991,-2920
7.01,7.11,detected,detected,217.866730128508,82.5001743272798,stead_event_00249,hv61414371,7.01,12.2,0,-5090
5.04,9.92,detected,uncertain,140.809804933736,49.2697299742838,stead_event_00253,hv61468921,5,6.25,40,3670
5.02,9.91,detected,uncertain,178.795074949029,58.9167670462514,stead_event_00263,hv61630461,5,5.81,19.9999999999996,4100
9.03,9.13,detected,detected,200.311966913374,87.9344762545372,stead_event_00265,hv61631916,9,13.54,29.9999999999994,-4410
8.02,8.12,detected,detected,239.235023715901,148.663328865835,stead_event_00270,hv61720621,8,9.03,19.9999999999996,-910
4.03,9.99,detected,uncertain,142.694879237488,50.087747062795,stead_event_00289,hv70278546,4.01,5.33,20.0000000000005,4660
7.01,7.11,detected,detected,199.750506735654,109.544528135756,stead_event_00294,hv70296771,7.01,8.93,0,-1820
7.1,9.96,uncertain,uncertain,81.4025285878774,49.7937121263673,stead_event_00297,hv70313911,6.96,7.97,140,1990
6.03,6.13,detected,detected,221.55876968066,93.2028680986503,stead_event_00301,hv70332396,6.03,7.04,0,-910
4,9.99,detected,uncertain,157.586924368356,48.2801554774998,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,4820
8.01,8.11,detected,detected,219.377087149318,118.362489906304,stead_event_00315,hv70413467,8.01,9.21,0,-1100
7.99,8.09,detected,detected,205.568967668592,102.499967574809,stead_event_00320,hv70444457,7.99,9.61,0,-1520
6,6.1,detected,detected,190.852871934693,104.84416753989,stead_event_00327,hv70476007,6.01,7.33,-9.99999999999979,-1230
4.02,9.99,detected,uncertain,186.946416283949,42.7640561130843,stead_event_00344,hv61414371,4.03,8.58,-10.0000000000007,1410
7.02,7.12,detected,detected,226.654633500496,77.0977928585267,stead_event_00347,hv61468921,7,10.08,19.9999999999996,-2960
6,6.1,detected,detected,244.414826972332,84.7860777004478,stead_event_00355,hv61631916,6,10.52,0,-4420
4.01,4.11,detected,detected,225.299567770239,94.0505189990538,stead_event_00360,hv61720621,4,7.48,9.99999999999979,-3370
7.04,7.14,detected,uncertain,124.440843041317,31.880672861103,stead_event_00361,hv61765531,7,13.09,40,-5950
9.05,9.15,detected,uncertain,99.9658558005021,42.346036311616,stead_event_00372,12975248,9,21.21,50.0000000000007,-12060
9.05,9.15,detected,detected,207.879375418809,80.7752258784503,stead_event_00397,601253816,9,14.42,50.0000000000007,-5270
7.05,7.15,detected,detected,207.957804796578,81.087146685434,stead_event_00398,601253816,7,12.42,49.9999999999998,-5270
9.39,9.49,detected,uncertain,159.933570936231,46.396571222054,stead_event_00402,601455028,9,13.7,390.000000000001,-4210
5.39,7.66,detected,uncertain,158.584449103428,35.2962655231999,stead_event_00403,601455028,5,9.7,390,-2040
8.09,9.87,detected,uncertain,158.733509236117,41.3693771750525,stead_event_00404,601456130,8,13.46,89.9999999999999,-3590
6.09,9.33,detected,uncertain,158.917688012832,41.0243239757204,stead_event_00405,601456130,6,11.46,89.9999999999999,-2130
7.99,8.09,detected,detected,234.594254108808,89.4800463840566,stead_event_00415,602952322,8,10.32,-9.99999999999979,-2230
6.06,6.16,detected,detected,222.914832785924,72.9144003688644,stead_event_00417,602952346,6,11.18,59.9999999999996,-5020
8.03,8.13,detected,detected,213.72167974775,118.712787456579,stead_event_00422,602952561,8,10.69,29.9999999999994,-2560
8.96,9.06,detected,detected,211.673208931501,64.4262646406328,stead_event_00430,603374582,9,14.29,-39.9999999999991,-5230
8.97,9.07,detected,detected,208.25894136291,66.2588722343327,stead_event_00441,603374662,9,13.12,-29.9999999999994,-4050
6.97,7.07,detected,detected,208.057091863509,65.9779063389664,stead_event_00442,603374662,7,11.12,-30.0000000000002,-4050
4.01,9.99,detected,uncertain,134.08383078801,37.9287549785916,stead_event_00448,603463446,4,9.1,9.99999999999979,890.000000000001
9.01,9.11,detected,uncertain,123.703826824018,58.360096261686,stead_event_00465,603760886,9,14.53,9.99999999999979,-5420
4.01,4.11,detected,uncertain,125.049728630245,59.3064018214048,stead_event_00466,603760886,4,9.53,9.99999999999979,-5420
3.41,6.3,uncertain,uncertain,78.181199208748,56.455557553816,stead_event_00494,15111098,6,17.01,-2590,-10710
9.04,9.14,detected,uncertain,133.560673803309,68.1245015494726,stead_event_00512,8291998,9,19.22,39.9999999999991,-10080
6.37,6.47,detected,uncertain,89.3107592101885,56.1048960711552,stead_event_00514,9569686,6,15.17,370,-8700
3.1,5.76,uncertain,uncertain,78.9180456383932,54.9930171607672,stead_event_00515,11121384,5,15.02,-1900,-9260
8.07,8.17,detected,uncertain,144.320265884869,66.6177954099693,stead_event_00518,12975248,8,19.64,70.0000000000003,-11470
8.07,8.17,detected,detected,100.674176697883,99.6448482498219,stead_event_00521,15111098,8,19.19,70.0000000000003,-11020
8.03,8.13,detected,detected,223.629759133986,63.2685305472419,stead_event_00551,hv61468921,8,13.53,29.9999999999994,-5400
9.05,9.15,detected,detected,205.268567152701,63.7008445782591,stead_event_00563,hv61720621,9,14.54,50.0000000000007,-5390
7.05,7.15,detected,detected,201.932021058344,79.7593010836458,stead_event_00564,hv61765531,7,11.21,49.9999999999998,-4060
