p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,3.95,detected,detected,204.196182190046,120.959512310475,stead_event_00007,12962350,4,7.63,0,-3680
9,9.01,detected,detected,227.961625115918,133.833110000577,stead_event_00008,ci10279289,9,12.25,0,-3240
7.99,8,detected,detected,225.307399992658,132.462997121738,stead_event_00009,12962332,8,11.44,-9.99999999999979,-3440
9.33,15.65,detected,detected,174.614835914469,95.3909293856303,stead_event_00012,10925153,9,15.37,330,279.999999999999
6.35,6.46,detected,uncertain,130.447307541918,79.3372293739607,stead_event_00016,13259505,6,11.24,350,-4780
9.07,8.86,detected,uncertain,131.090804600364,73.1368565772726,stead_event_00017,604179950,9,13.24,70.0000000000003,-4380
6.07,5.85,detected,uncertain,128.758871340365,72.3010964893323,stead_event_00018,604179950,6,10.24,70.0000000000003,-4390
11.16,9.99,detected,uncertain,185.138651717289,74.4841840015332,stead_event_00051,449393,11.16,11.59,0,-1600
10.96,9.99,detected,uncertain,190.18438530834,70.0156792858421,stead_event_00085,449393,10.96,12.04,0,-2050
14.3,9.99,detected,uncertain,182.35195566664,74.9105334788612,stead_event_00103,495,14.3,15.31,0,-5320
11.02,9.99,detected,uncertain,162.470696092212,65.3505308180808,stead_event_00108,449393,11.02,11.92,0,-1930
11.44,9.99,detected,uncertain,121.385280335558,70.4145902040236,stead_event_00125,431338,11.43,12.52,9.99999999999979,-2530
11.59,9.73,detected,uncertain,105.626243569741,61.6164531579819,stead_event_00132,419463,11.61,12.6,-19.9999999999996,-2870
6.15,6.2,detected,uncertain,105.943168031754,70.3877331278025,stead_event_00140,602347413,6,11.48,150,-5280
4.15,4.2,detected,uncertain,106.190628516259,71.2720154675778,stead_event_00141,602347413,4,9.48,150,-5280
7.96,7.92,detected,detected,197.136513476101,110.536263094424,stead_event_00161,ld60047501,8,9.89,-40,-1970
4.48,9.99,detected,uncertain,140.655169556763,67.3844633626011,stead_event_00162,603441563,4.48,7.25,0,2740
1.01,0.47,detected,uncertain,104.588634088436,15.4256879563048,stead_event_00177,16334499,9,17.5,-7990,-17030
5.22,9.98,detected,uncertain,131.696303550258,60.6166593294015,stead_event_00178,16336727,5,6.7,220,3280
9.99,9.55,detected,uncertain,154.101159388298,67.7576379019538,stead_event_00184,ci11209170,10,14.5,-9.99999999999979,-4950
8.86,8.89,detected,detected,173.232129453108,86.9800358292994,stead_event_00193,15898998,9,13.45,-140.000000000001,-4560
9.24,9.26,uncertain,uncertain,76.7979939045043,56.297556917425,stead_event_00194,15899135,9,15.02,240,-5760
7.03,6.08,detected,uncertain,113.416015223022,51.6094454447887,stead_event_00208,605626911,7,15.44,30.0000000000002,-9360
4.99,4.84,detected,detected,177.499606533996,87.774565576092,stead_event_00218,12680913,5,9.8,-9.99999999999979,-4960
9.27,8.22,detected,uncertain,100.070335752403,71.9444984539079,stead_event_00225,602562570,9,12.36,270,-4140
5.27,4.22,detected,uncertain,99.784483250864,71.7441641509593,stead_event_00226,602562570,5,8.36,270,-4140
8.11,8.22,detected,uncertain,116.041552015169,79.8809115576952,stead_event_00227,603798149,8,10.71,109.999999999999,-2490
5.11,4.07,detected,uncertain,115.995353966943,79.9986116877095,stead_event_00228,603798149,5,7.71,110,-3640
4.03,4.1,detected,uncertain,120.684347348464,71.3606024821302,stead_event_00239,hv61128081,4,6.65,30.0000000000002,-2550
8.04,8.06,detected,detected,204.198522693561,124.615407224399,stead_event_00243,hv61222466,8,11.06,39.9999999999991,-3000
7.01,7.03,detected,detected,217.866730128508,114.021700918856,stead_event_00249,hv61414371,7.01,12.2,0,-5170
5.04,9.92,detected,uncertain,140.809804933736,78.5988497799998,stead_event_00253,hv61468921,5,6.25,40,3670
5.02,9.91,detected,uncertain,178.795074949029,80.7835856043934,stead_event_00263,hv61630461,5,5.81,19.9999999999996,4100
9.03,9.07,detected,detected,200.311966913374,118.733339559939,stead_event_00265,hv61631916,9,13.54,29.9999999999994,-4470
8.02,8.02,detected,detected,239.235023715901,155.503480938559,stead_event_00270,hv61720621,8,9.03,19.9999999999996,-1010
4.03,9.99,detected,uncertain,142.694879237488,76.7121243642965,stead_event_00289,hv70278546,4.01,5.33,20.0000000000005,4660
7.01,7.03,detected,detected,199.750506735654,131.003754924403,stead_event_00294,hv70296771,7.01,8.93,0,-1900
7.1,7.07,uncertain,detected,81.4025285878774,75.6523243077635,stead_event_00297,hv70313911,6.96,7.97,140,-899.999999999999
6.03,6.05,detected,detected,221.55876968066,119.921981924882,stead_event_00301,hv70332396,6.03,7.04,0,-990
4,9.99,detected,uncertain,157.586924368356,76.4500060846865,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,4820
8.01,8.03,detected,detected,219.377087149318,137.646146874069,stead_event_00315,hv70413467,8.01,9.21,0,-1180
7.99,8.02,detected,detected,205.568967668592,128.345532751514,stead_event_00320,hv70444457,7.99,9.61,0,-1590
6,6.03,detected,detected,190.852871934693,129.572905418808,stead_event_00327,hv70476007,6.01,7.33,-9.99999999999979,-1300
4.02,9.99,detected,uncertain,186.946416283949,63.1570717496109,stead_event_00344,hv61414371,4.03,8.58,-10.0000000000007,1410
7.02,7.02,detected,detected,226.654633500496,109.971411829503,stead_event_00347,hv61468921,7,10.08,19.9999999999996,-3060
6,6.01,detected,detected,244.414826972332,120.05723068392,stead_event_00355,hv61631916,6,10.52,0,-4510
4.01,4.03,detected,detected,225.299567770239,120.260949255692,stead_event_00360,hv61720621,4,7.48,9.99999999999979,-3450
7.04,7.05,detected,detected,124.440843041317,56.8587616141597,stead_event_00361,hv61765531,7,13.09,40,-6040
9.05,8.64,detected,uncertain,99.9658558005021,51.7100269369805,stead_event_00372,12975248,9,21.21,50.0000000000007,-12570
9.05,9.06,detected,detected,207.879375418809,114.054639977413,stead_event_00397,601253816,9,14.42,50.0000000000007,-5360
7.05,7.06,detected,detected,207.957804796578,114.302325215501,stead_event_00398,601253816,7,12.42,49.9999999999998,-5360
9.39,9.12,detected,uncertain,159.933570936231,58.5149690445953,stead_event_00402,601455028,9,13.7,390.000000000001,-4580
5.39,7.66,detected,uncertain,158.584449103428,55.68740484198,stead_event_00403,601455028,5,9.7,390,-2040
8.09,8.16,detected,uncertain,158.733509236117,63.4487161782046,stead_event_00404,601456130,8,13.46,89.9999999999999,-5300
6.09,6.16,detected,uncertain,158.917688012832,63.2576527680696,stead_event_00405,601456130,6,11.46,89.9999999999999,-5300
7.99,7.99,detected,detected,234.594254108808,123.428625454652,stead_event_00415,602952322,8,10.32,-9.99999999999979,-2330
6.06,6.08,detected,detected,222.914832785924,106.143240206952,stead_event_00417,602952346,6,11.18,59.9999999999996,-5100
8.03,8.03,detected,detected,213.72167974775,134.649136621361,stead_event_00422,602952561,8,10.69,29.9999999999994,-2660
8.96,8.99,detected,detected,211.673208931501,95.5066477931652,stead_event_00430,603374582,9,14.29,-39.9999999999991,-5300
8.97,9,detected,detected,208.25894136291,97.1467398101873,stead_event_00441,603374662,9,13.12,-29.9999999999994,-4120
6.97,7,detected,detected,208.057091863509,96.8886237012706,stead_event_00442,603374662,7,11.12,-30.0000000000002,-4120
4.01,9.99,detected,uncertain,134.08383078801,61.5632583841732,stead_event_00448,603463446,4,9.1,9.99999999999979,890.000000000001
9.01,9.08,detected,uncertain,123.703826824018,62.537582035828,stead_event_00465,603760886,9,14.53,9.99999999999979,-5450
4.01,4.08,detected,uncertain,125.049728630245,63.1869169622765,stead_event_00466,603760886,4,9.53,9.99999999999979,-5450
3.41,6.3,uncertain,uncertain,78.181199208748,84.7608386696209,stead_event_00494,15111098,6,17.01,-2590,-10710
9.04,9.11,detected,uncertain,133.560673803309,67.0077205284085,stead_event_00512,8291998,9,19.22,39.9999999999991,-10110
6.37,6.37,detected,uncertain,89.3107592101885,62.0485710926036,stead_event_00514,9569686,6,15.17,370,-8800
3.1,5.76,uncertain,uncertain,78.9180456383932,80.0299570274362,stead_event_00515,11121384,5,15.02,-1900,-9260
8.07,8.13,detected,uncertain,144.320265884869,65.9416516907214,stead_event_00518,12975248,8,19.64,70.0000000000003,-11510
8.07,8.13,detected,detected,100.674176697883,96.7097405135084,stead_event_00521,15111098,8,19.19,70.0000000000003,-11060
8.03,8.04,detected,detected,223.629759133986,96.5522353359733,stead_event_00551,hv61468921,8,13.53,29.9999999999994,-5490
9.05,9.05,detected,detected,205.268567152701,92.3035220581288,stead_event_00563,hv61720621,9,14.54,50.0000000000007,-5490
7.05,7.07,detected,detected,201.932021058344,108.649473255217,stead_event_00564,hv61765531,7,11.21,49.9999999999998,-4140
4.09,4.07,detected,detected,177.658781556025,98.9733263725228,stead_event_00567,hv61894361,4,6.37,89.9999999999999,-2300
1.01,4.96,detected,uncertain,134.861722503399,35.6632012877138,stead_event_00580,hv70368831,4.98,10.16,-3970,-5200
5.93,5.97,detected,detected,192.253084254419,81.1660047173466,stead_event_00585,hv70476007,5.94,12.12,-10.0000000000007,-6150
8.98,9.01,detected,detected,203.802261641647,77.1538427828658,stead_event_00609,600928972,9,14.3,-19.9999999999996,-5290
2.17,9.99,detected,uncertain,164.467969446478,54.7175169384418,stead_event_00610,601824235,2.17,6.24,0,3750
7.17,6.63,detected,uncertain,181.775298058046,59.6305814906841,stead_event_00611,601253049,7,9.5,170,-2870
6.96,6.98,detected,detected,203.669379550206,92.3115846453449,stead_event_00618,604500852,7,12.5,-40,-5520
4.96,4.98,detected,detected,203.509201066573,91.860317266048,stead_event_00619,604500852,5,10.5,-40,-5520
7.98,7.45,detected,uncertain,142.747224206516,46.000937891141,stead_event_00620,604501047,8,13.9,-19.9999999999996,-6450
6.98,6.45,detected,uncertain,142.759555114089,45.877175390506,stead_event_00621,604501047,7,12.9,-19.9999999999996,-6450
4.95,4.86,detected,detected,186.685285142275,73.8335109941596,stead_event_00622,604501047,5,10.9,-49.9999999999998,-6040
7.24,7.35,detected,uncertain,110.546650693107,71.7502973940226,stead_event_00623,ci15237281,7,12.68,240,-5330
5.22,4.75,detected,uncertain,86.1563222437024,60.0532671998252,stead_event_00634,nn00253964,5,9.45,220,-4700
4.09,4.19,detected,uncertain,110.227643813424,59.3201879376375,stead_event_00644,15809590,4,11.52,89.9999999999999,-7330
6.01,5.49,detected,uncertain,140.395495271655,62.1274776146696,stead_event_00650,ak012a7hvq61,6,12.14,9.99999999999979,-6650
9.06,9.14,detected,uncertain,152.666729662298,65.3299681602289,stead_event_00661,606932485,9,15.1,60.0000000000005,-5960
5.05,5.14,detected,uncertain,152.927117453856,64.865307724841,stead_event_00662,606932485,5,11.1,49.9999999999998,-5960
4.05,4.14,detected,uncertain,153.04941774246,64.8560307184402,stead_event_00663,606932485,4,10.1,49.9999999999998,-5960
7.04,6.62,detected,uncertain,110.288677577911,71.5434140519046,stead_event_00678,13763978,7,13.1,40,-6480
7.95,7.95,detected,uncertain,83.6326025886125,67.5147025233372,stead_event_00679,13548900,7,11.6,950,-3650
9.08,9.18,detected,uncertain,113.177724502586,58.4962013204205,stead_event_00688,14757396,9,14.9,80.0000000000001,-5720
9,9.07,detected,uncertain,117.993819229426,70.8263271398691,stead_event_00699,16021240,9,10.8,0,-1730
5.24,4.81,detected,uncertain,99.7943428249537,62.3434718628548,stead_event_00718,602860175,5,11.3,240,-6490
4.24,3.82,detected,uncertain,99.6168079895368,62.4608764529428,stead_event_00719,602860175,4,10.3,240,-6480
8.93,9.06,detected,uncertain,130.470055367204,78.0932036455134,stead_event_00740,603779201,9,10.9,-70.0000000000003,-1840
4.93,9.97,detected,uncertain,130.734165096965,78.6687557666693,stead_event_00741,603779201,5,6.9,-70.0000000000003,3070
9.05,9.06,detected,detected,221.468718557355,125.369675583619,stead_event_00777,13398232,9,15.1,50.0000000000007,-6040
5.04,5.03,detected,detected,233.256625889991,128.379536910752,stead_event_00786,14302803,5,10.76,40,-5730
9,8.59,detected,uncertain,119.133790239974,63.9542942280346,stead_event_00792,14752286,9,14.9,0,-6310
6.2,6.28,detected,uncertain,110.290963948244,76.0227964260161,stead_event_00798,14994606,6,9.6,200,-3320
4.99,5.07,detected,uncertain,108.221568900457,74.5226669433256,stead_event_00810,604650276,5,11.6,-9.99999999999979,-6530
9.09,9.2,detected,uncertain,118.509432778846,69.3372889401416,stead_event_00811,605123511,9,10.9,89.9999999999999,-1700
8.95,8.94,detected,detected,162.469442950633,72.5040347617689,stead_event_00812,7493998,9,12.84,-50.0000000000007,-3900
6.02,6.02,detected,detected,246.762132090386,136.90656284329,stead_event_00813,10393297,6,9.3,19.9999999999996,-3280
8.99,8.99,detected,detected,222.085592272614,126.941062762398,stead_event_00819,7417373,9,12.32,-9.99999999999979,-3330
4.98,4.74,detected,uncertain,128.614428139656,62.0191207244559,stead_event_00823,8106673,5,11.13,-19.9999999999996,-6390
