p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,NaN,detected,not_detected,226.26583158872,14.9765709017879,stead_event_00007,12962350,4,7.63,0,NaN
9,NaN,detected,not_detected,244.782810327342,33.6901384435729,stead_event_00008,ci10279289,9,12.25,0,NaN
7.99,NaN,detected,not_detected,241.907723677707,33.1950954038997,stead_event_00009,12962332,8,11.44,-9.99999999999979,NaN
9.33,15.65,detected,detected,209.785231499328,312.528942454484,stead_event_00012,10925153,9,15.37,330,279.999999999999
6.35,NaN,detected,not_detected,159.332685126522,21.2703400314044,stead_event_00016,13259505,6,11.24,350,NaN
9.07,12.21,detected,uncertain,149.472610795154,76.0162410849598,stead_event_00017,604179950,9,13.24,70.0000000000003,-1030
6.07,9.21,detected,uncertain,146.53627632056,77.3504099278693,stead_event_00018,604179950,6,10.24,70.0000000000003,-1030
11.16,11.62,detected,uncertain,225.613893556067,191.349573912049,stead_event_00051,449393,11.16,11.59,0,29.9999999999994
10.96,12.02,detected,detected,232.380117223528,226.291693568211,stead_event_00085,449393,10.96,12.04,0,-20.0000000000014
14.3,15.27,detected,detected,221.394596005993,237.975118132078,stead_event_00103,495,14.3,15.31,0,-40.0000000000009
11.02,11.78,detected,detected,194.270661887082,139.384754674755,stead_event_00108,449393,11.02,11.92,0,-140.000000000001
11.44,NaN,detected,not_detected,151.602111148514,57.5348508965736,stead_event_00125,431338,11.43,12.52,9.99999999999979,NaN
11.59,12.75,detected,uncertain,125.336082891978,96.9389890631709,stead_event_00132,419463,11.61,12.6,-19.9999999999996,150
6.14,NaN,detected,not_detected,122.595771887038,43.6855437854656,stead_event_00140,602347413,6,11.48,140,NaN
4.14,NaN,detected,not_detected,122.898624672308,43.7209138559122,stead_event_00141,602347413,4,9.48,140,NaN
7.96,9.89,detected,detected,211.634778040093,290.21785264952,stead_event_00161,ld60047501,8,9.89,-40,0
4.48,5.91,detected,uncertain,173.608043134981,118.12002724212,stead_event_00162,603441563,4.48,7.25,0,-1340
1.01,9.86,detected,uncertain,108.761699876535,6.58190290160101,stead_event_00177,16334499,9,17.5,-7990,-7640
