p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4.02,7.29,detected,detected,255.994331875787,24.8242487807429,stead_event_00007,12962350,4,7.63,19.9999999999996,-340
9,12.99,detected,detected,248.739505397777,17.4897422599054,stead_event_00008,ci10279289,9,12.25,0,740
8,11.63,detected,detected,267.945455425005,23.2987831134073,stead_event_00009,12962332,8,11.44,0,190.000000000001
9,15.59,detected,detected,264.903325050985,54.5071620166906,stead_event_00012,10925153,9,15.37,0,219.999999999999
6,11.36,detected,uncertain,193.868249729106,27.5895796532861,stead_event_00016,13259505,6,11.24,0,119.999999999999
9,12.1,detected,detected,192.771876323164,42.2752434284178,stead_event_00017,604179950,9,13.24,0,-1140
6,9.15,detected,detected,260.703417890403,37.9665776674026,stead_event_00018,604179950,6,10.24,0,-1090
11.16,11.76,detected,detected,177.933371591773,56.2061930475877,stead_event_00051,449393,11.16,11.59,0,170
11,12,detected,detected,172.980590832648,58.7166373829191,stead_event_00085,449393,10.96,12.04,39.9999999999991,-40.0000000000009
14.3,15.23,detected,detected,199.365953372797,61.820670148879,stead_event_00103,495,14.3,15.31,0,-80.0000000000001
11.04,11.79,detected,detected,157.647187795138,66.7956146069616,stead_event_00108,449393,11.02,11.92,19.9999999999996,-130.000000000001
11.52,12.47,detected,detected,193.077813366764,59.289956640621,stead_event_00125,431338,11.43,12.52,89.9999999999999,-49.9999999999989
11.56,12.58,detected,detected,179.896705490095,52.9560040557172,stead_event_00132,419463,11.61,12.6,-49.9999999999989,-19.9999999999996
6,10.76,detected,detected,258.473239980678,36.607886452459,stead_event_00140,602347413,6,11.48,0,-720.000000000001
4.02,8.82,detected,detected,263.916649185512,36.5190923078712,stead_event_00141,602347413,4,9.48,19.9999999999996,-660
7.96,10.08,detected,detected,139.278994490444,175.652193107948,stead_event_00161,ld60047501,8,9.89,-40,189.999999999999
4,7.39,detected,detected,167.45051642502,53.0197209846868,stead_event_00162,603441563,4.48,7.25,-480,140
8,9.16,uncertain,detected,130.39504368166,35.106577068259,stead_event_00177,16334499,9,17.5,-1000,-8340
5,7.27,detected,detected,261.441369784935,33.8913172626956,stead_event_00178,16336727,5,6.7,0,569.999999999999
10,13.69,detected,detected,222.223899609922,25.4697227219868,stead_event_00184,ci11209170,10,14.5,0,-810
9,12.74,detected,detected,234.703633227802,20.7442293006784,stead_event_00193,15898998,9,13.45,0,-710.000000000001
8.97,9.15,detected,detected,310.992270371208,83.6777098740266,stead_event_00194,15899135,9,15.02,-29.9999999999994,-5870
