p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
4,7.71,detected,detected,288.789001931089,63.9117302736565,stead_event_00007,12962350,4,7.63,0,80.0000000000001
9,12.89,detected,detected,300.867862559908,56.1874281082177,stead_event_00008,ci10279289,9,12.25,0,640.000000000001
8,11.65,detected,detected,296.536076258185,82.6897442600396,stead_event_00009,12962332,8,11.44,0,210.000000000001
8.98,15.59,detected,detected,284.754087818924,117.26634256166,stead_event_00012,10925153,9,15.37,-19.9999999999996,219.999999999999
6.01,13.41,detected,detected,289.33301740488,54.2819381767133,stead_event_00016,13259505,6,11.24,9.99999999999979,2170
8.98,12.19,detected,detected,271.302587713932,96.1222525626085,stead_event_00017,604179950,9,13.24,-19.9999999999996,-1050
5.97,9.11,detected,detected,263.528734286212,75.6587862149174,stead_event_00018,604179950,6,10.24,-30.0000000000002,-1130
11.16,11.76,detected,detected,185.16962862945,129.267877920501,stead_event_00051,449393,11.16,11.59,0,170
10.97,12.07,detected,detected,260.908108045054,144.007301182656,stead_event_00085,449393,10.96,12.04,9.99999999999979,29.9999999999994
14.29,15.25,detected,detected,228.835605190065,131.321108801056,stead_event_00103,495,14.3,15.31,-10.0000000000016,-60.0000000000005
11.01,11.84,detected,detected,213.16178696415,129.139026476427,stead_event_00108,449393,11.02,11.92,-9.99999999999979,-80.0000000000001
11.49,12.53,detected,detected,253.959151919895,115.610792468175,stead_event_00125,431338,11.43,12.52,60.0000000000005,9.99999999999979
11.54,12.67,detected,detected,227.504734279846,111.019661613865,stead_event_00132,419463,11.61,12.6,-70.0000000000003,70.0000000000003
6,10.87,detected,detected,295.560660773968,77.139211342816,stead_event_00140,602347413,6,11.48,0,-610.000000000001
4,8.63,detected,detected,296.104513447135,73.3282497499062,stead_event_00141,602347413,4,9.48,0,-850
8.01,9.81,detected,detected,238.090148086996,144.667272785773,stead_event_00161,ld60047501,8,9.89,9.99999999999979,-80.0000000000001
4.01,7.45,detected,detected,239.401638476609,122.579825280798,stead_event_00162,603441563,4.48,7.25,-470.000000000001,200
9,18.1,detected,uncertain,264.541669334368,49.9110743844762,stead_event_00177,16334499,9,17.5,0,600.000000000001
5.01,7.35,detected,detected,286.327079093384,79.9794092261701,stead_event_00178,16336727,5,6.7,9.99999999999979,649.999999999999
9.97,13.57,detected,detected,293.359869825273,61.1411529725526,stead_event_00184,ci11209170,10,14.5,-29.9999999999994,-930
8.97,12.79,detected,detected,305.392264033302,73.9062984905827,stead_event_00193,15898998,9,13.45,-29.9999999999994,-660.000000000002
7.94,8.87,uncertain,detected,223.718043419795,72.6600418619894,stead_event_00194,15899135,9,15.02,-1060,-6150
7,9.75,detected,detected,274.327159058076,38.2671001045386,stead_event_00208,605626911,7,15.44,0,-5690
5,9.73,detected,detected,297.793097164205,106.611656887228,stead_event_00218,12680913,5,9.8,0,-70.0000000000003
8.98,12.47,detected,detected,290.703468039838,32.0260119818023,stead_event_00225,602562570,9,12.36,-19.9999999999996,110.000000000001
5.01,8.51,detected,detected,280.356896706004,41.6348701827898,stead_event_00226,602562570,5,8.36,9.99999999999979,150
8,11.78,detected,detected,307.53138490548,61.8699646521368,stead_event_00227,603798149,8,10.71,0,1070
5.01,8.59,detected,detected,270.778020037821,45.0416007671749,stead_event_00228,603798149,5,7.71,9.99999999999979,880
4.01,6.51,detected,detected,301.561765916397,81.0495705108682,stead_event_00239,hv61128081,4,6.65,9.99999999999979,-140.000000000001
8.01,10.61,detected,detected,287.651557488176,80.2120639996554,stead_event_00243,hv61222466,8,11.06,9.99999999999979,-450.000000000001
7,12.33,detected,detected,311.042591690385,67.4577938548791,stead_event_00249,hv61414371,7.01,12.2,-9.99999999999979,129.999999999999
5.01,6.81,detected,detected,280.952211325763,67.5771634988847,stead_event_00253,hv61468921,5,6.25,9.99999999999979,560
5.01,6.03,detected,detected,289.283797190617,85.1209433066356,stead_event_00263,hv61630461,5,5.81,9.99999999999979,220
8.98,12.93,detected,detected,349.534995957451,77.9115763894081,stead_event_00265,hv61631916,9,13.54,-19.9999999999996,-610.000000000001
8.01,9.03,detected,detected,279.728622530676,67.2779099149768,stead_event_00270,hv61720621,8,9.03,9.99999999999979,0
4.01,6.73,detected,detected,294.676964057893,79.5838804164137,stead_event_00289,hv70278546,4.01,5.33,0,1400
7.01,9.59,detected,detected,268.430382122925,54.6576441358137,stead_event_00294,hv70296771,7.01,8.93,0,660
6.96,7.97,detected,detected,243.235041620356,59.3154753839847,stead_event_00297,hv70313911,6.96,7.97,0,0
6.01,7.89,detected,detected,287.40661782683,53.4349617708385,stead_event_00301,hv70332396,6.03,7.04,-20.0000000000005,850
4,5.95,detected,detected,285.525411363101,70.9212580089331,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,780
8.01,8.99,detected,detected,293.023746457647,55.2301508477815,stead_event_00315,hv70413467,8.01,9.21,0,-220.000000000001
8,9.95,detected,detected,234.95518751189,71.9097229385191,stead_event_00320,hv70444457,7.99,9.61,9.99999999999979,340
6,8.61,detected,detected,297.385043121192,43.496920018111,stead_event_00327,hv70476007,6.01,7.33,-9.99999999999979,1280
4.01,8.69,detected,detected,276.951795563134,101.362551962728,stead_event_00344,hv61414371,4.03,8.58,-20.0000000000005,109.999999999999
7,10.44,detected,detected,291.196080654174,76.2229300695637,stead_event_00347,hv61468921,7,10.08,0,359.999999999999
5.97,10.36,detected,detected,285.922825150824,100.995514763897,stead_event_00355,hv61631916,6,10.52,-30.0000000000002,-160
4,10.45,detected,detected,274.2561265622,31.2924321153836,stead_event_00360,hv61720621,4,7.48,0,2970
7,12.87,detected,detected,289.148452565547,52.7490474948114,stead_event_00361,hv61765531,7,13.09,0,-220.000000000001
8.98,22.55,detected,detected,293.286139440187,39.1436594859494,stead_event_00372,12975248,9,21.21,-19.9999999999996,1340
9.01,14.69,detected,detected,306.022852848583,61.874730498363,stead_event_00397,601253816,9,14.42,9.99999999999979,270
7,12.53,detected,detected,301.291103915828,65.8524087549341,stead_event_00398,601253816,7,12.42,0,109.999999999999
9.43,14.29,detected,detected,203.500718671184,74.5076279976947,stead_event_00402,601455028,9,13.7,430,589.999999999998
4.98,10.29,detected,detected,202.40961292707,84.238264436276,stead_event_00403,601455028,5,9.7,-19.9999999999996,589.999999999998
8.04,13.22,detected,uncertain,270.53585594164,69.3347043791154,stead_event_00404,601456130,8,13.46,39.9999999999991,-240
6.04,11.19,detected,uncertain,274.101297855984,61.5001611861122,stead_event_00405,601456130,6,11.46,40,-270.000000000001
8,10.16,detected,detected,248.68587719482,84.2545081012147,stead_event_00415,602952322,8,10.32,0,-160
6,11.07,detected,detected,260.568243101791,131.424314555567,stead_event_00417,602952346,6,11.18,0,-109.999999999999
8.01,11.23,detected,detected,280.511896214678,75.1215903966893,stead_event_00422,602952561,8,10.69,9.99999999999979,540.000000000001
9,14.19,detected,detected,274.647406737769,53.9340929801973,stead_event_00430,603374582,9,14.29,0,-100.000000000001
9,12.85,detected,detected,265.589912033307,101.046155848269,stead_event_00441,603374662,9,13.12,0,-270.000000000001
6.95,10.87,detected,detected,258.974715937389,92.9751984024149,stead_event_00442,603374662,7,11.12,-49.9999999999998,-250.000000000002
4.04,9.09,detected,detected,238.474247682924,82.7379818265845,stead_event_00448,603463446,4,9.1,40,-9.99999999999979
8.99,15.09,detected,detected,302.580255007536,76.9061654424121,stead_event_00465,603760886,9,14.53,-9.99999999999979,559.999999999999
4,10.07,detected,detected,281.015785269277,65.2531484458263,stead_event_00466,603760886,4,9.53,0,540.000000000001
6,17.57,detected,detected,283.358825375271,65.5420597474317,stead_event_00494,15111098,6,17.01,0,559.999999999999
9.01,19.23,detected,detected,312.163283083752,79.746188667227,stead_event_00512,8291998,9,19.22,9.99999999999979,10.0000000000016
6,14.77,detected,detected,270.656559126088,47.0922920490085,stead_event_00514,9569686,6,15.17,0,-400
5,16.45,detected,detected,321.890255185282,34.3319214354283,stead_event_00515,11121384,5,15.02,0,1430
8.01,19.59,detected,detected,286.486716016077,98.1708749266725,stead_event_00518,12975248,8,19.64,9.99999999999979,-50.0000000000007
8,19.35,detected,detected,287.600982520076,101.579857383539,stead_event_00521,15111098,8,19.19,0,160
8.01,14.11,detected,detected,297.772610857418,59.1331999606232,stead_event_00551,hv61468921,8,13.53,9.99999999999979,579.999999999998
8.98,16.21,detected,detected,275.380899191919,24.3345767960155,stead_event_00563,hv61720621,9,14.54,-19.9999999999996,1670
7.01,11.17,detected,detected,298.541173599852,105.702821919707,stead_event_00564,hv61765531,7,11.21,9.99999999999979,-40.0000000000009
4.01,7.73,detected,detected,284.447497296188,49.3065983669828,stead_event_00567,hv61894361,4,6.37,9.99999999999979,1360
4.98,10.33,detected,uncertain,290.074827196868,15.0546479469557,stead_event_00580,hv70368831,4.98,10.16,0,170
5.97,11.55,detected,detected,293.177909135261,24.5875991822018,stead_event_00585,hv70476007,5.94,12.12,29.9999999999994,-570
9,14.87,detected,detected,289.8450190915,36.2859170646775,stead_event_00609,600928972,9,14.3,0,569.999999999999
2.18,6.13,detected,detected,262.87048455687,113.721622715009,stead_event_00610,601824235,2.17,6.24,10.0000000000002,-110
7.01,9.3,detected,detected,286.071975134856,75.2383601929839,stead_event_00611,601253049,7,9.5,9.99999999999979,-199.999999999999
7,12.67,detected,detected,289.004856290727,100.283877572836,stead_event_00618,604500852,7,12.5,0,170
5,10.63,detected,detected,299.582870937153,97.7118120275401,stead_event_00619,604500852,5,10.5,0,130.000000000001
7.99,13.65,detected,detected,282.237487965388,84.1217715959025,stead_event_00620,604501047,8,13.9,-9.99999999999979,-250
6.99,12.83,detected,detected,291.915902740996,75.586623327461,stead_event_00621,604501047,7,12.9,-9.99999999999979,-70.0000000000003
4.99,10.71,detected,detected,295.845162713913,87.3411012201367,stead_event_00622,604501047,5,10.9,-9.99999999999979,-189.999999999999
7,12.55,detected,detected,304.762282051039,111.526049679563,stead_event_00623,ci15237281,7,12.68,0,-129.999999999999
5,9.55,detected,detected,288.40674184857,98.0222285406212,stead_event_00634,nn00253964,5,9.45,0,99.9999999999996
4.01,12.07,detected,detected,303.692030889737,53.9628522730782,stead_event_00644,15809590,4,11.52,9.99999999999979,550.000000000001
6,11.99,detected,detected,294.842463138366,57.5714127333555,stead_event_00650,ak012a7hvq61,6,12.14,0,-150
9.01,14.85,detected,detected,308.025185235426,67.8515671515424,stead_event_00661,606932485,9,15.1,9.99999999999979,-250
5.01,10.85,detected,detected,302.767229989726,76.8332932066185,stead_event_00662,606932485,5,11.1,9.99999999999979,-250
4.01,9.79,detected,detected,297.610072572177,60.9584431339422,stead_event_00663,606932485,4,10.1,9.99999999999979,-310.000000000001
7,13.81,detected,detected,297.075905921079,66.1447964454097,stead_event_00678,13763978,7,13.1,0,710.000000000001
7.97,11.65,detected,detected,193.262381698958,49.8320522259263,stead_event_00679,13548900,7,11.6,970,50.0000000000007
9.01,15.59,detected,detected,283.096049558449,35.6792342607742,stead_event_00688,14757396,9,14.9,9.99999999999979,690
8.98,10.93,detected,detected,272.269080010713,104.699004401189,stead_event_00699,16021240,9,10.8,-19.9999999999996,129.999999999999
5.01,11.57,detected,detected,285.977363048523,65.5283993686814,stead_event_00718,602860175,5,11.3,9.99999999999979,270
4.01,10.67,detected,detected,300.13349289782,49.7730063373983,stead_event_00719,602860175,4,10.3,9.99999999999979,369.999999999999
8.96,11.21,detected,detected,306.052394085079,80.7026237014608,stead_event_00740,603779201,9,10.9,-39.9999999999991,310.000000000001
4.96,7.21,detected,detected,293.449801634897,70.234478498666,stead_event_00741,603779201,5,6.9,-40,310
9,15.57,detected,detected,296.789135838303,42.9222572631439,stead_event_00777,13398232,9,15.1,0,470.000000000001
5.01,10.6,detected,detected,295.173189512989,67.8971918957366,stead_event_00786,14302803,5,10.76,9.99999999999979,-160
8.97,15.71,detected,detected,304.37117883973,67.9818058284095,stead_event_00792,14752286,9,14.9,-29.9999999999994,810
6,9.55,detected,detected,291.109688906111,91.09488013361,stead_event_00798,14994606,6,9.6,0,-49.9999999999989
5.01,11.71,detected,detected,304.810759328213,63.3547839474451,stead_event_00810,604650276,5,11.6,9.99999999999979,110.000000000001
8.98,11.51,detected,detected,254.595210401934,111.791283704678,stead_event_00811,605123511,9,10.9,-19.9999999999996,609.999999999999
9,14.37,detected,detected,290.558011520125,27.696043957599,stead_event_00812,7493998,9,12.84,0,1530
6,9.41,detected,detected,289.376235037475,110.435425807166,stead_event_00813,10393297,6,9.3,0,109.999999999999
8.98,13.09,detected,detected,294.402217304952,62.3563170832961,stead_event_00819,7417373,9,12.32,-19.9999999999996,770
4.98,11.67,detected,detected,316.648640125657,51.0820236484912,stead_event_00823,8106673,5,11.13,-19.9999999999996,539.999999999999
5.01,7.19,detected,detected,281.820446989813,58.9802173643062,stead_event_00827,13900906,5,6.5,9.99999999999979,690
7,8.37,detected,detected,270.751113917706,95.7179492749562,stead_event_00830,12085160,7,8.5,0,-130.000000000001
