subset,Method,Mode,Policy,Phase,Tolerance_ms,N,N_sources,mean_F1,between_base_SD_F1,mean_Coverage,between_base_SD_Coverage,mean_MAE_ms,between_base_SD_MAE_ms,mean_MedianAE_ms,between_base_SD_MedianAE_ms,mean_RMSE_ms,between_base_SD_RMSE_ms,mean_P90AE_ms,between_base_SD_P90AE_ms,mean_Outlier1s,between_base_SD_Outlier1s
all_test,Stack,Full3C,accepted,P,50,330,221,0.6935168248726733,0.014013151036601968,0.9905723905723907,0.0015429547794464206,166.6244186727153,32.31898387311963,29.999999999999584,1.2717193232616635e-13,1015.1252460168822,317.8896882100737,175.22222222222229,5.295001136641735,0.012903038899885925,0.0011637478642093112
all_test,Stack,Full3C,accepted,P,100,330,221,0.8268024813560109,0.006942314904482195,0.9905723905723907,0.0015429547794464206,166.6244186727153,32.31898387311963,29.999999999999584,1.2717193232616635e-13,1015.1252460168822,317.8896882100737,175.22222222222229,5.295001136641735,0.012903038899885925,0.0011637478642093112
all_test,Stack,Full3C,accepted,P,200,330,221,0.9063002580491551,0.00035002493003127513,0.9905723905723907,0.0015429547794464206,166.6244186727153,32.31898387311963,29.999999999999584,1.2717193232616635e-13,1015.1252460168822,317.8896882100737,175.22222222222229,5.295001136641735,0.012903038899885925,0.0011637478642093112
all_test,Stack,Full3C,accepted,S,50,330,221,0.37610536507264464,0.016026403382279744,0.9801346801346801,0.005563202573016301,610.2932352651823,49.96569401126754,82.77777777777798,5.357583756107204,2059.6507309243407,246.04592156348642,708.5555555555558,39.54790812466598,0.07864498405297603,0.007974250604963862
all_test,Stack,Full3C,accepted,S,100,330,221,0.5536385548344082,0.012659033460239073,0.9801346801346801,0.005563202573016301,610.2932352651823,49.96569401126754,82.77777777777798,5.357583756107204,2059.6507309243407,246.04592156348642,708.5555555555558,39.54790812466598,0.07864498405297603,0.007974250604963862
all_test,Stack,Full3C,accepted,S,200,330,221,0.6849032374111733,0.011632158015192474,0.9801346801346801,0.005563202573016301,610.2932352651823,49.96569401126754,82.77777777777798,5.357583756107204,2059.6507309243407,246.04592156348642,708.5555555555558,39.54790812466598,0.07864498405297603,0.007974250604963862
all_test,Stack,Full3C,strict,P,50,330,221,0.6968567040678728,0.013448059252418428,0.978114478114478,0.002102692928753683,118.99598940655007,14.025446653543975,29.99999999999941,8.614872834998366e-14,593.096895732879,102.23520970084768,160.88888888888914,2.523959264799929,0.011360594249316614,0.0017950124613574235
all_test,Stack,Full3C,strict,P,100,330,221,0.8306437210611382,0.005851924608008049,0.978114478114478,0.002102692928753683,118.99598940655007,14.025446653543975,29.99999999999941,8.614872834998366e-14,593.096895732879,102.23520970084768,160.88888888888914,2.523959264799929,0.011360594249316614,0.0017950124613574235
all_test,Stack,Full3C,strict,P,200,330,221,0.9089402487217715,0.0008656109462432546,0.978114478114478,0.002102692928753683,118.99598940655007,14.025446653543975,29.99999999999941,8.614872834998366e-14,593.096895732879,102.23520970084768,160.88888888888914,2.523959264799929,0.011360594249316614,0.0017950124613574235
all_test,Stack,Full3C,strict,S,50,330,221,0.379679514517022,0.014242919850624062,0.9457912457912458,0.007714773897232043,498.16094399109846,25.199848950244025,78.33333333333364,4.4095855184411175,1688.3847286568403,107.15549011271169,637.4444444444448,32.47962324174821,0.06659166303328715,0.007866657934336285
all_test,Stack,Full3C,strict,S,100,330,221,0.5565362947771029,0.010364819796482303,0.9457912457912458,0.007714773897232043,498.16094399109846,25.199848950244025,78.33333333333364,4.4095855184411175,1688.3847286568403,107.15549011271169,637.4444444444448,32.47962324174821,0.06659166303328715,0.007866657934336285
all_test,Stack,Full3C,strict,S,200,330,221,0.686291651868573,0.009651144146469335,0.9457912457912458,0.007714773897232043,498.16094399109846,25.199848950244025,78.33333333333364,4.4095855184411175,1688.3847286568403,107.15549011271169,637.4444444444448,32.47962324174821,0.06659166303328715,0.007866657934336285
all_test,Stack,Zonly,accepted,P,50,330,221,0.6943025069049712,0.015891343108977652,0.9902356902356902,0.002102692928753683,178.3012908122193,28.57013031486391,29.999999999999954,2.9665336498576163e-13,1048.7244023524208,259.6049537894337,188.33333333333337,10.137937550497174,0.015282714502221743,0.0020060105117604343
all_test,Stack,Zonly,accepted,P,100,330,221,0.8133945291974217,0.007298712166757752,0.9902356902356902,0.002102692928753683,178.3012908122193,28.57013031486391,29.999999999999954,2.9665336498576163e-13,1048.7244023524208,259.6049537894337,188.33333333333337,10.137937550497174,0.015282714502221743,0.0020060105117604343
all_test,Stack,Zonly,accepted,P,200,330,221,0.9040763926852577,0.006747386890371352,0.9902356902356902,0.002102692928753683,178.3012908122193,28.57013031486391,29.999999999999954,2.9665336498576163e-13,1048.7244023524208,259.6049537894337,188.33333333333337,10.137937550497174,0.015282714502221743,0.0020060105117604343
all_test,Stack,Zonly,accepted,S,50,330,221,0.15493850921479452,0.016449038993389797,0.9205387205387205,0.023041228432223042,1172.9412204155929,163.52741999777902,253.8888888888891,8.552669065744723,2650.3206022131126,399.3173036789,3912.8888888888905,491.3001270250344,0.208571469831419,0.025010791216754844
all_test,Stack,Zonly,accepted,S,100,330,221,0.26861536601170466,0.015246310948536701,0.9205387205387205,0.023041228432223042,1172.9412204155929,163.52741999777902,253.8888888888891,8.552669065744723,2650.3206022131126,399.3173036789,3912.8888888888905,491.3001270250344,0.208571469831419,0.025010791216754844
all_test,Stack,Zonly,accepted,S,200,330,221,0.4237425157249919,0.01653427936339273,0.9205387205387205,0.023041228432223042,1172.9412204155929,163.52741999777902,253.8888888888891,8.552669065744723,2650.3206022131126,399.3173036789,3912.8888888888905,491.3001270250344,0.208571469831419,0.025010791216754844
all_test,Stack,Zonly,strict,P,50,330,221,0.6952964140015072,0.017996280347253316,0.9777777777777777,0.003641970985317184,151.85540901290582,28.47634307550292,29.999999999999954,2.9665336498576163e-13,857.7072106972438,286.76630937222575,180.88888888888906,16.249216505328576,0.013415511499013036,0.0009839575458175437
all_test,Stack,Zonly,strict,P,100,330,221,0.8141035093300091,0.009722373357285841,0.9777777777777777,0.003641970985317184,151.85540901290582,28.47634307550292,29.999999999999954,2.9665336498576163e-13,857.7072106972438,286.76630937222575,180.88888888888906,16.249216505328576,0.013415511499013036,0.0009839575458175437
all_test,Stack,Zonly,strict,P,200,330,221,0.901940512622518,0.007502910787690813,0.9777777777777777,0.003641970985317184,151.85540901290582,28.47634307550292,29.999999999999954,2.9665336498576163e-13,857.7072106972438,286.76630937222575,180.88888888888906,16.249216505328576,0.013415511499013036,0.0009839575458175437
all_test,Stack,Zonly,strict,S,50,330,221,0.14524239523831,0.013096970844833944,0.7080808080808081,0.0582365062844427,1009.6203506003379,220.60591546887846,208.8888888888885,9.47706783846246,2465.656624991005,631.7834425168214,3043.222222222223,641.8100561288746,0.17281165928326417,0.020609557702075253
all_test,Stack,Zonly,strict,S,100,330,221,0.25713497953392894,0.011203058705736665,0.7080808080808081,0.0582365062844427,1009.6203506003379,220.60591546887846,208.8888888888885,9.47706783846246,2465.656624991005,631.7834425168214,3043.222222222223,641.8100561288746,0.17281165928326417,0.020609557702075253
all_test,Stack,Zonly,strict,S,200,330,221,0.4044103517486728,0.022469897288769795,0.7080808080808081,0.0582365062844427,1009.6203506003379,220.60591546887846,208.8888888888885,9.47706783846246,2465.656624991005,631.7834425168214,3043.222222222223,641.8100561288746,0.17281165928326417,0.020609557702075253
all_test,PhaseNetMatched,Full3C,accepted,P,50,330,221,0.9752410294140188,0.002299417530608998,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647,6.666666666666525,5.773502691896135,299.90537215558993,57.009260980928005,23.333333333333133,5.773502691896647,0.0030333732461392034,5.317769818454685e-06
all_test,PhaseNetMatched,Full3C,accepted,P,100,330,221,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647,6.666666666666525,5.773502691896135,299.90537215558993,57.009260980928005,23.333333333333133,5.773502691896647,0.0030333732461392034,5.317769818454685e-06
all_test,PhaseNetMatched,Full3C,accepted,P,200,330,221,0.9853466378504315,0.0008628263093145197,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647,6.666666666666525,5.773502691896135,299.90537215558993,57.009260980928005,23.333333333333133,5.773502691896647,0.0030333732461392034,5.317769818454685e-06
all_test,PhaseNetMatched,Full3C,accepted,S,50,330,221,0.37594615431147765,0.023861514750497435,0.9939393939393939,0.008017428215347233,170.1179883945841,8.284308753342895,80.00000000000007,9.999999999999787,343.7423176206886,68.55390355467561,446.3333333333334,26.27419519858462,0.00912812955366147,0.0052165390833832795
all_test,PhaseNetMatched,Full3C,accepted,S,100,330,221,0.5856856861073289,0.03128829036768158,0.9939393939393939,0.008017428215347233,170.1179883945841,8.284308753342895,80.00000000000007,9.999999999999787,343.7423176206886,68.55390355467561,446.3333333333334,26.27419519858462,0.00912812955366147,0.0052165390833832795
all_test,PhaseNetMatched,Full3C,accepted,S,200,330,221,0.7396461926075382,0.023317245324249763,0.9939393939393939,0.008017428215347233,170.1179883945841,8.284308753342895,80.00000000000007,9.999999999999787,343.7423176206886,68.55390355467561,446.3333333333334,26.27419519858462,0.00912812955366147,0.0052165390833832795
all_test,PhaseNetMatched,Full3C,strict,P,50,330,221,0.9752410294140188,0.002299417530608998,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647,6.666666666666525,5.773502691896135,299.90537215558993,57.009260980928005,23.333333333333133,5.773502691896647,0.0030333732461392034,5.317769818454685e-06
all_test,PhaseNetMatched,Full3C,strict,P,100,330,221,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647,6.666666666666525,5.773502691896135,299.90537215558993,57.009260980928005,23.333333333333133,5.773502691896647,0.0030333732461392034,5.317769818454685e-06
all_test,PhaseNetMatched,Full3C,strict,P,200,330,221,0.9853466378504315,0.0008628263093145197,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647,6.666666666666525,5.773502691896135,299.90537215558993,57.009260980928005,23.333333333333133,5.773502691896647,0.0030333732461392034,5.317769818454685e-06
all_test,PhaseNetMatched,Full3C,strict,S,50,330,221,0.37644538758246393,0.02480402232423003,0.9858585858585859,0.006308078786261049,167.46391412332423,7.814869180022365,80.00000000000007,9.999999999999787,340.46920361346866,70.38874510335611,417.00000000000017,12.124355652981965,0.0092058132224085,0.0052695875572048665
all_test,PhaseNetMatched,Full3C,strict,S,100,330,221,0.5860135255379979,0.030636245192790786,0.9858585858585859,0.006308078786261049,167.46391412332423,7.814869180022365,80.00000000000007,9.999999999999787,340.46920361346866,70.38874510335611,417.00000000000017,12.124355652981965,0.0092058132224085,0.0052695875572048665
all_test,PhaseNetMatched,Full3C,strict,S,200,330,221,0.7395938347665169,0.022992247364754387,0.9858585858585859,0.006308078786261049,167.46391412332423,7.814869180022365,80.00000000000007,9.999999999999787,340.46920361346866,70.38874510335611,417.00000000000017,12.124355652981965,0.0092058132224085,0.0052695875572048665
all_test,PhaseNetMatched,Zonly,accepted,P,50,330,221,0.9732192946153493,0.00913076583393818,0.998989898989899,0.0017495462702716044,25.642933898252885,3.801231470861424,6.666666666666525,5.773502691896135,123.40016284549841,20.798106020744218,23.333333333333133,5.773502691896647,0.0030303030303030303,0.0030303030303030303
all_test,PhaseNetMatched,Zonly,accepted,P,100,330,221,0.9833249030517619,0.0045454779983777035,0.998989898989899,0.0017495462702716044,25.642933898252885,3.801231470861424,6.666666666666525,5.773502691896135,123.40016284549841,20.798106020744218,23.333333333333133,5.773502691896647,0.0030303030303030303,0.0030303030303030303
all_test,PhaseNetMatched,Zonly,accepted,P,200,330,221,0.9833249030517619,0.0045454779983777035,0.998989898989899,0.0017495462702716044,25.642933898252885,3.801231470861424,6.666666666666525,5.773502691896135,123.40016284549841,20.798106020744218,23.333333333333133,5.773502691896647,0.0030303030303030303,0.0030303030303030303
all_test,PhaseNetMatched,Zonly,accepted,S,50,330,221,0.16389926663899265,0.011258463917306172,0.996969696969697,0.0052486388108147495,504.298952831063,86.00554149224469,196.6666666666672,15.275252316518667,1396.978598329226,354.6694274648926,920.9999999999999,68.50547423381586,0.08509869335557409,0.005045928999275584
all_test,PhaseNetMatched,Zonly,accepted,S,100,330,221,0.29947419399474196,0.018041500920815752,0.996969696969697,0.0052486388108147495,504.298952831063,86.00554149224469,196.6666666666672,15.275252316518667,1396.978598329226,354.6694274648926,920.9999999999999,68.50547423381586,0.08509869335557409,0.005045928999275584
all_test,PhaseNetMatched,Zonly,accepted,S,200,330,221,0.5119228817858955,0.020872184042327196,0.996969696969697,0.0052486388108147495,504.298952831063,86.00554149224469,196.6666666666672,15.275252316518667,1396.978598329226,354.6694274648926,920.9999999999999,68.50547423381586,0.08509869335557409,0.005045928999275584
all_test,PhaseNetMatched,Zonly,strict,P,50,330,221,0.9736513539144995,0.00866231809131809,0.9939393939393939,0.0030303030303029943,22.60975927151408,4.005127790913652,6.666666666666525,5.773502691896135,110.5831024067649,15.921161505411966,23.333333333333133,5.773502691896647,0.0010131712259371835,0.001754864040090048
all_test,PhaseNetMatched,Zonly,strict,P,100,330,221,0.983784617651764,0.00490547018966795,0.9939393939393939,0.0030303030303029943,22.60975927151408,4.005127790913652,6.666666666666525,5.773502691896135,110.5831024067649,15.921161505411966,23.333333333333133,5.773502691896647,0.0010131712259371835,0.001754864040090048
all_test,PhaseNetMatched,Zonly,strict,P,200,330,221,0.983784617651764,0.00490547018966795,0.9939393939393939,0.0030303030303029943,22.60975927151408,4.005127790913652,6.666666666666525,5.773502691896135,110.5831024067649,15.921161505411966,23.333333333333133,5.773502691896647,0.0010131712259371835,0.001754864040090048
all_test,PhaseNetMatched,Zonly,strict,S,50,330,221,0.16336608120346477,0.00927600563283233,0.9787878787878788,0.008017428215347233,468.02879669199115,73.26372135662999,193.33333333333292,11.547005383792392,1265.9979694810863,312.00830355234035,910.3333333333333,60.00277771348051,0.08150858657803102,0.004160463520514955
all_test,PhaseNetMatched,Zonly,strict,S,100,330,221,0.30018935224341764,0.015133704174674042,0.9787878787878788,0.008017428215347233,468.02879669199115,73.26372135662999,193.33333333333292,11.547005383792392,1265.9979694810863,312.00830355234035,910.3333333333333,60.00277771348051,0.08150858657803102,0.004160463520514955
