group,label,records,status_and_pick_match
Full3C_base43,full15ch_seed42,330,True
Full3C_base43,full15ch_seed43,330,True
Full3C_base43,full15ch_seed44,330,True
Zonly_base43,full15ch_seed42,330,True
Zonly_base43,full15ch_seed43,330,True
Zonly_base43,full15ch_seed44,330,True
Full3C_base44,full15ch_seed42,330,True
Full3C_base44,full15ch_seed43,330,True
Full3C_base44,full15ch_seed44,330,True
Zonly_base44,full15ch_seed42,330,True
Zonly_base44,full15ch_seed43,330,True
Zonly_base44,full15ch_seed44,330,True
Full3C_phasenet,PhaseNetMatched_seed42,330,True
Full3C_phasenet,PhaseNetMatched_seed43,330,True
Full3C_phasenet,PhaseNetMatched_seed44,330,True
Zonly_phasenet,PhaseNetMatched_seed42,330,True
Zonly_phasenet,PhaseNetMatched_seed43,330,True
Zonly_phasenet,PhaseNetMatched_seed44,330,True
Full3C_base42,full15ch_seed42,330,True
Full3C_base42,full15ch_seed43,330,True
Full3C_base42,full15ch_seed44,330,True
Zonly_base42,full15ch_seed42,330,True
Zonly_base42,full15ch_seed43,330,True
Zonly_base42,full15ch_seed44,330,True
