peak_threshold,quality_threshold,max_SP_seconds,Policy,Phase,Tolerance_ms,Comparison,F1_A,F1_B,Delta,CI_low,CI_high
0.2,2,20,accepted,P,100,Stack Full3C minus Zonly,0.825579501271277,0.812886639536541,0.01269286173473605,-0.002422920309691981,0.028964977936643557
0.2,2,20,accepted,P,100,PhaseNet Full3C minus Zonly,0.9833249030517619,0.9833249030517619,0.0,-0.010175032942989937,0.011200849219318576
0.2,2,20,accepted,P,100,Stack minus PhaseNet Full3C,0.825579501271277,0.9833249030517619,-0.1577454017804849,-0.20464706651232895,-0.11333591161641002
0.2,2,20,accepted,P,100,Stack minus PhaseNet Zonly,0.812886639536541,0.9833249030517619,-0.17043826351522096,-0.21819260909515636,-0.1246349401017393
0.2,2,20,accepted,S,100,Stack Full3C minus Zonly,0.55251870082428,0.2680450254924985,0.28447367533178153,0.22953466115535084,0.3406115394307007
0.2,2,20,accepted,S,100,PhaseNet Full3C minus Zonly,0.5856856861073289,0.2993122716526972,0.28637341445463166,0.23449187717065242,0.33835697577514257
0.2,2,20,accepted,S,100,Stack minus PhaseNet Full3C,0.55251870082428,0.5856856861073289,-0.033166985283048844,-0.07326229719380033,0.005813082040251604
0.2,2,20,accepted,S,100,Stack minus PhaseNet Zonly,0.2680450254924985,0.2993122716526972,-0.031267246160198714,-0.06655860491659439,0.004254468897269279
0.2,2,20,strict,P,100,Stack Full3C minus Zonly,0.82890972034398,0.8133559842335243,0.01555373611045574,0.0005372598436446807,0.03155322364787175
0.2,2,20,strict,P,100,PhaseNet Full3C minus Zonly,0.9833249030517619,0.9838199904967736,-0.0004950874450116993,-0.010536561308896197,0.010527766233723895
0.2,2,20,strict,P,100,Stack minus PhaseNet Full3C,0.82890972034398,0.9833249030517619,-0.15441518270778187,-0.20118472165022716,-0.11056975051656216
0.2,2,20,strict,P,100,Stack minus PhaseNet Zonly,0.8133559842335243,0.9838199904967736,-0.1704640062632493,-0.21836337357083477,-0.12465980670347747
0.2,2,20,strict,S,100,Stack Full3C minus Zonly,0.5540248093498634,0.26819660548885693,0.2858282038610065,0.2295657311410085,0.3432358131960365
0.2,2,20,strict,S,100,PhaseNet Full3C minus Zonly,0.5862613352704574,0.29878171023209193,0.2874796250383655,0.23560977834968916,0.33933862569565554
0.2,2,20,strict,S,100,Stack minus PhaseNet Full3C,0.5540248093498634,0.5862613352704574,-0.032236525920594006,-0.07233144936100905,0.006548905205599693
0.2,2,20,strict,S,100,Stack minus PhaseNet Zonly,0.26819660548885693,0.29878171023209193,-0.030585104743235003,-0.06552883866934442,0.00511603746410698
0.2,2,30,accepted,P,100,Stack Full3C minus Zonly,0.825579501271277,0.812886639536541,0.01269286173473605,-0.002422920309691981,0.028964977936643557
0.2,2,30,accepted,P,100,PhaseNet Full3C minus Zonly,0.9833249030517619,0.9833249030517619,0.0,-0.010175032942989937,0.011200849219318576
