peak_threshold,quality_threshold,max_SP_seconds,Policy,Phase,Tolerance_ms,Method,BaseSeed,MetaSeed,Delta
0.2,2,20,accepted,P,100,Stack,42,42,0.03647416413373861
0.2,2,20,accepted,P,100,Stack,42,43,0.015761162039250487
0.2,2,20,accepted,P,100,Stack,42,44,0.013928357934427704
0.2,2,20,accepted,P,100,Stack,43,42,0.020714746246661142
0.2,2,20,accepted,P,100,Stack,43,43,0.01877758607548452
0.2,2,20,accepted,P,100,Stack,43,44,0.014626508243529512
0.2,2,20,accepted,P,100,Stack,44,42,0.0005497005517792752
0.2,2,20,accepted,P,100,Stack,44,43,0.0007056870070568655
0.2,2,20,accepted,P,100,Stack,44,44,-0.007302156619303779
0.2,2,20,accepted,P,100,PhaseNetMatched,42,,-0.0060606060606061
0.2,2,20,accepted,P,100,PhaseNetMatched,43,,0.0015404423598657235
0.2,2,20,accepted,P,100,PhaseNetMatched,44,,0.004520163700740376
0.2,2,20,accepted,S,100,Stack,42,42,0.26923594514953947
0.2,2,20,accepted,S,100,Stack,42,43,0.2520912726417314
0.2,2,20,accepted,S,100,Stack,42,44,0.26304420779981946
0.2,2,20,accepted,S,100,Stack,43,42,0.3120574350904799
0.2,2,20,accepted,S,100,Stack,43,43,0.3164296385173684
0.2,2,20,accepted,S,100,Stack,43,44,0.3226658851224551
0.2,2,20,accepted,S,100,Stack,44,42,0.2600895612427202
0.2,2,20,accepted,S,100,Stack,44,43,0.29717192877450255
0.2,2,20,accepted,S,100,Stack,44,44,0.2674772036474164
0.2,2,20,accepted,S,100,PhaseNetMatched,42,,0.2848484848484848
0.2,2,20,accepted,S,100,PhaseNetMatched,43,,0.300698392074062
0.2,2,20,accepted,S,100,PhaseNetMatched,44,,0.2735733664413483
0.2,2,20,strict,P,100,Stack,42,42,0.04031648066080418
0.2,2,20,strict,P,100,Stack,42,43,0.02143950995405819
0.2,2,20,strict,P,100,Stack,42,44,0.015118820564937074
0.2,2,20,strict,P,100,Stack,43,42,0.027625027263066593
0.2,2,20,strict,P,100,Stack,43,43,0.0188957600271209
0.2,2,20,strict,P,100,Stack,43,44,0.014001117110407746
0.2,2,20,strict,P,100,Stack,44,42,0.004860284333636833
0.2,2,20,strict,P,100,Stack,44,43,0.0032589106460860773
0.2,2,20,strict,P,100,Stack,44,44,-0.005532285566016704
0.2,2,20,strict,P,100,PhaseNetMatched,42,,-0.0060606060606061
0.2,2,20,strict,P,100,PhaseNetMatched,43,,0.0015404423598657235
0.2,2,20,strict,P,100,PhaseNetMatched,44,,0.003034901365705611
0.2,2,20,strict,S,100,Stack,42,42,0.2749599468563167
0.2,2,20,strict,S,100,Stack,42,43,0.25608017929540927
0.2,2,20,strict,S,100,Stack,42,44,0.26260442312143595
0.2,2,20,strict,S,100,Stack,43,42,0.31851550155555336
0.2,2,20,strict,S,100,Stack,43,43,0.3221861341673684
0.2,2,20,strict,S,100,Stack,43,44,0.31634507401735573
0.2,2,20,strict,S,100,Stack,44,42,0.2559765068615307
0.2,2,20,strict,S,100,Stack,44,43,0.2957661340270035
0.2,2,20,strict,S,100,Stack,44,44,0.27001993484708514
0.2,2,20,strict,S,100,PhaseNetMatched,42,,0.28572676691037846
0.2,2,20,strict,S,100,PhaseNetMatched,43,,0.30229007633587784
0.2,2,20,strict,S,100,PhaseNetMatched,44,,0.27442203186884034
