Policy,Phase,Comparison,min_delta,max_delta,min_CI_low,max_CI_high,positive_point_configurations,CI_above_zero_configurations,configurations
accepted,P,PhaseNet Full3C minus Zonly,-0.0004950874450116993,0.0,-0.010536561308896197,0.011200849219318576,0,0,27
accepted,P,Stack Full3C minus Zonly,0.01269286173473605,0.01555373611045574,-0.002422920309691981,0.03155322364787175,27,9,27
accepted,P,Stack minus PhaseNet Full3C,-0.1577454017804849,-0.15441518270778187,-0.20464706651232895,-0.11056975051656216,0,0,27
accepted,P,Stack minus PhaseNet Zonly,-0.1704640062632493,-0.1699303738543403,-0.21836337357083477,-0.12438323689134774,0,0,27
accepted,S,PhaseNet Full3C minus Zonly,0.28621149211258695,0.2873355438624179,0.23446796346321178,0.33920478151290856,27,27,27
accepted,S,Stack Full3C minus Zonly,0.283861292209094,0.28555115524525915,0.22843395281193501,0.34259760928061983,27,27,27
accepted,S,Stack minus PhaseNet Full3C,-0.033779368405736365,-0.0315191648503651,-0.07380232138940808,0.006787282116254613,0,0,27
accepted,S,Stack minus PhaseNet Zonly,-0.03160651672847692,-0.030462480985987694,-0.06677186461109068,0.005297370843420243,0,0,27
strict,P,PhaseNet Full3C minus Zonly,-0.0004950874450116993,-0.0004565717129099145,-0.010536561308896197,0.010527766233723895,0,0,27
strict,P,Stack Full3C minus Zonly,0.01555373611045574,0.01677832951536984,0.0005372598436446807,0.03232444968912023,27,27,27
strict,P,Stack minus PhaseNet Full3C,-0.15441518270778187,-0.15235190796123754,-0.20118472165022716,-0.1085111336063482,0,0,27
strict,P,Stack minus PhaseNet Zonly,-0.1704640062632493,-0.1695868091895173,-0.21836337357083477,-0.12427499173772967,0,0,27
strict,S,PhaseNet Full3C minus Zonly,0.2828041583891486,0.2874796250383655,0.23062343516126402,0.33933862569565554,27,27,27
strict,S,Stack Full3C minus Zonly,0.28554382969855796,0.30310302785853155,0.22925353096667594,0.36258655115519584,27,27,27
strict,S,Stack minus PhaseNet Full3C,-0.03252090008304254,-0.026460325917294858,-0.07251490945279504,0.012365135503194817,0,0,27
strict,S,Stack minus PhaseNet Zonly,-0.04675919538667783,-0.030351734747068093,-0.08809915971693309,0.005297080347492489,0,0,27
