peak_threshold,quality_threshold,max_SP_seconds,Policy,Phase,Tolerance_ms,Method,Mode,mean_F1,between_base_SD_F1,mean_Coverage,between_base_SD_Coverage,mean_MAE_ms,between_base_SD_MAE_ms
0.2,2,20,accepted,P,100,Stack,Full3C,0.825579501271277,0.006991881939222539,0.9959595959595959,0.0010101010101010166,167.5257033611548,32.4138543208699
0.2,2,20,accepted,P,100,Stack,Zonly,0.812886639536541,0.0071941108872758276,0.9956228956228956,0.0015429547794464206,210.96181618857082,49.19767881833531
0.2,2,20,accepted,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.2,2,20,accepted,P,100,PhaseNetMatched,Zonly,0.9833249030517619,0.0045454779983777035,0.998989898989899,0.0017495462702716044,25.642933898252885,3.801231470861424
0.2,2,20,accepted,S,100,Stack,Full3C,0.5525187008242799,0.013232001518150759,0.9902356902356902,0.0038241807042425696,592.8170755655174,25.56948696399006
0.2,2,20,accepted,S,100,Stack,Zonly,0.2680450254924985,0.015901519909822543,0.9717171717171718,0.013131313131313105,1144.5801608603276,76.06379954620337
0.2,2,20,accepted,S,100,PhaseNetMatched,Full3C,0.5856856861073289,0.03128829036768158,0.9939393939393939,0.008017428215347233,170.1179883945841,8.284308753342895
0.2,2,20,accepted,S,100,PhaseNetMatched,Zonly,0.2993122716526972,0.017770230764121774,0.997979797979798,0.003499092540543209,504.0631929046564,86.26234031689215
0.2,2,20,strict,P,100,Stack,Full3C,0.82890972034398,0.0065736942736522586,0.9855218855218856,0.0011663641801810697,144.75808079369094,32.057582394087504
0.2,2,20,strict,P,100,Stack,Zonly,0.8133559842335244,0.007208677784376444,0.9861952861952862,0.0011663641801810697,166.71752499214315,26.30788211358611
0.2,2,20,strict,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.2,2,20,strict,P,100,PhaseNetMatched,Zonly,0.9838199904967735,0.003828581162268285,0.997979797979798,0.0017495462702716044,24.598292959994925,2.718884593688873
0.2,2,20,strict,S,100,Stack,Full3C,0.5540248093498634,0.014009133088141487,0.9764309764309764,0.004665456720724247,561.2784643013223,21.024757278057585
0.2,2,20,strict,S,100,Stack,Zonly,0.26819660548885693,0.015155402448920061,0.8632996632996633,0.025580363519491743,1062.362827576546,79.04486222725801
0.2,2,20,strict,S,100,PhaseNetMatched,Full3C,0.5862613352704574,0.030822228471061877,0.9919191919191919,0.006308078786260987,169.16094595596408,7.392039290142962
0.2,2,20,strict,S,100,PhaseNetMatched,Zonly,0.29878171023209193,0.01688347952744913,0.9949494949494949,0.008747731351357958,497.56456876456883,93.76508578844236
0.2,2,30,accepted,P,100,Stack,Full3C,0.825579501271277,0.006991881939222539,0.9959595959595959,0.0010101010101010166,167.5257033611548,32.4138543208699
0.2,2,30,accepted,P,100,Stack,Zonly,0.812886639536541,0.0071941108872758276,0.9956228956228956,0.0015429547794464206,210.96181618857082,49.19767881833531
0.2,2,30,accepted,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.2,2,30,accepted,P,100,PhaseNetMatched,Zonly,0.9833249030517619,0.0045454779983777035,0.998989898989899,0.0017495462702716044,25.642933898252885,3.801231470861424
0.2,2,30,accepted,S,100,Stack,Full3C,0.5519063177015926,0.013746102035210388,0.9912457912457913,0.0021026929287536206,674.8936373681223,12.852078034919472
0.2,2,30,accepted,S,100,Stack,Zonly,0.2680450254924985,0.015901519909822543,0.9717171717171718,0.013131313131313105,1205.1538082537813,149.44361193925192
0.2,2,30,accepted,S,100,PhaseNetMatched,Full3C,0.5856856861073289,0.03128829036768158,0.9939393939393939,0.008017428215347233,170.1179883945841,8.284308753342895
0.2,2,30,accepted,S,100,PhaseNetMatched,Zonly,0.2993122716526972,0.017770230764121774,0.997979797979798,0.003499092540543209,504.0631929046564,86.26234031689215
0.2,2,30,strict,P,100,Stack,Full3C,0.82890972034398,0.0065736942736522586,0.9855218855218856,0.0011663641801810697,144.75808079369094,32.057582394087504
0.2,2,30,strict,P,100,Stack,Zonly,0.8133559842335244,0.007208677784376444,0.9861952861952862,0.0011663641801810697,166.71752499214315,26.30788211358611
0.2,2,30,strict,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.2,2,30,strict,P,100,PhaseNetMatched,Zonly,0.9838199904967735,0.003828581162268285,0.997979797979798,0.0017495462702716044,24.598292959994925,2.718884593688873
0.2,2,30,strict,S,100,Stack,Full3C,0.5537404351874149,0.013739387164066925,0.9774410774410774,0.004773551137628885,591.9731167275444,33.67433054643574
0.2,2,30,strict,S,100,Stack,Zonly,0.26819660548885693,0.015155402448920061,0.8632996632996633,0.025580363519491743,1129.9654658344589,167.88699372867845
0.2,2,30,strict,S,100,PhaseNetMatched,Full3C,0.5862613352704574,0.030822228471061877,0.9919191919191919,0.006308078786260987,169.16094595596408,7.392039290142962
0.2,2,30,strict,S,100,PhaseNetMatched,Zonly,0.29878171023209193,0.01688347952744913,0.9949494949494949,0.008747731351357958,497.56456876456883,93.76508578844236
0.2,2,40,accepted,P,100,Stack,Full3C,0.825579501271277,0.006991881939222539,0.9959595959595959,0.0010101010101010166,167.5257033611548,32.4138543208699
0.2,2,40,accepted,P,100,Stack,Zonly,0.812886639536541,0.0071941108872758276,0.9956228956228956,0.0015429547794464206,210.96181618857082,49.19767881833531
0.2,2,40,accepted,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.2,2,40,accepted,P,100,PhaseNetMatched,Zonly,0.9833249030517619,0.0045454779983777035,0.998989898989899,0.0017495462702716044,25.642933898252885,3.801231470861424
0.2,2,40,accepted,S,100,Stack,Full3C,0.5519063177015926,0.013746102035210388,0.9912457912457913,0.0021026929287536206,674.8936373681223,12.852078034919472
0.2,2,40,accepted,S,100,Stack,Zonly,0.2677057549242203,0.015467403448739678,0.9717171717171718,0.013131313131313105,1228.637568937542,125.8985335558461
0.2,2,40,accepted,S,100,PhaseNetMatched,Full3C,0.5856856861073289,0.03128829036768158,0.9939393939393939,0.008017428215347233,170.1179883945841,8.284308753342895
0.2,2,40,accepted,S,100,PhaseNetMatched,Zonly,0.2993122716526972,0.017770230764121774,0.997979797979798,0.003499092540543209,504.0631929046564,86.26234031689215
0.2,2,40,strict,P,100,Stack,Full3C,0.82890972034398,0.0065736942736522586,0.9855218855218856,0.0011663641801810697,144.75808079369094,32.057582394087504
0.2,2,40,strict,P,100,Stack,Zonly,0.8133559842335244,0.007208677784376444,0.9861952861952862,0.0011663641801810697,166.71752499214315,26.30788211358611
0.2,2,40,strict,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.2,2,40,strict,P,100,PhaseNetMatched,Zonly,0.9838199904967735,0.003828581162268285,0.997979797979798,0.0017495462702716044,24.598292959994925,2.718884593688873
0.2,2,40,strict,S,100,Stack,Full3C,0.5537404351874149,0.013739387164066925,0.9774410774410774,0.004773551137628885,591.9731167275444,33.67433054643574
0.2,2,40,strict,S,100,Stack,Zonly,0.26819660548885693,0.015155402448920061,0.8632996632996633,0.025580363519491743,1129.9654658344589,167.88699372867845
0.2,2,40,strict,S,100,PhaseNetMatched,Full3C,0.5862613352704574,0.030822228471061877,0.9919191919191919,0.006308078786260987,169.16094595596408,7.392039290142962
0.2,2,40,strict,S,100,PhaseNetMatched,Zonly,0.29878171023209193,0.01688347952744913,0.9949494949494949,0.008747731351357958,497.56456876456883,93.76508578844236
0.2,3,20,accepted,P,100,Stack,Full3C,0.825579501271277,0.006991881939222539,0.9959595959595959,0.0010101010101010166,167.5257033611548,32.4138543208699
0.2,3,20,accepted,P,100,Stack,Zonly,0.812886639536541,0.0071941108872758276,0.9956228956228956,0.0015429547794464206,210.96181618857082,49.19767881833531
0.2,3,20,accepted,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.2,3,20,accepted,P,100,PhaseNetMatched,Zonly,0.9833249030517619,0.0045454779983777035,0.998989898989899,0.0017495462702716044,25.642933898252885,3.801231470861424
0.2,3,20,accepted,S,100,Stack,Full3C,0.5525187008242799,0.013232001518150759,0.9902356902356902,0.0038241807042425696,592.8170755655174,25.56948696399006
0.2,3,20,accepted,S,100,Stack,Zonly,0.2680450254924985,0.015901519909822543,0.9717171717171718,0.013131313131313105,1144.5801608603276,76.06379954620337
0.2,3,20,accepted,S,100,PhaseNetMatched,Full3C,0.5856856861073289,0.03128829036768158,0.9939393939393939,0.008017428215347233,170.1179883945841,8.284308753342895
0.2,3,20,accepted,S,100,PhaseNetMatched,Zonly,0.2993122716526972,0.017770230764121774,0.997979797979798,0.003499092540543209,504.0631929046564,86.26234031689215
0.2,3,20,strict,P,100,Stack,Full3C,0.82890972034398,0.0065736942736522586,0.9855218855218856,0.0011663641801810697,144.75808079369094,32.057582394087504
0.2,3,20,strict,P,100,Stack,Zonly,0.8133559842335244,0.007208677784376444,0.9861952861952862,0.0011663641801810697,166.71752499214315,26.30788211358611
0.2,3,20,strict,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.2,3,20,strict,P,100,PhaseNetMatched,Zonly,0.9838199904967735,0.003828581162268285,0.997979797979798,0.0017495462702716044,24.598292959994925,2.718884593688873
0.2,3,20,strict,S,100,Stack,Full3C,0.5540248093498634,0.014009133088141487,0.9764309764309764,0.004665456720724247,561.2784643013223,21.024757278057585
0.2,3,20,strict,S,100,Stack,Zonly,0.26819660548885693,0.015155402448920061,0.8632996632996633,0.025580363519491743,1062.362827576546,79.04486222725801
0.2,3,20,strict,S,100,PhaseNetMatched,Full3C,0.5862613352704574,0.030822228471061877,0.9919191919191919,0.006308078786260987,169.16094595596408,7.392039290142962
0.2,3,20,strict,S,100,PhaseNetMatched,Zonly,0.29878171023209193,0.01688347952744913,0.9949494949494949,0.008747731351357958,497.56456876456883,93.76508578844236
0.2,3,30,accepted,P,100,Stack,Full3C,0.825579501271277,0.006991881939222539,0.9959595959595959,0.0010101010101010166,167.5257033611548,32.4138543208699
0.2,3,30,accepted,P,100,Stack,Zonly,0.812886639536541,0.0071941108872758276,0.9956228956228956,0.0015429547794464206,210.96181618857082,49.19767881833531
0.2,3,30,accepted,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.2,3,30,accepted,P,100,PhaseNetMatched,Zonly,0.9833249030517619,0.0045454779983777035,0.998989898989899,0.0017495462702716044,25.642933898252885,3.801231470861424
