path,sha256,mode,kind,fold,seed,base,parameters,elapsedSeconds
results/strengthening/base_43/Full3C/models/Full3C/Full3C_CNN_fold0_seed43.mat,587cac6f039f4848f5af2920f917dfb34763ebf8e9989f6fa5198c36a81426da,Full3C,CNN,0,43,43,16611,266.0694473
results/strengthening/base_43/Full3C/models/Full3C/Full3C_CNN_fold1_seed43.mat,089b5afe1b47abd895d5076b72cd76e854c4eba798a3071f4a32c730412c6cbe,Full3C,CNN,1,43,43,16611,199.1480408
results/strengthening/base_43/Full3C/models/Full3C/Full3C_CNN_fold2_seed43.mat,a7eac96d6452fa2c5de6bda3325f634321fb310157ca4a5fae9545275e08e46d,Full3C,CNN,2,43,43,16611,175.7938905
results/strengthening/base_43/Full3C/models/Full3C/Full3C_CNN_fold3_seed43.mat,b72aa07191a1f8b34e4b9b203c2623bc241c14bc00fcd48555b5b45ecab01446,Full3C,CNN,3,43,43,16611,179.4782611
results/strengthening/base_43/Full3C/models/Full3C/Full3C_CNN_fold4_seed43.mat,0ff77e34a82b9a1cd6f6f1ba6420b9a51bd40512da4bd5dd2902fa38331bf529,Full3C,CNN,4,43,43,16611,173.7200596
results/strengthening/base_43/Full3C/models/Full3C/Full3C_CNN_fold5_seed43.mat,9190b3333caeb9e74909f7a0e50a559d91be92273043eeb4b1fac5c8fa2f2555,Full3C,CNN,5,43,43,16611,183.5500369
results/strengthening/base_43/Full3C/models/Full3C/Full3C_full15ch_fold-1_seed42.mat,83b524d2b69c1cdeb386cf114b5c51d378519d70b77b8847bada76c5b608013e,Full3C,full15ch,-1,42,43,108355,1115.2064873
results/strengthening/base_43/Full3C/models/Full3C/Full3C_full15ch_fold-1_seed43.mat,e850d912e74191641347b60e01b21c0d152d49be2336ced58baff8aaaf30d9ca,Full3C,full15ch,-1,43,43,108355,477.6179646
results/strengthening/base_43/Full3C/models/Full3C/Full3C_full15ch_fold-1_seed44.mat,16003338107b6c1bffb39d515a3e783add5e17735af8ed3273b4cc98ae938374,Full3C,full15ch,-1,44,43,108355,760.2184639
results/strengthening/base_43/Full3C/models/Full3C/Full3C_TCN_fold0_seed43.mat,74a10d9b7702c78c898824c6acf19e36a9279b280e072e563b2ef5a113b27c23,Full3C,TCN,0,43,43,10467,368.107937
