event_id,trace_name,source_match,waveform_match,csv_byte_match,error,regenerated_csv_sha256
stead_event_00000,109C.TA_20070706203254_EV,True,True,True,,b1ba9c4663ef2f480465c8975210c1752f0e47df950c8b5edefb6ea9b28456ef
stead_event_00001,109C.TA_20070830095302_EV,True,True,True,,ce30d03b37553fc4292be3c8ddd47680ca44fbf0a1ea37919ea0be456275d1af
stead_event_00002,109C.TA_20070904144754_EV,True,True,True,,3fd2ce71db6ff205eded1f042b0e0c35a9043a49b8c88cee142fec0a91f2aed1
stead_event_00003,109C.TA_20070905042031_EV,True,True,True,,ff70ace88a2b100aed69b21f2996ca1cc22d384f892281ada842c92bdd34906a
stead_event_00004,109C.TA_20070907191015_EV,True,True,True,,7f0605e14a7019ab2fb1724f5f8d727bd4f6b772920dc0f4136eab5730aa1b2d
stead_event_00005,109C.TA_20070907214730_EV,True,True,True,,af6078710be085e696513f90896c159fb77745446ef899ce4b8ab53ebfa6c720
stead_event_00006,109C.TA_20070909131147_EV,True,True,True,,0c7996f7760c95d720469d627fd9566f70dde600fdf31b857af64caf3aeb6cca
stead_event_00007,109C.TA_20070912073736_EV,True,True,True,,4371917f43e7385dccb4b54840cf4b24b4273bba48a51632d5c0cfd41cdd2b3f
stead_event_00008,109C.TA_20070912081129_EV,True,True,True,,76dcaf64da0834391d59ce0a527240fc7190b7466f3e5a7a8266ef7a6c210807
stead_event_00009,109C.TA_20070912081130_EV,True,True,True,,97686f511c67472a20032780b40e0a106e6d1c20425cf6a6c83463dfea54e6c2
stead_event_00010,109C.TA_20070914042447_EV,True,True,True,,9202465cfb150c780e9accc0e35ca56559d0d17ab7d54da08bfece4c6ac3cdb1
stead_event_00011,109C.TA_20080322071728_EV,True,True,True,,555995bca593824669c1f93853c9b3e48e3981e757811f8388a6c61d73f8d445
stead_event_00012,109C.TA_20080504181628_EV,True,True,True,,e2451858ba01a3d8abbcf30837f6a665dea1107de79b7e68d14f86a467d1257e
stead_event_00013,109C.TA_20081030144347_EV,True,True,True,,1fe828430f3c07ffaaae5e21753cc273fcd9ea9f454f40c42887ab3199eda977
stead_event_00014,109C.TA_20090711143450_EV,True,True,True,,ec74d4749af6e47cdf7aa5f02011d868592ee24808b22c7a7041395ac4daa9b9
stead_event_00015,119A.TA_20070716025806_EV,True,True,True,,1ca8143a9b0694410379f8d261599cb15623fb01f4e6028e7d76d0ff34c49e19
