event_id,source_id,role
stead_event_00000,12763676,held
stead_event_00001,12816661,inner_val
stead_event_00002,12956869,held
stead_event_00003,ci10276465,held
stead_event_00004,12958631,fit
stead_event_00005,12958575,fit
stead_event_00006,12959880,fit
stead_event_00010,12964285,fit
stead_event_00011,13494111,held
stead_event_00013,12071632,fit
stead_event_00014,13374603,fit
stead_event_00015,12769966,inner_val
stead_event_00020,17531242,fit
stead_event_00021,12963489,fit
stead_event_00022,13232556,fit
stead_event_00023,13232556,fit
stead_event_00024,16012717,fit
stead_event_00025,16012717,fit
stead_event_00026,uw10819223,fit
stead_event_00027,uw60394672,held
stead_event_00028,uw60532637,inner_val
stead_event_00029,13232556,fit
stead_event_00030,13232556,fit
stead_event_00031,11406516,fit
stead_event_00032,13333448,fit
stead_event_00033,13487328,fit
stead_event_00034,13326812,fit
stead_event_00035,13487328,fit
stead_event_00038,603236867,inner_val
stead_event_00039,606589340,held
stead_event_00040,603236867,inner_val
stead_event_00041,606589340,held
stead_event_00042,603236867,inner_val
stead_event_00043,6843012,fit
stead_event_00044,426634,fit
stead_event_00046,42145,inner_val
stead_event_00047,3887,inner_val
stead_event_00048,407528,fit
stead_event_00049,401534,held
stead_event_00050,371473,inner_val
stead_event_00052,427423,fit
stead_event_00053,405375,fit
stead_event_00054,448605,inner_val
stead_event_00055,423377,inner_val
stead_event_00057,429451,fit
stead_event_00058,429464,fit
stead_event_00059,39672,inner_val
stead_event_00060,458578,fit
stead_event_00062,419718,held
stead_event_00063,335476,fit
stead_event_00064,377479,inner_val
stead_event_00065,427431,held
stead_event_00066,413582,fit
stead_event_00067,334594,held
stead_event_00069,428454,inner_val
stead_event_00070,474506,fit
stead_event_00071,43425,held
stead_event_00072,37441,fit
stead_event_00073,432389,inner_val
stead_event_00075,458505,fit
stead_event_00076,45392,held
stead_event_00077,36493,fit
stead_event_00078,366492,fit
stead_event_00079,42768,fit
stead_event_00082,42145,inner_val
stead_event_00083,3887,inner_val
stead_event_00084,371473,inner_val
stead_event_00086,427423,fit
stead_event_00087,405375,fit
stead_event_00088,419718,held
stead_event_00089,335476,fit
stead_event_00090,377479,inner_val
stead_event_00091,427431,held
stead_event_00092,413582,fit
stead_event_00093,408473,fit
stead_event_00094,197886,held
stead_event_00095,334594,held
stead_event_00096,406475,fit
stead_event_00097,419606,fit
stead_event_00098,43425,held
stead_event_00099,37441,fit
stead_event_00101,101667,fit
stead_event_00102,45392,held
stead_event_00104,428586,fit
stead_event_00105,36493,fit
stead_event_00106,366492,fit
stead_event_00107,371473,inner_val
stead_event_00109,427423,fit
stead_event_00110,405375,fit
stead_event_00111,448605,inner_val
stead_event_00112,423377,inner_val
stead_event_00114,429451,fit
stead_event_00115,429464,fit
stead_event_00116,423507,fit
stead_event_00117,37255,inner_val
stead_event_00118,39672,inner_val
stead_event_00119,458578,fit
stead_event_00121,419718,held
stead_event_00122,335476,fit
stead_event_00123,377479,inner_val
stead_event_00124,427431,held
stead_event_00126,413582,fit
stead_event_00127,408473,fit
stead_event_00129,428454,inner_val
stead_event_00130,474506,fit
stead_event_00131,406475,fit
stead_event_00133,419606,fit
stead_event_00135,458505,fit
stead_event_00136,12092789,fit
stead_event_00137,12653337,fit
stead_event_00138,99434884,fit
stead_event_00139,33352332,inner_val
stead_event_00142,604652658,held
stead_event_00143,606918008,held
stead_event_00144,604751880,held
stead_event_00145,604856436,inner_val
stead_event_00146,604856436,inner_val
stead_event_00147,605416371,fit
stead_event_00148,606932637,fit
stead_event_00149,606932637,fit
stead_event_00150,606932637,fit
stead_event_00151,606932637,fit
stead_event_00152,606732084,held
stead_event_00153,606732084,held
stead_event_00154,606732084,held
stead_event_00155,606831117,fit
stead_event_00156,610587346,fit
stead_event_00157,610587346,fit
stead_event_00158,607215166,held
stead_event_00159,607215166,held
stead_event_00160,607215166,held
stead_event_00164,ak19299578,fit
stead_event_00165,ak19771635,fit
stead_event_00166,17333898,fit
stead_event_00168,606627084,fit
stead_event_00169,606627084,fit
stead_event_00170,606627084,fit
stead_event_00171,13989760,fit
stead_event_00172,13843703,fit
stead_event_00173,14766987,fit
stead_event_00174,13991842,inner_val
stead_event_00175,14788283,fit
stead_event_00176,16334221,fit
stead_event_00179,15165639,fit
stead_event_00180,15217350,fit
stead_event_00181,ci15180441,fit
stead_event_00182,ci15195785,held
stead_event_00185,ci15396745,held
stead_event_00186,603962507,inner_val
stead_event_00187,603962507,inner_val
stead_event_00189,ci11414410,fit
stead_event_00191,605615919,held
stead_event_00192,13435661,fit
stead_event_00195,16357910,held
stead_event_00196,16357939,fit
stead_event_00198,12951536,fit
stead_event_00200,14188784,fit
stead_event_00202,600734280,fit
stead_event_00203,600734280,fit
stead_event_00205,603808481,held
stead_event_00206,603808634,inner_val
stead_event_00207,603808676,held
stead_event_00209,14371821,held
stead_event_00210,14576401,fit
stead_event_00211,14782928,fit
stead_event_00212,17223314,held
stead_event_00214,604048568,fit
stead_event_00215,604048568,fit
stead_event_00216,604441092,fit
stead_event_00217,pr2018175002,held
stead_event_00220,600138494,held
stead_event_00221,600138494,held
stead_event_00222,600138494,held
stead_event_00223,600846551,fit
stead_event_00224,600846551,fit
stead_event_00229,hv60911911,fit
stead_event_00230,hv60964166,fit
stead_event_00231,hv60967326,fit
stead_event_00232,hv60968786,fit
stead_event_00233,hv60984166,fit
stead_event_00234,hv60996411,fit
stead_event_00236,hv61010506,fit
stead_event_00237,hv61023526,fit
stead_event_00240,hv61190256,fit
stead_event_00245,hv61238131,fit
stead_event_00246,hv61245221,held
stead_event_00248,hv61404066,inner_val
stead_event_00250,hv61430876,fit
stead_event_00251,hv61431046,held
stead_event_00252,hv61437156,fit
stead_event_00254,hv61496121,fit
stead_event_00257,hv61542831,held
stead_event_00258,hv61553736,fit
stead_event_00259,hv61568526,fit
stead_event_00261,hv61623346,fit
stead_event_00262,hv61623926,fit
stead_event_00264,hv61631096,inner_val
stead_event_00266,hv61636536,fit
stead_event_00267,hv61672961,fit
stead_event_00268,hv61713526,fit
stead_event_00269,hv61715021,fit
stead_event_00271,hv61804466,fit
stead_event_00272,hv61866736,fit
stead_event_00273,hv62007486,held
stead_event_00274,hv62014031,fit
stead_event_00275,hv62015441,fit
stead_event_00276,hv70021937,fit
stead_event_00277,hv70088721,held
stead_event_00279,hv70112676,fit
stead_event_00280,hv70118556,held
stead_event_00281,hv70244357,fit
stead_event_00282,hv70249957,fit
stead_event_00283,hv70259221,fit
stead_event_00284,hv70264616,inner_val
stead_event_00286,hv70267506,held
stead_event_00287,hv70268561,held
stead_event_00288,hv70274351,fit
stead_event_00291,hv70284971,fit
stead_event_00293,hv70291961,fit
stead_event_00295,hv70301106,fit
stead_event_00296,hv70304606,fit
stead_event_00298,hv70326671,fit
stead_event_00299,hv70329746,fit
stead_event_00302,hv70337366,fit
stead_event_00303,hv70340691,inner_val
stead_event_00304,hv70341951,fit
stead_event_00305,hv70343071,fit
stead_event_00306,hv70348236,inner_val
stead_event_00308,hv70367701,fit
stead_event_00310,hv70373191,fit
stead_event_00311,hv70374286,fit
stead_event_00312,hv70385946,fit
stead_event_00313,hv70395916,fit
stead_event_00314,hv70397626,held
stead_event_00316,hv70416522,fit
stead_event_00317,hv70420532,fit
stead_event_00318,hv70423887,fit
stead_event_00319,hv70429722,fit
stead_event_00321,hv70447517,fit
stead_event_00322,hv70447632,held
stead_event_00323,hv70448697,held
stead_event_00324,hv70451057,fit
stead_event_00325,hv70461537,fit
stead_event_00326,hv70475557,fit
stead_event_00328,hv70497302,fit
stead_event_00329,hv70503637,fit
stead_event_00330,hv60964161,fit
stead_event_00331,hv60964166,fit
stead_event_00332,hv60984166,fit
stead_event_00333,hv60989531,fit
stead_event_00334,hv60996411,fit
stead_event_00336,hv61010506,fit
stead_event_00337,hv61023526,fit
stead_event_00339,hv61190256,fit
stead_event_00342,hv61238131,fit
stead_event_00343,hv61404066,inner_val
stead_event_00345,hv61431046,held
stead_event_00346,hv61437156,fit
stead_event_00350,hv61542831,held
stead_event_00351,hv61568526,fit
stead_event_00353,hv61623926,fit
stead_event_00354,hv61631096,inner_val
stead_event_00356,hv61636536,fit
stead_event_00357,hv61672961,fit
stead_event_00358,hv61684426,fit
stead_event_00359,hv61713536,fit
stead_event_00362,hv61766326,fit
stead_event_00365,hv61866736,fit
stead_event_00366,hv61971871,held
stead_event_00368,hv62006361,held
stead_event_00369,hv62007486,held
stead_event_00370,hv62014031,fit
stead_event_00371,hv62015441,fit
stead_event_00373,12935306,fit
stead_event_00374,17442844,fit
stead_event_00375,603350930,fit
stead_event_00376,603350930,fit
stead_event_00379,607177816,inner_val
stead_event_00380,607177816,inner_val
stead_event_00381,607177816,inner_val
stead_event_00382,600874530,fit
stead_event_00383,600874530,fit
stead_event_00384,600929713,fit
stead_event_00385,600929713,fit
stead_event_00386,600978636,fit
stead_event_00389,601351778,fit
stead_event_00390,601351778,fit
stead_event_00391,600862014,fit
stead_event_00392,600862014,fit
stead_event_00393,601253314,held
stead_event_00394,601253314,held
stead_event_00395,601351798,fit
stead_event_00396,601351798,fit
stead_event_00401,602991745,fit
stead_event_00406,601730063,held
stead_event_00407,601730063,held
stead_event_00409,601730131,held
stead_event_00410,601730131,held
stead_event_00411,602952257,fit
stead_event_00412,602952257,fit
stead_event_00416,602952344,fit
stead_event_00418,602952357,fit
stead_event_00419,602952357,fit
stead_event_00420,601889391,inner_val
stead_event_00421,602952373,inner_val
stead_event_00424,603374515,fit
stead_event_00425,603084634,held
stead_event_00426,603084634,held
stead_event_00427,603081285,inner_val
stead_event_00428,603081285,inner_val
stead_event_00429,603374580,held
stead_event_00431,603248061,fit
stead_event_00432,603248061,fit
stead_event_00433,603248569,inner_val
stead_event_00434,603077591,fit
stead_event_00435,603077591,fit
stead_event_00438,605609723,fit
stead_event_00439,605609723,fit
stead_event_00440,603374643,fit
stead_event_00443,603374667,fit
stead_event_00444,603310010,fit
stead_event_00445,603310010,fit
stead_event_00446,603463363,held
stead_event_00447,603463363,held
stead_event_00449,603794207,fit
stead_event_00450,603794207,fit
stead_event_00451,603793264,fit
stead_event_00452,603758901,held
stead_event_00453,603758915,fit
stead_event_00454,603758915,fit
stead_event_00455,603759111,fit
stead_event_00456,603793326,fit
stead_event_00457,603793372,fit
stead_event_00458,605613081,held
stead_event_00459,605613081,held
stead_event_00460,603757232,inner_val
stead_event_00461,603757232,inner_val
stead_event_00462,603793476,fit
stead_event_00463,603793476,fit
stead_event_00464,603784908,fit
stead_event_00467,604090810,held
stead_event_00468,604106204,fit
stead_event_00469,604106204,fit
stead_event_00470,604398772,fit
stead_event_00471,604398772,fit
stead_event_00472,604515719,held
stead_event_00473,604515724,held
stead_event_00475,606791983,fit
stead_event_00476,12935306,fit
stead_event_00477,603350930,fit
stead_event_00478,603350930,fit
stead_event_00482,607177816,inner_val
stead_event_00483,607177816,inner_val
stead_event_00484,609849690,inner_val
stead_event_00485,609849690,inner_val
stead_event_00490,12935306,fit
stead_event_00491,600280017,held
stead_event_00492,15637536,fit
stead_event_00497,603336626,fit
stead_event_00498,603336626,fit
stead_event_00499,603350930,fit
stead_event_00500,603350930,fit
stead_event_00501,609849690,inner_val
stead_event_00502,609849690,inner_val
stead_event_00507,ak011cmw3pq4,fit
stead_event_00508,ak0126akymw4,fit
stead_event_00509,607177816,inner_val
stead_event_00510,607177816,inner_val
stead_event_00511,607177816,inner_val
stead_event_00513,7485001,inner_val
stead_event_00516,8860013,fit
stead_event_00519,12935306,fit
stead_event_00520,600280017,held
stead_event_00523,16915368,fit
stead_event_00524,17442844,fit
stead_event_00525,600132850,fit
stead_event_00526,600132850,fit
stead_event_00529,ak0126akymw4,fit
stead_event_00530,601468019,fit
stead_event_00531,601468019,fit
stead_event_00532,603336626,fit
stead_event_00533,603336626,fit
stead_event_00534,603244209,fit
stead_event_00535,603244209,fit
stead_event_00538,hv60911911,fit
stead_event_00539,hv60923081,held
stead_event_00540,hv60924946,fit
stead_event_00541,hv60984166,fit
stead_event_00542,hv60986476,fit
stead_event_00544,hv61010731,fit
stead_event_00546,hv61190256,fit
stead_event_00549,hv61253396,fit
stead_event_00550,hv61408361,fit
stead_event_00552,hv61542831,held
stead_event_00553,hv61553736,fit
stead_event_00554,hv61568526,fit
stead_event_00556,hv61623926,fit
