event_id,source_id,fold
stead_event_00000,12763676,2
stead_event_00001,12816661,5
stead_event_00002,12956869,2
stead_event_00003,ci10276465,2
stead_event_00004,12958631,5
stead_event_00005,12958575,4
stead_event_00006,12959880,1
stead_event_00010,12964285,1
stead_event_00011,13494111,2
stead_event_00013,12071632,3
stead_event_00014,13374603,5
stead_event_00015,12769966,4
stead_event_00020,17531242,4
stead_event_00021,12963489,1
stead_event_00022,13232556,1
stead_event_00023,13232556,1
stead_event_00024,16012717,1
stead_event_00025,16012717,1
stead_event_00026,uw10819223,1
stead_event_00027,uw60394672,2
stead_event_00028,uw60532637,5
stead_event_00029,13232556,1
stead_event_00030,13232556,1
stead_event_00031,11406516,5
stead_event_00032,13333448,1
stead_event_00033,13487328,5
stead_event_00034,13326812,3
stead_event_00035,13487328,5
stead_event_00038,603236867,4
stead_event_00039,606589340,2
stead_event_00040,603236867,4
stead_event_00041,606589340,2
stead_event_00042,603236867,4
stead_event_00043,6843012,1
stead_event_00044,426634,5
stead_event_00046,42145,3
stead_event_00047,3887,3
stead_event_00048,407528,5
stead_event_00049,401534,2
stead_event_00050,371473,3
stead_event_00052,427423,5
stead_event_00053,405375,5
stead_event_00054,448605,3
stead_event_00055,423377,1
stead_event_00057,429451,1
stead_event_00058,429464,4
stead_event_00059,39672,3
stead_event_00060,458578,4
stead_event_00062,419718,2
stead_event_00063,335476,4
stead_event_00064,377479,5
stead_event_00065,427431,2
stead_event_00066,413582,5
stead_event_00067,334594,2
stead_event_00069,428454,3
stead_event_00070,474506,4
stead_event_00071,43425,2
stead_event_00072,37441,3
stead_event_00073,432389,5
stead_event_00075,458505,4
stead_event_00076,45392,2
stead_event_00077,36493,5
stead_event_00078,366492,3
stead_event_00079,42768,5
stead_event_00082,42145,3
stead_event_00083,3887,3
stead_event_00084,371473,3
stead_event_00086,427423,5
stead_event_00087,405375,5
stead_event_00088,419718,2
stead_event_00089,335476,4
stead_event_00090,377479,5
stead_event_00091,427431,2
stead_event_00092,413582,5
stead_event_00093,408473,4
stead_event_00094,197886,2
stead_event_00095,334594,2
stead_event_00096,406475,1
stead_event_00097,419606,4
stead_event_00098,43425,2
stead_event_00099,37441,3
stead_event_00101,101667,4
stead_event_00102,45392,2
stead_event_00104,428586,5
stead_event_00105,36493,5
stead_event_00106,366492,3
stead_event_00107,371473,3
stead_event_00109,427423,5
stead_event_00110,405375,5
stead_event_00111,448605,3
stead_event_00112,423377,1
stead_event_00114,429451,1
stead_event_00115,429464,4
stead_event_00116,423507,1
stead_event_00117,37255,3
stead_event_00118,39672,3
stead_event_00119,458578,4
stead_event_00121,419718,2
stead_event_00122,335476,4
stead_event_00123,377479,5
stead_event_00124,427431,2
stead_event_00126,413582,5
stead_event_00127,408473,4
stead_event_00129,428454,3
stead_event_00130,474506,4
stead_event_00131,406475,1
stead_event_00133,419606,4
stead_event_00135,458505,4
stead_event_00136,12092789,5
stead_event_00137,12653337,3
stead_event_00138,99434884,1
stead_event_00139,33352332,1
stead_event_00142,604652658,2
stead_event_00143,606918008,2
stead_event_00144,604751880,2
stead_event_00145,604856436,1
stead_event_00146,604856436,1
stead_event_00147,605416371,5
stead_event_00148,606932637,3
stead_event_00149,606932637,3
stead_event_00150,606932637,3
stead_event_00151,606932637,3
stead_event_00152,606732084,2
stead_event_00153,606732084,2
stead_event_00154,606732084,2
stead_event_00155,606831117,4
stead_event_00156,610587346,1
stead_event_00157,610587346,1
stead_event_00158,607215166,2
stead_event_00159,607215166,2
stead_event_00160,607215166,2
stead_event_00164,ak19299578,5
stead_event_00165,ak19771635,5
stead_event_00166,17333898,4
stead_event_00168,606627084,4
stead_event_00169,606627084,4
stead_event_00170,606627084,4
stead_event_00171,13989760,1
stead_event_00172,13843703,3
stead_event_00173,14766987,3
stead_event_00174,13991842,5
stead_event_00175,14788283,1
stead_event_00176,16334221,5
stead_event_00179,15165639,4
