id,mode,kind,seed,fold
Zonly_CNN_fold1_seed44,Zonly,CNN,44,1
Zonly_TCN_fold1_seed44,Zonly,TCN,44,1
Zonly_CNN_fold2_seed44,Zonly,CNN,44,2
Zonly_TCN_fold2_seed44,Zonly,TCN,44,2
Zonly_CNN_fold3_seed44,Zonly,CNN,44,3
Zonly_TCN_fold3_seed44,Zonly,TCN,44,3
Zonly_CNN_fold4_seed44,Zonly,CNN,44,4
Zonly_TCN_fold4_seed44,Zonly,TCN,44,4
Zonly_CNN_fold5_seed44,Zonly,CNN,44,5
Zonly_TCN_fold5_seed44,Zonly,TCN,44,5
Zonly_CNN_fold0_seed44,Zonly,CNN,44,0
Zonly_TCN_fold0_seed44,Zonly,TCN,44,0
Zonly_full15ch_fold-1_seed42,Zonly,full15ch,42,-1
Zonly_full15ch_fold-1_seed43,Zonly,full15ch,43,-1
Zonly_full15ch_fold-1_seed44,Zonly,full15ch,44,-1
