Mode,BaseSeed,Phase,Tolerance_ms,GroupCount,mean_F1,mean_MAE_ms,mean_AcceptedCoverage
Full3C,42,P,50,3,0.704873258570378,182.778501050608,0.991919191919192
Full3C,42,P,100,3,0.829620143567723,182.778501050608,0.991919191919192
Full3C,42,P,200,3,0.906698506541679,182.778501050608,0.991919191919192
Full3C,42,S,50,3,0.363350637092969,554.446428571428,0.973737373737374
Full3C,42,S,100,3,0.545537203083215,554.446428571428,0.973737373737374
Full3C,42,S,200,3,0.672471291489696,554.446428571428,0.973737373737374
Full3C,43,P,50,3,0.697820690082533,129.413189053556,0.988888888888889
Full3C,43,P,100,3,0.831892982598828,129.413189053556,0.988888888888889
Full3C,43,P,200,3,0.906041417345402,129.413189053556,0.988888888888889
Full3C,43,S,50,3,0.394094502871634,650.763399732384,0.983838383838384
Full3C,43,S,100,3,0.56822617538102,650.763399732384,0.983838383838384
Full3C,43,S,200,3,0.695522861191915,650.763399732384,0.983838383838384
Full3C,44,P,50,3,0.67785652596511,187.681565913982,0.990909090909091
Full3C,44,P,100,3,0.818894317901481,187.681565913982,0.990909090909091
Full3C,44,P,200,3,0.906160850260385,187.681565913982,0.990909090909091
Full3C,44,S,50,3,0.370870955253331,625.669877491734,0.982828282828283
Full3C,44,S,100,3,0.54715228603899,625.669877491734,0.982828282828283
Full3C,44,S,200,3,0.686715559551909,625.669877491734,0.982828282828283
Zonly,42,P,50,3,0.676845874869613,145.351928669821,0.987878787878788
Zonly,42,P,100,3,0.805902404413186,145.351928669821,0.987878787878788
Zonly,42,P,200,3,0.896337713237705,145.351928669821,0.987878787878788
Zonly,42,S,50,3,0.169136184671449,1180.4046884044,0.9
Zonly,42,S,100,3,0.281819161285079,1180.4046884044,0.9
Zonly,42,S,200,3,0.417588807932665,1180.4046884044,0.9
Zonly,43,P,50,3,0.698133447677294,196.192657104313,0.990909090909091
Zonly,43,P,100,3,0.813798100160044,196.192657104313,0.990909090909091
Zonly,43,P,200,3,0.907163517506098,196.192657104313,0.990909090909091
Zonly,43,S,50,3,0.136913080411174,1332.60911792419,0.916161616161616
Zonly,43,S,100,3,0.251929082408406,1332.60911792419,0.916161616161616
Zonly,43,S,200,3,0.41116749099999,1332.60911792419,0.916161616161616
Zonly,44,P,50,3,0.707928198168007,193.359286662524,0.991919191919192
Zonly,44,P,100,3,0.820483083019036,193.359286662524,0.991919191919192
Zonly,44,P,200,3,0.90872794731197,193.359286662524,0.991919191919192
Zonly,44,S,50,3,0.158766262561761,1005.8098549182,0.945454545454545
Zonly,44,S,100,3,0.272097854341628,1005.8098549182,0.945454545454545
Zonly,44,S,200,3,0.442471248242321,1005.8098549182,0.945454545454545
