Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s,Mode,BaseSeed,MetaSeed,Method
P,50,330,327,324,232,95,98,0.709480122324159,0.703030303030303,0.706240487062405,0.990909090909091,126.97247706422,29.9999999999994,649.257868505661,0.0122324159021407,Full3C,42,42,Stack
P,100,330,327,324,276,51,54,0.844036697247706,0.836363636363636,0.840182648401826,0.990909090909091,126.97247706422,29.9999999999994,649.257868505661,0.0122324159021407,Full3C,42,42,Stack
P,200,330,327,324,300,27,30,0.917431192660551,0.909090909090909,0.91324200913242,0.990909090909091,126.97247706422,29.9999999999994,649.257868505661,0.0122324159021407,Full3C,42,42,Stack
S,50,330,322,315,123,199,207,0.381987577639752,0.372727272727273,0.377300613496933,0.975757575757576,492.204968944099,80.0000000000018,1596.77771412397,0.062111801242236,Full3C,42,42,Stack
S,100,330,322,315,181,141,149,0.562111801242236,0.548484848484848,0.55521472392638,0.975757575757576,492.204968944099,80.0000000000018,1596.77771412397,0.062111801242236,Full3C,42,42,Stack
S,200,330,322,315,221,101,109,0.686335403726708,0.66969696969697,0.677914110429448,0.975757575757576,492.204968944099,80.0000000000018,1596.77771412397,0.062111801242236,Full3C,42,42,Stack
P,50,330,326,322,232,94,98,0.711656441717791,0.703030303030303,0.707317073170732,0.987878787878788,129.478527607362,29.9999999999994,650.636073864259,0.0122699386503067,Full3C,42,43,Stack
P,100,330,326,322,271,55,59,0.831288343558282,0.821212121212121,0.826219512195122,0.987878787878788,129.478527607362,29.9999999999994,650.636073864259,0.0122699386503067,Full3C,42,43,Stack
P,200,330,326,322,297,29,33,0.911042944785276,0.9,0.905487804878049,0.987878787878788,129.478527607362,29.9999999999994,650.636073864259,0.0122699386503067,Full3C,42,43,Stack
S,50,330,320,310,116,204,214,0.3625,0.351515151515152,0.356923076923077,0.96969696969697,617.625,89.9999999999999,1908.35252901554,0.078125,Full3C,42,43,Stack
S,100,330,320,310,174,146,156,0.54375,0.527272727272727,0.535384615384615,0.96969696969697,617.625,89.9999999999999,1908.35252901554,0.078125,Full3C,42,43,Stack
S,200,330,320,310,220,100,110,0.6875,0.666666666666667,0.676923076923077,0.96969696969697,617.625,89.9999999999999,1908.35252901554,0.078125,Full3C,42,43,Stack
P,50,330,329,324,231,98,99,0.702127659574468,0.7,0.701062215477997,0.996969696969697,291.884498480243,29.9999999999998,2234.19943435272,0.0182370820668693,Full3C,42,44,Stack
P,100,330,329,324,271,58,59,0.82370820668693,0.821212121212121,0.822458270106222,0.996969696969697,291.884498480243,29.9999999999998,2234.19943435272,0.0182370820668693,Full3C,42,44,Stack
P,200,330,329,324,297,32,33,0.90273556231003,0.9,0.901365705614568,0.996969696969697,291.884498480243,29.9999999999998,2234.19943435272,0.0182370820668693,Full3C,42,44,Stack
S,50,330,322,313,116,206,214,0.360248447204969,0.351515151515152,0.355828220858896,0.975757575757576,553.509316770186,85,1825.64010726162,0.0683229813664596,Full3C,42,44,Stack
S,100,330,322,313,178,144,152,0.552795031055901,0.539393939393939,0.54601226993865,0.975757575757576,553.509316770186,85,1825.64010726162,0.0683229813664596,Full3C,42,44,Stack
S,200,330,322,313,216,106,114,0.670807453416149,0.654545454545455,0.662576687116564,0.975757575757576,553.509316770186,85,1825.64010726162,0.0683229813664596,Full3C,42,44,Stack
P,50,330,328,326,221,107,109,0.673780487804878,0.66969696969697,0.671732522796353,0.993939393939394,169.542682926829,30.0000000000002,947.777084782611,0.0152439024390244,Zonly,42,42,Stack
