Comparison,Phase,Tolerance_ms,Delta,Low,High
Stack Full3C minus Zonly,P,50,-0.014252892900884384,-0.029824643598152515,0.00035291794013093643
PhaseNetMatched Full3C minus Zonly,P,50,0.009384987025703229,-0.0026863668196131507,0.02199281373728872
Stack minus PhaseNetMatched Full3C,P,50,-0.22333026203800155,-0.2715654323898622,-0.17553868607958523
Stack minus PhaseNetMatched Zonly,P,50,-0.19969238211141394,-0.24903292909866012,-0.15056295603427697
Stack Full3C minus Zonly,P,100,-0.0028855525457128772,-0.013470649264334797,0.007642704301227118
PhaseNetMatched Full3C minus Zonly,P,100,0.0024436458275025608,-0.0074909407517437495,0.012508903293201343
Stack minus PhaseNetMatched Full3C,P,100,-0.09671197580595303,-0.13401286881220334,-0.06136557206864553
Stack minus PhaseNetMatched Zonly,P,100,-0.0913827774327376,-0.1284471517849798,-0.056894872919904665
Stack Full3C minus Zonly,P,200,-0.0031904006130775153,-0.010775146355943658,0.004415558464849123
PhaseNetMatched Full3C minus Zonly,P,200,-0.0015171050042342982,-0.009161792302627656,0.006240851218800909
Stack minus PhaseNetMatched Full3C,P,200,-0.05284004717364754,-0.07952122845897909,-0.02851056623349642
Stack minus PhaseNetMatched Zonly,P,200,-0.051166751564804325,-0.0751779938655831,-0.029322578417680083
Stack Full3C minus Zonly,S,50,0.22717745248392032,0.18401436930626935,0.27172221829978327
PhaseNetMatched Full3C minus Zonly,S,50,0.19283853817029617,0.14698817795801697,0.2375842375093461
Stack minus PhaseNetMatched Full3C,S,50,0.0007359298154114291,-0.03391486784039537,0.03561911004170841
Stack minus PhaseNetMatched Zonly,S,50,-0.033602984498212723,-0.06758538879902179,0.00010173519075175612
Stack Full3C minus Zonly,S,100,0.2395986614248114,0.18739099371705725,0.2904839846757648
PhaseNetMatched Full3C minus Zonly,S,100,0.257847533632287,0.20935351755971135,0.30572454980191077
Stack minus PhaseNetMatched Full3C,S,100,-0.04877818882115803,-0.08214534602013666,-0.014766356859637361
Stack minus PhaseNetMatched Zonly,S,100,-0.03052931661368241,-0.07119399108129684,0.010136593736131258
Stack Full3C minus Zonly,S,200,0.22925777759884436,0.17847905087354687,0.2806472864859104
PhaseNetMatched Full3C minus Zonly,S,200,0.21413227356945297,0.16594345389802356,0.2625676544760849
Stack minus PhaseNetMatched Full3C,S,200,-0.0710876190931421,-0.10569324893282216,-0.03848650429587296
Stack minus PhaseNetMatched Zonly,S,200,-0.08621312312253349,-0.1255989212946257,-0.04805728142603515
